date_obj,3rd%20age%20range%20top price
2015-03-26,35298941
2015-03-27,35298941
2015-03-28,35298941
2015-03-29,35298941
2015-03-30,33560735
2015-03-31,33560735
2015-04-01,33560735
2015-04-02,33560735
2015-04-03,33560735
2015-04-04,31882698
2015-04-05,31882698
2015-04-06,31882698
2015-04-07,31882698
2015-04-08,31882698
2015-04-09,31882698
2015-04-10,30288563
2015-04-11,30288563
2015-04-12,30288563
2015-04-13,30288563
2015-04-14,30288563
2015-04-15,28834527
2015-04-16,28834527
2015-04-17,28834527
2015-04-18,28834527
2015-04-19,28834527
2015-04-20,27414471
2015-04-21,27414471
2015-04-22,27414471
2015-04-23,27414471
2015-04-24,26095978
2015-04-25,26095978
2015-04-26,26095978
2015-04-27,26095978
2015-04-28,25873887
2015-04-29,25873887
2015-04-30,25873887
2015-05-01,25873887
2015-05-02,25529436
2015-05-03,25529436
2015-05-04,25529436
2015-05-05,25529436
2015-05-06,25459973
2015-05-07,25459973
2015-05-08,25459973
2015-05-09,25459973
2015-05-10,25459973
2015-05-11,25280934
2015-05-12,25280934
2015-05-13,25280934
2015-05-14,25280934
2015-05-15,25151180
2015-05-16,25151180
2015-05-17,25151180
2015-05-18,25151180
2015-05-19,25186342
2015-05-20,25186342
2015-05-21,25186342
2015-05-22,25186342
2015-05-23,26013526
2015-05-24,26013526
2015-05-25,26013526
2015-05-26,26013526
2015-05-27,26013526
2015-05-28,25791196
2015-05-29,25791196
2015-05-30,25791196
2015-05-31,26704314
2015-06-01,26704314
2015-06-02,26704314
2015-06-03,26704314
2015-06-04,26704314
2015-06-05,27495292
2015-06-06,27495292
2015-06-07,27495292
2015-06-08,27495292
2015-06-09,28102510
2015-06-10,28102510
2015-06-11,28102510
2015-06-12,28102510
2015-06-13,28102510
2015-06-14,28774035
2015-06-15,28774035
2015-06-16,28774035
2015-06-17,28774035
2015-06-18,28774035
2015-06-19,28950639
2015-06-20,28950639
2015-06-21,28950639
2015-06-22,28950639
2015-06-23,28950639
2015-06-24,28950639
2015-06-25,28603535
2015-06-26,28603535
2015-06-27,28603535
2015-06-28,28603535
2015-06-29,27334578
2015-06-30,27334578
2015-07-01,27334578
2015-07-02,27334578
2015-07-03,26399243
2015-07-04,26399243
2015-07-05,26399243
2015-07-06,26399243
2015-07-07,26255162
2015-07-08,26255162
2015-07-09,26255162
2015-07-10,26210966
2015-07-11,26210966
2015-07-12,26210966
2015-07-13,26210966
2015-07-14,26323752
2015-07-15,26323752
2015-07-16,26323752
2015-07-17,27249587
2015-07-18,27249587
2015-07-19,27249587
2015-07-20,27249587
2015-07-21,28174291
2015-07-22,28174291
2015-07-23,28174291
2015-07-24,28174291
2015-07-25,29093401
2015-07-26,29093401
2015-07-27,29093401
2015-07-28,29093401
2015-07-29,28957524
2015-07-30,28957524
2015-07-31,28957524
2015-08-01,28957524
2015-08-02,28548333
2015-08-03,28548333
2015-08-04,28548333
2015-08-05,28548333
2015-08-06,28730435
2015-08-07,28730435
2015-08-08,28730435
2015-08-09,29214481
2015-08-10,29214481
2015-08-11,29214481
2015-08-12,29226185
2015-08-13,29226185
2015-08-14,29226185
2015-08-15,28987612
2015-08-16,28987612
2015-08-17,28987612
2015-08-18,28987612
2015-08-19,28347003
2015-08-20,28347003
2015-08-21,28347003
2015-08-22,28347003
2015-08-23,28672111
2015-08-24,28672111
2015-08-25,28672111
2015-08-26,28672111
2015-08-27,28564935
2015-08-28,28564935
2015-08-29,28564935
2015-08-30,28564935
2015-08-31,28128265
2015-09-01,28128265
2015-09-02,28128265
2015-09-03,28128265
2015-09-04,27317659
2015-09-05,27317659
2015-09-06,27317659
2015-09-07,27317659
2015-09-08,26543832
2015-09-09,26543832
2015-09-10,26543832
2015-09-11,26543832
2015-09-12,25583635
2015-09-13,25583635
2015-09-14,25583635
2015-09-15,24625169
2015-09-16,24625169
2015-09-17,24625169
2015-09-18,24649422
2015-09-19,24649422
2015-09-20,24649422
2015-09-21,24863649
2015-09-22,24863649
2015-09-23,24863649
2015-09-24,25679204
2015-09-25,25679204
2015-09-27,24503369
2015-09-28,24503369
2015-09-29,24503369
2015-09-30,23905187
2015-10-05,23628808
2015-10-06,23323502
2015-10-07,23323502
2015-10-08,23323502
2015-10-09,23040766
2015-10-10,23040766
2015-10-11,23040766
2015-10-12,22830324
2015-10-13,22830324
2015-10-14,22830324
2015-10-15,23371211
2015-10-16,23371211
2015-10-17,23371211
2015-10-18,23716167
2015-10-19,23716167
2015-10-20,23716167
2015-10-22,24484720
2015-10-23,24484720
2015-10-24,25351259
2015-10-25,25351259
2015-10-26,26207648
2015-10-27,26207648
2015-10-28,26207648
2015-10-29,26207648
2015-10-30,26572684
2015-10-31,26572684
2015-11-01,26572684
2015-11-02,27498389
2015-11-03,27498389
2015-11-04,27498389
2015-11-05,27498389
2015-11-06,28251947
2015-11-07,28251947
2015-11-08,28251947
2015-11-09,28251947
2015-11-10,28754859
2015-11-11,28754859
2015-11-12,28754859
2015-11-13,28754859
2015-11-14,29589438
2015-11-15,29589438
2015-11-16,29589438
2015-11-17,28904174
2015-11-18,28904174
2015-11-19,28904174
2015-11-20,29889966
2015-11-21,29889966
2015-11-22,29889966
2015-11-23,30244787
2015-11-24,30244787
2015-11-25,30244787
2015-11-26,30244787
2015-11-27,31256203
2015-11-28,31256203
2015-11-29,31256203
2015-11-30,32381688
2015-12-01,32381688
2015-12-02,32381688
2015-12-03,32381688
2015-12-04,33728271
2015-12-05,33728271
2015-12-06,33728271
2015-12-07,33728271
2015-12-08,34816894
2015-12-09,34816894
2015-12-10,34816894
2015-12-11,34816894
2015-12-12,35708217
2015-12-13,35708217
2015-12-14,35708217
2015-12-15,36744393
2015-12-16,36744393
2015-12-17,36744393
2015-12-18,36744393
2015-12-19,36744393
2015-12-20,35747446
2015-12-21,35747446
2015-12-22,35747446
2015-12-23,35747446
2015-12-24,35122693
2015-12-25,35122693
2015-12-26,35122693
2015-12-27,35122693
2015-12-28,34682343
2015-12-29,34682343
