date_obj,Adamant%202h%20sword price
2015-03-26,3623
2015-03-27,3635
2015-03-28,3598
2015-03-29,3612
2015-03-30,3631
2015-03-31,3625
2015-04-01,3636
2015-04-02,3615
2015-04-03,3593
2015-04-04,3602
2015-04-05,3627
2015-04-06,3613
2015-04-07,3632
2015-04-08,3604
2015-04-09,3602
2015-04-10,3620
2015-04-11,3634
2015-04-12,3646
2015-04-13,3624
2015-04-14,3620
2015-04-15,3646
2015-04-16,3624
2015-04-17,3548
2015-04-18,3603
2015-04-19,3592
2015-04-20,3609
2015-04-21,3595
2015-04-22,3624
2015-04-23,3621
2015-04-24,3622
2015-04-25,3627
2015-04-26,3623
2015-04-27,3625
2015-04-28,3640
2015-04-29,3655
2015-04-30,3648
2015-05-01,3639
2015-05-02,3599
2015-05-03,3607
2015-05-04,3572
2015-05-05,3534
2015-05-06,3612
2015-05-07,3627
2015-05-08,3650
2015-05-09,3639
2015-05-10,3617
2015-05-11,3595
2015-05-12,3637
2015-05-13,3616
2015-05-14,3612
2015-05-15,3607
2015-05-16,3620
2015-05-17,3625
2015-05-18,3615
2015-05-19,3621
2015-05-20,3645
2015-05-21,3639
2015-05-22,3643
2015-05-23,3615
2015-05-24,3612
2015-05-25,3599
2015-05-26,3616
2015-05-27,3616
2015-05-28,3616
2015-05-29,3618
2015-05-30,3635
2015-05-31,3628
2015-06-01,3637
2015-06-02,3617
2015-06-03,3626
2015-06-04,3621
2015-06-05,3631
2015-06-06,3660
2015-06-07,3673
2015-06-08,3668
2015-06-09,3654
2015-06-10,3663
2015-06-11,3578
2015-06-12,3600
2015-06-13,3641
2015-06-14,3676
2015-06-15,3660
2015-06-16,3667
2015-06-17,3657
2015-06-18,3631
2015-06-19,3657
2015-06-20,3664
2015-06-21,3626
2015-06-22,3651
2015-06-23,3648
2015-06-24,3658
2015-06-25,3688
2015-06-26,3765
2015-06-27,3718
2015-06-28,3691
2015-06-29,3690
2015-06-30,3705
2015-07-01,3719
2015-07-02,3692
2015-07-03,3689
2015-07-04,3706
2015-07-05,3701
2015-07-06,3704
2015-07-07,3621
2015-07-08,3610
2015-07-09,3667
2015-07-10,3653
2015-07-11,3624
2015-07-12,3551
2015-07-13,3569
2015-07-14,3609
2015-07-15,3627
2015-07-16,3634
2015-07-17,3649
2015-07-18,3625
2015-07-19,3608
2015-07-20,3575
2015-07-21,3652
2015-07-22,3639
2015-07-23,3608
2015-07-24,3611
2015-07-25,3644
2015-07-26,3628
2015-07-27,3616
2015-07-28,3617
2015-07-29,3651
2015-07-30,3654
2015-07-31,3654
2015-08-01,3647
2015-08-02,3640
2015-08-03,3655
2015-08-04,3652
2015-08-05,3642
2015-08-06,3651
2015-08-07,3671
2015-08-08,3634
2015-08-09,3637
2015-08-10,3668
2015-08-11,3716
2015-08-12,3594
2015-08-13,3627
2015-08-14,3659
2015-08-15,3652
2015-08-16,3641
2015-08-17,3634
2015-08-18,3639
2015-08-19,3649
2015-08-20,3687
2015-08-21,3729
2015-08-22,3756
2015-08-23,3788
2015-08-24,3688
2015-08-25,3773
2015-08-26,3710
2015-08-27,3691
2015-08-28,3739
2015-08-29,3724
2015-08-30,3793
2015-08-31,3790
2015-09-01,3767
2015-09-02,3829
2015-09-03,3732
2015-09-04,3703
2015-09-05,3840
2015-09-06,3797
2015-09-07,3679
2015-09-08,3682
2015-09-09,3688
2015-09-10,3724
2015-09-11,3711
2015-09-12,3721
2015-09-13,3653
2015-09-14,3627
2015-09-15,3573
2015-09-16,3586
2015-09-17,3640
2015-09-18,3661
2015-09-19,3649
2015-09-20,3664
2015-09-21,3660
2015-09-22,3683
2015-09-23,3690
2015-09-24,3642
2015-09-25,3663
2015-09-27,3662
2015-09-28,3648
2015-09-29,3641
2015-09-30,3659
2015-10-05,3686
2015-10-06,3679
2015-10-07,3630
2015-10-08,3655
2015-10-09,3627
2015-10-10,3643
2015-10-11,3655
2015-10-12,3680
2015-10-13,3690
2015-10-14,3678
2015-10-15,3682
2015-10-16,3659
2015-10-17,3664
2015-10-18,3649
2015-10-19,3679
2015-10-20,3651
2015-10-22,3658
2015-10-23,3656
2015-10-24,3624
2015-10-25,3660
2015-10-26,3688
2015-10-27,3643
2015-10-28,3642
2015-10-29,3705
2015-10-30,3696
2015-10-31,3724
2015-11-01,3718
2015-11-02,3707
2015-11-03,3697
2015-11-04,3688
2015-11-05,3694
2015-11-06,3667
2015-11-07,3675
2015-11-08,3632
2015-11-09,3642
2015-11-10,3587
2015-11-11,3615
2015-11-12,3705
2015-11-13,3726
2015-11-14,3666
2015-11-15,3749
2015-11-16,3718
2015-11-17,3762
2015-11-18,3752
2015-11-19,3782
2015-11-20,3762
2015-11-21,3840
2015-11-22,3814
2015-11-23,3650
2015-11-24,3692
2015-11-25,3810
2015-11-26,3926
2015-11-27,3834
2015-11-28,3683
2015-11-29,3668
2015-11-30,3792
2015-12-01,3702
2015-12-02,3757
2015-12-03,3771
2015-12-04,3754
2015-12-05,3695
2015-12-06,3631
2015-12-07,3653
2015-12-08,3629
2015-12-09,3664
2015-12-10,3592
2015-12-11,3629
2015-12-12,3669
2015-12-13,3662
2015-12-14,3717
2015-12-15,3681
2015-12-16,3629
2015-12-17,3661
2015-12-18,3682
2015-12-19,3705
2015-12-20,3740
2015-12-21,3665
2015-12-22,3695
2015-12-23,3701
2015-12-24,3675
2015-12-25,3675
2015-12-26,3668
2015-12-27,3632
2015-12-28,3595
