date_obj,Adamant%20crossbow price
2015-03-26,4951
2015-03-27,4951
2015-03-28,4703
2015-03-29,4467
2015-03-30,4243
2015-03-31,4030
2015-04-01,3845
2015-04-02,3652
2015-04-03,3469
2015-04-04,3295
2015-04-05,3134
2015-04-06,3006
2015-04-07,2969
2015-04-08,2969
2015-04-09,3040
2015-04-10,3192
2015-04-11,3256
2015-04-12,3133
2015-04-13,3032
2015-04-14,3032
2015-04-15,2880
2015-04-16,2965
2015-04-17,3019
2015-04-18,3072
2015-04-19,3226
2015-04-20,3226
2015-04-21,3367
2015-04-22,3367
2015-04-23,3338
2015-04-24,3338
2015-04-25,3349
2015-04-26,3222
2015-04-27,3246
2015-04-28,3291
2015-04-29,3291
2015-04-30,3400
2015-05-01,3532
2015-05-02,3709
2015-05-03,3709
2015-05-04,3645
2015-05-05,3645
2015-05-06,3465
2015-05-07,3297
2015-05-08,3297
2015-05-09,3203
2015-05-10,3117
2015-05-11,3117
2015-05-12,2997
2015-05-13,2997
2015-05-14,2963
2015-05-15,2963
2015-05-16,2814
2015-05-17,2673
2015-05-18,2539
2015-05-19,2539
2015-05-20,2505
2015-05-21,2505
2015-05-22,2588
2015-05-23,2588
2015-05-24,2718
2015-05-25,2854
2015-05-26,2996
2015-05-27,2996
2015-05-28,3144
2015-05-29,3302
2015-05-30,3468
2015-05-31,3627
2015-06-01,3808
2015-06-02,3808
2015-06-03,3832
2015-06-04,3731
2015-06-05,3770
2015-06-06,3722
2015-06-07,3642
2015-06-08,3551
2015-06-09,3490
2015-06-10,3423
2015-06-11,3423
2015-06-12,3339
2015-06-13,3252
2015-06-14,3142
2015-06-15,2990
2015-06-16,2841
2015-06-17,2783
2015-06-18,2755
2015-06-19,2669
2015-06-20,2615
2015-06-21,2615
2015-06-22,2644
2015-06-23,2755
2015-06-24,2893
2015-06-25,2893
2015-06-26,2895
2015-06-27,2895
2015-06-28,2775
2015-06-29,2775
2015-06-30,2787
2015-07-01,2751
2015-07-02,2751
2015-07-03,2726
2015-07-04,2726
2015-07-05,2654
2015-07-06,2654
2015-07-07,2609
2015-07-08,2623
2015-07-09,2623
2015-07-10,2629
2015-07-11,2629
2015-07-12,2547
2015-07-13,2502
2015-07-14,2561
2015-07-15,2579
2015-07-16,2568
2015-07-17,2527
2015-07-18,2527
2015-07-19,2555
2015-07-20,2602
2015-07-21,2602
2015-07-22,2630
2015-07-23,2630
2015-07-24,2626
2015-07-25,2654
2015-07-26,2684
2015-07-27,2702
2015-07-28,2706
2015-07-29,2718
2015-07-30,2718
2015-07-31,2750
2015-08-01,2836
2015-08-02,2960
2015-08-03,3030
2015-08-04,3012
2015-08-05,3052
2015-08-06,3190
2015-08-07,3190
2015-08-08,3319
2015-08-09,3478
2015-08-10,3652
2015-08-11,3820
2015-08-12,3820
2015-08-13,3720
2015-08-14,3829
2015-08-15,3829
2015-08-16,3992
2015-08-17,4152
2015-08-18,4317
2015-08-19,4253
2015-08-20,4253
2015-08-21,4040
2015-08-22,3838
2015-08-23,3666
2015-08-24,3486
2015-08-25,3486
2015-08-26,3380
2015-08-27,3377
2015-08-28,3377
2015-08-29,3387
2015-08-30,3387
2015-08-31,3354
2015-09-01,3358
2015-09-02,3358
2015-09-03,3334
2015-09-04,3305
2015-09-05,3305
2015-09-06,3369
2015-09-07,3243
2015-09-08,3212
2015-09-09,3230
2015-09-10,3157
2015-09-11,3210
2015-09-12,3283
2015-09-13,3245
2015-09-14,3275
2015-09-15,3252
2015-09-16,3252
2015-09-17,3152
2015-09-18,3152
2015-09-19,3039
2015-09-20,3039
2015-09-21,2942
2015-09-22,2827
2015-09-23,2800
2015-09-24,2800
2015-09-25,2803
2015-09-27,2817
2015-09-28,2881
2015-09-29,2881
2015-09-30,2848
2015-10-05,3043
2015-10-06,2928
2015-10-07,2928
2015-10-08,2810
2015-10-09,2771
2015-10-10,2771
2015-10-11,2757
2015-10-12,2719
2015-10-13,2719
2015-10-14,2649
2015-10-15,2749
2015-10-16,2735
2015-10-17,2735
2015-10-18,2603
2015-10-19,2472
2015-10-20,2444
2015-10-22,2561
2015-10-23,2679
2015-10-24,2679
2015-10-25,2775
2015-10-26,2852
2015-10-27,2852
2015-10-28,2993
2015-10-29,2993
2015-10-30,3136
2015-10-31,3254
2015-11-01,3254
2015-11-02,3369
2015-11-03,3369
2015-11-04,3538
2015-11-05,3715
2015-11-06,3715
2015-11-07,3752
2015-11-08,3752
2015-11-09,3826
2015-11-10,3826
2015-11-11,3655
2015-11-12,3496
2015-11-13,3496
2015-11-14,3322
2015-11-15,3220
2015-11-16,3220
2015-11-17,3097
2015-11-18,3097
2015-11-19,3087
2015-11-20,3026
2015-11-21,3026
2015-11-22,2965
2015-11-23,2965
2015-11-24,2910
2015-11-25,2852
2015-11-26,2852
2015-11-27,2784
2015-11-28,2729
2015-11-29,2623
2015-11-30,2602
2015-12-01,2602
2015-12-02,2623
2015-12-03,2698
2015-12-04,2698
2015-12-05,2734
2015-12-06,2764
2015-12-07,2764
2015-12-08,2720
2015-12-09,2689
2015-12-10,2689
2015-12-11,2650
2015-12-12,2646
2015-12-13,2646
2015-12-14,2646
2015-12-15,2611
2015-12-16,2494
2015-12-17,2494
2015-12-18,2476
2015-12-19,2476
2015-12-20,2475
2015-12-21,2475
2015-12-22,2468
2015-12-23,2439
2015-12-24,2439
2015-12-25,2438
2015-12-26,2393
2015-12-27,2369
2015-12-28,2369
2015-12-29,2415
2015-12-30,2511
2015-12-31,2499
2016-01-01,2499
2016-01-02,2551
2016-01-03,2621
2016-01-04,2712
2016-01-05,2783
2016-01-06,2878
2016-01-07,2836
2016-01-08,2920
2016-01-09,2920
2016-01-10,3061
2016-01-11,3069
2016-01-12,3138
2016-01-13,3138
2016-01-14,3181
2016-01-15,3315
2016-01-16,3436
2016-01-17,3467
2016-01-18,3467
2016-01-19,3467
2016-01-20,3563
2016-01-21,3563
2016-01-22,3609
2016-01-23,3497
2016-01-24,3379
2016-01-25,3358
2016-01-26,3358
2016-01-27,3411
2016-01-28,3411
2016-01-29,3385
2016-01-30,3385
2016-01-31,3334
2016-02-01,3238
2016-02-02,3238
2016-02-03,3182
2016-02-04,3182
2016-02-05,3051
2016-02-06,3127
2016-02-07,3127
2016-02-08,3265
2016-02-09,3393
2016-02-10,3342
2016-02-11,3342
2016-02-12,3343
2016-02-13,3326
2016-02-14,3326
2016-02-15,3292
2016-02-16,3218
2016-02-17,3180
2016-02-18,3180
2016-02-19,3075
2016-02-20,3057
2016-02-21,3091
2016-02-22,3091
2016-02-23,3153
2016-02-24,3224
2016-02-25,3237
2016-02-26,3237
2016-02-27,3081
2016-02-28,3081
2016-02-29,2926
2016-03-01,2812
2016-03-02,2744
2016-03-03,2745
2016-03-04,2759
2016-03-05,2801
2016-03-06,2882
2016-03-07,2882
2016-03-08,2957
