date_obj,Adamant%20gold-trimmed%20set%20(sk) price
2015-03-26,250000
2015-03-27,250000
2015-03-28,250000
2015-03-29,250000
2015-03-30,250000
2015-03-31,250000
2015-04-01,250000
2015-04-02,250000
2015-04-03,250000
2015-04-04,250000
2015-04-05,250000
2015-04-06,250000
2015-04-07,250000
2015-04-08,250000
2015-04-09,250000
2015-04-10,250000
2015-04-11,250000
2015-04-12,250000
2015-04-13,250000
2015-04-14,250000
2015-04-15,250000
2015-04-16,250000
2015-04-17,250000
2015-04-18,250000
2015-04-19,250000
2015-04-20,250000
2015-04-21,250000
2015-04-22,250000
2015-04-23,250000
2015-04-24,250000
2015-04-25,250000
2015-04-26,250000
2015-04-27,250000
2015-04-28,250000
2015-04-29,250000
2015-04-30,250000
2015-05-01,239915
2015-05-02,239915
2015-05-03,239915
2015-05-04,239915
2015-05-05,239915
2015-05-06,239915
2015-05-07,239915
2015-05-08,239915
2015-05-09,239915
2015-05-10,239915
2015-05-11,239915
2015-05-12,239915
2015-05-13,239915
2015-05-14,239915
2015-05-15,239915
2015-05-16,239915
2015-05-17,239915
2015-05-18,239915
2015-05-19,239915
2015-05-20,239915
2015-05-21,239915
2015-05-22,239915
2015-05-23,239915
2015-05-24,239915
2015-05-25,239915
2015-05-26,239915
2015-05-27,239915
2015-05-28,239915
2015-05-29,239915
2015-05-30,239915
2015-05-31,239915
2015-06-01,239915
2015-06-02,239915
2015-06-03,239915
2015-06-04,239915
2015-06-05,239915
2015-06-06,239915
2015-06-07,239915
2015-06-08,239915
2015-06-09,239915
2015-06-10,228632
2015-06-11,228632
2015-06-12,228632
2015-06-13,228632
2015-06-14,228632
2015-06-15,228632
2015-06-16,228632
2015-06-17,228632
2015-06-18,228632
2015-06-19,228632
2015-06-20,228632
2015-06-21,228632
2015-06-22,228632
2015-06-23,228632
2015-06-24,228632
2015-06-25,228632
2015-06-26,228632
2015-06-27,228632
2015-06-28,228632
2015-06-29,228632
2015-06-30,228632
2015-07-01,228632
2015-07-02,228632
2015-07-03,228632
2015-07-04,228632
2015-07-05,228632
2015-07-06,228632
2015-07-07,228632
2015-07-08,228632
2015-07-09,228632
2015-07-10,228632
2015-07-11,228632
2015-07-12,228632
2015-07-13,228632
2015-07-14,228632
2015-07-15,228632
2015-07-16,228632
2015-07-17,228632
2015-07-18,228632
2015-07-19,228632
2015-07-20,218496
2015-07-21,218496
2015-07-22,218496
2015-07-23,218496
2015-07-24,218496
2015-07-25,218496
2015-07-26,218496
2015-07-27,218496
2015-07-28,218496
2015-07-29,218496
2015-07-30,218496
2015-07-31,218496
2015-08-01,218496
2015-08-02,218496
2015-08-03,218496
2015-08-04,218496
2015-08-05,218496
2015-08-06,218496
2015-08-07,218496
2015-08-08,218496
2015-08-09,218496
2015-08-10,218496
2015-08-11,218496
2015-08-12,218496
2015-08-13,218496
2015-08-14,218496
2015-08-15,218496
2015-08-16,218496
2015-08-17,218496
2015-08-18,218496
2015-08-19,218496
2015-08-20,218496
2015-08-21,218496
2015-08-22,218496
2015-08-23,208144
2015-08-24,208144
2015-08-25,208144
2015-08-26,208144
2015-08-27,208144
2015-08-28,208144
2015-08-29,208144
2015-08-30,208144
2015-08-31,208144
2015-09-01,208144
2015-09-02,208144
2015-09-03,208144
2015-09-04,208144
2015-09-05,208144
2015-09-06,208144
2015-09-07,208144
2015-09-08,208144
2015-09-09,208144
2015-09-10,208144
2015-09-11,208144
2015-09-12,208144
2015-09-13,208144
2015-09-14,208144
2015-09-15,208144
2015-09-16,208144
2015-09-17,208144
2015-09-18,208144
2015-09-19,208144
2015-09-20,208144
2015-09-21,208144
2015-09-22,208144
2015-09-23,208144
2015-09-24,208144
2015-09-25,208144
2015-09-27,199447
2015-09-28,199447
2015-09-29,199447
2015-09-30,199447
2015-10-05,199447
2015-10-06,199447
2015-10-07,199447
2015-10-08,199447
2015-10-09,199447
2015-10-10,199447
2015-10-11,199447
2015-10-12,199447
2015-10-13,199447
2015-10-14,199447
2015-10-15,199447
2015-10-16,199447
2015-10-17,199447
2015-10-18,199447
2015-10-19,199447
2015-10-20,199447
2015-10-22,199447
2015-10-23,199447
2015-10-24,199447
2015-10-25,199447
2015-10-26,199447
2015-10-27,199447
2015-10-28,199447
2015-10-29,193069
2015-10-30,193069
2015-10-31,193069
2015-11-01,193069
2015-11-02,193069
2015-11-03,193069
2015-11-04,193069
2015-11-05,193069
2015-11-06,193069
2015-11-07,193069
2015-11-08,193069
2015-11-09,193069
2015-11-10,193069
2015-11-11,193069
2015-11-12,193069
2015-11-13,193069
2015-11-14,193069
2015-11-15,193069
2015-11-16,193069
2015-11-17,193069
2015-11-18,193069
2015-11-19,193069
2015-11-20,193069
2015-11-21,193069
2015-11-22,193069
2015-11-23,193069
2015-11-24,193069
2015-11-25,193069
2015-11-26,193069
2015-11-27,185291
2015-11-28,185291
2015-11-29,185291
2015-11-30,185291
2015-12-01,185291
2015-12-02,185291
2015-12-03,185291
2015-12-04,185291
2015-12-05,185291
2015-12-06,185291
2015-12-07,185291
2015-12-08,185291
2015-12-09,185291
2015-12-10,185291
2015-12-11,185291
2015-12-12,185291
2015-12-13,185291
2015-12-14,185291
2015-12-15,185291
2015-12-16,185291
2015-12-17,185291
2015-12-18,185291
2015-12-19,185291
2015-12-20,185291
2015-12-21,185291
2015-12-22,185291
2015-12-23,185291
2015-12-24,185291
2015-12-25,185291
2015-12-26,185291
2015-12-27,187420
2015-12-28,187420
2015-12-29,187420
2015-12-30,187420
2015-12-31,187420
2016-01-01,187420
2016-01-02,187420
2016-01-03,187420
2016-01-04,187420
2016-01-05,187420
2016-01-06,187420
2016-01-07,187420
2016-01-08,187420
2016-01-09,187420
2016-01-10,187420
2016-01-11,187420
2016-01-12,187420
2016-01-13,187420
2016-01-14,187420
2016-01-15,187420
2016-01-16,187420
2016-01-17,187420
2016-01-18,187420
2016-01-19,187420
