date_obj,Adamant%20javelin price
2015-03-26,39
2015-03-27,39
2015-03-28,39
2015-03-29,38
2015-03-30,38
2015-03-31,38
2015-04-01,36
2015-04-02,36
2015-04-03,36
2015-04-04,36
2015-04-05,36
2015-04-06,36
2015-04-07,36
2015-04-08,36
2015-04-09,36
2015-04-10,36
2015-04-11,38
2015-04-12,38
2015-04-13,38
2015-04-14,38
2015-04-15,38
2015-04-16,38
2015-04-17,38
2015-04-18,36
2015-04-19,36
2015-04-20,36
2015-04-21,36
2015-04-22,36
2015-04-23,36
2015-04-24,35
2015-04-25,35
2015-04-26,35
2015-04-27,33
2015-04-28,33
2015-04-29,33
2015-04-30,32
2015-05-01,32
2015-05-02,32
2015-05-03,30
2015-05-04,30
2015-05-05,30
2015-05-06,31
2015-05-07,31
2015-05-08,31
2015-05-09,33
2015-05-10,33
2015-05-11,33
2015-05-12,35
2015-05-13,35
2015-05-14,35
2015-05-15,37
2015-05-16,37
2015-05-17,37
2015-05-18,39
2015-05-19,39
2015-05-20,39
2015-05-21,39
2015-05-22,41
2015-05-23,41
2015-05-24,41
2015-05-25,44
2015-05-26,44
2015-05-27,44
2015-05-28,46
2015-05-29,46
2015-05-30,46
2015-05-31,46
2015-06-01,44
2015-06-02,44
2015-06-03,44
2015-06-04,42
2015-06-05,42
2015-06-06,39
2015-06-07,39
2015-06-08,39
2015-06-09,39
2015-06-10,39
2015-06-11,39
2015-06-12,41
2015-06-13,41
2015-06-14,41
2015-06-15,43
2015-06-16,43
2015-06-17,43
2015-06-18,46
2015-06-19,46
2015-06-20,46
2015-06-21,49
2015-06-22,49
2015-06-23,49
2015-06-24,48
2015-06-25,48
2015-06-26,48
2015-06-27,47
2015-06-28,47
2015-06-29,47
2015-06-30,47
2015-07-01,47
2015-07-02,47
2015-07-03,47
2015-07-04,46
2015-07-05,46
2015-07-06,46
2015-07-07,47
2015-07-08,47
2015-07-09,47
2015-07-10,47
2015-07-11,47
2015-07-12,47
2015-07-13,46
2015-07-14,46
2015-07-15,45
2015-07-16,45
2015-07-17,45
2015-07-18,44
2015-07-19,44
2015-07-20,44
2015-07-21,43
2015-07-22,43
2015-07-23,43
2015-07-24,40
2015-07-25,40
2015-07-26,40
2015-07-27,39
2015-07-28,39
2015-07-29,39
2015-07-30,39
2015-07-31,39
2015-08-01,39
2015-08-02,41
2015-08-03,41
2015-08-04,41
2015-08-05,42
2015-08-06,42
2015-08-07,42
2015-08-08,43
2015-08-09,43
2015-08-10,43
2015-08-11,43
2015-08-12,43
2015-08-13,43
2015-08-14,43
2015-08-15,43
2015-08-16,43
2015-08-17,43
2015-08-18,45
2015-08-19,45
2015-08-20,45
2015-08-21,45
2015-08-22,47
2015-08-23,47
2015-08-24,47
2015-08-25,47
2015-08-26,47
2015-08-27,48
2015-08-28,48
2015-08-29,48
2015-08-30,48
2015-08-31,51
2015-09-01,51
2015-09-02,51
2015-09-03,51
2015-09-04,52
2015-09-05,52
2015-09-06,52
2015-09-07,52
2015-09-08,52
2015-09-09,52
2015-09-10,52
2015-09-11,52
2015-09-12,50
2015-09-13,50
2015-09-14,48
2015-09-15,48
2015-09-16,48
2015-09-17,45
2015-09-18,45
2015-09-19,45
2015-09-20,44
2015-09-21,44
2015-09-22,44
2015-09-23,43
2015-09-24,43
2015-09-25,43
2015-09-27,42
2015-09-28,42
2015-09-29,42
2015-09-30,42
2015-10-05,42
2015-10-06,42
2015-10-07,42
2015-10-08,42
2015-10-09,42
2015-10-10,42
2015-10-11,42
2015-10-12,42
2015-10-13,42
2015-10-14,42
2015-10-15,43
2015-10-16,43
2015-10-17,43
2015-10-18,44
2015-10-19,44
2015-10-20,44
2015-10-22,45
2015-10-23,45
2015-10-24,47
2015-10-25,47
2015-10-26,49
