date_obj,Adamant%20knife price
2015-03-26,166
2015-03-27,166
2015-03-28,174
2015-03-29,182
2015-03-30,191
2015-03-31,200
2015-04-01,200
2015-04-02,210
2015-04-03,220
2015-04-04,230
2015-04-05,230
2015-04-06,242
2015-04-07,253
2015-04-08,253
2015-04-09,266
2015-04-10,277
2015-04-11,290
2015-04-12,303
2015-04-13,318
2015-04-14,318
2015-04-15,334
2015-04-16,334
2015-04-17,351
2015-04-18,369
2015-04-19,387
2015-04-20,387
2015-04-21,407
2015-04-22,407
2015-04-23,417
2015-04-24,417
2015-04-25,417
2015-04-26,409
2015-04-27,426
2015-04-28,413
2015-04-29,413
2015-04-30,409
2015-05-01,415
2015-05-02,433
2015-05-03,433
2015-05-04,419
2015-05-05,433
2015-05-06,429
2015-05-07,420
2015-05-08,420
2015-05-09,432
2015-05-10,418
2015-05-11,418
2015-05-12,409
2015-05-13,409
2015-05-14,398
2015-05-15,398
2015-05-16,386
2015-05-17,376
2015-05-18,381
2015-05-19,381
2015-05-20,401
2015-05-21,401
2015-05-22,422
2015-05-23,422
2015-05-24,432
2015-05-25,432
2015-05-26,432
2015-05-27,440
2015-05-28,448
2015-05-29,434
2015-05-30,412
2015-05-31,394
2015-06-01,396
2015-06-02,396
2015-06-03,408
2015-06-04,417
2015-06-05,427
2015-06-06,434
2015-06-07,422
2015-06-08,422
2015-06-09,400
2015-06-10,400
2015-06-11,399
2015-06-12,406
2015-06-13,406
2015-06-14,391
2015-06-15,394
2015-06-16,386
2015-06-17,394
2015-06-18,396
2015-06-19,398
2015-06-20,401
2015-06-21,406
2015-06-22,418
2015-06-23,421
2015-06-24,438
2015-06-25,438
2015-06-26,432
2015-06-27,432
2015-06-28,421
2015-06-29,425
2015-06-30,419
2015-07-01,432
2015-07-02,432
2015-07-03,431
2015-07-04,415
2015-07-05,411
2015-07-06,406
2015-07-07,402
2015-07-08,407
2015-07-09,407
2015-07-10,409
2015-07-11,404
2015-07-12,406
2015-07-13,416
2015-07-14,406
2015-07-15,409
2015-07-16,422
2015-07-17,416
2015-07-18,416
2015-07-19,422
2015-07-20,428
2015-07-21,420
2015-07-22,409
2015-07-23,409
2015-07-24,404
2015-07-25,405
2015-07-26,410
2015-07-27,405
2015-07-28,403
2015-07-29,394
2015-07-30,393
2015-07-31,393
2015-08-01,404
2015-08-02,417
2015-08-03,434
2015-08-04,430
2015-08-05,420
2015-08-06,415
2015-08-07,410
2015-08-08,419
2015-08-09,415
2015-08-10,409
2015-08-11,400
2015-08-12,400
2015-08-13,399
2015-08-14,410
2015-08-15,415
2015-08-16,400
2015-08-17,409
2015-08-18,406
2015-08-19,409
2015-08-20,407
2015-08-21,415
2015-08-22,429
2015-08-23,444
2015-08-24,464
2015-08-25,464
2015-08-26,444
2015-08-27,432
2015-08-28,417
2015-08-29,401
2015-08-30,395
2015-08-31,387
2015-09-01,382
2015-09-02,382
2015-09-03,381
2015-09-04,386
2015-09-05,377
2015-09-06,371
2015-09-07,379
2015-09-08,382
2015-09-09,397
2015-09-10,399
2015-09-11,407
2015-09-12,424
2015-09-13,443
2015-09-14,446
2015-09-15,424
2015-09-16,409
2015-09-17,400
2015-09-18,407
2015-09-19,409
2015-09-20,397
2015-09-21,382
2015-09-22,376
2015-09-23,385
2015-09-24,385
2015-09-25,401
2015-09-27,383
2015-09-28,377
2015-09-29,386
2015-09-30,383
2015-10-05,418
2015-10-06,403
2015-10-07,397
2015-10-08,395
2015-10-09,385
2015-10-10,385
2015-10-11,386
2015-10-12,403
2015-10-13,403
2015-10-14,399
2015-10-15,413
2015-10-16,432
2015-10-17,432
2015-10-18,447
2015-10-19,453
2015-10-20,458
2015-10-22,443
2015-10-23,440
