date_obj,Adamant%20platebody%20(h2) price
2019-04-11,62000
2019-04-11,58967
2019-04-12,56018
2019-04-13,53217
2019-04-14,50556
2019-04-15,48280
2019-04-16,45866
2019-04-17,43867
2019-04-18,41673
2019-04-19,39739
2019-04-20,37957
2019-04-21,36147
2019-04-22,34470
2019-04-23,32840
2019-04-24,31406
2019-04-25,29931
2019-04-26,28526
2019-04-27,27234
2019-04-28,25931
2019-04-29,24718
2019-04-30,23540
2019-05-01,22457
2019-05-02,21401
2019-05-03,20450
2019-05-04,19553
2019-05-05,18704
2019-05-06,17862
2019-05-07,17064
2019-05-08,16322
2019-05-09,16322
2019-05-10,15601
2019-05-11,14943
2019-05-12,14302
2019-05-13,13696
2019-05-14,13112
2019-05-15,13112
2019-05-16,12590
2019-05-17,12590
2019-05-18,11960
2019-05-19,11960
2019-05-20,11427
2019-05-21,11427
2019-05-22,10955
2019-05-23,10955
2019-05-24,10482
2019-05-25,10482
2019-05-26,9961
2019-05-27,9961
2019-05-28,9555
2019-05-29,9555
2019-05-30,9546
2019-05-31,9546
2019-06-01,9569
2019-06-02,9569
2019-06-03,9679
2019-06-04,9679
2019-06-05,9579
2019-06-06,9579
2019-06-07,9579
2019-06-08,9618
2019-06-09,9618
2019-06-10,9618
2019-06-11,9599
2019-06-12,9599
2019-06-13,9669
2019-06-14,9669
2019-06-15,9669
2019-06-16,9631
2019-06-17,9631
2019-06-18,9631
2019-06-19,9593
2019-06-20,9593
2019-06-21,9702
2019-06-22,9702
2019-06-23,9702
2019-06-24,9598
2019-06-25,9598
2019-06-26,9598
2019-06-27,9554
2019-06-28,9554
2019-06-29,9554
2019-06-30,9607
2019-07-01,9607
2019-07-02,9607
2019-07-03,9291
2019-07-04,9291
2019-07-05,9291
2019-07-06,9325
2019-07-07,9325
2019-07-08,9386
2019-07-09,9386
2019-07-10,9493
2019-07-11,9493
2019-07-12,9551
2019-07-13,9551
2019-07-14,9483
2019-07-15,9483
2019-07-16,9483
2019-07-17,9456
2019-07-18,9456
2019-07-19,9456
2019-07-20,9532
2019-07-21,9532
2019-07-22,9563
2019-07-23,9563
2019-07-24,9563
2019-07-25,9503
2019-07-26,9503
2019-07-27,9503
2019-07-28,9479
2019-07-29,9479
2019-07-30,9467
2019-07-31,9467
2019-08-01,9490
2019-08-02,9490
2019-08-03,9515
2019-08-04,9515
2019-08-05,9515
2019-08-06,9493
2019-08-07,9493
2019-08-08,9493
2019-08-09,9360
2019-08-10,9360
2019-08-11,9471
2019-08-12,9471
2019-08-13,9499
2019-08-14,9499
2019-08-15,9499
2019-08-16,9467
2019-08-17,9467
2019-08-18,9467
2019-08-19,9474
2019-08-20,9474
2019-08-21,9474
2019-08-22,9456
2019-08-23,9456
2019-08-24,9456
2019-08-24,9456
2019-08-25,9482
2019-08-25,9482
2019-08-26,9482
2019-08-26,9482
2019-08-27,9482
2019-08-27,9482
2019-08-28,9525
2019-08-29,9525
2019-08-30,9525
2019-08-31,9567
2019-09-01,9567
2019-09-02,9567
2019-09-03,9471
2019-09-04,9471
2019-09-05,9471
2019-09-06,9471
2019-09-07,9473
2019-09-08,9473
2019-09-09,9473
2019-09-10,9535
2019-09-11,9535
2019-09-12,9535
2019-09-13,9596
2019-09-14,9596
2019-09-15,9596
2019-09-16,9363
2019-09-17,9363
2019-09-18,9414
2019-09-19,9414
2019-09-20,9414
2019-09-21,9544
2019-09-22,9544
2019-09-23,9544
2019-09-24,9533
2019-09-25,9533
2019-09-26,9533
2019-09-27,9520
2019-09-28,9520
2019-09-29,9520
2019-09-30,9534
2019-10-01,9534
2019-10-02,9534
2019-10-03,9576
2019-10-04,9576
2019-10-05,9576
2019-10-06,9483
2019-10-07,9483
2019-10-08,9483
2019-10-09,9483
2019-10-10,9554
2019-10-11,9554
2019-10-12,9554
2019-10-13,9488
2019-10-14,9488
2019-10-15,9488
2019-10-16,9611
2019-10-17,9611
2019-10-18,9611
2019-10-19,9438
2019-10-20,9438
2019-10-21,9438
2019-10-22,9438
2019-10-23,9274
2019-10-24,9274
2019-10-25,9274
2019-10-26,9211
2019-10-27,9211
2019-10-28,9211
2019-10-29,9312
2019-10-30,9312
2019-10-31,9312
2019-11-01,9401
2019-11-02,9401
2019-11-03,9401
2019-11-04,9209
2019-11-05,9209
2019-11-06,9209
2019-11-07,9209
2019-11-08,8979
2019-11-09,8979
2019-11-10,9075
2019-11-11,9075
2019-11-12,9075
2019-11-13,9205
2019-11-14,9205
2019-11-15,9205
2019-11-16,9327
2019-11-17,9327
2019-11-18,9327
2019-11-19,9376
2019-11-20,9376
2019-11-21,9376
2019-11-22,9367
2019-11-23,9367
2019-11-24,9367
2019-11-25,9340
2019-11-26,9340
2019-11-27,9340
2019-11-28,9372
2019-11-29,9372
2019-11-30,9372
2019-12-01,9428
2019-12-02,9428
2019-12-03,9428
2019-12-04,9428
2019-12-05,9455
2019-12-06,9455
2019-12-07,9455
2019-12-08,9455
2019-12-09,9456
2019-12-10,9456
2019-12-11,9456
2019-12-12,9456
2019-12-13,9398
2019-12-14,9398
2019-12-15,9398
2019-12-16,9431
2019-12-17,9431
2019-12-18,9431
2019-12-19,9431
2019-12-20,9465
2019-12-21,9465
2019-12-22,9465
2019-12-23,9443
2019-12-24,9443
2019-12-25,9443
2019-12-26,9522
2019-12-27,9522
2019-12-28,9522
2019-12-29,9461
2019-12-30,9461
2019-12-31,9461
2020-01-01,9461
2020-01-02,9506
2020-01-03,9506
2020-01-04,9506
2020-01-05,9302
2020-01-06,9302
2020-01-07,9302
2020-01-08,9384
2020-01-09,9384
2020-01-10,9384
2020-01-11,9388
2020-01-12,9388
2020-01-13,9388
2020-01-14,9388
2020-01-15,9446
2020-01-16,9446
2020-01-17,9446
2020-01-18,9466
2020-01-19,9466
2020-01-20,9552
2020-01-21,9552
2020-01-22,9552
2020-01-23,9422
2020-01-24,9422
2020-01-25,9422
2020-01-26,9367
2020-01-27,9367
2020-01-28,9367
