date_obj,Adamant%20platebody%20(t) price
2015-03-26,23281
2015-03-27,23281
2015-03-28,23281
2015-03-29,23281
2015-03-30,22283
2015-03-31,22283
2015-04-01,22283
2015-04-02,22283
2015-04-03,22283
2015-04-04,21302
2015-04-05,21302
2015-04-06,21302
2015-04-07,21302
2015-04-08,21302
2015-04-09,20376
2015-04-10,20376
2015-04-11,20376
2015-04-12,20376
2015-04-13,20376
2015-04-14,19443
2015-04-15,19443
2015-04-16,19443
2015-04-17,19443
2015-04-18,19443
2015-04-19,18569
2015-04-20,18569
2015-04-21,18569
2015-04-22,18569
2015-04-23,18569
2015-04-24,18569
2015-04-25,17721
2015-04-26,17721
2015-04-27,17721
2015-04-28,17721
2015-04-29,17721
2015-04-30,16903
2015-05-01,16903
2015-05-02,16903
2015-05-03,16903
2015-05-04,16903
2015-05-05,16128
2015-05-06,16128
2015-05-07,16128
2015-05-08,16128
2015-05-09,16128
2015-05-10,15424
2015-05-11,15424
2015-05-12,15424
2015-05-13,15424
2015-05-14,15424
2015-05-15,14747
2015-05-16,14747
2015-05-17,14747
2015-05-18,14747
2015-05-19,14747
2015-05-20,14204
2015-05-21,14204
2015-05-22,14204
2015-05-23,14204
2015-05-24,14204
2015-05-25,13646
2015-05-26,13646
2015-05-27,13646
2015-05-28,13646
2015-05-29,13106
2015-05-30,13106
2015-05-31,13106
2015-06-01,12640
2015-06-02,12640
2015-06-03,12640
2015-06-04,12640
2015-06-05,12640
2015-06-06,12264
2015-06-07,12264
2015-06-08,12264
2015-06-09,12264
2015-06-10,12131
2015-06-11,12131
2015-06-12,12131
2015-06-13,12131
2015-06-14,12131
2015-06-15,12112
2015-06-16,12112
2015-06-17,12112
2015-06-18,12112
2015-06-19,12167
2015-06-20,12167
2015-06-21,12167
2015-06-22,12167
2015-06-23,11935
2015-06-24,11935
2015-06-25,11935
2015-06-26,11935
2015-06-27,11940
2015-06-28,11940
2015-06-29,11940
2015-06-30,11940
2015-07-01,11631
2015-07-02,11631
2015-07-03,11631
2015-07-04,11631
2015-07-05,11688
2015-07-06,11688
2015-07-07,11688
2015-07-08,11688
2015-07-09,11688
2015-07-10,11708
2015-07-11,11708
2015-07-12,11708
2015-07-13,11708
2015-07-14,11708
2015-07-15,11550
2015-07-16,11550
2015-07-17,11550
2015-07-18,11550
2015-07-19,11550
2015-07-20,11723
2015-07-21,11723
2015-07-22,11723
2015-07-23,11723
2015-07-24,11898
2015-07-25,11898
2015-07-26,11898
2015-07-27,11898
2015-07-28,12372
2015-07-29,12372
2015-07-30,12372
2015-07-31,12372
2015-08-01,12392
2015-08-02,12392
2015-08-03,12392
2015-08-04,12392
2015-08-05,12151
2015-08-06,12151
2015-08-07,12151
2015-08-08,12151
2015-08-09,11817
2015-08-10,11817
2015-08-11,11817
2015-08-12,11817
2015-08-13,11931
2015-08-14,11931
2015-08-15,11931
2015-08-16,11931
2015-08-17,12022
2015-08-18,12022
2015-08-19,12022
2015-08-20,12022
2015-08-21,12156
2015-08-22,12156
2015-08-23,12156
2015-08-24,12156
2015-08-25,12156
2015-08-26,12156
2015-08-27,12526
2015-08-28,12526
2015-08-29,12526
2015-08-30,12526
2015-08-31,12526
2015-09-01,13000
2015-09-02,13000
2015-09-03,13000
2015-09-04,13000
2015-09-05,13000
2015-09-06,13435
2015-09-07,13435
2015-09-08,13435
2015-09-09,13435
2015-09-10,13768
2015-09-11,13768
2015-09-12,13768
2015-09-13,13768
2015-09-14,13768
2015-09-15,14222
2015-09-16,14222
2015-09-17,14222
2015-09-18,14222
2015-09-19,14222
2015-09-20,14645
2015-09-21,14645
2015-09-22,14645
2015-09-23,14645
2015-09-24,14645
2015-09-25,14567
2015-09-27,14567
2015-09-28,14567
2015-09-29,14567
2015-09-30,14795
2015-10-05,15183
2015-10-06,15183
2015-10-07,15183
2015-10-08,15183
2015-10-09,15183
2015-10-10,15183
2015-10-11,15365
2015-10-12,15365
2015-10-13,15365
2015-10-14,15365
2015-10-15,15365
2015-10-16,15540
2015-10-17,15540
2015-10-18,15540
2015-10-19,15540
2015-10-20,15540
2015-10-22,15549
2015-10-23,15549
2015-10-24,15549
2015-10-25,15549
2015-10-26,15457
2015-10-27,15457
2015-10-28,15457
2015-10-29,15457
2015-10-30,15457
2015-10-31,15298
2015-11-01,15298
2015-11-02,15298
2015-11-03,15298
2015-11-04,15298
2015-11-05,15298
2015-11-06,15355
2015-11-07,15355
2015-11-08,15355
2015-11-09,15355
2015-11-10,15355
2015-11-11,15323
2015-11-12,15323
2015-11-13,15323
2015-11-14,15323
2015-11-15,15323
2015-11-16,15693
2015-11-17,15693
2015-11-18,15693
2015-11-19,15693
2015-11-20,15667
2015-11-21,15667
2015-11-22,15667
2015-11-23,15667
2015-11-24,15667
2015-11-25,15485
2015-11-26,15485
2015-11-27,15485
2015-11-28,15485
2015-11-29,15173
2015-11-30,15173
2015-12-01,15173
2015-12-02,15173
2015-12-03,15620
2015-12-04,15620
2015-12-05,15620
2015-12-06,15620
2015-12-07,15620
2015-12-08,15504
2015-12-09,15504
2015-12-10,15504
2015-12-11,15504
2015-12-12,15964
2015-12-13,15964
2015-12-14,15964
2015-12-15,15964
2015-12-16,16341
2015-12-17,16341
2015-12-18,16341
2015-12-19,16341
2015-12-20,16567
2015-12-21,16567
2015-12-22,16567
2015-12-23,16567
2015-12-24,16567
2015-12-25,16130
2015-12-26,16130
2015-12-27,16130
2015-12-28,16130
2015-12-29,15771
2015-12-30,15771
2015-12-31,15771
2016-01-01,15771
2016-01-02,15771
2016-01-03,15694
2016-01-04,15694
2016-01-05,15694
2016-01-06,15694
2016-01-07,15561
2016-01-08,15561
2016-01-09,15561
2016-01-10,15561
2016-01-11,15561
2016-01-12,15474
2016-01-13,15474
2016-01-14,15474
2016-01-15,15474
2016-01-16,15959
2016-01-17,15959
2016-01-18,15959
2016-01-19,15959
2016-01-20,16271
2016-01-21,16271
2016-01-22,16271
2016-01-23,16271
2016-01-24,15942
2016-01-25,15942
2016-01-26,15942
2016-01-27,15394
2016-01-28,15394
2016-01-29,15394
2016-01-30,15394
2016-01-31,15214
2016-02-01,15214
2016-02-02,15214
2016-02-03,14747
2016-02-04,14747
2016-02-05,14747
2016-02-06,14747
2016-02-07,14620
2016-02-08,14620
2016-02-09,14620
2016-02-10,14620
2016-02-11,14489
2016-02-12,14489
2016-02-13,14489
2016-02-14,14489
2016-02-15,14386
2016-02-16,14386
2016-02-17,14386
2016-02-18,14386
2016-02-19,14005
2016-02-20,14005
2016-02-21,14005
2016-02-22,13726
2016-02-23,13726
2016-02-24,13726
2016-02-25,13726
2016-02-26,13645
2016-02-27,13645
2016-02-28,13645
2016-02-29,13259
2016-03-01,13259
2016-03-02,13259
2016-03-03,13394
2016-03-04,13394
2016-03-05,13394
2016-03-06,13488
2016-03-07,13488
2016-03-08,13488
2016-03-09,13488
2016-03-10,13352
2016-03-11,13352
2016-03-12,13352
2016-03-13,13352
2016-03-14,13303
2016-03-15,13303
2016-03-16,13303
2016-03-17,13303
2016-03-18,13060
2016-03-19,13060
2016-03-20,13060
2016-03-21,13060
2016-03-22,12654
2016-03-23,12654
2016-03-24,12654
2016-03-25,12316
2016-03-26,12316
2016-03-27,12316
2016-03-28,11905
2016-03-29,11905
2016-03-30,11905
2016-03-31,11905
2016-04-01,11840
2016-04-02,11840
2016-04-03,11840
2016-04-04,11836
2016-04-05,11836
2016-04-06,11836
2016-04-07,11836
2016-04-08,11956
2016-04-09,11956
2016-04-10,11956
