date_obj,Adamant%20platelegs price
2015-03-26,3635
2015-03-27,3623
2015-03-28,3647
2015-03-29,3613
2015-03-30,3620
2015-03-31,3646
2015-04-01,3672
2015-04-02,3662
2015-04-03,3673
2015-04-04,3683
2015-04-05,3617
2015-04-06,3581
2015-04-07,3597
2015-04-08,3604
2015-04-09,3609
2015-04-10,3646
2015-04-11,3628
2015-04-12,3638
2015-04-13,3664
2015-04-14,3644
2015-04-15,3639
2015-04-16,3665
2015-04-17,3655
2015-04-18,3658
2015-04-19,3625
2015-04-20,3632
2015-04-21,3620
2015-04-22,3608
2015-04-23,3633
2015-04-24,3653
2015-04-25,3629
2015-04-26,3629
2015-04-27,3621
2015-04-28,3641
2015-04-29,3635
2015-04-30,3684
2015-05-01,3657
2015-05-02,3618
2015-05-03,3614
2015-05-04,3616
2015-05-05,3627
2015-05-06,3642
2015-05-07,3619
2015-05-08,3679
2015-05-09,3623
2015-05-10,3614
2015-05-11,3616
2015-05-12,3618
2015-05-13,3604
2015-05-14,3610
2015-05-15,3618
2015-05-16,3635
2015-05-17,3607
2015-05-18,3596
2015-05-19,3635
2015-05-20,3651
2015-05-21,3637
2015-05-22,3626
2015-05-23,3624
2015-05-24,3629
2015-05-25,3609
2015-05-26,3608
2015-05-27,3619
2015-05-28,3641
2015-05-29,3631
2015-05-30,3631
2015-05-31,3634
2015-06-01,3684
2015-06-02,3658
2015-06-03,3637
2015-06-04,3662
2015-06-05,3662
2015-06-06,3628
2015-06-07,3634
2015-06-08,3644
2015-06-09,3668
2015-06-10,3647
2015-06-11,3639
2015-06-12,3646
2015-06-13,3637
2015-06-14,3651
2015-06-15,3656
2015-06-16,3702
2015-06-17,3693
2015-06-18,3631
2015-06-19,3685
2015-06-20,3673
2015-06-21,3643
2015-06-22,3663
2015-06-23,3648
2015-06-24,3663
2015-06-25,3681
2015-06-26,3662
2015-06-27,3660
2015-06-28,3660
2015-06-29,3632
2015-06-30,3619
2015-07-01,3632
2015-07-02,3652
2015-07-03,3668
2015-07-04,3662
2015-07-05,3633
2015-07-06,3605
2015-07-07,3603
2015-07-08,3646
2015-07-09,3649
2015-07-10,3662
2015-07-11,3699
2015-07-12,3674
2015-07-13,3666
2015-07-14,3633
2015-07-15,3623
2015-07-16,3664
2015-07-17,3650
2015-07-18,3639
2015-07-19,3602
2015-07-20,3594
2015-07-21,3601
2015-07-22,3638
2015-07-23,3609
2015-07-24,3660
2015-07-25,3641
2015-07-26,3649
2015-07-27,3581
2015-07-28,3656
2015-07-29,3682
2015-07-30,3695
2015-07-31,3703
2015-08-01,3677
2015-08-02,3680
2015-08-03,3645
2015-08-04,3691
2015-08-05,3671
2015-08-06,3642
2015-08-07,3600
2015-08-08,3626
2015-08-09,3656
2015-08-10,3686
2015-08-11,3666
2015-08-12,3651
2015-08-13,3620
2015-08-14,3649
2015-08-15,3640
2015-08-16,3650
2015-08-17,3657
2015-08-18,3636
2015-08-19,3656
2015-08-20,3635
2015-08-21,3637
2015-08-22,3636
2015-08-23,3667
2015-08-24,3666
2015-08-25,3677
2015-08-26,3701
2015-08-27,3673
2015-08-28,3687
2015-08-29,3650
2015-08-30,3664
2015-08-31,3642
2015-09-01,3578
2015-09-02,3609
2015-09-03,3652
2015-09-04,3654
2015-09-05,3672
2015-09-06,3661
2015-09-07,3678
2015-09-08,3673
2015-09-09,3664
2015-09-10,3657
2015-09-11,3653
2015-09-12,3634
2015-09-13,3644
2015-09-14,3680
2015-09-15,3674
2015-09-16,3710
2015-09-17,3660
2015-09-18,3687
2015-09-19,3673
2015-09-20,3672
2015-09-21,3674
2015-09-22,3691
2015-09-23,3675
2015-09-24,3712
2015-09-25,3692
2015-09-27,3702
2015-09-28,3668
2015-09-29,3656
2015-09-30,3649
2015-10-05,3721
2015-10-06,3702
2015-10-07,3664
2015-10-08,3678
2015-10-09,3676
2015-10-10,3656
2015-10-11,3672
2015-10-12,3682
2015-10-13,3681
2015-10-14,3650
2015-10-15,3673
2015-10-16,3647
2015-10-17,3652
2015-10-18,3681
2015-10-19,3695
2015-10-20,3682
2015-10-22,3725
2015-10-23,3686
2015-10-24,3686
2015-10-25,3651
2015-10-26,3663
2015-10-27,3662
2015-10-28,3647
2015-10-29,3665
2015-10-30,3671
2015-10-31,3674
2015-11-01,3710
2015-11-02,3681
2015-11-03,3652
2015-11-04,3704
2015-11-05,3662
2015-11-06,3638
2015-11-07,3648
2015-11-08,3680
2015-11-09,3690
2015-11-10,3676
2015-11-11,3645
2015-11-12,3659
2015-11-13,3674
2015-11-14,3698
2015-11-15,3705
2015-11-16,3721
2015-11-17,3673
2015-11-18,3712
2015-11-19,3657
2015-11-20,3712
2015-11-21,3689
2015-11-22,3705
2015-11-23,3665
2015-11-24,3647
2015-11-25,3709
2015-11-26,3709
2015-11-27,3721
2015-11-28,3768
2015-11-29,3643
2015-11-30,3721
2015-12-01,3689
2015-12-02,3720
2015-12-03,3772
