date_obj,Adamant%20plateskirt%20(g) price
2015-03-26,14700
2015-03-27,14700
2015-03-28,14700
2015-03-29,14700
2015-03-30,14700
2015-03-31,14015
2015-04-01,14015
2015-04-02,14015
2015-04-03,14015
2015-04-04,14015
2015-04-05,14015
2015-04-06,13370
2015-04-07,13370
2015-04-08,13370
2015-04-09,13370
2015-04-10,13370
2015-04-11,13370
2015-04-12,12758
2015-04-13,12758
2015-04-14,12758
2015-04-15,12758
2015-04-16,12758
2015-04-17,12758
2015-04-18,12170
2015-04-19,12170
2015-04-20,12170
2015-04-21,12170
2015-04-22,12170
2015-04-23,11602
2015-04-24,11602
2015-04-25,11602
2015-04-26,11602
2015-04-27,11602
2015-04-28,11066
2015-04-29,11066
2015-04-30,11066
2015-05-01,11066
2015-05-02,11066
2015-05-03,10570
2015-05-04,10570
2015-05-05,10570
2015-05-06,10570
2015-05-07,10080
2015-05-08,10080
2015-05-09,10080
2015-05-10,10080
2015-05-11,10080
2015-05-12,9622
2015-05-13,9622
2015-05-14,9622
2015-05-15,9622
2015-05-16,9622
2015-05-17,9179
2015-05-18,9179
2015-05-19,9179
2015-05-20,9179
2015-05-21,9179
2015-05-22,9179
2015-05-23,8771
2015-05-24,8771
2015-05-25,8771
2015-05-26,8771
2015-05-27,8771
2015-05-28,8332
2015-05-29,8332
2015-05-30,8332
2015-05-31,7959
2015-06-01,7959
2015-06-02,7959
2015-06-03,7959
2015-06-04,7596
2015-06-05,7596
2015-06-06,7596
2015-06-07,7596
2015-06-08,7244
2015-06-09,7244
2015-06-10,7244
2015-06-11,7244
2015-06-12,6907
2015-06-13,6907
2015-06-14,6907
2015-06-15,6907
2015-06-16,6590
2015-06-17,6590
2015-06-18,6590
2015-06-19,6590
2015-06-20,6590
2015-06-21,6290
2015-06-22,6290
2015-06-23,6290
2015-06-24,6290
2015-06-25,6290
2015-06-26,6011
2015-06-27,6011
2015-06-28,6011
2015-06-29,6011
2015-06-30,6011
2015-07-01,5823
2015-07-02,5823
2015-07-03,5823
2015-07-04,5823
2015-07-05,5823
2015-07-06,5823
2015-07-07,5593
2015-07-08,5593
2015-07-09,5593
2015-07-10,5593
2015-07-11,5593
2015-07-12,5593
2015-07-13,5358
2015-07-14,5358
2015-07-15,5358
2015-07-16,5358
2015-07-17,5358
2015-07-18,5358
2015-07-19,5111
2015-07-20,5111
2015-07-21,5111
2015-07-22,5111
2015-07-23,5111
2015-07-24,4908
2015-07-25,4908
2015-07-26,4908
2015-07-27,4908
2015-07-28,4908
2015-07-29,4693
2015-07-30,4693
2015-07-31,4693
2015-08-01,4693
2015-08-02,4693
2015-08-03,4508
2015-08-04,4508
2015-08-05,4508
2015-08-06,4508
2015-08-07,4508
2015-08-08,4508
2015-08-09,4298
2015-08-10,4298
2015-08-11,4298
2015-08-12,4298
2015-08-13,4298
2015-08-14,4117
2015-08-15,4117
2015-08-16,4117
2015-08-17,4117
2015-08-18,4117
2015-08-19,4082
2015-08-20,4082
2015-08-21,4082
2015-08-22,4082
2015-08-23,4082
2015-08-24,3911
2015-08-25,3911
2015-08-26,3911
2015-08-27,3911
2015-08-28,3911
2015-08-29,3911
2015-08-30,3814
2015-08-31,3814
2015-09-01,3814
2015-09-02,3814
2015-09-03,3814
2015-09-04,3717
2015-09-05,3717
2015-09-06,3717
2015-09-07,3717
2015-09-08,3717
2015-09-09,3717
2015-09-10,3717
2015-09-11,3717
2015-09-12,3684
2015-09-13,3684
2015-09-14,3684
2015-09-15,3684
2015-09-16,3684
2015-09-17,3684
2015-09-18,3684
2015-09-19,3611
2015-09-20,3611
2015-09-21,3611
2015-09-22,3611
2015-09-23,3611
2015-09-24,3611
2015-09-25,3611
2015-09-27,3680
2015-09-28,3680
2015-09-29,3680
2015-09-30,3680
2015-10-05,3773
2015-10-06,3773
2015-10-07,3773
2015-10-08,3773
2015-10-09,3773
2015-10-10,3773
2015-10-11,3751
2015-10-12,3751
2015-10-13,3751
2015-10-14,3751
2015-10-15,3751
2015-10-16,3751
2015-10-17,3751
2015-10-18,3751
2015-10-19,3769
2015-10-20,3769
2015-10-22,3769
