date_obj,Adamant%20plateskirt%20(t) price
2015-03-26,18316
2015-03-27,17455
2015-03-28,17455
2015-03-29,17455
2015-03-30,17455
2015-03-31,17455
2015-04-01,17455
2015-04-02,17455
2015-04-03,16648
2015-04-04,16648
2015-04-05,16648
2015-04-06,16648
2015-04-07,16648
2015-04-08,16648
2015-04-09,16648
2015-04-10,16648
2015-04-11,15868
2015-04-12,15868
2015-04-13,15868
2015-04-14,15868
2015-04-15,15868
2015-04-16,15868
2015-04-17,15868
2015-04-18,15868
2015-04-19,15868
2015-04-20,15117
2015-04-21,15117
2015-04-22,15117
2015-04-23,15117
2015-04-24,15117
2015-04-25,15117
2015-04-26,15117
2015-04-27,15117
2015-04-28,14411
2015-04-29,14411
2015-04-30,14411
2015-05-01,14411
2015-05-02,14411
2015-05-03,14411
2015-05-04,14411
2015-05-05,13725
2015-05-06,13725
2015-05-07,13725
2015-05-08,13725
2015-05-09,13725
2015-05-10,13725
2015-05-11,13725
2015-05-12,13081
2015-05-13,13081
2015-05-14,13081
2015-05-15,13081
2015-05-16,13081
2015-05-17,13081
2015-05-18,12476
2015-05-19,12476
2015-05-20,12476
2015-05-21,12476
2015-05-22,12476
2015-05-23,12476
2015-05-24,12476
2015-05-25,11893
2015-05-26,11893
2015-05-27,11893
2015-05-28,11330
2015-05-29,11330
2015-05-30,11330
2015-05-31,10787
2015-06-01,10787
2015-06-02,10787
2015-06-03,10787
2015-06-04,10295
2015-06-05,10295
2015-06-06,10295
2015-06-07,10295
2015-06-08,9836
2015-06-09,9836
2015-06-10,9836
2015-06-11,9836
2015-06-12,9836
2015-06-13,9364
2015-06-14,9364
2015-06-15,9364
2015-06-16,9364
2015-06-17,9364
2015-06-18,8930
2015-06-19,8930
2015-06-20,8930
2015-06-21,8930
2015-06-22,8930
2015-06-23,8529
2015-06-24,8529
2015-06-25,8529
2015-06-26,8529
2015-06-27,8529
2015-06-28,8529
2015-06-29,8139
2015-06-30,8139
2015-07-01,8139
2015-07-02,8139
2015-07-03,8139
2015-07-04,8139
2015-07-05,8139
2015-07-06,8139
2015-07-07,7773
2015-07-08,7773
2015-07-09,7773
2015-07-10,7773
2015-07-11,7773
2015-07-12,7773
2015-07-13,7773
2015-07-14,7773
2015-07-15,7418
2015-07-16,7418
2015-07-17,7418
2015-07-18,7418
2015-07-19,7418
2015-07-20,7418
2015-07-21,7418
2015-07-22,7075
2015-07-23,7075
2015-07-24,7075
2015-07-25,7075
2015-07-26,7075
2015-07-27,7075
2015-07-28,7075
2015-07-29,7075
2015-07-30,7075
2015-07-31,6842
2015-08-01,6842
2015-08-02,6842
2015-08-03,6842
2015-08-04,6842
2015-08-05,6842
2015-08-06,6842
2015-08-07,6842
2015-08-08,6523
2015-08-09,6523
2015-08-10,6523
2015-08-11,6523
2015-08-12,6523
2015-08-13,6523
2015-08-14,6523
2015-08-15,6246
2015-08-16,6246
2015-08-17,6246
2015-08-18,6246
2015-08-19,6246
2015-08-20,6246
2015-08-21,5975
2015-08-22,5975
2015-08-23,5975
2015-08-24,5975
2015-08-25,5975
2015-08-26,5975
2015-08-27,5975
2015-08-28,5975
2015-08-29,5713
2015-08-30,5713
2015-08-31,5713
2015-09-01,5713
2015-09-02,5713
2015-09-03,5713
2015-09-04,5713
2015-09-05,5713
2015-09-06,5659
2015-09-07,5659
2015-09-08,5659
2015-09-09,5659
2015-09-10,5659
2015-09-11,5659
2015-09-12,5659
2015-09-13,5659
2015-09-14,5659
2015-09-15,5411
2015-09-16,5411
2015-09-17,5411
2015-09-18,5411
2015-09-19,5411
2015-09-20,5411
2015-09-21,5411
2015-09-22,5411
2015-09-23,5411
2015-09-24,5411
2015-09-25,5159
2015-09-27,5159
2015-09-28,5159
2015-09-29,5159
2015-09-30,5159
2015-10-05,4927
2015-10-06,4927
2015-10-07,4927
2015-10-08,4927
2015-10-09,4927
2015-10-10,4927
2015-10-11,4927
2015-10-12,4927
2015-10-13,4927
2015-10-14,4927
2015-10-15,4706
2015-10-16,4706
2015-10-17,4706
2015-10-18,4706
2015-10-19,4706
2015-10-20,4706
2015-10-22,4706
2015-10-23,4706
2015-10-24,4706
2015-10-25,4479
2015-10-26,4479
2015-10-27,4479
2015-10-28,4479
2015-10-29,4479
2015-10-30,4479
2015-10-31,4479
2015-11-01,4479
2015-11-02,4479
2015-11-03,4479
2015-11-04,4479
2015-11-05,4518
2015-11-06,4518
2015-11-07,4518
2015-11-08,4518
2015-11-09,4518
2015-11-10,4518
2015-11-11,4518
2015-11-12,4518
2015-11-13,4518
2015-11-14,4518
2015-11-15,4518
2015-11-16,4518
2015-11-17,4312
2015-11-18,4312
2015-11-19,4312
2015-11-20,4312
2015-11-21,4312
2015-11-22,4312
2015-11-23,4312
2015-11-24,4312
2015-11-25,4312
2015-11-26,4312
2015-11-27,4335
2015-11-28,4335
2015-11-29,4335
2015-11-30,4335
2015-12-01,4335
2015-12-02,4335
2015-12-03,4335
2015-12-04,4335
2015-12-05,4335
2015-12-06,4261
2015-12-07,4261
2015-12-08,4261
2015-12-09,4261
2015-12-10,4261
2015-12-11,4261
2015-12-12,4261
2015-12-13,4261
2015-12-14,4261
2015-12-15,4104
2015-12-16,4104
2015-12-17,4104
2015-12-18,4104
2015-12-19,4104
2015-12-20,4104
2015-12-21,4104
2015-12-22,4104
2015-12-23,4104
2015-12-24,3933
2015-12-25,3933
2015-12-26,3933
2015-12-27,3933
2015-12-28,3933
2015-12-29,3933
2015-12-30,3933
2015-12-31,3933
2016-01-01,3933
2016-01-02,3792
2016-01-03,3792
2016-01-04,3792
2016-01-05,3792
2016-01-06,3792
2016-01-07,3792
2016-01-08,3792
2016-01-09,3792
2016-01-10,3675
2016-01-11,3675
2016-01-12,3675
2016-01-13,3675
2016-01-14,3675
2016-01-15,3675
2016-01-16,3675
2016-01-17,3675
2016-01-18,3623
2016-01-19,3623
2016-01-20,3623
2016-01-21,3623
2016-01-22,3623
2016-01-23,3623
2016-01-24,3623
2016-01-25,3623
2016-01-26,3523
2016-01-27,3523
2016-01-28,3523
2016-01-29,3523
2016-01-30,3523
2016-01-31,3523
2016-02-01,3523
2016-02-02,3513
2016-02-03,3513
2016-02-04,3513
2016-02-05,3513
2016-02-06,3513
2016-02-07,3513
2016-02-08,3513
2016-02-09,3513
2016-02-10,3538
