date_obj,Adamant%20scimitar price
2015-03-26,3100
2015-03-27,2945
2015-03-28,2832
2015-03-29,2869
2015-03-30,2963
2015-03-31,3103
2015-04-01,3249
2015-04-02,3392
2015-04-03,3548
2015-04-04,3455
2015-04-05,3328
2015-04-06,3335
2015-04-07,3364
2015-04-08,3299
2015-04-09,3261
2015-04-10,3262
2015-04-11,3288
2015-04-12,3224
2015-04-13,3206
2015-04-14,3140
2015-04-15,3168
2015-04-16,3307
2015-04-17,3431
2015-04-18,3600
2015-04-19,3780
2015-04-20,3969
2015-04-21,4085
2015-04-22,3951
2015-04-23,3753
2015-04-24,3565
2015-04-25,3401
2015-04-26,3292
2015-04-27,3145
2015-04-28,3108
2015-04-29,3155
2015-04-30,3172
2015-05-01,3270
2015-05-02,3388
2015-05-03,3493
2015-05-04,3665
2015-05-05,3847
2015-05-06,3816
2015-05-07,3625
2015-05-08,3482
2015-05-09,3343
2015-05-10,3175
2015-05-11,3016
2015-05-12,2865
2015-05-13,2721
2015-05-14,2584
2015-05-15,2454
2015-05-16,2331
2015-05-17,2214
2015-05-18,2118
2015-05-19,2012
2015-05-20,1953
2015-05-21,1883
2015-05-22,1790
2015-05-23,1759
2015-05-24,1764
2015-05-25,1827
2015-05-26,1887
2015-05-27,1942
2015-05-28,1991
2015-05-29,2038
2015-05-30,2110
2015-05-31,2215
2015-06-01,2319
2015-06-02,2428
2015-06-03,2550
2015-06-04,2678
2015-06-05,2812
2015-06-06,2882
2015-06-07,3023
2015-06-08,3166
2015-06-09,3028
2015-06-10,2946
2015-06-11,2886
2015-06-12,2927
2015-06-13,2998
2015-06-14,2981
2015-06-15,2916
2015-06-16,2948
2015-06-17,3049
2015-06-18,3119
2015-06-19,3140
2015-06-20,3169
2015-06-21,3263
2015-06-22,3240
2015-06-23,3109
2015-06-24,2953
2015-06-25,2862
2015-06-26,2830
2015-06-27,2801
2015-06-28,2897
2015-06-29,3042
2015-06-30,3195
2015-07-01,3327
2015-07-02,3374
2015-07-03,3536
2015-07-04,3684
2015-07-05,3734
2015-07-06,3749
2015-07-07,3761
2015-07-08,3769
2015-07-09,3755
2015-07-10,3747
2015-07-11,3721
2015-07-12,3648
2015-07-13,3598
2015-07-14,3683
2015-07-15,3765
2015-07-16,3831
2015-07-17,3937
2015-07-18,3992
2015-07-19,4170
2015-07-20,4237
2015-07-21,4096
2015-07-22,4045
2015-07-23,3965
2015-07-24,3862
2015-07-25,3779
2015-07-26,3594
2015-07-27,3455
2015-07-28,3618
2015-07-29,3703
2015-07-30,3795
2015-07-31,3863
2015-08-01,3889
2015-08-02,3803
2015-08-03,3789
2015-08-04,3788
2015-08-05,3735
2015-08-06,3647
2015-08-07,3521
2015-08-08,3394
2015-08-09,3225
2015-08-10,3156
2015-08-11,3021
2015-08-12,2952
2015-08-13,2858
2015-08-14,2836
2015-08-15,2790
2015-08-16,2676
2015-08-17,2563
2015-08-18,2599
2015-08-19,2469
2015-08-20,2392
2015-08-21,2320
2015-08-22,2307
2015-08-23,2246
2015-08-24,2215
2015-08-25,2270
2015-08-26,2335
2015-08-27,2399
2015-08-28,2466
2015-08-29,2549
2015-08-30,2671
2015-08-31,2805
2015-09-01,2946
2015-09-02,3031
2015-09-03,3117
2015-09-04,3063
2015-09-05,2964
2015-09-06,2971
2015-09-07,3035
2015-09-08,3148
2015-09-09,3306
2015-09-10,3411
2015-09-11,3501
2015-09-12,3622
2015-09-13,3600
2015-09-14,3626
2015-09-15,3734
2015-09-16,3767
2015-09-17,3664
2015-09-18,3480
2015-09-19,3306
2015-09-20,3140
2015-09-21,2983
2015-09-22,2833
2015-09-23,2691
