date_obj,Amethyst%20broad%20bolts price
2017-06-21,280
2017-06-22,292
2017-06-23,292
2017-06-24,306
2017-06-25,306
2017-06-26,314
2017-06-27,314
2017-06-28,314
2017-06-29,327
2017-06-30,327
2017-07-01,327
2017-07-02,327
2017-07-03,343
2017-07-04,343
2017-07-05,343
2017-07-06,343
2017-07-07,355
2017-07-08,355
2017-07-09,355
2017-07-13,334
2017-07-14,334
2017-07-15,334
2017-07-16,324
2017-07-17,324
2017-07-18,324
2017-07-19,314
2017-07-20,314
2017-07-21,308
2017-07-22,308
2017-07-23,316
2017-07-24,316
2017-07-25,316
2017-07-26,315
2017-07-27,315
2017-07-28,315
2017-07-29,329
2017-07-30,329
2017-07-31,329
2017-08-01,338
2017-08-02,338
2017-08-03,338
2017-08-04,346
2017-08-05,346
2017-08-06,352
2017-08-07,352
2017-08-08,352
2017-08-09,346
2017-08-10,346
2017-08-11,346
2017-08-12,330
2017-08-13,330
2017-08-14,330
2017-08-15,330
2017-08-16,330
2017-08-17,330
2017-08-18,340
2017-08-19,340
2017-08-20,330
2017-08-21,330
2017-08-22,315
2017-08-23,315
2017-08-24,315
2017-08-25,302
2017-08-26,302
2017-08-27,302
2017-08-28,302
2017-08-29,302
2017-08-30,312
2017-08-31,312
2017-09-01,312
2017-09-02,312
2017-09-03,312
2017-09-04,312
2017-09-05,307
2017-09-06,307
2017-09-07,302
2017-09-08,302
2017-09-09,305
2017-09-10,305
2017-09-11,305
2017-09-12,303
2017-09-13,303
2017-09-14,301
2017-09-15,301
2017-09-16,301
2017-09-17,304
2017-09-18,304
2017-09-19,304
2017-09-20,305
2017-09-21,305
2017-09-22,305
2017-09-23,306
2017-09-24,306
2017-09-25,306
2017-09-26,307
2017-09-27,307
2017-09-28,307
2017-09-29,304
2017-09-30,304
2017-10-01,304
2017-10-02,295
2017-10-03,295
2017-10-04,295
2017-10-05,284
2017-10-06,284
2017-10-07,290
2017-10-08,290
2017-10-09,290
2017-10-10,295
2017-10-11,295
2017-10-12,295
2017-10-13,301
2017-10-14,301
2017-10-15,301
2017-10-16,311
2017-10-17,311
2017-10-18,311
2017-10-19,322
2017-10-20,322
2017-10-21,322
2017-10-22,310
2017-10-23,310
2017-10-24,310
2017-10-25,302
2017-10-26,302
2017-10-27,302
2017-10-28,298
2017-10-29,298
2017-10-30,295
2017-10-31,295
2017-11-01,295
2017-11-02,280
2017-11-03,280
2017-11-04,278
2017-11-05,278
2017-11-06,278
2017-11-07,278
2017-11-08,278
2017-11-09,284
2017-11-10,284
2017-11-11,284
2017-11-12,288
2017-11-13,288
2017-11-14,288
2017-11-15,282
2017-11-16,282
2017-11-17,280
2017-11-18,280
2017-11-19,288
2017-11-20,288
2017-11-21,293
2017-11-22,293
2017-11-23,286
2017-11-24,286
2017-11-25,295
2017-11-26,295
2017-11-27,295
2017-11-28,304
2017-11-29,304
2017-11-30,315
2017-12-01,315
2017-12-02,322
2017-12-03,322
2017-12-04,338
2017-12-05,338
2017-12-06,330
2017-12-07,330
2017-12-08,330
2017-12-09,322
2017-12-10,322
2017-12-11,320
2017-12-12,320
2017-12-13,320
2017-12-14,322
2017-12-15,322
2017-12-16,312
2017-12-17,312
2017-12-18,303
2017-12-19,303
2017-12-20,303
2017-12-21,299
2017-12-22,299
2017-12-23,299
2017-12-24,296
2017-12-25,296
2017-12-26,296
2017-12-27,299
2017-12-28,299
2017-12-29,299
2017-12-30,296
2017-12-31,296
2018-01-01,296
2018-01-02,301
2018-01-03,301
2018-01-04,300
2018-01-05,300
2018-01-06,302
2018-01-07,302
2018-01-08,288
2018-01-09,288
2018-01-10,288
2018-01-11,281
2018-01-12,281
2018-01-13,268
2018-01-14,268
2018-01-15,266
2018-01-16,266
2018-01-17,259
2018-01-18,259
2018-01-19,259
2018-01-20,264
2018-01-21,264
2018-01-22,276
2018-01-23,276
2018-01-24,287
2018-01-25,287
2018-01-26,299
2018-01-27,299
2018-01-28,299
2018-01-29,299
2018-01-30,285
2018-01-31,285
2018-02-01,275
2018-02-02,275
2018-02-03,276
2018-02-04,276
2018-02-05,287
2018-02-06,287
2018-02-07,300
2018-02-08,300
2018-02-09,297
2018-02-10,297
2018-02-11,302
2018-02-12,302
2018-02-13,306
2018-02-14,306
2018-02-15,310
2018-02-16,310
2018-02-17,296
2018-02-18,296
2018-02-19,293
2018-02-20,293
2018-02-21,296
2018-02-22,296
2018-02-23,296
2018-02-24,296
2018-02-25,301
2018-02-26,301
2018-02-27,311
2018-02-28,311
2018-03-01,314
2018-03-02,301
2018-03-03,301
2018-03-04,287
2018-03-05,287
2018-03-06,289
2018-03-07,289
2018-03-08,292
2018-03-09,292
2018-03-10,295
2018-03-11,295
2018-03-12,300
2018-03-13,300
2018-03-14,311
2018-03-15,311
