date_obj,Amulet%20of%20torture price
2016-05-05,28023361
2016-05-06,28023361
2016-05-07,27240964
2016-05-08,27240964
2016-05-09,27240964
2016-05-10,25880445
2016-05-11,25880445
2016-05-12,25880445
2016-05-13,24586422
2016-05-14,24586422
2016-05-15,23357100
2016-05-16,23357100
2016-05-17,22189245
2016-05-18,22189245
2016-05-19,21079782
2016-05-22,20025792
2016-05-23,19024502
2016-05-24,19024502
2016-05-25,18073276
2016-05-26,18073276
2016-05-27,17169612
2016-05-28,17169612
2016-05-29,16559737
2016-05-30,16559737
2016-05-31,15973813
2016-06-01,15931568
2016-06-02,15931568
2016-06-03,15973560
2016-06-04,16465585
2016-06-05,16465585
2016-06-06,16775567
2016-06-07,16775567
2016-06-08,17227940
2016-06-09,17346616
2016-06-10,17497582
2016-06-11,17497582
2016-06-12,17728913
2016-06-13,17728913
2016-06-14,18060146
2016-06-15,18060146
2016-06-16,18091699
2016-06-17,18001217
2016-06-18,18001217
2016-06-19,18566054
2016-06-20,18566054
2016-06-21,19334449
2016-06-22,19334449
2016-06-23,18575409
2016-06-24,18575409
2016-06-25,18328316
2016-06-26,18328316
2016-06-27,17977552
2016-06-28,17977552
2016-06-29,17136597
2016-06-30,17136597
2016-07-01,16854129
2016-07-02,16854129
2016-07-03,17060682
2016-07-04,17184199
2016-07-05,17184199
2016-07-06,17399788
2016-07-07,17399788
2016-07-08,17606514
2016-07-09,17606514
2016-07-10,17932100
2016-07-11,17932100
2016-07-12,17880896
2016-07-13,17880896
2016-07-14,17934677
2016-07-15,17934677
2016-07-16,18237995
2016-07-17,18237995
2016-07-18,18266423
2016-07-23,18082969
2016-07-24,18256668
2016-07-25,18256668
2016-07-26,18274901
2016-07-27,18274901
2016-07-28,18491072
2016-07-29,18603508
2016-07-30,18603508
2016-07-31,18923859
2016-08-01,18923859
2016-08-02,19228271
2016-08-03,19228271
2016-08-04,19355847
2016-08-05,19355847
2016-08-06,18958552
2016-08-07,18530343
2016-08-08,18530343
2016-08-09,18486654
2016-08-10,18486654
2016-08-11,18668472
2016-08-12,18668472
2016-08-13,19052518
2016-08-14,19052518
2016-08-15,18990173
2016-08-16,18990173
2016-08-17,18571167
2016-08-18,18571167
2016-08-19,17843868
2016-08-20,17607292
2016-08-21,17607292
2016-08-22,17101560
2016-08-23,16330524
2016-08-24,15768755
2016-08-25,16526523
2016-08-26,16526523
2016-08-28,17352439
2016-08-31,18288284
2016-09-01,18530575
2016-09-02,18530575
2016-09-03,18620467
2016-09-04,18847395
2016-09-05,18550096
2016-09-06,18496935
2016-09-07,18496935
2016-09-08,18310822
2016-09-09,18310822
2016-09-10,17728947
2016-09-11,17728947
2016-09-12,16946303
2016-09-13,16132474
2016-09-14,16132474
2016-09-15,16013141
2016-09-16,16013141
2016-09-17,16422120
2016-09-18,16787104
2016-09-19,17011115
2016-09-20,17011115
2016-09-21,16851989
2016-09-22,16650878
2016-09-23,16672087
2016-09-24,16672087
2016-09-25,16716143
2016-09-26,16716143
2016-09-27,16626275
2016-09-28,16289283
2016-09-29,16289283
2016-09-30,15894476
2016-10-01,16054137
2016-10-02,16054137
2016-10-03,15851792
2016-10-04,15701944
2016-10-05,15534317
2016-10-06,15254433
2016-10-07,15254433
2016-10-08,15311761
2016-10-09,15311761
2016-10-10,15633601
2016-10-11,15487011
2016-10-12,15487011
2016-10-13,15727286
2016-10-14,15773657
2016-10-15,15755225
2016-10-16,15755225
2016-10-17,15860613
2016-10-18,15860613
2016-10-19,15929441
2016-10-20,16006348
2016-10-21,16189107
2016-10-22,16189107
2016-10-23,16338425
2016-10-24,16303192
2016-10-25,16303192
2016-10-26,16353758
2016-10-27,16353758
2016-10-28,16265790
2016-10-29,16032344
2016-10-30,15897186
2016-10-31,15666575
2016-11-01,15666575
2016-11-02,15532698
2016-11-03,15532698
2016-11-04,15612085
2016-11-05,15612085
2016-11-06,15823989
2016-11-07,15653959
2016-11-08,15465343
2016-11-09,15362231
2016-11-10,14898345
2016-11-11,14528946
2016-11-12,14905666
2016-11-13,14905666
2016-11-14,14719343
2016-11-15,14605939
2016-12-07,15311323
