date_obj,Ancestral%20robe%20bottom price
2017-01-04,22000000
2017-01-05,22877862
2017-01-06,23890387
2017-01-07,24921031
2017-01-08,26074193
2017-01-09,27327518
2017-01-10,28613915
2017-01-11,29980342
2017-01-12,31479360
2017-01-13,31479360
2017-01-14,33053328
2017-01-15,34705995
2017-01-16,36441295
2017-01-17,38263360
2017-01-18,40176528
2017-01-19,42139723
2017-01-20,44135816
2017-01-21,46342607
2017-01-22,48644593
2017-01-23,51076823
2017-01-27,62063951
2017-01-28,65167149
2017-01-29,68425507
2017-01-30,71753543
2017-01-31,75253040
2017-02-01,79015692
2017-02-02,82910916
2017-02-03,86950228
2017-02-04,91215328
2017-02-05,95526277
2017-02-06,100204039
2017-02-07,105067904
2017-02-08,110321300
2017-02-09,110321300
2017-02-10,115837365
2017-02-11,121629234
2017-02-12,121629234
2017-02-13,127710696
2017-02-14,134096231
2017-02-15,140718796
2017-02-16,147754736
2017-02-17,147754736
2017-02-18,155142473
2017-02-19,159837622
2017-02-20,162597771
2017-02-21,163108960
2017-02-22,163108960
2017-02-23,169518117
2017-02-24,176832898
2017-02-25,177453406
2017-02-26,176470746
2017-02-27,176419862
2017-02-28,178593481
2017-03-01,176280526
2017-03-02,175769374
2017-03-03,175769374
2017-03-04,175493579
2017-03-05,173000706
2017-03-06,168578173
2017-03-07,160169809
2017-03-08,152161318
2017-03-09,144553252
2017-03-10,137338758
2017-03-11,130766506
2017-03-12,124734915
2017-03-13,118498169
2017-03-14,112573260
2017-03-15,107400602
2017-03-16,110949637
2017-03-17,105883461
2017-03-18,103147365
2017-03-19,97992617
2017-03-20,93274150
2017-03-21,94379542
2017-03-22,97218790
2017-03-23,100007981
2017-03-24,98928033
2017-03-25,98928033
2017-03-26,98739187
2017-03-27,101287430
2017-03-28,104780465
2017-03-29,109833499
2017-03-30,114849198
2017-03-31,115086925
2017-04-01,109337057
2017-04-02,106694205
2017-04-03,110491300
2017-04-04,112962416
2017-04-05,113120529
2017-04-12,111201882
2017-04-13,108533957
2017-04-14,108931733
2017-04-15,110915186
2017-04-16,110538734
2017-04-17,111107593
2017-04-18,112942341
2017-04-19,113831591
2017-04-20,113565673
2017-04-21,114383491
2017-04-22,115068934
2017-04-23,114927939
2017-04-24,115157305
2017-04-25,116861227
2017-04-26,118775970
2017-04-27,117358258
2017-04-28,112298524
2017-04-29,113102849
2017-04-30,116093925
2017-05-01,118295460
2017-05-02,118419176
2017-05-03,118819980
2017-05-04,120102338
2017-05-05,119862124
2017-05-06,119283772
2017-05-07,117275278
2017-05-08,114868796
2017-05-09,112894058
2017-05-10,109992218
2017-05-11,107795695
2017-05-12,107825519
2017-05-13,111816648
2017-05-14,115435350
2017-05-15,115240258
2017-05-16,114819959
2017-05-17,114640659
2017-05-18,116092545
2017-05-19,119870717
2017-05-20,119099746
2017-05-21,117843583
2017-05-22,116768265
2017-05-23,118424074
2017-05-24,120420354
2017-05-25,114460262
2017-05-26,109554472
2017-05-27,105631863
2017-05-28,107490167
2017-05-29,109394763
2017-05-30,111336907
2017-05-31,112943574
2017-06-01,113392749
2017-06-02,113540231
2017-06-03,113883367
2017-06-04,114105047
2017-06-05,113168084
2017-06-06,112614766
2017-06-07,111781176
2017-06-08,109748521
2017-06-09,104389193
2017-06-10,99173504
2017-06-11,94242883
2017-06-12,91380899
2017-06-13,94315270
2017-06-14,94663010
2017-06-15,98554113
2017-06-16,101374539
2017-06-17,98807000
2017-06-18,94472563
2017-06-19,94472563
2017-06-20,92358079
2017-06-21,89854010
2017-06-22,91285173
2017-06-23,92264946
2017-06-24,91329078
2017-06-25,89849420
2017-06-26,85893692
2017-06-27,83556201
2017-06-28,83823315
2017-06-29,80959907
2017-06-30,78527009
2017-07-01,76954894
2017-07-02,74832905
2017-07-03,74404162
2017-07-04,74346825
2017-07-05,74346825
2017-07-06,74815633
2017-07-07,78433424
2017-07-08,79790482
2017-07-09,80392567
2017-07-13,69173705
2017-07-14,67508623
2017-07-15,70195447
2017-07-16,71186857
2017-07-17,71406992
2017-07-18,68534905
2017-07-19,69355477
2017-07-20,69758913
2017-07-21,69947870
2017-07-22,70642439
2017-07-23,70168676
2017-07-24,69727266
2017-07-25,69741809
2017-07-26,69931857
2017-07-27,69275762
2017-07-28,68929361
2017-07-29,68085902
2017-07-30,64988494
2017-07-31,62333207
2017-08-01,63036824
2017-08-02,63597499
2017-08-03,63649289
2017-08-04,63274098
2017-08-05,63644322
2017-08-06,64216982
2017-08-07,64746306
2017-08-08,64807049
2017-08-09,64326313
2017-08-10,64526949
2017-08-11,65791640
2017-08-12,66117849
2017-08-13,67181591
2017-08-14,66821290
2017-08-15,66195689
2017-08-16,66372941
2017-08-17,67591856
2017-08-18,67832816
2017-08-19,68800810
2017-08-20,69799344
2017-08-21,70324250
2017-08-22,70671627
2017-08-23,70642924
2017-08-24,70473985
2017-08-25,70463925
2017-08-26,70436656
2017-08-27,70603472
2017-08-28,70543974
2017-08-29,70554015
2017-08-30,70325948
2017-08-31,70182309
2017-09-01,70346886
2017-09-02,71815547
2017-09-03,71776243
2017-09-04,71091674
2017-09-05,70454970
2017-09-07,70436166
2017-09-08,70735389
2017-09-09,70546989
2017-09-10,69551448
2017-09-11,66995313
2017-09-12,66824347
2017-09-13,66523215
2017-09-14,67475060
2017-09-15,67434254
2017-09-16,68577597
2017-09-17,68379433
2017-09-18,68068556
2017-09-19,68094411
2017-09-20,68326610
2017-09-22,68595020
2017-09-23,68534794
2017-09-24,68519626
2017-09-25,68323550
2017-09-26,68018362
2017-09-27,67712604
2017-09-28,67526697
2017-09-29,67346660
2017-09-30,67196713
2017-10-01,67228644
2017-10-02,67340741
2017-10-03,67173702
2017-10-04,66906253
2017-10-05,66778895
2017-10-06,66595180
2017-10-07,66954666
2017-10-08,66823271
2017-10-09,66656241
2017-10-10,66553588
2017-10-11,66494915
2017-10-12,66589723
2017-10-13,66610076
2017-10-14,66588415
2017-10-15,66422457
2017-10-16,66217543
2017-10-17,66045804
2017-10-18,65499599
2017-10-19,65097671
2017-10-20,65416293
2017-10-21,66191435
2017-10-22,66065332
2017-10-23,66193692
2017-10-24,66334274
2017-10-25,66232224
2017-10-26,66233596
2017-10-27,66247848
2017-10-28,66327891
2017-10-29,66553358
2017-10-30,66780282
2017-10-31,66568306
2017-11-01,66334832
2017-11-02,66832171
2017-11-03,67192669
2017-11-04,66906034
2017-11-05,66822038
2017-11-06,66825610
2017-11-07,66742912
2017-11-08,66759597
2017-11-09,66559521
2017-11-10,66366466
2017-11-11,66733140
2017-11-12,66889477
2017-11-13,67099676
2017-11-14,67416553
2017-11-15,67713393
2017-11-16,68642417
2017-11-17,69884565
2017-11-18,71298965
2017-11-19,70368295
2017-11-20,68543653
2017-11-21,68333243
2017-11-22,68586183
2017-11-23,70202173
2017-11-24,72374634
2017-11-25,72437811
2017-11-26,71929141
2017-11-27,71337916
2017-11-28,70919466
2017-11-29,71033979
2017-11-30,71737982
2017-12-01,74821442
2017-12-02,78562236
2017-12-03,79445621
2017-12-04,77826269
2017-12-05,74808710
2017-12-06,74804005
2017-12-07,76066199
2017-12-08,76420306
2017-12-09,78100104
2017-12-10,80549739
2017-12-11,79881360
2017-12-12,79349803
2017-12-13,79211616
2017-12-14,79280304
2017-12-15,78999565
2017-12-16,78577392
2017-12-17,78017235
2017-12-18,77707534
2017-12-19,78006286
2017-12-20,78119591
2017-12-21,77912860
