date_obj,Ancient%20blessing price
2016-07-06,967643
2016-07-07,919260
2016-07-08,873297
2016-07-09,829632
2016-07-10,788150
2016-07-11,748742
2016-07-12,712167
2016-07-13,676558
2016-07-14,642730
2016-07-15,611423
2016-07-16,580851
2016-07-17,551808
2016-07-18,524217
2016-07-23,406751
2016-07-24,386413
2016-07-25,367092
2016-07-26,349500
2016-07-27,332025
2016-07-28,316140
2016-07-29,300333
2016-07-30,285316
2016-07-31,271575
2016-08-01,258546
2016-08-02,245618
2016-08-03,233337
2016-08-04,221855
2016-08-05,211295
2016-08-06,200730
2016-08-07,190693
2016-08-08,181432
2016-08-09,172360
2016-08-10,163742
2016-08-11,155868
2016-08-12,148462
2016-08-13,141434
2016-08-14,134609
2016-08-15,127878
2016-08-16,121679
2016-08-17,116058
2016-08-18,110404
2016-08-19,104883
2016-08-20,99638
2016-08-21,94783
2016-08-22,90043
2016-08-23,85540
2016-08-24,81406
2016-08-25,77335
2016-08-26,77335
2016-08-28,69969
2016-08-31,63173
2016-09-01,60060
2016-09-02,60060
2016-09-03,57255
2016-09-04,54458
2016-09-05,51782
2016-09-06,49282
2016-09-07,49282
2016-09-08,46817
2016-09-09,46817
2016-09-10,44476
2016-09-11,44476
2016-09-12,42252
2016-09-13,40139
2016-09-14,40139
2016-09-15,38132
2016-09-16,38132
2016-09-17,36225
2016-09-18,34486
2016-09-19,32761
2016-09-20,32761
2016-09-21,31122
2016-09-22,29565
2016-09-23,28159
2016-09-24,28159
2016-09-25,27274
2016-09-26,27274
2016-09-27,25951
2016-09-28,25951
2016-09-29,25130
2016-09-30,24067
2016-10-01,23220
2016-10-02,23220
2016-10-03,22402
2016-10-04,21830
2016-10-05,21830
2016-10-06,21337
2016-10-07,21337
2016-10-08,20537
2016-10-09,20537
2016-10-10,19906
2016-10-11,19176
2016-10-12,19176
2016-10-13,18220
2016-10-14,17536
2016-10-15,17013
2016-10-16,17013
2016-10-17,16204
2016-10-18,16204
2016-10-19,15687
2016-10-20,15687
2016-10-21,15353
2016-10-22,15353
2016-10-23,15140
2016-10-24,15330
2016-10-25,15330
2016-10-26,15289
2016-10-27,15289
2016-10-28,14957
2016-10-29,14606
2016-10-30,14606
2016-10-31,14001
2016-11-01,14001
2016-11-02,13557
2016-11-03,13557
2016-11-04,13463
2016-11-05,13463
2016-11-06,13011
2016-11-07,13011
2016-11-08,12789
2016-11-09,12384
2016-11-10,12171
2016-11-11,12171
2016-11-12,11920
2016-11-13,11920
2016-11-14,11846
2016-11-15,11846
2016-12-07,8798
2016-12-08,8684
2016-12-09,8646
2016-12-10,8646
2016-12-11,8414
2016-12-12,8215
2016-12-13,8209
2016-12-14,7970
2016-12-15,7970
2016-12-16,7877
2016-12-17,7911
2016-12-18,7911
2016-12-19,8040
2016-12-20,8229
2016-12-21,8472
2016-12-22,8472
2016-12-23,8686
2016-12-24,8686
2016-12-25,8836
2016-12-26,9008
2016-12-27,9232
2016-12-28,9378
2016-12-29,9440
2016-12-30,9583
2016-12-31,9693
2017-01-01,9727
2017-01-02,9867
2017-01-03,9936
2017-01-04,9774
2017-01-05,9733
2017-01-06,9597
2017-01-07,9406
2017-01-08,9301
2017-01-09,9410
2017-01-10,9381
2017-01-11,9456
2017-01-12,9403
2017-01-13,9403
2017-01-14,9374
2017-01-15,9253
2017-01-16,9063
2017-01-17,9013
2017-01-18,8810
2017-01-19,8874
2017-01-20,8769
2017-01-21,8586
2017-01-22,8175
2017-01-23,8019
2017-01-27,7222
2017-01-28,7121
2017-01-29,6808
2017-01-30,6660
2017-01-31,6623
2017-02-01,6666
2017-02-02,6713
2017-02-03,6836
2017-02-04,6858
2017-02-05,6822
2017-02-06,6850
2017-02-07,6874
2017-02-08,6852
2017-02-09,6852
2017-02-10,6901
2017-02-11,6873
2017-02-12,6873
2017-02-13,6976
2017-02-14,7142
2017-02-15,7282
2017-02-16,7459
2017-02-17,7459
2017-02-18,7663
2017-02-19,7751
2017-02-20,7759
2017-02-21,7881
2017-02-22,7881
2017-02-23,8000
2017-02-24,8000
2017-02-25,7976
