date_obj,Ancient%20d'hide%20shield price
2019-04-11,20000
2019-04-11,20891
2019-04-12,21872
2019-04-13,22942
2019-04-14,24028
2019-04-15,750000
2019-04-16,750000
2019-04-17,750000
2019-04-18,774672
2019-04-19,774672
2019-04-20,805656
2019-04-21,805656
2019-04-22,817159
2019-04-23,817159
2019-04-24,817159
2019-04-25,835493
2019-04-26,835493
2019-04-27,835493
2019-04-28,862085
2019-04-29,862085
2019-04-30,900618
2019-05-01,900618
2019-05-02,900618
2019-05-03,940503
2019-05-04,940503
2019-05-05,981863
2019-05-06,981863
2019-05-07,981863
2019-05-08,1012865
2019-05-09,1012865
2019-05-10,1012865
2019-05-11,1012865
2019-05-12,1027430
2019-05-13,1027430
2019-05-14,1027430
2019-05-15,987481
2019-05-16,987481
2019-05-17,987481
2019-05-18,957095
2019-05-19,957095
2019-05-20,957095
2019-05-21,957095
2019-05-22,954724
2019-05-23,954724
2019-05-24,954724
2019-05-25,953812
2019-05-26,953812
2019-05-27,953812
2019-05-28,960759
2019-05-29,960759
2019-05-30,994614
2019-05-31,994614
2019-06-01,994614
2019-06-02,994614
2019-06-03,977231
2019-06-04,977231
2019-06-05,977231
2019-06-06,977533
2019-06-07,977533
2019-06-08,948874
2019-06-09,948874
2019-06-10,948874
2019-06-11,935028
2019-06-12,935028
2019-06-13,935028
2019-06-14,925260
2019-06-15,925260
2019-06-16,925260
2019-06-17,919110
2019-06-18,919110
2019-06-19,919110
2019-06-20,908017
2019-06-21,908017
2019-06-22,908017
2019-06-23,924367
2019-06-24,924367
2019-06-25,924367
2019-06-26,924367
2019-06-27,914902
2019-06-28,914902
2019-06-29,914902
2019-06-30,904518
2019-07-01,904518
2019-07-02,904518
2019-07-03,886076
2019-07-04,886076
2019-07-05,886076
2019-07-06,860643
2019-07-07,860643
2019-07-08,860643
2019-07-09,834001
2019-07-10,834001
2019-07-11,834001
2019-07-12,824226
2019-07-13,824226
2019-07-14,824226
2019-07-15,824226
2019-07-16,822246
2019-07-17,822246
2019-07-18,822246
2019-07-19,799202
2019-07-20,799202
2019-07-21,799202
2019-07-22,780997
2019-07-23,780997
2019-07-24,780997
2019-07-25,780997
2019-07-26,768903
2019-07-27,768903
2019-07-28,768903
2019-07-29,758432
2019-07-30,758432
2019-07-31,758432
2019-08-01,754090
2019-08-02,754090
2019-08-03,754090
2019-08-04,752292
2019-08-05,752292
2019-08-06,752292
2019-08-07,758268
2019-08-08,758268
2019-08-09,758268
2019-08-10,758268
2019-08-11,733093
2019-08-12,733093
2019-08-13,733093
2019-08-14,718357
2019-08-15,718357
2019-08-16,710549
2019-08-17,710549
2019-08-18,710549
2019-08-19,711103
2019-08-20,711103
2019-08-21,711103
2019-08-22,727713
2019-08-23,727713
2019-08-24,727713
2019-08-24,727713
2019-08-25,719278
2019-08-25,719278
2019-08-26,719278
2019-08-26,719278
2019-08-27,719278
2019-08-27,719278
2019-08-28,714741
2019-08-29,714741
2019-08-30,714741
2019-08-31,714741
2019-09-01,710349
2019-09-02,710349
2019-09-03,710349
2019-09-04,701320
2019-09-05,701320
2019-09-06,701320
2019-09-07,698727
2019-09-08,698727
2019-09-09,698727
2019-09-10,707277
2019-09-11,707277
2019-09-12,707277
2019-09-13,701146
2019-09-14,701146
2019-09-15,701146
2019-09-16,705807
2019-09-17,705807
2019-09-18,705807
2019-09-19,694019
2019-09-20,694019
2019-09-21,694019
2019-09-22,686199
2019-09-23,686199
2019-09-24,686199
2019-09-25,673939
2019-09-26,673939
2019-09-27,673939
2019-09-28,679770
2019-09-29,679770
2019-09-30,679770
2019-10-01,698775
2019-10-02,698775
2019-10-03,698775
2019-10-04,698775
2019-10-05,714903
2019-10-06,714903
2019-10-07,714903
2019-10-08,731503
2019-10-09,731503
2019-10-10,731503
2019-10-11,731503
2019-10-12,731503
2019-10-13,724648
2019-10-14,724648
2019-10-15,724648
2019-10-16,718683
2019-10-17,718683
2019-10-18,718683
2019-10-19,718683
2019-10-20,705665
2019-10-21,705665
2019-10-22,705665
2019-10-23,682198
2019-10-24,682198
2019-10-25,682198
2019-10-26,682198
2019-10-27,654684
2019-10-28,654684
2019-10-29,654684
2019-10-30,654684
2019-10-31,623609
2019-11-01,623609
2019-11-02,623609
2019-11-03,597716
2019-11-04,597716
2019-11-05,597716
2019-11-06,576717
2019-11-07,576717
2019-11-08,576717
2019-11-09,551091
2019-11-10,551091
2019-11-11,551091
2019-11-12,523749
2019-11-13,523749
2019-11-14,523749
2019-11-15,523749
2019-11-16,513246
2019-11-17,513246
2019-11-18,513246
2019-11-19,513246
2019-11-20,498766
2019-11-21,498766
2019-11-22,498766
2019-11-23,483349
2019-11-24,483349
2019-11-25,483349
2019-11-26,470936
2019-11-27,470936
2019-11-28,470936
2019-11-29,459000
2019-11-30,459000
2019-12-01,459000
2019-12-02,443936
2019-12-03,443936
2019-12-04,451418
2019-12-05,451418
2019-12-06,451418
2019-12-07,460594
2019-12-08,460594
2019-12-09,460594
2019-12-10,448515
2019-12-11,448515
2019-12-12,448515
2019-12-13,448515
2019-12-14,445503
2019-12-15,445503
2019-12-16,464841
2019-12-17,464841
2019-12-18,464841
