date_obj,Ancient%20kiteshield price
2015-03-26,36582
2015-03-27,36582
2015-03-28,36217
2015-03-29,36467
2015-03-30,36259
2015-03-31,37003
2015-04-01,37003
2015-04-02,36497
2015-04-03,35874
2015-04-04,35711
2015-04-05,36072
2015-04-06,36058
2015-04-07,36327
2015-04-08,35789
2015-04-09,36098
2015-04-10,35879
2015-04-11,35668
2015-04-12,35820
2015-04-13,36009
2015-04-14,36449
2015-04-15,36194
2015-04-16,36966
2015-04-17,37187
2015-04-18,37349
2015-04-19,37739
2015-04-20,37739
2015-04-21,38245
2015-04-22,38862
2015-04-23,38506
2015-04-24,38218
2015-04-25,37967
2015-04-26,38034
2015-04-27,37968
2015-04-28,38460
2015-04-29,38460
2015-04-30,38838
2015-05-01,38834
2015-05-02,38819
2015-05-03,38792
2015-05-04,38941
2015-05-05,38867
2015-05-06,39037
2015-05-07,38936
2015-05-08,39467
2015-05-09,38957
2015-05-10,39775
2015-05-11,39775
2015-05-12,39263
2015-05-13,38589
2015-05-14,38419
2015-05-15,38245
2015-05-16,38245
2015-05-17,37666
2015-05-18,38117
2015-05-19,37611
2015-05-20,37611
2015-05-21,37122
2015-05-22,36813
2015-05-23,36494
2015-05-24,36196
2015-05-25,35488
2015-05-26,36083
2015-05-27,36166
2015-05-28,36633
2015-05-29,36301
2015-05-30,36117
2015-05-31,36117
2015-06-01,36014
2015-06-02,36014
2015-06-03,36653
2015-06-04,36978
2015-06-05,36725
2015-06-06,37579
2015-06-07,37606
2015-06-08,36968
2015-06-09,37040
2015-06-10,36371
2015-06-11,36371
2015-06-12,36169
2015-06-13,36077
2015-06-14,36103
2015-06-15,36103
2015-06-16,36115
2015-06-17,36340
2015-06-18,36250
2015-06-19,36611
2015-06-20,36397
2015-06-21,36326
2015-06-22,36219
2015-06-23,35927
2015-06-24,35240
2015-06-25,35240
2015-06-26,35123
2015-06-27,35123
2015-06-28,34781
2015-06-29,34897
2015-06-30,34474
2015-07-01,33955
2015-07-02,33955
2015-07-03,34170
2015-07-04,34677
2015-07-05,34677
2015-07-06,34559
2015-07-07,34549
2015-07-08,33674
2015-07-09,33674
2015-07-10,34194
2015-07-11,34194
2015-07-12,34174
2015-07-13,34238
2015-07-14,33982
2015-07-15,34874
2015-07-16,35253
2015-07-17,35269
2015-07-18,35269
2015-07-19,35944
2015-07-20,36972
2015-07-21,36972
2015-07-22,38426
2015-07-23,38426
2015-07-24,38584
2015-07-25,38584
2015-07-26,38949
2015-07-27,39883
2015-07-28,41358
2015-07-29,42600
2015-07-30,42600
2015-07-31,41789
2015-08-01,41743
2015-08-02,41238
2015-08-03,42113
2015-08-04,41310
2015-08-05,40412
2015-08-06,40517
2015-08-07,40371
2015-08-08,40507
2015-08-09,39641
2015-08-10,39514
2015-08-11,39683
2015-08-12,39683
2015-08-13,40053
2015-08-14,39817
2015-08-15,38364
2015-08-16,37308
2015-08-17,37058
2015-08-18,36529
2015-08-19,35970
2015-08-20,36332
2015-08-21,36019
2015-08-22,36087
2015-08-23,36087
2015-08-24,35784
2015-08-25,35784
2015-08-26,35693
2015-08-27,35956
2015-08-28,36010
2015-08-29,35167
2015-08-30,35167
2015-08-31,35356
2015-09-01,35516
