date_obj,Ancient%20rune%20armour%20set%20(lg) price
2015-03-26,230860
2015-03-27,228599
2015-03-28,228599
2015-03-29,228599
2015-03-30,228599
2015-03-31,220775
2015-04-01,220775
2015-04-02,220775
2015-04-03,220775
2015-04-04,220775
2015-04-05,211838
2015-04-06,211838
2015-04-07,211838
2015-04-08,211838
2015-04-09,211838
2015-04-10,201548
2015-04-11,201548
2015-04-12,201548
2015-04-13,201548
2015-04-14,192058
2015-04-15,192058
2015-04-16,192058
2015-04-17,192058
2015-04-18,186363
2015-04-19,186363
2015-04-20,186363
2015-04-21,186363
2015-04-22,183366
2015-04-23,183366
2015-04-24,183366
2015-04-25,183366
2015-04-26,180410
2015-04-27,180410
2015-04-28,180410
2015-04-29,180410
2015-04-30,176940
2015-05-01,176940
2015-05-02,176940
2015-05-03,176940
2015-05-04,173153
2015-05-05,173153
2015-05-06,173153
2015-05-07,173153
2015-05-08,170976
2015-05-09,170976
2015-05-10,170976
2015-05-11,170976
2015-05-12,169535
2015-05-13,169535
2015-05-14,169535
2015-05-15,169535
2015-05-16,169535
2015-05-17,167124
2015-05-18,167124
2015-05-19,167124
2015-05-20,167124
2015-05-21,167124
2015-05-22,168053
2015-05-23,168053
2015-05-24,168053
2015-05-25,168053
2015-05-26,169431
2015-05-27,169431
2015-05-28,169431
2015-05-29,170521
2015-05-30,170521
2015-05-31,170521
2015-06-01,171393
2015-06-02,171393
2015-06-03,171393
2015-06-04,171705
2015-06-05,171705
2015-06-06,171705
2015-06-07,171450
2015-06-08,171450
2015-06-09,171450
2015-06-10,173176
2015-06-11,173176
2015-06-12,173176
2015-06-13,176247
2015-06-14,176247
2015-06-15,176247
2015-06-16,177667
2015-06-17,177667
2015-06-18,177667
2015-06-19,179903
2015-06-20,179903
2015-06-21,179903
2015-06-22,182228
2015-06-23,182228
2015-06-24,182228
2015-06-25,184813
2015-06-26,184813
2015-06-27,184813
2015-06-28,186743
2015-06-29,186743
2015-06-30,186743
2015-07-01,186546
2015-07-02,186546
2015-07-03,186546
2015-07-04,190291
2015-07-05,190291
2015-07-06,190291
2015-07-07,190291
2015-07-08,191515
2015-07-09,191515
2015-07-10,191515
2015-07-11,191515
2015-07-12,194499
2015-07-13,194499
2015-07-14,194499
2015-07-15,196401
2015-07-16,196401
2015-07-17,196401
2015-07-18,197982
2015-07-19,197982
2015-07-20,197982
2015-07-21,200120
2015-07-22,200120
2015-07-23,200120
2015-07-24,196677
2015-07-25,196677
2015-07-26,196677
2015-07-27,194469
2015-07-28,194469
2015-07-29,194469
2015-07-30,192090
2015-07-31,192090
2015-08-01,192090
2015-08-02,187237
2015-08-03,187237
2015-08-04,187237
2015-08-05,183751
2015-08-06,183751
2015-08-07,183751
2015-08-08,184351
2015-08-09,184351
2015-08-10,184351
2015-08-11,183522
2015-08-12,183522
2015-08-13,183522
2015-08-14,184983
2015-08-15,184983
2015-08-16,184983
2015-08-17,186466
2015-08-18,186466
2015-08-19,186466
2015-08-20,186547
2015-08-21,186547
2015-08-22,184243
2015-08-23,184243
2015-08-24,184243
2015-08-25,182475
2015-08-26,182475
2015-08-27,180923
2015-08-28,180923
2015-08-29,180923
2015-08-30,179965
2015-08-31,179965
2015-09-01,179965
2015-09-02,180813
2015-09-03,180813
2015-09-04,180813
2015-09-05,183769
2015-09-06,183769
2015-09-07,183769
2015-09-08,190021
2015-09-09,190021
2015-09-10,190021
2015-09-11,188105
2015-09-12,188105
2015-09-13,188105
2015-09-14,184133
2015-09-15,184133
2015-09-16,184133
2015-09-17,178992
2015-09-18,178992
2015-09-19,178992
2015-09-20,175517
2015-09-21,175517
2015-09-22,175517
2015-09-23,174054
2015-09-24,174054
2015-09-25,174054
2015-09-27,177138
2015-09-28,177138
2015-09-29,177138
2015-09-30,178654
2015-10-05,184199
2015-10-06,184199
2015-10-07,186661
2015-10-08,186661
2015-10-09,186661
2015-10-10,186457
2015-10-11,186457
2015-10-12,186457
2015-10-13,186457
2015-10-14,184747
2015-10-15,184747
2015-10-16,184747
