date_obj,Anti-dragon%20shield price
2015-03-26,892
2015-03-27,892
2015-03-28,868
2015-03-29,856
2015-03-30,825
2015-03-31,795
2015-04-01,772
2015-04-02,763
2015-04-03,729
2015-04-04,704
2015-04-05,710
2015-04-06,717
2015-04-07,724
2015-04-08,753
2015-04-09,771
2015-04-10,789
2015-04-11,801
2015-04-12,801
2015-04-13,811
2015-04-14,797
2015-04-15,813
2015-04-16,801
2015-04-17,771
2015-04-18,749
2015-04-19,727
2015-04-20,726
2015-04-21,740
2015-04-22,746
2015-04-23,711
2015-04-24,675
2015-04-25,641
2015-04-26,608
2015-04-27,577
2015-04-28,548
2015-04-29,520
2015-04-30,494
2015-05-01,469
2015-05-02,445
2015-05-03,422
2015-05-04,400
2015-05-05,380
2015-05-06,361
2015-05-07,342
2015-05-08,324
2015-05-09,307
2015-05-10,291
2015-05-11,276
2015-05-12,262
2015-05-13,248
2015-05-14,235
2015-05-15,223
2015-05-16,211
2015-05-17,200
2015-05-18,190
2015-05-19,180
2015-05-20,171
2015-05-21,162
2015-05-22,160
2015-05-23,153
2015-05-24,147
2015-05-25,147
2015-05-26,145
2015-05-27,144
2015-05-28,141
2015-05-29,141
2015-05-30,142
2015-05-31,145
2015-06-01,141
2015-06-02,144
2015-06-03,143
2015-06-04,137
2015-06-05,140
2015-06-06,141
2015-06-07,142
2015-06-08,139
2015-06-09,138
2015-06-10,135
2015-06-11,132
2015-06-12,125
2015-06-13,125
2015-06-14,128
2015-06-15,132
2015-06-16,134
2015-06-17,137
2015-06-18,136
2015-06-19,133
2015-06-20,136
2015-06-21,138
2015-06-22,134
2015-06-23,132
2015-06-24,128
2015-06-25,123
2015-06-26,127
2015-06-27,120
2015-06-28,119
2015-06-29,119
2015-06-30,121
2015-07-01,118
2015-07-02,118
2015-07-03,118
2015-07-04,118
2015-07-05,121
2015-07-06,123
2015-07-07,126
2015-07-08,127
2015-07-09,123
2015-07-10,118
2015-07-11,114
2015-07-12,114
2015-07-13,118
2015-07-14,123
2015-07-15,124
2015-07-16,125
2015-07-17,127
2015-07-18,129
2015-07-19,126
2015-07-20,129
2015-07-21,131
2015-07-22,128
2015-07-23,121
2015-07-24,119
2015-07-25,123
2015-07-26,126
2015-07-27,127
2015-07-28,128
2015-07-29,128
2015-07-30,125
2015-07-31,120
2015-08-01,121
2015-08-02,122
2015-08-03,120
2015-08-04,122
2015-08-05,124
2015-08-06,124
2015-08-07,127
2015-08-08,131
2015-08-09,133
2015-08-10,133
2015-08-11,134
2015-08-12,129
2015-08-13,131
2015-08-14,134
2015-08-15,137
2015-08-16,136
2015-08-17,135
2015-08-18,136
2015-08-19,132
2015-08-20,132
2015-08-21,129
2015-08-22,124
2015-08-23,124
2015-08-24,117
2015-08-25,117
2015-08-26,115
2015-08-27,117
2015-08-28,113
2015-08-29,118
2015-08-30,118
2015-08-31,123
2015-09-01,119
2015-09-02,119
2015-09-03,122
2015-09-04,125
2015-09-05,125
2015-09-06,125
2015-09-07,129
2015-09-08,127
2015-09-09,133
2015-09-10,138
2015-09-11,140
2015-09-12,140
2015-09-13,141
2015-09-14,145
2015-09-15,145
2015-09-16,145
