date_obj,Armadyl%20platelegs price
2015-03-26,40516
2015-03-27,40516
2015-03-28,40501
2015-03-29,41413
2015-03-30,40878
2015-03-31,41627
2015-04-01,41627
2015-04-02,41215
2015-04-03,42044
2015-04-04,42163
2015-04-05,41753
2015-04-06,41340
2015-04-07,41067
2015-04-08,41067
2015-04-09,40162
2015-04-10,39785
2015-04-11,38904
2015-04-12,38401
2015-04-13,39178
2015-04-14,39178
2015-04-15,38145
2015-04-16,38771
2015-04-17,39256
2015-04-18,39465
2015-04-19,40137
2015-04-20,40137
2015-04-21,40825
2015-04-22,40825
2015-04-23,41899
2015-04-24,42332
2015-04-25,42473
2015-04-26,42500
2015-04-27,42468
2015-04-28,41422
2015-04-29,41422
2015-04-30,41071
2015-05-01,40953
2015-05-02,41558
2015-05-03,41558
2015-05-04,41791
2015-05-05,41517
2015-05-06,42182
2015-05-07,41469
2015-05-08,41033
2015-05-09,40262
2015-05-10,39986
2015-05-11,39986
2015-05-12,39785
2015-05-13,40244
2015-05-14,39661
2015-05-15,39661
2015-05-16,39215
2015-05-17,39052
2015-05-18,38423
2015-05-19,38423
2015-05-20,39124
2015-05-21,39124
2015-05-22,39012
2015-05-23,39272
2015-05-24,39972
2015-05-25,39707
2015-05-26,39390
2015-05-27,40019
2015-05-28,40308
2015-05-29,40186
2015-05-30,39601
2015-05-31,39601
2015-06-01,40303
2015-06-02,40303
2015-06-03,40318
2015-06-04,40318
2015-06-05,40112
2015-06-06,39905
2015-06-07,40855
2015-06-08,40855
2015-06-09,41124
2015-06-10,41593
2015-06-11,41593
2015-06-12,41042
2015-06-13,40491
2015-06-14,41025
2015-06-15,41025
2015-06-16,40203
2015-06-17,40203
2015-06-18,39686
2015-06-19,39686
2015-06-20,40160
2015-06-21,40160
2015-06-22,40246
2015-06-23,40246
2015-06-24,40620
2015-06-25,40620
2015-06-26,40791
2015-06-27,40791
2015-06-28,41036
2015-06-29,41036
2015-06-30,40494
2015-07-01,41885
2015-07-02,41885
2015-07-03,41312
2015-07-04,42252
2015-07-05,42252
2015-07-06,42052
2015-07-07,40905
2015-07-08,40367
2015-07-09,40367
2015-07-10,40523
2015-07-11,40523
2015-07-12,40672
2015-07-13,40531
2015-07-14,40531
2015-07-15,39811
2015-07-16,39811
2015-07-17,40386
2015-07-18,40386
2015-07-19,41989
2015-07-20,41236
2015-07-21,41236
2015-07-22,40864
2015-07-23,40864
2015-07-24,41067
2015-07-25,41067
2015-07-26,40663
2015-07-27,39411
2015-07-28,39411
2015-07-29,39806
2015-07-30,39806
2015-07-31,40385
2015-08-01,40385
2015-08-02,40565
2015-08-03,40565
2015-08-04,40358
2015-08-05,40064
2015-08-06,40064
2015-08-07,40881
2015-08-08,41936
2015-08-09,41314
2015-08-10,40807
2015-08-11,40342
2015-08-12,40342
2015-08-13,40034
2015-08-14,39132
2015-08-15,39132
2015-08-16,39320
2015-08-17,40478
2015-08-18,39978
2015-08-19,40352
2015-08-20,39819
2015-08-21,38620
2015-08-22,39603
2015-08-23,39603
2015-08-24,40216
2015-08-25,40216
2015-08-26,39278
2015-08-27,39113
2015-08-28,39113
2015-08-29,38082
2015-08-30,38082
2015-08-31,37419
2015-09-01,38541
2015-09-02,38541
2015-09-03,40115
2015-09-04,40760
2015-09-05,40760
2015-09-06,40021
