date_obj,Asgarnian%20ale price
2015-03-26,23
2015-03-27,23
2015-03-28,24
2015-03-29,26
2015-03-30,28
2015-03-31,30
2015-04-01,30
2015-04-02,32
2015-04-03,34
2015-04-04,35
2015-04-05,35
2015-04-06,36
2015-04-07,37
2015-04-08,37
2015-04-09,39
2015-04-10,41
2015-04-11,44
2015-04-12,47
2015-04-13,50
2015-04-14,50
2015-04-15,52
2015-04-16,55
2015-04-17,58
2015-04-18,60
2015-04-19,63
2015-04-20,63
2015-04-21,67
2015-04-22,67
2015-04-23,71
2015-04-24,71
2015-04-25,75
2015-04-26,79
2015-04-27,83
2015-04-28,88
2015-04-29,88
2015-04-30,92
2015-05-01,93
2015-05-02,94
2015-05-03,94
2015-05-04,94
2015-05-05,94
2015-05-06,95
2015-05-07,96
2015-05-08,96
2015-05-09,98
2015-05-10,101
2015-05-11,101
2015-05-12,98
2015-05-13,98
2015-05-14,101
2015-05-15,101
2015-05-16,99
2015-05-17,98
2015-05-18,95
2015-05-19,95
2015-05-20,95
2015-05-21,95
2015-05-22,90
2015-05-23,89
2015-05-24,86
2015-05-25,84
2015-05-26,84
2015-05-27,83
2015-05-28,87
2015-05-29,90
2015-05-30,89
2015-05-31,90
2015-06-01,90
2015-06-02,90
2015-06-03,90
2015-06-04,93
2015-06-05,94
2015-06-06,95
2015-06-07,96
2015-06-08,97
2015-06-09,97
2015-06-10,96
2015-06-11,96
2015-06-12,98
2015-06-13,101
2015-06-14,95
2015-06-15,94
2015-06-16,94
2015-06-17,96
2015-06-18,98
2015-06-19,100
2015-06-20,100
2015-06-21,101
2015-06-22,102
2015-06-23,103
2015-06-24,105
2015-06-25,105
2015-06-26,108
2015-06-27,108
2015-06-28,111
2015-06-29,110
2015-06-30,110
2015-07-01,112
2015-07-02,112
2015-07-03,115
2015-07-04,118
2015-07-05,116
2015-07-06,110
2015-07-07,106
2015-07-08,106
2015-07-09,106
2015-07-10,106
2015-07-11,107
2015-07-12,110
2015-07-13,112
2015-07-14,115
2015-07-15,119
2015-07-16,118
2015-07-17,121
2015-07-18,124
2015-07-19,125
2015-07-20,126
2015-07-21,127
2015-07-22,131
2015-07-23,131
2015-07-24,129
