date_obj,Avernic%20defender%20hilt price
2018-06-06,102460050
2018-06-07,106502306
2018-06-08,110551202
2018-06-09,115244199
2018-06-10,120341696
2018-06-11,125728112
2018-06-12,131559917
2018-06-13,138137913
2018-06-14,145044809
2018-06-15,151767860
2018-06-16,159356253
2018-06-17,167324066
2018-06-18,175690270
2018-06-19,184474784
2018-06-20,192846391
2018-06-21,193914686
2018-06-22,202878285
2018-06-23,200474255
2018-06-24,198493768
2018-06-25,208418457
2018-06-26,212797601
2018-06-27,211562199
2018-06-28,209625166
2018-06-29,203042095
2018-06-30,203585002
2018-07-01,205713914
2018-07-02,203476624
2018-07-03,195176894
2018-07-04,185418049
2018-07-05,176147146
2018-07-06,167339788
2018-07-07,158972798
2018-07-08,151292605
2018-07-09,143756022
2018-07-10,136568220
2018-07-11,133980160
2018-07-12,140631916
2018-07-13,147544130
2018-07-14,154343982
2018-07-15,153245523
2018-07-16,156629983
2018-07-17,158950694
2018-07-18,160674850
2018-07-19,162152086
2018-07-20,158889156
2018-07-21,152999027
2018-07-22,151153114
2018-07-23,150078286
2018-07-24,144971585
2018-07-25,143268820
2018-07-26,137229405
2018-07-27,141445807
2018-07-28,146065813
2018-07-29,147865336
2018-07-30,151829011
2018-07-31,151204537
2018-08-01,151292471
2018-08-02,150413812
2018-08-03,146098815
2018-08-04,141270769
2018-08-05,140049568
2018-08-06,142586973
2018-08-07,140084677
2018-08-08,134698633
2018-08-09,128161103
2018-08-10,121909325
2018-08-11,116292053
2018-08-12,116083614
2018-08-14,115183313
2018-08-16,110117107
2018-08-17,108398094
2018-08-18,108250588
2018-08-19,110823927
2018-08-20,110695151
2018-08-21,111385245
2018-08-22,110311507
2018-08-23,110562831
2018-08-24,110664281
2018-08-25,109202464
2018-08-26,111299057
2018-08-27,113226546
2018-08-28,113621770
2018-08-29,112021934
2018-08-30,110675471
2018-08-31,110821904
2018-09-01,109389268
2018-09-02,109643464
2018-09-03,110626792
2018-09-04,110429459
2018-09-05,109201927
2018-09-06,108223053
2018-09-07,104324458
2018-09-08,99267190
2018-09-09,100256589
2018-09-10,101600862
2018-09-11,101600862
2018-09-12,103612006
2018-09-13,106264082
2018-09-14,106945660
2018-09-15,108353114
2018-09-16,109832562
2018-09-17,108056912
2018-09-18,107899606
2018-09-19,107327452
2018-09-20,106326141
2018-09-21,104733211
2018-09-22,105138392
2018-09-23,103954716
2018-09-24,103319959
2018-09-25,102188547
2018-09-26,100795163
2018-09-27,99671356
2018-09-28,98620258
2018-09-29,98846940
2018-09-30,100408581
2018-10-02,100667941
2018-10-03,98197335
2018-10-04,96426128
2018-10-05,97556784
2018-10-06,99123810
2018-10-07,98618383
2018-10-08,98277064
2018-10-09,98802061
2018-10-10,98697998
2018-10-11,98857065
2018-10-12,99554252
2018-10-13,101262457
2018-10-14,99181592
2018-10-15,99401380
2018-10-16,103054865
2018-10-17,101711290
2018-10-18,104221632
2018-10-19,104781392
2018-10-20,104336113
2018-10-21,103221077
2018-10-22,102484123
2018-10-23,103278372
2018-10-24,104164693
2018-10-25,104600473
2018-10-26,104713804
2018-10-27,106231363
2018-10-28,107457155
2018-10-29,110353319
2018-10-30,111785390
2018-10-31,111836961
2018-11-01,110606737
2018-11-03,107537978
2018-11-04,108155404
2018-11-05,109120314
2018-11-06,109651250
2018-11-07,110733098
2018-11-08,111569782
2018-11-09,116409839
2018-11-10,118465648
2018-11-11,113634538
2018-11-12,108495940
2018-11-13,103897809
2018-11-14,101679464
2018-11-15,101229840
2018-11-16,100669243
2018-11-17,102519142
2018-11-18,105433253
2018-11-19,104133398
2018-11-20,101220565
2018-11-21,100973483
2018-11-22,101094931
2018-11-23,98127946
2018-11-24,97323198
2018-11-25,98378068
2018-11-26,97221326
2018-11-27,96796388
2018-11-28,98471572
2018-11-29,100604646
2018-12-01,100809820
2018-12-02,103047865
2018-12-03,103047865
2018-12-04,104417871
2018-12-05,102665853
2018-12-07,102861132
2018-12-09,106136153
2018-12-10,107818784
2018-12-11,111153869
2018-12-12,113158632
2018-12-13,111563954
2018-12-14,113394941
2018-12-15,112254845
2018-12-16,111889747
2018-12-17,111026143
2018-12-18,110143871
2018-12-19,110233690
2018-12-20,110068462
2018-12-21,110194408
2018-12-22,110296939
2018-12-23,110171420
2018-12-24,110128993
2018-12-25,112163387
2018-12-26,115042760
2018-12-27,118247489
2018-12-28,116571681
2018-12-29,114924481
2018-12-30,114702649
2018-12-31,114806899
2019-01-01,113400048
2019-01-02,114702169
2019-01-03,117268980
2019-01-04,119088469
2019-01-05,116691246
2019-01-06,114972924
2019-01-08,112983035
2019-01-10,116327491
2019-01-11,122141498
2019-01-12,128037374
2019-01-13,131785888
2019-01-14,128024036
2019-01-15,133932134
