date_obj,Bagged%20nice%20tree price
2015-03-26,2200
2015-03-27,2200
2015-03-28,2200
2015-03-29,2200
2015-03-30,2200
2015-03-31,2200
2015-04-01,2200
2015-04-02,2200
2015-04-03,2200
2015-04-04,2200
2015-04-05,2200
2015-04-06,2200
2015-04-07,2200
2015-04-08,2200
2015-04-09,2200
2015-04-10,2200
2015-04-11,2200
2015-04-12,2200
2015-04-13,2200
2015-04-14,2200
2015-04-15,2200
2015-04-16,2200
2015-04-17,2200
2015-04-18,2200
2015-04-19,2200
2015-04-20,2200
2015-04-21,2200
2015-04-22,2200
2015-04-23,2200
2015-04-24,2278
2015-04-25,2278
2015-04-26,2278
2015-04-27,2278
2015-04-28,2278
2015-04-29,2278
2015-04-30,2278
2015-05-01,2278
2015-05-02,2278
2015-05-03,2278
2015-05-04,2278
2015-05-05,2278
2015-05-06,2278
2015-05-07,2278
2015-05-08,2278
2015-05-09,2278
2015-05-10,2278
2015-05-11,2278
2015-05-12,2278
2015-05-13,2278
2015-05-14,2278
2015-05-15,2278
2015-05-16,2278
2015-05-17,2278
2015-05-18,2278
2015-05-19,2278
2015-05-20,2278
2015-05-21,2278
2015-05-22,2278
2015-05-23,2278
2015-05-24,2278
2015-05-25,2278
2015-05-26,2278
2015-05-27,2278
2015-05-28,2278
2015-05-29,2278
2015-05-30,2278
2015-05-31,2278
2015-06-01,2278
2015-06-02,2278
2015-06-03,2278
2015-06-04,2278
2015-06-05,2278
2015-06-06,2278
2015-06-07,2278
2015-06-08,2278
2015-06-09,2278
2015-06-10,2364
2015-06-11,2364
2015-06-12,2364
2015-06-13,2364
2015-06-14,2364
2015-06-15,2364
2015-06-16,2364
2015-06-17,2364
2015-06-18,2364
2015-06-19,2364
2015-06-20,2364
2015-06-21,2364
2015-06-22,2364
2015-06-23,2364
2015-06-24,2364
2015-06-25,2364
2015-06-26,2364
2015-06-27,2364
2015-06-28,2364
2015-06-29,2364
2015-06-30,2364
2015-07-01,2364
2015-07-02,2364
2015-07-03,2364
2015-07-04,2364
2015-07-05,2364
2015-07-06,2364
2015-07-07,2364
2015-07-08,2364
2015-07-09,2364
2015-07-10,2364
2015-07-11,2364
2015-07-12,2364
2015-07-13,2364
2015-07-14,2364
2015-07-15,2364
2015-07-16,2364
2015-07-17,2364
2015-07-18,2364
2015-07-19,2364
2015-07-20,2364
2015-07-21,2364
2015-07-22,2364
2015-07-23,2364
2015-07-24,2364
2015-07-25,2364
2015-07-26,2364
2015-07-27,2364
2015-07-28,2364
2015-07-29,2364
2015-07-30,2364
2015-07-31,2433
2015-08-01,2433
2015-08-02,2433
2015-08-03,2433
2015-08-04,2433
2015-08-05,2433
2015-08-06,2433
2015-08-07,2433
2015-08-08,2433
2015-08-09,2433
2015-08-10,2433
2015-08-11,2433
2015-08-12,2433
2015-08-13,2433
2015-08-14,2433
2015-08-15,2433
2015-08-16,2433
2015-08-17,2433
2015-08-18,2433
2015-08-19,2433
2015-08-20,2433
2015-08-21,2433
2015-08-22,2433
2015-08-23,2433
2015-08-24,2433
2015-08-25,2433
2015-08-26,2433
2015-08-27,2433
2015-08-28,2433
2015-08-29,2433
2015-08-30,2433
2015-08-31,2433
2015-09-01,2433
2015-09-02,2433
2015-09-03,2433
2015-09-04,2433
2015-09-05,2433
2015-09-06,2433
2015-09-07,2433
2015-09-08,2433
2015-09-09,2433
2015-09-10,2433
2015-09-11,2433
2015-09-12,2433
2015-09-13,2433
2015-09-14,2433
2015-09-15,2433
2015-09-16,2433
2015-09-17,2433
2015-09-18,2433
2015-09-19,2433
2015-09-20,2433
2015-09-21,2433
2015-09-22,2433
2015-09-23,2433
2015-09-24,2433
2015-09-25,2433
2015-09-27,2433
2015-09-28,2433
2015-09-29,2433
2015-09-30,2433
2015-10-05,2433
2015-10-06,2433
2015-10-07,2433
2015-10-08,2433
2015-10-09,2433
2015-10-10,2433
2015-10-11,2433
2015-10-12,2433
2015-10-13,2433
2015-10-14,2496
2015-10-15,2496
2015-10-16,2496
2015-10-17,2496
2015-10-18,2496
2015-10-19,2496
2015-10-20,2496
2015-10-22,2496
2015-10-23,2496
2015-10-24,2496
2015-10-25,2496
2015-10-26,2496
2015-10-27,2496
2015-10-28,2496
2015-10-29,2496
2015-10-30,2496
2015-10-31,2496
2015-11-01,2496
2015-11-02,2496
2015-11-03,2496
2015-11-04,2496
2015-11-05,2496
2015-11-06,2496
2015-11-07,2496
2015-11-08,2496
2015-11-09,2496
2015-11-10,2496
2015-11-11,2496
2015-11-12,2496
2015-11-13,2496
2015-11-14,2496
2015-11-15,2496
2015-11-16,2496
2015-11-17,2496
2015-11-18,2496
2015-11-19,2496
2015-11-20,2496
2015-11-21,2496
2015-11-22,2496
2015-11-23,2496
2015-11-24,2496
2015-11-25,2496
2015-11-26,2496
2015-11-27,2496
2015-11-28,2496
2015-11-29,2496
2015-11-30,2496
2015-12-01,2496
2015-12-02,2496
2015-12-03,2496
2015-12-04,2496
2015-12-05,2496
2015-12-06,2496
2015-12-07,2496
2015-12-08,2496
2015-12-09,2496
2015-12-10,2496
2015-12-11,2496
2015-12-12,2496
2015-12-13,2496
2015-12-14,2496
2015-12-15,2496
2015-12-16,2496
2015-12-17,2496
2015-12-18,2496
2015-12-19,2496
2015-12-20,2496
2015-12-21,2496
2015-12-22,2496
2015-12-23,2496
2015-12-24,2496
2015-12-25,2496
2015-12-26,2496
2015-12-27,2496
2015-12-28,2496
2015-12-29,2496
2015-12-30,2496
2015-12-31,2496
2016-01-01,2496
2016-01-02,2496
2016-01-03,2496
2016-01-04,2496
2016-01-05,2578
2016-01-06,2578
2016-01-07,2578
2016-01-08,2578
2016-01-09,2578
2016-01-10,2578
2016-01-11,2578
2016-01-12,2578
2016-01-13,2578
2016-01-14,2578
2016-01-15,2578
2016-01-16,2578
2016-01-17,2578
2016-01-18,2578
2016-01-19,2578
2016-01-20,2578
2016-01-21,2578
2016-01-22,2578
2016-01-23,2578
2016-01-24,2578
2016-01-25,2578
2016-01-26,2578
2016-01-27,2578
2016-01-28,2578
2016-01-29,2578
2016-01-30,2578
2016-01-31,2578
2016-02-01,2578
2016-02-02,2578
2016-02-03,2578
2016-02-04,2578
2016-02-05,2578
2016-02-06,2578
2016-02-07,2578
2016-02-08,2578
2016-02-09,2578
2016-02-10,2578
2016-02-11,2578
2016-02-12,2578
2016-02-13,2578
2016-02-14,2578
2016-02-15,2578
2016-02-16,2578
2016-02-17,2578
2016-02-18,2578
2016-02-19,2578
2016-02-20,2578
2016-02-21,2578
2016-02-22,2578
2016-02-23,2578
2016-02-24,2578
2016-02-25,2578
2016-02-26,2578
2016-02-27,2578
2016-02-28,2578
2016-02-29,2578
2016-03-01,2578
2016-03-02,2578
2016-03-03,2578
2016-03-04,2578
2016-03-05,2578
2016-03-06,2578
2016-03-07,2578
2016-03-08,2578
2016-03-09,2578
2016-03-10,2578
2016-03-11,2578
2016-03-12,2578
2016-03-13,2578
2016-03-14,2578
2016-03-15,2578
2016-03-16,2578
2016-03-17,2578
2016-03-18,2626
2016-03-19,2626
2016-03-20,2626
2016-03-21,2626
2016-03-22,2626
2016-03-23,2626
2016-03-24,2626
2016-03-25,2626
2016-03-26,2626
2016-03-27,2626
2016-03-28,2626
2016-03-29,2626
2016-03-30,2626
2016-03-31,2626
2016-04-01,2626
2016-04-02,2626
2016-04-03,2626
2016-04-04,2626
2016-04-05,2626
2016-04-06,2626
2016-04-07,2626
2016-04-08,2626
2016-04-09,2626
2016-04-10,2626
2016-04-11,2626
2016-04-12,2626
2016-04-13,2626
2016-04-14,2626
2016-04-15,2626
2016-04-16,2626
2016-04-17,2626
2016-04-18,2626
2016-04-19,2626
2016-04-20,2626
2016-04-21,2626
2016-04-22,2626
2016-04-23,2626
2016-04-24,2626
2016-04-25,2626
2016-04-26,2626
2016-04-27,2626
2016-04-28,2626
2016-04-29,2626
2016-04-30,2626
2016-05-01,2626
2016-05-02,2626
2016-05-03,2626
2016-05-04,2626
2016-05-05,2626
2016-05-06,2626
2016-05-07,2626
2016-05-08,2626
2016-05-09,2626
2016-05-10,2626
2016-05-11,2626
2016-05-12,2626
2016-05-13,2626
2016-05-14,2626
2016-05-15,2626
2016-05-16,2626
2016-05-17,2626
