date_obj,Bagged%20plant%201 price
2015-03-26,1050
2015-03-27,1050
2015-03-28,1050
2015-03-29,1078
2015-03-30,1078
2015-03-31,1078
2015-04-01,1078
2015-04-02,1078
2015-04-03,1078
2015-04-04,1078
2015-04-05,1078
2015-04-06,1078
2015-04-07,1078
2015-04-08,1078
2015-04-09,1078
2015-04-10,1078
2015-04-11,1078
2015-04-12,1078
2015-04-13,1078
2015-04-14,1078
2015-04-15,1078
2015-04-16,1078
2015-04-17,1078
2015-04-18,1078
2015-04-19,1078
2015-04-20,1078
2015-04-21,1078
2015-04-22,1078
2015-04-23,1078
2015-04-24,1078
2015-04-25,1078
2015-04-26,1078
2015-04-27,1078
2015-04-28,1078
2015-04-29,1078
2015-04-30,1078
2015-05-01,1111
2015-05-02,1111
2015-05-03,1111
2015-05-04,1111
2015-05-05,1111
2015-05-06,1111
2015-05-07,1111
2015-05-08,1111
2015-05-09,1111
2015-05-10,1111
2015-05-11,1111
2015-05-12,1111
2015-05-13,1111
2015-05-14,1111
2015-05-15,1111
2015-05-16,1111
2015-05-17,1111
2015-05-18,1111
2015-05-19,1111
2015-05-20,1111
2015-05-21,1111
2015-05-22,1111
2015-05-23,1111
2015-05-24,1111
2015-05-25,1111
2015-05-26,1111
2015-05-27,1111
2015-05-28,1151
2015-05-29,1151
2015-05-30,1151
2015-05-31,1151
2015-06-01,1151
2015-06-02,1151
2015-06-03,1151
2015-06-04,1151
2015-06-05,1151
2015-06-06,1151
2015-06-07,1151
2015-06-08,1151
2015-06-09,1151
2015-06-10,1151
2015-06-11,1151
2015-06-12,1151
2015-06-13,1151
2015-06-14,1151
2015-06-15,1151
2015-06-16,1151
2015-06-17,1151
2015-06-18,1151
2015-06-19,1151
2015-06-20,1151
2015-06-21,1151
2015-06-22,1151
2015-06-23,1151
2015-06-24,1151
2015-06-25,1151
2015-06-26,1151
2015-06-27,1151
2015-06-28,1184
2015-06-29,1184
2015-06-30,1184
2015-07-01,1184
2015-07-02,1184
2015-07-03,1184
2015-07-04,1184
2015-07-05,1184
2015-07-06,1184
2015-07-07,1184
2015-07-08,1184
2015-07-09,1184
2015-07-10,1184
2015-07-11,1184
2015-07-12,1184
2015-07-13,1184
2015-07-14,1184
2015-07-15,1184
2015-07-16,1184
2015-07-17,1184
2015-07-18,1184
2015-07-19,1184
2015-07-20,1184
2015-07-21,1184
2015-07-22,1184
2015-07-23,1184
2015-07-24,1184
2015-07-25,1184
2015-07-26,1184
2015-07-27,1184
2015-07-28,1184
2015-07-29,1223
2015-07-30,1223
2015-07-31,1223
2015-08-01,1223
2015-08-02,1223
2015-08-03,1223
2015-08-04,1223
2015-08-05,1223
2015-08-06,1223
2015-08-07,1223
2015-08-08,1223
2015-08-09,1223
2015-08-10,1223
2015-08-11,1223
2015-08-12,1223
2015-08-13,1223
2015-08-14,1223
2015-08-15,1223
2015-08-16,1223
2015-08-17,1223
2015-08-18,1223
2015-08-19,1223
2015-08-20,1223
2015-08-21,1223
2015-08-22,1223
2015-08-23,1223
2015-08-24,1223
2015-08-25,1223
2015-08-26,1223
2015-08-27,1223
2015-08-28,1223
2015-08-29,1223
2015-08-30,1223
2015-08-31,1223
2015-09-01,1223
2015-09-02,1223
2015-09-03,1223
2015-09-04,1223
2015-09-05,1223
2015-09-06,1223
2015-09-07,1223
2015-09-08,1223
2015-09-09,1223
2015-09-10,1223
2015-09-11,1223
2015-09-12,1223
2015-09-13,1264
2015-09-14,1264
2015-09-15,1264
2015-09-16,1264
2015-09-17,1264
2015-09-18,1264
2015-09-19,1264
2015-09-20,1264
2015-09-21,1264
2015-09-22,1264
2015-09-23,1264
2015-09-24,1264
2015-09-25,1264
2015-09-27,1264
2015-09-28,1264
2015-09-29,1264
2015-09-30,1264
2015-10-05,1264
2015-10-06,1264
2015-10-07,1264
2015-10-08,1264
2015-10-09,1264
2015-10-10,1264
2015-10-11,1264
2015-10-12,1264
2015-10-13,1264
2015-10-14,1264
2015-10-15,1264
2015-10-16,1264
2015-10-17,1264
2015-10-18,1264
2015-10-19,1264
2015-10-20,1264
2015-10-22,1264
2015-10-23,1264
2015-10-24,1264
2015-10-25,1264
2015-10-26,1264
2015-10-27,1264
2015-10-28,1264
2015-10-29,1264
2015-10-30,1264
2015-10-31,1264
2015-11-01,1264
2015-11-02,1264
2015-11-03,1264
2015-11-04,1264
2015-11-05,1301
2015-11-06,1301
2015-11-07,1301
2015-11-08,1301
2015-11-09,1301
2015-11-10,1301
2015-11-11,1301
2015-11-12,1301
2015-11-13,1301
2015-11-14,1301
2015-11-15,1301
2015-11-16,1301
2015-11-17,1301
2015-11-18,1301
2015-11-19,1301
2015-11-20,1301
2015-11-21,1301
2015-11-22,1301
2015-11-23,1301
2015-11-24,1301
2015-11-25,1301
2015-11-26,1301
2015-11-27,1301
2015-11-28,1301
2015-11-29,1301
2015-11-30,1301
2015-12-01,1301
2015-12-02,1301
2015-12-03,1301
2015-12-04,1301
2015-12-05,1301
2015-12-06,1301
2015-12-07,1301
2015-12-08,1301
2015-12-09,1301
2015-12-10,1301
2015-12-11,1301
2015-12-12,1301
2015-12-13,1301
2015-12-14,1301
2015-12-15,1301
2015-12-16,1301
2015-12-17,1301
2015-12-18,1301
2015-12-19,1301
2015-12-20,1301
2015-12-21,1301
2015-12-22,1301
2015-12-23,1301
2015-12-24,1301
2015-12-25,1301
2015-12-26,1301
2015-12-27,1341
2015-12-28,1341
2015-12-29,1341
2015-12-30,1341
2015-12-31,1341
2016-01-01,1341
2016-01-02,1341
2016-01-03,1341
2016-01-04,1341
2016-01-05,1341
2016-01-06,1341
2016-01-07,1341
2016-01-08,1341
2016-01-09,1341
2016-01-10,1341
2016-01-11,1341
2016-01-12,1341
2016-01-13,1341
2016-01-14,1341
2016-01-15,1341
2016-01-16,1341
2016-01-17,1341
2016-01-18,1341
2016-01-19,1341
2016-01-20,1341
2016-01-21,1341
2016-01-22,1341
2016-01-23,1341
2016-01-24,1341
2016-01-25,1341
2016-01-26,1341
2016-01-27,1341
2016-01-28,1341
2016-01-29,1341
2016-01-30,1341
2016-01-31,1341
2016-02-01,1341
2016-02-02,1341
2016-02-03,1341
2016-02-04,1341
2016-02-05,1341
2016-02-06,1341
2016-02-07,1381
2016-02-08,1381
2016-02-09,1381
2016-02-10,1381
2016-02-11,1381
2016-02-12,1381
2016-02-13,1381
2016-02-14,1381
2016-02-15,1381
2016-02-16,1381
2016-02-17,1381
2016-02-18,1381
2016-02-19,1381
2016-02-20,1381
2016-02-21,1381
2016-02-22,1381
2016-02-23,1381
2016-02-24,1381
2016-02-25,1381
2016-02-26,1381
2016-02-27,1381
2016-02-28,1381
2016-02-29,1381
2016-03-01,1381
2016-03-02,1381
2016-03-03,1381
2016-03-04,1381
2016-03-05,1381
2016-03-06,1381
2016-03-07,1381
2016-03-08,1381
2016-03-09,1381
2016-03-10,1381
2016-03-11,1381
2016-03-12,1381
2016-03-13,1381
2016-03-14,1381
2016-03-15,1381
2016-03-16,1381
2016-03-17,1381
2016-03-18,1381
2016-03-19,1381
2016-03-20,1381
2016-03-21,1433
2016-03-22,1433
2016-03-23,1433
2016-03-24,1433
2016-03-25,1433
2016-03-26,1433
2016-03-27,1433
2016-03-28,1433
2016-03-29,1433
2016-03-30,1433
2016-03-31,1433
2016-04-01,1433
2016-04-02,1433
2016-04-03,1433
2016-04-04,1433
2016-04-05,1433
2016-04-06,1433
2016-04-07,1433
2016-04-08,1433
2016-04-09,1433
2016-04-10,1433
2016-04-11,1433
2016-04-12,1433
2016-04-13,1433
2016-04-14,1433
2016-04-15,1433
2016-04-16,1433
2016-04-17,1433
2016-04-18,1433
