date_obj,Bandos%20d'hide%20boots price
2016-07-06,2000000
2016-07-07,2079585
2016-07-08,2169352
2016-07-09,2268613
2016-07-10,2373544
2016-07-11,2480509
2016-07-12,2480509
2016-07-13,2583452
2016-07-14,2583452
2016-07-15,2579955
2016-07-16,2579955
2016-07-17,2676898
2016-07-18,2744827
2016-07-23,2784498
2016-07-24,2653493
2016-07-25,2653493
2016-07-26,2523432
2016-07-27,2523432
2016-07-28,2397260
2016-07-29,2397260
2016-07-30,2277397
2016-07-31,2277397
2016-08-01,2277397
2016-08-02,2163527
2016-08-03,2163527
2016-08-04,2055350
2016-08-05,2055350
2016-08-06,1952582
2016-08-07,1952582
2016-08-08,1854952
2016-08-09,1854952
2016-08-10,1762204
2016-08-11,1762204
2016-08-12,1675349
2016-08-13,1675349
2016-08-14,1591581
2016-08-15,1591581
2016-08-16,1512001
2016-08-17,1512001
2016-08-18,1439348
2016-08-19,1439348
2016-08-20,1367380
2016-08-21,1367380
2016-08-22,1299011
2016-08-23,1299011
2016-08-24,1234060
2016-08-25,1234060
2016-08-26,1174106
2016-08-28,1131680
2016-08-31,1207480
2016-09-01,1259950
2016-09-02,1259950
2016-09-03,1312981
2016-09-04,1375753
2016-09-05,1441166
2016-09-06,1441166
2016-09-07,1513097
2016-09-08,1513097
2016-09-09,1544224
2016-09-10,1544224
2016-09-11,1481394
2016-09-12,1481394
2016-09-13,1462050
2016-09-14,1462050
2016-09-15,1412087
2016-09-16,1412087
2016-09-17,1350142
2016-09-18,1350142
2016-09-19,1285489
2016-09-20,1285489
2016-09-21,1226857
2016-09-22,1249577
2016-09-23,1249577
2016-09-24,1200149
2016-09-25,1166032
2016-09-26,1166032
2016-09-27,1124511
2016-09-28,1124511
2016-09-29,1075262
2016-09-30,1021498
2016-10-01,1021498
2016-10-02,985651
2016-10-03,985651
2016-10-04,995348
2016-10-05,995348
2016-10-06,979666
2016-10-07,979666
2016-10-08,1022579
2016-10-09,1022579
2016-10-10,1056919
2016-10-11,1056919
2016-10-12,1065616
2016-10-13,1092118
2016-10-14,1138635
2016-10-15,1182040
2016-10-16,1182040
2016-10-17,1175239
2016-10-18,1175239
2016-10-19,1143220
2016-10-20,1143220
2016-10-21,1112915
2016-10-22,1112915
2016-10-23,1134614
2016-10-24,1134614
2016-10-25,1113758
2016-10-26,1071163
2016-10-27,1071163
2016-10-28,1040489
2016-10-29,1033685
2016-10-30,1033685
2016-10-31,1012641
2016-11-01,1012641
2016-11-02,999437
2016-11-03,999437
2016-11-04,996335
2016-11-05,996335
2016-11-06,1033685
2016-11-07,1033685
2016-11-08,1040594
2016-11-09,1040594
2016-11-10,1002506
2016-11-11,1002506
2016-11-12,971853
2016-11-13,971853
2016-11-14,935166
2016-11-15,935166
2016-12-07,689775
2016-12-08,686663
2016-12-09,690239
2016-12-10,690239
2016-12-11,701068
2016-12-12,709160
2016-12-13,709160
2016-12-14,724682
2016-12-15,724682
2016-12-16,729971
2016-12-17,756578
2016-12-18,756578
2016-12-19,791139
2016-12-20,830316
2016-12-21,862693
2016-12-22,862693
2016-12-23,898238
2016-12-24,898238
2016-12-25,927567
2016-12-26,927567
2016-12-27,948336
2016-12-28,978574
2016-12-29,967590
2016-12-30,967330
2016-12-31,976504
2017-01-01,979043
2017-01-02,977493
2017-01-03,960517
2017-01-04,945858
2017-01-05,932558
2017-01-06,935103
2017-01-07,935708
2017-01-08,930206
2017-01-09,948498
2017-01-10,962335
2017-01-11,979184
2017-01-12,996479
2017-01-13,996479
2017-01-14,1003585
2017-01-15,994080
2017-01-16,990739
2017-01-17,991051
2017-01-18,1021029
2017-01-19,1043319
2017-01-20,1073198
2017-01-21,1087793
2017-01-22,1111781
2017-01-23,1122724
2017-01-27,1078456
2017-01-28,1074762
2017-01-29,1092444
2017-01-30,1092444
2017-01-31,1073080
2017-02-01,1021801
2017-02-02,981209
2017-02-03,966951
2017-02-04,933574
2017-02-05,929571
2017-02-06,936114
2017-02-07,906813
2017-02-08,868823
2017-02-09,868823
2017-02-10,843860
2017-02-11,840947
2017-02-12,849380
2017-02-13,881542
2017-02-14,918058
2017-02-15,956258
2017-02-16,993097
2017-02-18,998786
2017-02-19,997381
2017-02-20,989580
2017-02-21,979917
2017-02-22,958884
2017-02-23,943945
2017-02-24,937603
2017-02-25,944001
2017-02-26,953406
2017-02-27,963052
2017-02-28,965349
2017-03-01,959596
2017-03-02,959846
2017-03-03,971724
2017-03-04,979180
2017-03-05,991269
2017-03-06,976446
2017-03-07,976172
2017-03-08,974237
2017-03-09,961048
2017-03-10,961046
2017-03-11,956788
2017-03-12,952369
2017-03-13,947309
2017-03-14,921431
2017-03-15,907517
2017-03-16,926512
2017-03-17,921014
2017-03-18,891052
2017-03-19,867394
2017-03-20,871577
2017-03-21,885934
2017-03-22,913484
2017-03-23,878800
2017-03-24,851575
2017-03-25,851575
2017-03-26,856581
2017-03-27,861435
2017-03-28,855844
2017-03-29,871681
2017-03-30,893831
2017-03-31,904199
2017-04-01,890689
2017-04-02,906390
2017-04-03,899999
2017-04-04,899358
2017-04-05,885656
2017-04-12,805923
2017-04-13,826614
2017-04-14,829586
2017-04-15,830433
2017-04-16,833485
2017-04-17,829899
2017-04-18,829005
2017-04-19,830924
2017-04-20,813362
2017-04-21,820977
2017-04-22,828576
2017-04-23,836515
2017-04-24,825505
2017-04-25,839743
2017-04-26,839743
2017-04-27,842082
2017-04-28,849848
2017-04-29,868007
2017-04-30,911403
2017-05-01,910871
2017-05-02,898803
2017-05-03,893045
2017-05-04,871507
2017-05-05,864284
2017-05-06,863235
2017-05-07,840849
2017-05-08,820120
2017-05-09,790883
2017-05-10,751338
2017-05-11,726070
2017-05-12,743379
2017-05-13,717109
2017-05-14,718715
2017-05-15,732375
2017-05-16,743112
2017-05-17,740621
2017-05-18,770541
2017-05-19,770541
2017-05-20,792207
2017-05-21,792207
2017-05-22,778191
2017-05-23,761294
2017-05-24,744740
2017-05-25,717344
2017-05-26,688002
2017-05-27,665864
2017-05-28,649772
2017-05-29,645975
2017-05-30,657107
2017-05-31,662518
2017-06-01,680352
2017-06-02,706279
2017-06-03,730979
2017-06-04,757306
2017-06-05,738859
2017-06-06,750446
2017-06-07,777219
2017-06-08,794494
2017-06-09,808824
2017-06-10,801739
2017-06-11,783609
2017-06-12,746937
2017-06-13,723345
2017-06-14,705537
2017-06-15,688053
2017-06-16,686817
2017-06-17,710408
2017-06-18,719536
2017-06-19,719536
2017-06-20,702158
2017-06-21,687393
2017-06-22,674695
2017-06-23,681222
2017-06-24,683577
2017-06-25,665951
2017-06-26,674616
2017-06-27,672221
2017-06-28,652594
2017-06-29,648788
2017-06-30,635733
2017-07-01,635733
2017-07-02,615601
2017-07-03,607507
2017-07-04,627493
2017-07-05,627493
2017-07-06,638350
2017-07-07,638350
2017-07-08,637003
2017-07-09,624180
2017-07-13,599973
2017-07-14,593356
2017-07-15,593356
2017-07-16,594184
2017-07-17,602349
2017-07-18,599257
2017-07-19,621573
2017-07-20,628520
2017-07-21,650856
2017-07-22,659733
2017-07-23,641081
2017-07-24,623014
2017-07-25,611159
2017-07-26,589537
2017-07-27,590953
2017-07-28,585533
2017-07-29,603322
2017-07-30,621119
2017-07-31,621119
2017-08-01,607436
2017-08-02,600763
2017-08-03,614142
2017-08-04,604931
2017-08-05,614831
2017-08-06,621641
2017-08-07,626332
2017-08-08,641575
2017-08-09,637758
2017-08-10,638606
2017-08-11,621393
2017-08-12,612139
2017-08-13,600474
2017-08-14,579525
2017-08-15,574780
2017-08-16,573970
2017-08-17,562841
2017-08-18,562841
2017-08-19,564114
2017-08-20,575458
2017-08-21,572253
2017-08-22,565691
2017-08-23,571316
2017-08-24,582687
2017-08-25,590076
2017-08-26,614527
2017-08-27,640930
2017-08-28,630835
2017-08-29,630835
2017-08-30,602553
2017-08-31,579162
2017-09-01,579200
2017-09-02,591033
2017-09-03,591033
2017-09-04,590447
2017-09-05,604545
2017-09-06,593016
2017-09-07,579229
2017-09-08,579229
2017-09-09,575935
2017-09-10,581464
2017-09-11,593211
2017-09-12,596018
2017-09-13,611276
2017-09-14,603738
2017-09-15,603738
2017-09-16,587131
2017-09-17,578006
2017-09-18,579459
2017-09-19,583139
2017-09-20,589030
2017-09-22,566912
2017-09-23,569595
2017-09-24,570304
2017-09-25,569511
2017-09-26,565474
2017-09-27,565474
2017-09-28,567792
2017-09-29,557195
2017-09-30,569419
2017-10-01,581291
2017-10-02,582594
2017-10-03,582594
2017-10-04,574653
2017-10-05,573697
2017-10-06,581541
2017-10-07,595387
2017-10-08,603088
2017-10-09,609949
2017-10-10,618713
2017-10-11,618713
2017-10-12,615821
2017-10-13,623940
2017-10-14,644925
2017-10-15,644925
2017-10-16,643092
2017-10-17,643092
2017-10-18,638229
2017-10-19,635125
2017-10-20,619907
2017-10-21,605196
2017-10-22,604528
2017-10-23,612920
2017-10-24,626274
2017-10-25,641559
2017-10-26,626819
2017-10-27,613679
2017-10-28,613679
2017-10-29,602219
2017-10-30,607056
2017-10-31,612072
2017-11-01,612072
2017-11-02,614153
2017-11-03,589338
2017-11-04,577852
2017-11-05,569287
2017-11-06,563276
2017-11-07,551680
2017-11-08,548267
2017-11-09,537878
2017-11-10,545473
2017-11-11,565063
2017-11-12,566004
2017-11-13,557910
2017-11-14,557710
2017-11-15,559446
2017-11-16,550657
2017-11-17,525728
2017-11-18,511027
2017-11-19,517526
2017-11-20,511846
2017-11-21,508565
2017-11-22,488043
2017-11-23,484965
2017-11-24,471711
2017-11-25,473361
2017-11-26,474770
2017-11-27,474770
2017-11-28,478223
2017-11-29,474439
2017-11-30,474405
2017-12-01,480490
2017-12-02,471154
2017-12-03,466412
2017-12-04,461006
2017-12-05,461441
2017-12-06,464851
2017-12-07,473316
2017-12-08,473316
2017-12-09,495813
2017-12-10,503867
2017-12-11,501002
2017-12-12,498049
2017-12-13,500661
2017-12-14,494310
2017-12-15,504620
2017-12-16,511311
2017-12-17,497610
2017-12-18,499746
2017-12-19,517439
2017-12-20,534319
2017-12-21,544140
2017-12-22,563314
2017-12-23,580014
2017-12-24,606709
2017-12-25,621690
2017-12-26,630344
2017-12-27,660116
2017-12-28,686220
2017-12-29,680827
2017-12-30,685337
2017-12-31,676331
2018-01-01,672433
2018-01-02,682138
2018-01-03,690670
2018-01-04,701817
2018-01-05,728458
2018-01-06,764881
2018-01-07,792183
2018-01-08,820496
2018-01-09,854050
2018-01-10,885694
2018-01-11,928301
2018-01-12,946792
2018-01-13,917846
2018-01-14,896851
2018-01-15,881265
2018-01-16,883728
2018-01-17,882873
2018-01-18,867938
2018-01-19,867938
2018-01-20,864141
2018-01-21,853238
2018-01-22,848507
2018-01-23,817453
2018-01-24,782897
2018-01-25,760788
2018-01-26,769918
2018-01-27,750095
2018-01-28,739565
2018-01-29,719680
2018-01-30,730691
2018-01-31,732543
2018-02-01,727390
2018-02-02,719232
2018-02-03,705074
2018-02-04,728326
2018-02-05,755118
2018-02-06,759029
2018-02-07,744097
2018-02-08,757562
2018-02-09,737846
2018-02-10,730823
2018-02-11,762247
2018-02-12,757982
2018-02-13,734758
2018-02-14,720268
2018-02-15,702707
2018-02-16,697206
2018-02-17,684544
2018-02-18,675542
2018-02-19,690741
2018-02-20,699596
2018-02-21,690908
2018-02-22,700544
2018-02-23,725039
2018-02-24,716573
2018-02-25,740066
2018-02-26,747342
2018-02-27,755233
2018-02-28,769678
2018-03-01,780670
2018-03-02,805244
2018-03-03,801162
2018-03-04,791857
2018-03-05,796275
2018-03-06,827327
2018-03-07,818227
2018-03-08,814497
2018-03-09,810914
2018-03-10,823957
2018-03-11,810988
2018-03-12,831391
2018-03-13,866404
2018-03-14,882974
2018-03-15,906136
2018-03-16,901595
2018-03-17,899341
2018-03-18,888746
2018-03-20,893357
2018-03-21,895999
2018-03-22,897436
2018-03-23,883107
2018-03-24,871832
2018-03-25,830594
2018-03-26,810814
2018-03-27,787441
2018-03-28,788407
2018-03-29,804363
2018-03-30,812475
2018-03-31,816449
2018-04-01,844447
2018-04-02,853996
2018-04-03,849696
2018-04-04,856392
2018-04-05,860290
2018-04-06,853844
2018-04-07,850786
2018-04-08,856149
2018-04-09,855923
2018-04-10,874530
2018-04-11,852087
2018-04-12,833520
2018-04-13,797681
2018-04-14,793705
2018-04-15,824197
2018-04-16,813628
2018-04-17,825660
2018-04-18,856296
2018-04-19,852881
2018-04-20,854489
2018-04-21,855202
2018-04-22,858527
2018-04-23,859937
2018-04-24,861911
2018-04-25,887096
2018-04-26,916223
2018-04-27,947901
2018-04-28,959242
2018-04-29,954091
2018-04-30,909675
2018-05-01,892716
2018-05-02,887498
2018-05-03,887500
2018-05-04,883075
2018-05-05,891583
2018-05-06,876757
2018-05-07,877555
2018-05-08,880645
2018-05-09,865804
2018-05-10,860161
2018-05-11,858446
2018-05-12,848482
2018-05-13,830773
2018-05-14,833563
2018-05-15,848315
2018-05-16,860108
2018-05-17,863639
2018-05-18,872925
2018-05-19,884840
2018-05-20,917950
2018-05-21,900915
2018-05-22,896875
2018-05-23,893364
2018-05-24,915007
2018-05-25,934877
2018-05-26,962533
2018-05-27,998342
2018-05-28,1029218
2018-05-29,1030827
2018-05-30,985767
2018-05-31,977171
2018-06-01,970742
2018-06-02,966706
2018-06-03,957084
2018-06-04,935987
2018-06-05,903729
2018-06-06,894605
2018-06-07,858067
2018-06-08,820914
2018-06-09,804556
2018-06-10,809409
2018-06-11,829009
2018-06-12,823797
2018-06-13,819528
2018-06-14,829547
2018-06-15,851171
2018-06-16,847792
2018-06-17,846479
2018-06-18,819791
2018-06-19,823080
2018-06-20,834877
2018-06-21,858036
2018-06-22,838838
2018-06-23,833147
2018-06-24,834183
2018-06-25,824476
2018-06-26,819804
2018-06-27,810104
2018-06-28,799599
2018-06-29,827493
2018-06-30,817784
2018-07-01,814463
2018-07-02,811261
2018-07-03,842203
2018-07-04,858486
2018-07-05,864877
2018-07-06,893381
2018-07-07,916013
2018-07-08,937747
2018-07-09,952912
2018-07-10,980608
2018-07-11,1014682
2018-07-12,1030035
2018-07-13,1049149
2018-07-14,1080484
2018-07-15,1094045
2018-07-16,1078832
2018-07-17,1100169
2018-07-18,1104770
2018-07-19,1111484
2018-07-20,1092908
2018-07-21,1076187
2018-07-22,1065761
2018-07-23,1053822
2018-07-24,1060121
2018-07-25,1047983
2018-07-26,1029160
2018-07-27,1004421
2018-07-28,1004188
2018-07-29,1011863
2018-07-30,994906
2018-07-31,1011903
2018-08-01,1005136
2018-08-02,988607
2018-08-03,959288
2018-08-04,941991
2018-08-05,963246
2018-08-06,977221
2018-08-07,1000809
2018-08-08,1036342
2018-08-09,1055214
2018-08-10,1050501
2018-08-11,1048905
2018-08-12,1037954
2018-08-14,1041204
2018-08-16,995508
2018-08-17,968903
2018-08-18,999077
2018-08-19,974559
2018-08-20,955910
2018-08-21,961723
2018-08-22,980189
2018-08-23,976136
2018-08-24,970941
2018-08-25,966644
2018-08-26,967499
2018-08-27,967120
2018-08-28,961500
2018-08-29,952749
2018-08-30,935045
2018-08-31,917383
2018-09-01,922994
2018-09-02,930596
2018-09-03,922665
2018-09-04,928748
2018-09-05,915018
2018-09-06,907395
2018-09-07,901516
2018-09-08,878035
2018-09-09,860577
2018-09-10,893592
2018-09-11,877769
2018-09-12,887438
2018-09-13,918542
2018-09-14,929531
2018-09-15,951953
2018-09-16,982037
2018-09-17,1002941
2018-09-18,1001804
2018-09-19,985517
2018-09-20,950146
2018-09-21,934125
2018-09-22,921538
2018-09-23,916194
2018-09-24,917724
2018-09-25,914978
2018-09-26,912872
2018-09-27,892064
2018-09-28,895036
2018-09-29,897023
2018-09-30,897097
2018-10-01,876488
2018-10-02,877287
2018-10-03,894451
2018-10-04,906092
2018-10-05,901326
2018-10-06,886292
2018-10-07,874017
2018-10-08,872192
2018-10-09,877629
2018-10-10,897982
2018-10-11,897477
2018-10-12,905616
2018-10-13,897719
2018-10-14,885547
2018-10-15,882905
2018-10-16,881056
2018-10-17,892940
2018-10-18,877315
2018-10-19,860708
2018-10-20,873455
2018-10-21,853765
2018-10-22,828715
2018-10-23,825399
2018-10-24,806080
2018-10-25,823882
2018-10-26,834535
2018-10-27,835024
2018-10-28,832624
2018-10-29,850387
2018-10-30,859832
2018-10-31,857075
2018-11-01,856627
2018-11-03,885767
2018-11-04,913892
2018-11-05,936617
2018-11-06,949850
2018-11-07,968606
2018-11-08,978264
2018-11-09,978222
2018-11-10,994239
2018-11-11,995912
2018-11-12,1002042
2018-11-13,1020697
2018-11-14,1008413
2018-11-15,1002800
2018-11-16,995702
2018-11-17,1000604
2018-11-18,1023043
2018-11-19,1023208
2018-11-20,1045259
2018-11-21,1063622
2018-11-22,1062105
2018-11-23,1071507
2018-11-24,1055634
2018-11-25,1067725
2018-11-26,1099490
2018-11-27,1111639
2018-11-28,1102089
2018-11-29,1079329
2018-12-01,1133302
2018-12-02,1103219
2018-12-03,1096845
2018-12-04,1100182
2018-12-05,1106287
2018-12-07,1109302
2018-12-09,1108088
2018-12-10,1123186
2018-12-11,1143474
