date_obj,Bandos%20kiteshield price
2015-03-26,34518
2015-03-27,34518
2015-03-28,34397
2015-03-29,34526
2015-03-30,34047
2015-03-31,33362
2015-04-01,33362
2015-04-02,32811
2015-04-03,32213
2015-04-04,32517
2015-04-05,31878
2015-04-06,31337
2015-04-07,31702
2015-04-08,31702
2015-04-09,32237
2015-04-10,32245
2015-04-11,31734
2015-04-12,31364
2015-04-13,31885
2015-04-14,31885
2015-04-15,32236
2015-04-16,32961
2015-04-17,33971
2015-04-18,34135
2015-04-19,34276
2015-04-20,34276
2015-04-21,34523
2015-04-22,34523
2015-04-23,34537
2015-04-24,34537
2015-04-25,34604
2015-04-26,35131
2015-04-27,33922
2015-04-28,32653
2015-04-29,32653
2015-04-30,32450
2015-05-01,33310
2015-05-02,32995
2015-05-03,32995
2015-05-04,33101
2015-05-05,33155
2015-05-06,32614
2015-05-07,32223
2015-05-08,32223
2015-05-09,32476
2015-05-10,32410
2015-05-11,32410
2015-05-12,32058
2015-05-13,32058
2015-05-14,31153
2015-05-15,31153
2015-05-16,31062
2015-05-17,31637
2015-05-18,32216
2015-05-19,32460
2015-05-20,32460
2015-05-21,32959
2015-05-22,33313
2015-05-23,33795
2015-05-24,33030
2015-05-25,32625
2015-05-26,32509
2015-05-27,32780
2015-05-28,32856
2015-05-29,33414
2015-05-30,33303
2015-05-31,33303
2015-06-01,32808
2015-06-02,32808
2015-06-03,32539
2015-06-04,32680
2015-06-05,32978
2015-06-06,33519
2015-06-07,33895
2015-06-08,33895
2015-06-09,34325
2015-06-10,33908
2015-06-11,33908
2015-06-12,33884
2015-06-13,34269
2015-06-14,34269
2015-06-15,33881
2015-06-16,32795
2015-06-17,32795
2015-06-18,33206
2015-06-19,33206
2015-06-20,33209
2015-06-21,33209
2015-06-22,33037
2015-06-23,33037
2015-06-24,32385
2015-06-25,32385
2015-06-26,32004
2015-06-27,32004
2015-06-28,32340
2015-06-29,32340
2015-06-30,32552
2015-07-01,33464
2015-07-02,33464
2015-07-03,34190
2015-07-04,34190
2015-07-05,34092
2015-07-06,34092
2015-07-07,34213
2015-07-08,34150
2015-07-09,34150
2015-07-10,34759
2015-07-11,34759
2015-07-12,34467
2015-07-13,34026
2015-07-14,33561
2015-07-15,33561
2015-07-16,33504
2015-07-17,34101
2015-07-18,34101
2015-07-19,33457
2015-07-20,33043
2015-07-21,33043
2015-07-22,32778
2015-07-23,32778
2015-07-24,32902
2015-07-25,32902
2015-07-26,33471
2015-07-27,33857
2015-07-28,33857
2015-07-29,33410
2015-07-30,33410
2015-07-31,32374
2015-08-01,32374
2015-08-02,33230
2015-08-03,33230
2015-08-04,33019
2015-08-05,32671
2015-08-06,33061
2015-08-07,33061
2015-08-08,34007
2015-08-09,34270
2015-08-10,34320
2015-08-11,34759
2015-08-12,34759
2015-08-13,33954
2015-08-14,33201
2015-08-15,33201
2015-08-16,33447
2015-08-17,32290
2015-08-18,32290
2015-08-19,31926
2015-08-20,31926
2015-08-21,32190
2015-08-22,32969
2015-08-23,32969
2015-08-24,33256
2015-08-25,33256
2015-08-26,33004
2015-08-27,32813
2015-08-28,32813
2015-08-29,32863
2015-08-30,32863
2015-08-31,33247
2015-09-01,33067
2015-09-02,33067
2015-09-03,33231
2015-09-04,32761
2015-09-05,32761
2015-09-06,31961
2015-09-07,31961
2015-09-08,32262
2015-09-09,32635
2015-09-10,32753
2015-09-11,32607
2015-09-12,32607
2015-09-13,32989
2015-09-14,32989
2015-09-15,33495
2015-09-16,33495
2015-09-17,34179
2015-09-18,34179
2015-09-19,34030
2015-09-20,34030
2015-09-21,33252
2015-09-22,33252
2015-09-23,33802
2015-09-24,33802
2015-09-25,34063
2015-09-27,33607
2015-09-28,33590
2015-09-29,33590
2015-09-30,33219
2015-10-05,32703
2015-10-06,33281
2015-10-07,33281
2015-10-08,32982
2015-10-09,33324
2015-10-10,33324
2015-10-11,32991
2015-10-12,33245
2015-10-13,33245
2015-10-14,33185
2015-10-15,32503
2015-10-16,32503
2015-10-17,32381
2015-10-18,32381
2015-10-19,32557
2015-10-20,32557
2015-10-22,32988
2015-10-23,33733
2015-10-24,33733
