date_obj,Barley price
2015-03-26,329
2015-03-27,329
2015-03-28,329
2015-03-29,329
2015-03-30,329
2015-03-31,329
2015-04-01,329
2015-04-02,329
2015-04-03,329
2015-04-04,329
2015-04-05,329
2015-04-06,329
2015-04-07,329
2015-04-08,337
2015-04-09,337
2015-04-10,337
2015-04-11,337
2015-04-12,337
2015-04-13,337
2015-04-14,337
2015-04-15,337
2015-04-16,337
2015-04-17,337
2015-04-18,337
2015-04-19,337
2015-04-20,337
2015-04-21,337
2015-04-22,337
2015-04-23,347
2015-04-24,347
2015-04-25,347
2015-04-26,347
2015-04-27,347
2015-04-28,347
2015-04-29,347
2015-04-30,347
2015-05-01,347
2015-05-02,347
2015-05-03,347
2015-05-04,347
2015-05-05,347
2015-05-06,347
2015-05-07,347
2015-05-08,347
2015-05-09,358
2015-05-10,358
2015-05-11,358
2015-05-12,358
2015-05-13,358
2015-05-14,358
2015-05-15,358
2015-05-16,358
2015-05-17,358
2015-05-18,358
2015-05-19,358
2015-05-20,358
2015-05-21,358
2015-05-22,358
2015-05-23,358
2015-05-24,358
2015-05-25,373
2015-05-26,373
2015-05-27,373
2015-05-28,373
2015-05-29,373
2015-05-30,373
2015-05-31,373
2015-06-01,373
2015-06-02,373
2015-06-03,373
2015-06-04,373
2015-06-05,383
2015-06-06,383
2015-06-07,383
2015-06-08,383
2015-06-09,383
2015-06-10,383
2015-06-11,383
2015-06-12,383
2015-06-13,383
2015-06-14,383
2015-06-15,383
2015-06-16,383
2015-06-17,383
2015-06-18,383
2015-06-19,383
2015-06-20,383
2015-06-21,383
2015-06-22,392
2015-06-23,392
2015-06-24,392
2015-06-25,392
2015-06-26,392
2015-06-27,392
2015-06-28,392
2015-06-29,392
2015-06-30,392
2015-07-01,392
2015-07-02,392
2015-07-03,392
2015-07-04,392
2015-07-05,392
2015-07-06,392
2015-07-07,399
2015-07-08,399
2015-07-09,399
2015-07-10,399
2015-07-11,399
2015-07-12,399
2015-07-13,399
2015-07-14,399
2015-07-15,399
2015-07-16,399
2015-07-17,399
2015-07-18,399
2015-07-19,399
2015-07-20,399
2015-07-21,399
2015-07-22,407
2015-07-23,407
2015-07-24,407
2015-07-25,407
2015-07-26,407
2015-07-27,407
2015-07-28,407
2015-07-29,407
2015-07-30,407
2015-07-31,407
2015-08-01,407
2015-08-02,407
2015-08-03,407
2015-08-04,407
2015-08-05,407
2015-08-06,407
2015-08-07,407
2015-08-08,407
2015-08-09,412
2015-08-10,412
2015-08-11,412
2015-08-12,412
2015-08-13,412
2015-08-14,412
2015-08-15,412
2015-08-16,412
2015-08-17,412
2015-08-18,412
2015-08-19,412
2015-08-20,412
2015-08-21,412
2015-08-22,412
2015-08-23,412
2015-08-24,412
2015-08-25,412
2015-08-26,412
2015-08-27,412
2015-08-28,412
2015-08-29,412
2015-08-30,418
2015-08-31,418
2015-09-01,418
2015-09-02,418
2015-09-03,418
2015-09-04,418
2015-09-05,418
2015-09-06,418
2015-09-07,418
2015-09-08,418
2015-09-09,418
2015-09-10,418
2015-09-11,418
2015-09-12,418
2015-09-13,418
2015-09-14,418
2015-09-15,418
2015-09-16,418
2015-09-17,418
2015-09-18,418
2015-09-19,418
2015-09-20,418
2015-09-21,418
2015-09-22,418
2015-09-23,418
2015-09-24,418
2015-09-25,418
2015-09-27,418
2015-09-28,418
2015-09-29,401
2015-09-30,401
2015-10-05,401
2015-10-06,401
2015-10-07,401
2015-10-08,401
2015-10-09,401
2015-10-10,401
2015-10-11,401
2015-10-12,401
2015-10-13,401
2015-10-14,401
2015-10-15,401
2015-10-16,401
2015-10-17,401
2015-10-18,401
2015-10-19,401
2015-10-20,401
2015-10-22,401
2015-10-23,401
2015-10-24,401
2015-10-25,401
2015-10-26,401
2015-10-27,401
2015-10-28,401
2015-10-29,401
2015-10-30,401
2015-10-31,401
2015-11-01,401
2015-11-02,401
2015-11-03,401
2015-11-04,401
2015-11-05,401
2015-11-06,401
2015-11-07,401
2015-11-08,401
2015-11-09,401
2015-11-10,401
2015-11-11,401
2015-11-12,418
2015-11-13,418
2015-11-14,418
2015-11-15,418
2015-11-16,418
2015-11-17,418
2015-11-18,418
2015-11-19,418
2015-11-20,418
2015-11-21,418
2015-11-22,418
2015-11-23,418
2015-11-24,418
2015-11-25,418
2015-11-26,418
2015-11-27,418
2015-11-28,418
2015-11-29,418
2015-11-30,418
2015-12-01,418
2015-12-02,418
2015-12-03,418
2015-12-04,418
2015-12-05,418
2015-12-06,418
2015-12-07,418
2015-12-08,418
2015-12-09,418
2015-12-10,423
2015-12-11,423
2015-12-12,423
2015-12-13,423
2015-12-14,423
2015-12-15,423
2015-12-16,423
2015-12-17,423
2015-12-18,423
2015-12-19,423
2015-12-20,423
2015-12-21,423
2015-12-22,423
2015-12-23,423
2015-12-24,423
2015-12-25,423
2015-12-26,423
2015-12-27,423
2015-12-28,423
2015-12-29,423
2015-12-30,423
2015-12-31,423
2016-01-01,423
2016-01-02,423
2016-01-03,437
2016-01-04,437
2016-01-05,437
2016-01-06,437
2016-01-07,437
2016-01-08,437
2016-01-09,437
2016-01-10,437
2016-01-11,437
2016-01-12,437
2016-01-13,437
2016-01-14,437
2016-01-15,437
2016-01-16,437
2016-01-17,437
2016-01-18,437
2016-01-19,437
2016-01-20,437
2016-01-21,437
2016-01-22,437
2016-01-23,437
2016-01-24,437
2016-01-25,438
2016-01-26,438
2016-01-27,438
2016-01-28,438
2016-01-29,438
2016-01-30,438
2016-01-31,438
2016-02-01,438
2016-02-02,438
2016-02-03,438
2016-02-04,438
2016-02-05,438
2016-02-06,438
2016-02-07,438
2016-02-08,438
2016-02-09,438
2016-02-10,438
2016-02-11,438
2016-02-12,438
2016-02-13,438
2016-02-14,438
2016-02-15,438
2016-02-16,438
2016-02-17,438
2016-02-18,438
2016-02-19,438
2016-02-20,438
2016-02-21,438
2016-02-22,438
2016-02-23,438
2016-02-24,438
2016-02-25,438
2016-02-26,435
2016-02-27,435
2016-02-28,435
2016-02-29,435
2016-03-01,435
2016-03-02,435
2016-03-03,435
2016-03-04,435
2016-03-05,435
2016-03-06,435
2016-03-07,435
2016-03-08,435
2016-03-09,435
2016-03-10,435
2016-03-11,435
2016-03-12,435
2016-03-13,435
2016-03-14,435
2016-03-15,435
2016-03-16,435
2016-03-17,435
2016-03-18,435
2016-03-19,435
2016-03-20,435
2016-03-21,435
2016-03-22,435
2016-03-23,435
2016-03-24,435
2016-03-25,435
2016-03-26,435
2016-03-27,435
2016-03-28,435
2016-03-29,435
2016-03-30,435
2016-03-31,435
2016-04-01,435
2016-04-02,435
2016-04-03,435
2016-04-04,435
2016-04-05,446
2016-04-06,446
2016-04-07,446
2016-04-08,446
2016-04-09,446
2016-04-10,446
2016-04-11,446
2016-04-12,446
2016-04-13,446
2016-04-14,446
2016-04-15,446
2016-04-16,446
2016-04-17,446
2016-04-18,446
2016-04-19,446
2016-04-20,446
2016-04-21,446
2016-04-22,446
2016-04-23,446
2016-04-24,446
2016-04-25,446
2016-04-26,446
2016-04-27,446
2016-04-28,446
2016-04-29,446
2016-04-30,446
2016-05-01,446
2016-05-02,446
2016-05-03,446
2016-05-04,446
2016-05-05,446
2016-05-06,446
2016-05-07,446
2016-05-08,446
2016-05-09,446
2016-05-10,446
2016-05-11,463
2016-05-12,463
2016-05-13,463
2016-05-14,463
2016-05-15,463
2016-05-16,463
2016-05-17,463
2016-05-18,463
2016-05-19,463
2016-05-22,463
2016-05-23,463
2016-05-24,463
2016-05-25,463
2016-05-26,463
2016-05-27,463
2016-05-28,463
2016-05-29,463
2016-05-30,463
2016-05-31,463
2016-06-01,463
2016-06-02,463
2016-06-03,463
2016-06-04,463
2016-06-05,463
2016-06-06,463
2016-06-07,463
2016-06-08,463
2016-06-09,463
2016-06-10,463
2016-06-11,463
2016-06-12,463
2016-06-13,463
2016-06-14,463
2016-06-15,463
2016-06-16,463
2016-06-17,463
2016-06-18,463
2016-06-19,463
2016-06-20,472
2016-06-21,472
2016-06-22,472
2016-06-23,472
2016-06-24,472
2016-06-25,472
2016-06-26,472
2016-06-27,472
2016-06-28,472
2016-06-29,472
2016-06-30,472
2016-07-01,472
2016-07-02,472
2016-07-03,472
2016-07-04,472
2016-07-05,472
2016-07-06,472
2016-07-07,472
2016-07-08,472
2016-07-09,472
2016-07-10,472
2016-07-11,472
2016-07-12,472
2016-07-13,472
2016-07-14,472
2016-07-15,490
2016-07-16,490
2016-07-17,490
2016-07-18,490
2016-07-23,490
2016-07-24,490
2016-07-25,490
2016-07-26,490
2016-07-27,490
2016-07-28,490
2016-07-29,490
2016-07-30,490
2016-07-31,490
2016-08-01,490
2016-08-02,490
2016-08-03,490
2016-08-04,490
2016-08-05,490
2016-08-06,490
2016-08-07,490
2016-08-08,490
2016-08-09,490
2016-08-10,490
2016-08-11,490
2016-08-12,490
2016-08-13,490
2016-08-14,490
2016-08-15,490
2016-08-16,490
2016-08-17,490
2016-08-18,490
2016-08-19,502
2016-08-20,502
2016-08-21,502
2016-08-22,502
2016-08-23,502
2016-08-24,502
2016-08-25,502
2016-08-26,502
2016-08-28,502
2016-08-31,502
2016-09-01,502
2016-09-02,502
2016-09-03,502
2016-09-04,502
2016-09-05,502
2016-09-06,502
