date_obj,Basilisk%20jaw price
2019-09-25,1000000
2019-09-26,1050000
2019-09-27,1102500
2019-09-28,1157625
2019-09-29,1215507
2019-09-30,1276283
2019-10-01,1340098
2019-10-02,1407103
2019-10-03,1477459
2019-10-04,1551332
2019-10-05,1628899
2019-10-06,1710344
2019-10-07,1795862
2019-10-08,1885656
2019-10-09,1979496
2019-10-10,2078471
2019-10-11,2178841
2019-10-12,2287784
2019-10-13,2402174
2019-10-14,2522283
2019-10-15,2647563
2019-10-16,2779942
2019-10-17,2917425
2019-10-18,3063297
2019-10-19,3216462
2019-10-20,3375881
2019-10-21,3540655
2019-10-22,3717688
2019-10-23,3903573
2019-10-24,4090855
2019-10-25,4295398
2019-10-26,4510168
2019-10-27,4732427
2019-10-28,4969049
2019-10-29,5180281
2019-10-30,5423089
2019-10-31,5694244
2019-11-01,5978957
2019-11-02,6277905
2019-11-03,6591801
2019-11-04,6921392
2019-11-05,7248300
2019-11-06,7610715
2019-11-07,7991251
2019-11-08,8390814
2019-11-09,8810355
2019-11-10,9250873
2019-11-11,9713417
2019-11-12,10166793
2019-11-13,10650353
2019-11-14,11161651
2019-11-15,11719734
2019-11-16,12305721
2019-11-17,12901601
2019-11-18,13546682
2019-11-19,14199745
2019-11-20,14909733
2019-11-21,15587434
2019-11-22,16366806
2019-11-23,17185147
2019-11-24,18020566
2019-11-25,18889731
2019-11-26,19834218
2019-11-27,20725011
2019-11-28,21761262
2019-11-29,22800175
2019-11-30,23940184
2019-12-01,25137194
2019-12-02,26394054
2019-12-03,27713757
2019-12-04,29099445
2019-12-05,29099445
2019-12-06,30554418
2019-12-07,32082139
2019-12-08,33415494
2019-12-09,34439796
2019-12-10,35545374
2019-12-11,36588397
2019-12-12,36588397
2019-12-13,38254428
2019-12-14,38167562
2019-12-15,36712166
2019-12-16,35062632
2019-12-17,34258454
2019-12-18,34258454
2019-12-19,33837364
2019-12-20,33215665
2019-12-21,31932210
2019-12-22,31918359
2019-12-23,31361676
2019-12-24,31347066
2019-12-25,31373803
2019-12-26,32479810
2019-12-27,32316944
2019-12-28,33185559
2019-12-29,33901538
2019-12-30,34627725
2019-12-31,36146540
2020-01-01,37059441
2020-01-02,36208183
2020-01-03,35411275
2020-01-04,35008767
2020-01-05,34338996
2020-01-06,33467248
2020-01-07,32453707
2020-01-08,32453707
2020-01-09,33541821
2020-01-10,35063476
2020-01-11,34481202
2020-01-12,33785510
2020-01-13,33785510
2020-01-14,33531291
2020-01-15,33859860
2020-01-16,33636125
2020-01-17,33528887
2020-01-18,33562971
2020-01-19,33231610
2020-01-20,31984911
2020-01-21,32682203
2020-01-22,32095017
2020-01-23,31689202
2020-01-24,31470598
2020-01-25,31853836
2020-01-26,31911997
2020-01-27,31956114
2020-01-28,31363799
2020-01-29,31085485
2020-01-30,31094650
2020-01-31,31130789
2020-02-01,31586210
2020-02-02,31616911
2020-02-03,32211008
2020-02-04,32221379
2020-02-05,32936610
2020-02-06,34566682
2020-02-07,36295017
2020-02-08,38096709
2020-02-09,37262093
2020-02-10,35929308
2020-02-11,35828124
2020-02-12,35696879
2020-02-13,35329932
2020-02-14,35424250
2020-02-15,35607648
2020-02-16,35554229
2020-02-17,35044825
2020-02-18,33726619
2020-02-19,32048815
2020-02-20,31329158
2020-02-21,30997191
2020-02-22,31168284
2020-02-23,31080604
2020-02-24,30791404
2020-02-25,30167541
2020-02-26,29100961
2020-02-27,28967801
2020-02-28,28821476
2020-02-29,29518872
2020-03-01,29809184
2020-03-02,29298070
2020-03-03,28647532
2020-03-04,28398120
2020-03-05,28079435
2020-03-06,27735753
2020-03-07,28047280
2020-03-08,27698411
2020-03-09,26746637
2020-03-10,25422727
2020-03-11,24164387
2020-03-12,24461578
2020-03-13,24305213
2020-03-14,24855333
2020-03-15,25855361
2020-03-16,26257711
2020-03-17,27149724
2020-03-18,28446626
2020-03-19,28973611
2020-03-20,27526539
2020-03-21,27678169
2020-03-22,27312230
2020-03-23,27066045
2020-03-24,27067605
2020-03-25,26991216
2020-03-26,26954815
2020-03-27,27224087
2020-03-28,27614794
2020-03-29,27381053
2020-03-30,27186719
2020-03-31,26869175
2020-04-01,26775255
2020-04-02,27207654
2020-04-03,27491128
2020-04-04,27494249
2020-04-05,27414778
2020-04-06,27196107
2020-04-07,26389635
2020-04-08,26326354
2020-04-09,26253805
2020-04-10,26243033
2020-04-11,26053370
2020-04-12,25934140
2020-04-13,25768285
2020-04-14,25555856
2020-04-15,25261473
2020-04-16,24448854
2020-04-17,24548786
2020-04-18,24420219
2020-04-19,24045233
2020-04-20,23530415
2020-04-21,22910674
2020-04-22,22268336
2020-04-23,22675665
2020-04-24,23451277
2020-04-25,23242426
2020-04-26,22928705
2020-04-27,22501057
2020-04-28,21963500
2020-04-29,21300146
2020-04-30,20452457
2020-05-01,21278962
2020-05-02,22078679
2020-05-03,22221132
2020-05-04,22231863
2020-05-05,21831784
2020-05-06,21619087
2020-05-07,21395570
2020-05-08,21492520
2020-05-09,21737683
2020-05-10,22081018
2020-05-11,22207187
2020-05-12,22270132
2020-05-13,21904702
