date_obj,Black%20cape price
2015-03-04,35
2015-03-05,37
2015-03-06,39
2015-03-07,39
2015-03-08,41
2015-03-09,41
2015-03-10,44
2015-03-11,44
2015-03-12,47
2015-03-13,47
2015-03-14,50
2015-03-15,50
2015-03-16,52
2015-03-17,52
2015-03-18,55
2015-03-19,55
2015-03-20,58
2015-03-21,58
2015-03-22,61
2015-03-23,61
2015-03-24,65
2015-03-25,65
2015-03-26,69
2015-03-27,69
2015-03-28,73
2015-03-29,73
2015-03-30,76
2015-03-31,76
2015-04-01,80
2015-04-02,80
2015-04-03,84
2015-04-04,84
2015-04-05,89
2015-04-06,89
2015-04-07,94
2015-04-08,94
2015-04-09,94
2015-04-10,99
2015-04-11,99
2015-04-12,104
2015-04-13,104
2015-04-14,109
2015-04-15,109
2015-04-16,115
2015-04-17,115
2015-04-18,121
2015-04-19,121
2015-04-20,127
2015-04-21,127
2015-04-22,133
2015-04-23,140
2015-04-24,140
2015-04-25,146
2015-04-26,146
2015-04-27,152
2015-04-28,152
2015-04-29,159
2015-04-30,159
2015-05-01,164
2015-05-02,164
2015-05-03,171
2015-05-04,171
2015-05-05,179
2015-05-06,179
2015-05-07,187
2015-05-08,187
2015-05-09,196
2015-05-10,196
2015-05-11,205
2015-05-12,214
2015-05-13,214
2015-05-14,224
2015-05-15,224
2015-05-16,235
2015-05-17,246
2015-05-18,246
2015-05-19,256
2015-05-20,256
2015-05-21,256
2015-05-22,267
2015-05-23,267
2015-05-24,270
2015-05-25,270
2015-05-26,284
2015-05-27,284
2015-05-28,295
2015-05-29,295
2015-05-30,305
2015-05-31,305
2015-06-01,318
2015-06-02,318
2015-06-03,332
2015-06-04,332
2015-06-05,348
2015-06-06,348
2015-06-07,365
2015-06-08,365
2015-06-09,383
2015-06-10,383
2015-06-11,398
2015-06-12,398
2015-06-13,406
2015-06-14,406
2015-06-15,425
2015-06-16,425
2015-06-17,444
2015-06-18,444
2015-06-19,465
2015-06-20,465
2015-06-21,486
2015-06-22,486
2015-06-23,508
2015-06-24,508
2015-06-25,520
2015-06-26,520
2015-06-27,531
2015-06-28,531
2015-06-29,549
2015-06-30,549
2015-07-01,530
