date_obj,Black%20d'hide%20body%20(t) price
2015-03-26,147042
2015-03-27,147042
2015-03-28,147042
2015-03-29,147042
2015-03-30,139925
2015-03-31,139925
2015-04-01,139925
2015-04-02,133134
2015-04-03,133134
2015-04-04,126848
2015-04-05,126848
2015-04-06,126848
2015-04-07,126848
2015-04-08,120799
2015-04-09,120799
2015-04-10,120799
2015-04-11,114813
2015-04-12,114813
2015-04-13,114813
2015-04-14,109341
2015-04-15,109341
2015-04-16,109341
2015-04-17,104370
2015-04-18,104370
2015-04-19,104370
2015-04-20,104370
2015-04-21,99488
2015-04-22,99488
2015-04-23,99488
2015-04-24,99488
2015-04-25,94842
2015-04-26,94842
2015-04-27,94842
2015-04-28,90173
2015-04-29,90173
2015-04-30,90173
2015-05-01,85900
2015-05-02,85900
2015-05-03,85900
2015-05-04,81868
2015-05-05,81868
2015-05-06,78075
2015-05-07,78075
2015-05-08,74549
2015-05-09,74549
2015-05-10,71037
2015-05-11,71037
2015-05-12,67705
2015-05-13,67705
2015-05-14,64538
2015-05-15,64538
2015-05-16,64538
2015-05-17,61482
2015-05-18,61482
2015-05-19,58681
2015-05-20,58681
2015-05-21,58681
2015-05-22,55870
2015-05-23,55870
2015-05-24,53262
2015-05-25,50788
2015-05-26,50788
2015-05-27,48574
2015-05-28,48574
2015-05-29,48574
2015-05-30,46361
2015-05-31,46361
2015-06-01,44153
2015-06-02,44153
2015-06-03,44153
2015-06-04,44153
2015-06-05,41945
2015-06-06,41945
2015-06-07,41945
2015-06-08,41945
2015-06-09,39943
2015-06-10,39943
2015-06-11,39943
2015-06-12,38113
2015-06-13,38113
2015-06-14,38113
2015-06-15,36379
2015-06-16,36379
2015-06-17,36379
2015-06-18,34692
2015-06-19,34692
2015-06-20,34692
2015-06-21,33082
2015-06-22,33082
2015-06-23,33082
2015-06-24,31427
2015-06-25,31427
2015-06-26,31427
2015-06-27,31427
2015-06-28,30058
2015-06-29,30058
2015-06-30,30058
2015-07-01,28645
2015-07-02,28645
2015-07-03,28645
2015-07-04,28645
2015-07-05,27243
2015-07-06,27243
2015-07-07,27243
2015-07-08,26070
2015-07-09,26070
2015-07-10,26070
2015-07-11,26070
2015-07-12,25217
2015-07-13,25217
2015-07-14,25217
2015-07-15,25217
2015-07-16,24136
2015-07-17,24136
2015-07-18,24136
2015-07-19,24136
2015-07-20,22973
2015-07-21,22973
2015-07-22,22973
2015-07-23,21898
2015-07-24,21898
2015-07-25,21898
2015-07-26,20831
2015-07-27,20831
2015-07-28,20831
2015-07-29,20798
2015-07-30,20798
2015-07-31,20798
2015-08-01,20798
2015-08-02,20563
2015-08-03,20563
2015-08-04,20563
2015-08-05,20032
2015-08-06,20032
2015-08-07,20032
2015-08-08,19710
2015-08-09,19710
2015-08-10,19710
2015-08-11,19721
2015-08-12,19721
2015-08-13,19721
2015-08-14,19477
2015-08-15,19477
2015-08-16,19477
2015-08-17,19477
2015-08-18,19278
2015-08-19,19278
2015-08-20,19278
2015-08-21,18770
2015-08-22,18770
2015-08-23,18770
2015-08-24,17831
2015-08-25,17831
2015-08-26,17831
2015-08-27,17831
2015-08-28,17535
2015-08-29,17535
2015-08-30,17535
2015-08-31,17232
2015-09-01,17232
2015-09-02,17232
2015-09-03,17232
2015-09-04,17006
2015-09-05,17006
2015-09-06,17006
2015-09-07,17006
2015-09-08,16349
2015-09-09,16349
2015-09-10,16349
2015-09-11,16466
2015-09-12,16466
2015-09-13,16466
2015-09-14,16912
2015-09-15,16912
2015-09-16,16912
2015-09-17,17690
2015-09-18,17690
2015-09-19,17690
2015-09-20,17690
2015-09-21,18539
2015-09-22,18539
2015-09-23,18539
2015-09-24,18539
2015-09-25,19386
2015-09-27,19386
2015-09-28,19386
2015-09-29,19354
2015-09-30,19354
2015-10-05,19280
2015-10-06,19280
2015-10-07,19530
2015-10-08,19530
2015-10-09,19530
2015-10-10,19530
2015-10-11,19752
2015-10-12,19752
2015-10-13,19752
2015-10-14,19752
2015-10-15,19177
2015-10-16,19177
2015-10-17,19177
2015-10-18,19470
2015-10-19,19470
2015-10-20,19470
2015-10-22,20110
2015-10-23,20110
2015-10-24,20110
2015-10-25,21083
2015-10-26,21083
2015-10-27,21083
2015-10-28,21083
2015-10-29,21565
2015-10-30,21565
2015-10-31,21565
2015-11-01,21565
2015-11-02,22476
2015-11-03,22476
2015-11-04,22476
2015-11-05,22476
2015-11-06,22621
2015-11-07,22621
2015-11-08,22621
2015-11-09,22621
2015-11-10,23169
2015-11-11,23169
2015-11-12,23169
2015-11-13,23169
2015-11-14,24273
2015-11-15,24273
2015-11-16,24273
2015-11-17,24273
2015-11-18,25418
2015-11-19,25418
2015-11-20,25418
2015-11-21,25418
2015-11-22,26545
2015-11-23,26545
2015-11-24,26545
2015-11-25,26545
2015-11-26,26545
2015-11-27,27294
2015-11-28,27294
2015-11-29,27294
2015-11-30,28245
2015-12-01,28245
2015-12-02,28245
2015-12-03,28245
2015-12-04,29485
2015-12-05,29485
2015-12-06,29485
2015-12-07,30529
2015-12-08,30529
2015-12-09,30529
2015-12-10,30659
2015-12-11,30659
2015-12-12,30659
2015-12-13,30659
2015-12-14,29569
2015-12-15,29569
2015-12-16,29569
2015-12-17,28845
2015-12-18,28845
2015-12-19,28845
2015-12-20,28379
2015-12-21,28379
2015-12-22,28379
2015-12-23,27262
2015-12-24,27262
2015-12-25,27262
2015-12-26,27262
2015-12-27,26371
2015-12-28,26371
2015-12-29,26371
2015-12-30,25100
2015-12-31,25100
2016-01-01,25100
2016-01-02,24021
2016-01-03,24021
2016-01-04,22846
2016-01-05,22846
2016-01-06,22846
2016-01-07,21834
2016-01-08,21834
2016-01-09,21834
2016-01-10,20742
2016-01-11,20742
2016-01-12,20742
2016-01-13,20022
2016-01-14,20022
2016-01-15,19113
2016-01-16,19113
2016-01-17,19113
2016-01-18,18508
2016-01-19,18508
2016-01-20,18060
2016-01-21,18060
2016-01-22,18060
2016-01-23,18035
2016-01-24,18035
2016-01-25,18035
2016-01-26,18469
2016-01-27,18469
2016-01-28,18469
2016-01-29,18053
2016-01-30,18053
2016-01-31,18053
2016-02-01,17171
2016-02-02,17171
2016-02-03,16362
2016-02-04,16362
2016-02-05,15595
2016-02-06,15595
2016-02-07,14841
2016-02-08,14841
2016-02-09,14098
2016-02-10,13781
2016-02-11,13781
2016-02-12,13781
2016-02-13,13788
2016-02-14,13788
2016-02-15,13788
2016-02-16,13817
2016-02-17,13817
2016-02-18,13817
2016-02-19,13587
2016-02-20,13587
2016-02-21,13448
2016-02-22,13448
2016-02-23,13443
2016-02-24,13443
2016-02-25,13282
2016-02-26,13282
2016-02-27,13036
2016-02-28,13036
2016-02-29,13036
2016-03-01,12845
2016-03-02,12845
2016-03-03,12558
2016-03-04,12558
2016-03-05,12589
2016-03-06,12589
2016-03-07,12267
2016-03-08,12267
2016-03-09,12295
2016-03-10,12295
2016-03-11,12219
2016-03-12,12219
2016-03-13,12101
2016-03-14,12101
2016-03-15,12101
2016-03-16,11820
2016-03-17,11820
2016-03-18,12074
2016-03-19,12074
2016-03-20,11824
2016-03-21,11824
2016-03-22,11831
2016-03-23,11831
2016-03-24,11631
2016-03-25,11631
2016-03-26,11644
2016-03-27,11644
2016-03-28,11702
2016-03-29,11702
2016-03-30,11702
2016-03-31,11323
2016-04-01,11323
2016-04-02,11323
2016-04-03,11241
2016-04-04,11241
2016-04-05,11124
2016-04-06,11124
2016-04-07,10780
2016-04-08,10780
2016-04-09,10744
2016-04-10,10744
2016-04-11,11118
2016-04-12,11118
2016-04-13,11332
2016-04-14,11332
2016-04-15,11200
2016-04-16,11200
2016-04-17,11293
2016-04-18,11293
2016-04-19,11071
2016-04-20,11071
2016-04-21,10557
2016-04-22,10557
2016-04-23,10557
2016-04-24,10209
2016-04-25,10209
2016-04-26,10315
2016-04-27,10315
2016-04-28,10611
2016-04-29,10611
2016-04-30,10667
2016-05-01,10667
2016-05-02,10667
2016-05-03,10750
2016-05-04,10750
2016-05-05,11206
2016-05-06,11206
2016-05-07,11206
2016-05-08,11438
2016-05-09,11438
2016-05-10,11083
2016-05-11,11083
2016-05-12,11083
2016-05-13,10639
2016-05-14,10639
2016-05-15,10107
2016-05-16,10107
2016-05-17,9784
2016-05-18,9342
2016-05-19,9342
2016-05-22,9012
2016-05-23,9012
2016-05-24,8996
2016-05-25,8996
2016-05-26,8897
2016-05-27,8956
2016-05-28,8956
2016-05-29,8805
2016-05-30,8805
2016-05-31,8805
2016-06-01,8802
2016-06-02,8802
2016-06-03,8811
2016-06-04,8811
2016-06-05,8894
2016-06-06,8894
2016-06-07,9042
2016-06-08,9042
2016-06-09,9093
2016-06-10,9093
2016-06-11,9245
2016-06-12,9245
2016-06-13,9468
2016-06-14,9468
2016-06-15,9591
2016-06-16,9591
2016-06-17,9431
2016-06-18,9431
2016-06-19,9881
2016-06-20,9881
2016-06-21,10050
2016-06-22,10050
2016-06-23,10084
2016-06-24,10084
2016-06-25,10520
2016-06-26,10520
2016-06-27,10520
2016-06-28,10887
2016-06-29,10887
2016-06-30,11271
2016-07-01,11271
2016-07-02,11580
2016-07-03,11580
2016-07-04,11462
2016-07-05,11462
2016-07-06,11379
2016-07-07,11379
2016-07-08,11148
2016-07-09,11148
2016-07-10,11126
2016-07-11,11126
2016-07-12,11112
2016-07-13,11112
2016-07-14,11171
2016-07-15,11171
2016-07-16,11656
2016-07-17,11656
2016-07-18,12156
2016-07-23,12465
2016-07-24,12742
2016-07-25,12742
2016-07-26,12742
2016-07-27,12952
2016-07-28,12952
2016-07-29,12952
2016-07-30,12907
2016-07-31,12907
2016-08-01,12907
2016-08-02,12867
2016-08-03,12867
2016-08-04,12867
2016-08-05,12815
2016-08-06,12815
2016-08-07,12815
2016-08-08,13304
2016-08-09,13304
2016-08-10,13728
2016-08-11,13728
2016-08-12,13728
2016-08-13,13728
2016-08-14,13973
2016-08-15,13973
2016-08-16,13918
2016-08-17,13918
2016-08-18,13918
2016-08-19,13954
2016-08-20,13954
2016-08-21,13954
2016-08-22,13658
2016-08-23,13658
2016-08-24,13658
2016-08-25,13577
2016-08-26,13577
2016-08-28,13702
2016-08-31,13888
2016-09-01,13888
2016-09-02,13888
2016-09-03,13546
2016-09-04,13756
2016-09-05,13756
2016-09-06,13755
2016-09-07,13755
2016-09-08,13755
2016-09-09,13792
2016-09-10,13792
2016-09-11,13792
2016-09-12,13245
2016-09-13,13245
2016-09-14,13245
2016-09-15,12787
2016-09-16,12787
2016-09-17,12787
2016-09-18,12567
2016-09-19,12567
2016-09-20,12567
2016-09-21,12485
2016-09-22,12485
2016-09-23,12485
2016-09-24,12512
2016-09-25,12512
2016-09-26,12512
2016-09-27,12794
2016-09-28,12794
2016-09-29,12794
2016-09-30,13359
2016-10-01,13359
2016-10-02,13359
2016-10-03,13359
2016-10-04,13987
2016-10-05,13987
2016-10-06,13987
2016-10-07,13987
2016-10-08,14614
2016-10-09,14614
2016-10-10,14614
2016-10-11,14693
2016-10-12,14693
2016-10-13,14693
2016-10-14,14238
2016-10-15,14238
2016-10-16,13747
2016-10-17,13747
2016-10-18,13330
2016-10-19,13330
2016-10-20,13330
2016-10-21,13122
2016-10-22,13122
2016-10-23,13122
2016-10-24,12968
2016-10-25,12968
2016-10-26,12968
2016-10-27,13447
2016-10-28,13447
2016-10-29,13447
2016-10-30,14059
2016-10-31,14059
2016-11-01,14059
2016-11-02,14532
2016-11-03,14532
2016-11-04,14532
2016-11-05,15078
2016-11-06,15078
2016-11-07,15078
2016-11-08,15272
2016-11-09,15272
2016-11-10,15272
2016-11-11,15456
2016-11-12,15456
2016-11-13,15456
2016-11-14,15456
2016-11-15,15227
2016-12-07,13791
2016-12-08,13791
2016-12-09,13791
2016-12-10,14006
2016-12-11,14006
2016-12-12,14006
2016-12-13,13849
2016-12-14,13849
2016-12-15,13849
2016-12-16,14116
2016-12-17,14116
2016-12-18,14116
2016-12-19,14205
2016-12-20,14205
2016-12-21,14205
2016-12-22,14289
2016-12-23,14289
2016-12-24,14289
2016-12-25,14551
2016-12-26,14551
2016-12-27,14551
2016-12-28,14909
2016-12-29,14909
2016-12-30,14909
2016-12-31,14903
2017-01-01,14903
2017-01-02,14972
2017-01-03,14972
2017-01-04,15374
2017-01-05,15374
2017-01-06,15374
2017-01-07,14994
2017-01-08,14994
2017-01-09,15025
2017-01-10,15025
2017-01-11,14999
2017-01-12,14999
2017-01-13,15641
2017-01-14,15641
2017-01-15,15463
2017-01-16,15463
2017-01-17,16008
2017-01-18,16008
2017-01-19,16008
2017-01-20,15776
2017-01-21,15776
2017-01-22,15952
2017-01-23,15952
2017-01-27,15961
2017-01-28,15866
2017-01-29,15866
2017-01-30,15857
2017-01-31,15857
2017-02-01,15943
2017-02-02,15943
2017-02-03,15943
2017-02-04,15588
2017-02-05,15588
2017-02-06,15588
2017-02-07,16284
2017-02-08,16284
2017-02-09,16284
2017-02-10,16335
2017-02-11,16335
2017-02-12,16258
2017-02-13,16258
2017-02-14,15868
2017-02-15,15868
2017-02-16,15868
2017-02-18,15377
2017-02-19,14766
2017-02-20,14766
2017-02-21,14442
2017-02-22,14442
2017-02-23,14442
2017-02-24,14442
2017-02-25,14270
2017-02-26,14270
2017-02-27,14342
2017-02-28,14342
2017-03-01,14193
2017-03-02,14193
2017-03-03,14297
2017-03-04,14297
2017-03-05,14201
2017-03-06,14275
2017-03-07,14275
2017-03-08,14759
2017-03-09,14759
2017-03-10,14877
2017-03-11,14877
2017-03-12,14548
2017-03-13,14548
2017-03-14,14218
2017-03-15,14218
2017-03-16,14172
2017-03-17,14172
