date_obj,Black%20d'hide%20chaps%20(g) price
2015-03-26,1765693
2015-03-27,1765693
2015-03-28,1727931
2015-03-29,1685713
2015-03-30,1685713
2015-03-31,1657077
2015-04-01,1657077
2015-04-02,1660887
2015-04-03,1657870
2015-04-04,1679728
2015-04-05,1679728
2015-04-06,1713673
2015-04-07,1734260
2015-04-08,1734260
2015-04-09,1731009
2015-04-10,1733493
2015-04-11,1733493
2015-04-12,1695800
2015-04-13,1718371
2015-04-14,1718371
2015-04-15,1793433
2015-04-16,1793433
2015-04-17,1815028
2015-04-18,1766274
2015-04-19,1711162
2015-04-20,1711162
2015-04-21,1661417
2015-04-22,1661417
2015-04-23,1596042
2015-04-24,1545181
2015-04-25,1492264
2015-04-26,1492264
2015-04-27,1418255
2015-04-28,1347342
2015-04-29,1347342
2015-04-30,1281011
2015-05-01,1218994
2015-05-02,1174193
2015-05-03,1123747
2015-05-04,1070114
2015-05-05,1031891
2015-05-06,1014175
2015-05-07,1033734
2015-05-08,1059513
2015-05-09,1047776
2015-05-10,1031978
2015-05-11,1015572
2015-05-12,996111
2015-05-13,970213
2015-05-14,936654
2015-05-15,905160
2015-05-16,877266
2015-05-17,838154
2015-05-18,796246
2015-05-19,758546
2015-05-20,723871
2015-05-21,690807
2015-05-22,659877
2015-05-23,642466
2015-05-24,634451
2015-05-25,638754
2015-05-26,654502
2015-05-27,658563
2015-05-28,682994
2015-05-29,708778
2015-05-30,730745
2015-05-31,744264
2015-06-01,722270
2015-06-02,722270
2015-06-03,695894
2015-06-04,676818
2015-06-05,675704
2015-06-06,690139
2015-06-07,723444
2015-06-08,756547
2015-06-09,783101
2015-06-10,808690
2015-06-11,805446
2015-06-12,805446
2015-06-13,832607
2015-06-14,863370
2015-06-15,899337
2015-06-16,926204
2015-06-17,968246
2015-06-18,1001379
2015-06-19,1023959
2015-06-20,1056726
2015-06-21,1056726
2015-06-22,1051754
2015-06-23,1001237
2015-06-24,965117
2015-06-25,965117
2015-06-26,975994
2015-06-27,975994
2015-06-28,1024794
2015-06-29,1069175
2015-06-30,1102010
2015-07-01,1100609
2015-07-02,1100609
2015-07-03,1123611
2015-07-04,1152015
2015-07-05,1179426
2015-07-06,1212306
2015-07-07,1237922
2015-07-08,1281137
2015-07-09,1281137
