date_obj,Black%20elegant%20legs price
2015-03-26,68823
2015-03-27,68823
2015-03-28,65381
2015-03-29,62111
2015-03-30,59005
2015-03-31,56921
2015-04-01,56921
2015-04-02,54937
2015-04-03,52899
2015-04-04,51039
2015-04-05,51039
2015-04-06,49354
2015-04-07,46886
2015-04-08,46886
2015-04-09,44873
2015-04-10,42922
2015-04-11,40862
2015-04-12,39192
2015-04-13,38689
2015-04-14,38689
2015-04-15,38355
2015-04-16,38355
2015-04-17,37913
2015-04-18,37248
2015-04-19,37248
2015-04-20,35666
2015-04-21,35666
2015-04-22,34793
2015-04-23,33237
2015-04-24,33237
2015-04-25,32179
2015-04-26,32179
2015-04-27,31363
2015-04-28,31501
2015-04-29,31501
2015-04-30,31483
2015-05-01,30053
2015-05-02,28624
2015-05-03,28624
2015-05-04,27553
2015-05-05,27553
2015-05-06,27344
2015-05-07,27344
2015-05-08,27136
2015-05-09,26813
2015-05-10,25563
2015-05-11,25563
2015-05-12,24284
2015-05-13,23243
2015-05-14,23001
2015-05-15,23001
2015-05-16,22742
2015-05-17,22661
2015-05-18,22661
2015-05-19,22397
2015-05-20,22397
2015-05-21,22380
2015-05-22,22128
2015-05-23,22128
2015-05-24,21893
2015-05-25,21454
2015-05-26,21454
2015-05-27,20821
2015-05-28,20071
2015-05-29,19578
2015-05-30,19277
2015-05-31,19277
2015-06-01,18942
2015-06-02,18942
2015-06-03,18568
2015-06-04,18568
2015-06-05,18421
2015-06-06,18421
2015-06-07,18380
2015-06-08,18380
2015-06-09,18791
2015-06-10,18791
2015-06-11,19675
2015-06-12,19675
2015-06-13,19859
2015-06-14,19859
2015-06-15,20413
2015-06-16,20413
2015-06-17,21132
2015-06-18,21841
2015-06-19,21841
2015-06-20,22269
2015-06-21,22269
2015-06-22,22932
2015-06-23,22932
2015-06-24,23896
2015-06-25,23896
2015-06-26,24591
2015-06-27,24591
2015-06-28,24846
2015-06-29,24846
2015-06-30,25581
2015-07-01,25581
2015-07-02,26211
2015-07-03,27276
2015-07-04,27276
2015-07-05,27930
2015-07-06,27930
2015-07-07,28896
2015-07-08,28896
2015-07-09,29338
2015-07-10,29338
2015-07-11,29140
2015-07-12,29140
2015-07-13,28460
2015-07-14,28460
2015-07-15,27904
2015-07-16,27904
2015-07-17,27810
2015-07-18,27810
2015-07-19,28527
2015-07-20,29427
2015-07-21,29427
2015-07-22,30423
2015-07-23,30423
2015-07-24,31522
2015-07-25,31522
2015-07-26,32838
2015-07-27,32838
2015-07-28,34428
2015-07-29,36124
2015-07-30,36124
2015-07-31,37746
2015-08-01,37746
2015-08-02,39407
2015-08-03,39407
2015-08-04,40172
2015-08-05,41962
2015-08-06,41962
2015-08-07,43382
2015-08-08,45527
2015-08-09,47646
2015-08-10,47646
2015-08-11,48333
2015-08-12,48333
2015-08-13,50378
2015-08-14,51462
2015-08-15,51462
2015-08-16,50726
2015-08-17,50726
2015-08-18,50327
2015-08-19,50126
2015-08-20,50126
2015-08-21,50443
2015-08-22,50443
2015-08-23,51270
2015-08-24,52558
2015-08-25,52558
2015-08-26,53829
2015-08-27,52315
2015-08-28,52315
2015-08-29,49970
2015-08-30,49970
2015-08-31,48084
2015-09-01,45997
2015-09-02,45997
2015-09-03,45269
2015-09-04,45269
2015-09-05,44645
2015-09-06,44645
2015-09-07,45823
2015-09-08,45823
2015-09-09,47638
2015-09-10,47638
2015-09-11,49606
2015-09-12,49606
2015-09-13,51958
2015-09-14,51958
2015-09-15,52638
2015-09-16,52638
2015-09-17,54049
2015-09-18,54049
2015-09-19,54743
2015-09-20,54743
2015-09-21,54668
2015-09-22,53974
2015-09-23,53402
2015-09-24,53402
2015-09-25,54069
2015-09-27,55000
2015-09-28,55000
2015-09-29,55265
2015-09-30,54066
2015-10-05,49933
2015-10-06,47615
2015-10-07,47615
2015-10-08,46561
2015-10-09,46561
2015-10-10,44489
2015-10-11,43837
2015-10-12,43837
2015-10-13,43795
2015-10-14,43795
2015-10-15,44068
2015-10-16,44068
2015-10-17,44615
2015-10-18,44615
2015-10-19,44706
2015-10-20,44706
2015-10-22,45200
2015-10-23,43977
2015-10-24,43977
2015-10-25,43747
2015-10-26,44253
2015-10-27,44253
2015-10-29,42874
2015-10-30,42651
2015-10-31,44168
2015-11-01,44168
2015-11-02,44168
2015-11-03,45383
2015-11-04,45383
2015-11-05,46675
2015-11-06,46675
2015-11-07,47076
2015-11-08,47076
2015-11-09,48130
2015-11-10,48130
2015-11-11,48405
2015-11-12,48405
2015-11-13,47551
2015-11-14,47551
2015-11-15,48851
2015-11-16,48851
2015-11-17,48851
2015-11-18,50112
2015-11-19,51226
2015-11-20,51226
2015-11-21,52860
2015-11-22,52860
2015-11-23,55282
2015-11-24,55282
2015-11-25,57942
2015-11-26,57942
2015-11-27,60618
2015-11-28,60618
2015-11-29,63307
2015-11-30,63307
2015-12-01,65667
2015-12-02,65667
2015-12-03,65470
2015-12-04,65470
2015-12-05,65718
2015-12-06,65799
2015-12-07,65799
2015-12-08,65319
2015-12-09,65319
2015-12-10,64794
2015-12-11,64794
2015-12-12,63142
2015-12-13,63142
2015-12-14,61160
2015-12-15,60189
2015-12-16,60189
2015-12-17,58907
2015-12-18,58474
2015-12-19,58474
2015-12-20,57163
2015-12-21,57163
2015-12-22,55700
2015-12-23,55700
2015-12-24,55892
2015-12-25,55892
2015-12-26,56999
2015-12-27,57554
2015-12-28,57554
2015-12-29,58992
2015-12-30,58992
2015-12-31,59587
2016-01-01,59587
2016-01-02,59925
2016-01-03,61125
2016-01-04,61125
2016-01-05,61493
2016-01-06,61493
2016-01-07,62923
2016-01-08,63304
2016-01-09,63304
2016-01-10,61735
2016-01-11,61735
2016-01-12,61494
2016-01-13,61494
2016-01-14,60983
2016-01-15,60983
2016-01-16,60007
2016-01-17,60007
2016-01-18,59031
2016-01-19,59031
2016-01-20,59015
2016-01-21,59015
2016-01-22,58489
2016-01-23,58489
2016-01-24,58326
2016-01-25,58397
2016-01-26,58397
2016-01-27,58226
2016-01-28,58226
2016-01-29,57941
2016-01-30,57941
2016-01-31,57695
2016-02-01,57495
2016-02-02,57495
2016-02-03,56815
2016-02-04,56815
2016-02-05,57231
2016-02-06,56940
2016-02-07,56940
2016-02-08,56023
2016-02-09,56023
2016-02-10,54681
2016-02-11,54681
2016-02-12,54372
2016-02-13,53196
2016-02-14,53196
2016-02-15,51985
2016-02-16,51985
2016-02-17,49997
2016-02-18,49997
2016-02-19,47917
2016-02-20,47917
2016-02-21,47648
2016-02-22,47648
2016-02-23,47106
2016-02-24,47106
2016-02-25,46093
2016-02-26,46093
2016-02-27,45037
2016-02-28,45037
2016-02-29,44857
2016-03-01,44400
2016-03-02,44400
2016-03-03,44384
2016-03-04,44384
2016-03-05,44190
2016-03-06,44164
2016-03-07,44164
2016-03-08,43871
2016-03-09,43910
2016-03-10,43687
2016-03-11,43687
2016-03-12,43312
2016-03-13,43312
2016-03-14,42339
2016-03-15,42339
2016-03-16,40560
2016-03-17,40560
2016-03-18,39583
2016-03-19,39583
2016-03-20,38483
2016-03-21,38483
2016-03-22,36947
2016-03-23,35099
2016-03-24,35099
2016-03-25,33344
2016-03-26,31717
2016-03-27,31717
2016-03-28,30215
2016-03-29,28935
2016-03-30,28935
2016-03-31,27488
2016-04-01,27488
2016-04-02,26513
2016-04-03,25920
2016-04-04,25920
2016-04-05,25480
2016-04-06,26384
2016-04-07,26384
2016-04-08,27346
2016-04-09,28350
2016-04-10,29700
2016-04-11,29700
2016-04-12,31107
2016-04-13,31107
2016-04-14,32175
2016-04-15,33658
2016-04-16,33658
2016-04-17,34931
2016-04-18,35867
2016-04-19,35867
2016-04-20,36540
2016-04-21,36540
2016-04-22,36623
2016-04-23,35763
2016-04-24,35763
2016-04-25,34228
2016-04-26,33239
2016-04-27,32528
2016-04-28,32528
2016-04-29,31072
2016-04-30,29872
2016-05-01,29872
2016-05-02,28960
2016-05-03,27766
2016-05-04,26823
2016-05-05,25963
2016-05-06,25963
2016-05-07,24792
2016-05-08,24792
2016-05-09,23559
2016-05-10,22381
2016-05-11,22381
2016-05-12,21641
2016-05-13,20558
2016-05-14,20558
2016-05-15,19640
2016-05-16,19640
2016-05-17,18680
2016-05-18,17794
2016-05-19,17794
2016-05-22,16835
2016-05-23,16519
2016-05-24,16862
2016-05-25,16862
2016-05-26,16531
2016-05-27,15980
2016-05-28,15980
2016-05-29,16194
2016-05-30,16194
2016-05-31,16352
2016-06-01,17120
2016-06-02,17120
2016-06-03,17927
2016-06-04,18720
2016-06-05,18720
2016-06-06,19139
2016-06-07,19139
2016-06-08,19781
2016-06-09,20568
2016-06-10,21402
2016-06-11,21402
2016-06-12,21808
2016-06-13,21808
2016-06-14,22058
2016-06-15,22058
2016-06-16,21943
2016-06-17,22260
2016-06-18,22260
2016-06-19,22506
2016-06-20,22506
2016-06-21,22784
2016-06-22,22943
2016-06-23,22943
2016-06-24,23038
2016-06-25,23418
2016-06-26,23418
2016-06-27,23884
2016-06-28,23884
2016-06-29,24300
2016-06-30,24300
2016-07-01,24020
2016-07-02,24020
2016-07-03,24347
2016-07-04,24655
2016-07-05,24655
2016-07-06,25297
2016-07-07,25297
2016-07-08,25111
2016-07-09,24570
2016-07-10,24605
2016-07-11,24230
2016-07-12,24230
2016-07-13,24328
2016-07-14,24607
2016-07-15,24607
2016-07-16,24708
2016-07-17,24708
2016-07-18,23728
2016-07-23,23129
2016-07-24,22597
2016-07-25,22597
2016-07-26,22337
2016-07-27,22337
2016-07-28,21518
2016-07-29,20970
2016-07-30,20970
2016-07-31,20240
2016-08-01,20240
2016-08-02,19821
2016-08-03,19821
2016-08-04,19346
2016-08-05,19346
2016-08-06,19088
2016-08-07,18503
2016-08-08,18503
2016-08-09,18596
2016-08-10,18596
2016-08-11,18533
2016-08-12,18533
2016-08-13,18308
2016-08-14,18308
2016-08-15,18107
2016-08-16,18107
2016-08-17,18253
2016-08-18,18253
2016-08-19,18116
2016-08-20,18116
2016-08-21,18148
2016-08-22,18148
2016-08-23,18455
2016-08-24,18455
2016-08-25,18860
2016-08-26,18860
2016-08-28,19312
2016-08-31,19676
2016-09-01,19676
2016-09-02,19844
2016-09-03,19844
2016-09-04,19852
2016-09-05,19852
2016-09-06,20403
2016-09-07,20403
2016-09-08,20382
2016-09-09,20382
2016-09-10,20597
2016-09-11,20597
2016-09-12,21234
2016-09-13,21548
2016-09-14,21548
2016-09-15,21596
2016-09-16,21596
2016-09-17,21994
2016-09-18,21994
2016-09-19,22355
2016-09-20,22355
2016-09-21,22580
2016-09-22,22580
2016-09-23,22495
2016-09-24,22495
2016-09-25,22259
2016-09-26,22259
2016-09-27,22334
2016-09-28,22334
2016-09-29,21325
2016-09-30,20827
2016-10-01,20827
2016-10-02,21096
2016-10-03,21096
2016-10-04,21967
2016-10-05,21967
2016-10-06,21749
2016-10-07,21749
2016-10-08,22742
2016-10-09,22742
2016-10-10,22742
2016-10-11,23824
2016-10-12,23824
2016-10-13,24176
2016-10-14,24176
2016-10-15,24745
2016-10-16,24745
2016-10-17,25279
2016-10-18,25279
2016-10-19,26204
2016-10-20,26204
2016-10-21,27326
2016-10-22,27326
2016-10-23,27326
2016-10-24,27306
2016-10-25,27306
2016-10-26,26769
2016-10-27,26769
2016-10-28,25884
2016-10-29,25884
2016-10-30,25213
2016-10-31,25213
2016-11-01,24504
2016-11-02,24504
2016-11-03,24230
2016-11-04,24230
2016-11-05,23698
2016-11-06,23698
2016-11-07,23099
2016-11-08,23099
2016-11-09,23014
2016-11-10,23014
2016-11-11,22666
2016-11-12,22666
2016-11-13,22694
2016-11-14,22694
2016-11-15,22767
2016-12-07,30045
2016-12-08,29679
2016-12-09,29679
2016-12-10,28971
2016-12-11,28971
2016-12-12,28262
2016-12-13,28262
2016-12-14,28217
2016-12-15,28217
2016-12-16,27967
2016-12-17,27967
2016-12-18,27812
2016-12-19,27812
2016-12-20,27473
2016-12-21,27473
2016-12-22,26583
2016-12-23,26600
2016-12-24,26600
2016-12-25,26799
2016-12-26,26799
2016-12-27,26966
2016-12-28,26966
2016-12-29,26516
2016-12-30,26516
2016-12-31,25500
2017-01-01,25500
2017-01-02,25243
2017-01-03,25243
2017-01-04,25006
2017-01-05,25006
2017-01-06,24610
2017-01-07,25621
2017-01-08,25621
2017-01-09,26057
2017-01-10,26057
2017-01-11,26862
2017-01-12,26862
2017-01-13,28112
2017-01-14,28112
2017-01-15,29497
2017-01-16,29497
2017-01-17,30658
2017-01-18,30658
2017-01-19,30931
2017-01-20,30931
2017-01-21,31384
2017-01-22,31384
2017-01-23,32135
2017-01-27,32404
2017-01-28,32389
2017-01-29,32389
2017-01-30,31761
2017-01-31,31761
2017-02-01,31944
2017-02-02,31944
2017-02-03,31246
2017-02-04,31869
2017-02-05,31869
2017-02-06,32030
2017-02-07,32030
2017-02-08,31199
2017-02-09,31199
2017-02-10,30866
2017-02-11,30384
2017-02-12,30384
2017-02-13,30497
2017-02-14,30497
2017-02-15,30841
2017-02-16,30883
2017-02-18,30863
2017-02-19,30381
2017-02-20,30381
2017-02-21,29838
2017-02-22,29838
2017-02-23,28888
2017-02-24,28888
2017-02-25,27935
2017-02-26,27935
2017-02-27,27381
2017-02-28,27039
2017-03-01,26499
2017-03-02,26499
2017-03-03,25853
2017-03-04,24906
2017-03-05,24906
2017-03-06,24607
2017-03-07,24700
2017-03-08,24700
2017-03-09,23757
2017-03-10,23345
2017-03-11,22739
2017-03-12,22739
2017-03-13,22554
2017-03-14,21887
2017-03-15,22357
2017-03-16,22357
2017-03-17,22277
2017-03-18,22277
2017-03-19,22295
2017-03-20,22136
