date_obj,Black%20helm%20(h2) price
2015-03-26,5934
2015-03-27,5934
2015-03-28,5668
2015-03-29,5668
2015-03-30,5668
2015-03-31,5668
2015-04-01,5394
2015-04-02,5394
2015-04-03,5394
2015-04-04,5156
2015-04-05,5156
2015-04-06,5156
2015-04-07,4920
2015-04-08,4920
2015-04-09,4920
2015-04-10,4713
2015-04-11,4713
2015-04-12,4713
2015-04-13,4495
2015-04-14,4495
2015-04-15,4495
2015-04-16,4495
2015-04-17,4283
2015-04-18,4283
2015-04-19,4283
2015-04-20,4283
2015-04-21,4087
2015-04-22,4087
2015-04-23,4087
2015-04-24,3908
2015-04-25,3908
2015-04-26,3908
2015-04-27,3908
2015-04-28,3787
2015-04-29,3787
2015-04-30,3787
2015-05-01,3617
2015-05-02,3617
2015-05-03,3617
2015-05-04,3617
2015-05-05,3459
2015-05-06,3459
2015-05-07,3459
2015-05-08,3308
2015-05-09,3308
2015-05-10,3308
2015-05-11,3308
2015-05-12,3150
2015-05-13,3150
2015-05-14,3150
2015-05-15,3150
2015-05-16,3020
2015-05-17,3020
2015-05-18,2885
2015-05-19,2885
2015-05-20,2885
2015-05-21,2885
2015-05-22,2764
2015-05-23,2764
2015-05-24,2764
2015-05-25,2648
2015-05-26,2648
2015-05-27,2648
2015-05-28,2648
2015-05-29,2524
2015-05-30,2524
2015-05-31,2421
2015-06-01,2421
2015-06-02,2421
2015-06-03,2306
2015-06-04,2306
2015-06-05,2306
2015-06-06,2306
2015-06-07,2306
2015-06-08,2269
2015-06-09,2269
2015-06-10,2269
2015-06-11,2269
2015-06-12,2269
2015-06-13,2226
2015-06-14,2226
2015-06-15,2226
2015-06-16,2226
2015-06-17,2226
2015-06-18,2149
2015-06-19,2149
2015-06-20,2149
2015-06-21,2149
2015-06-22,2149
2015-06-23,2149
2015-06-24,2144
2015-06-25,2144
2015-06-26,2144
2015-06-27,2144
2015-06-28,2151
2015-06-29,2151
2015-06-30,2151
2015-07-01,2151
2015-07-02,2151
2015-07-03,2167
2015-07-04,2167
2015-07-05,2167
2015-07-06,2167
2015-07-07,2167
2015-07-08,2134
2015-07-09,2134
2015-07-10,2134
2015-07-11,2134
2015-07-12,2134
2015-07-13,2140
2015-07-14,2140
2015-07-15,2140
2015-07-16,2140
2015-07-17,2131
2015-07-18,2131
2015-07-19,2131
2015-07-20,2131
2015-07-21,2131
2015-07-22,2112
2015-07-23,2112
2015-07-24,2112
2015-07-25,2112
2015-07-26,2112
2015-07-27,2112
2015-07-28,2032
2015-07-29,2032
2015-07-30,2032
2015-07-31,2032
2015-08-01,2026
2015-08-02,2026
2015-08-03,2026
2015-08-04,2026
2015-08-05,2023
2015-08-06,2023
2015-08-07,2023
2015-08-08,2023
2015-08-09,1946
2015-08-10,1946
2015-08-11,1946
2015-08-12,1946
2015-08-13,1946
2015-08-14,1984
2015-08-15,1984
2015-08-16,1984
2015-08-17,1984
2015-08-18,1984
2015-08-19,1984
2015-08-20,1897
2015-08-21,1897
2015-08-22,1897
2015-08-23,1897
2015-08-24,1826
2015-08-25,1826
2015-08-26,1826
2015-08-27,1826
