date_obj,Black%20platelegs price
2015-03-26,3901
2015-03-27,3901
2015-03-28,3933
2015-03-29,3868
2015-03-30,3787
2015-03-31,3784
2015-04-01,3784
2015-04-02,3753
2015-04-03,3855
2015-04-04,3961
2015-04-05,3904
2015-04-06,3852
2015-04-07,3843
2015-04-08,3843
2015-04-09,3887
2015-04-10,3849
2015-04-11,4023
2015-04-12,3994
2015-04-13,3857
2015-04-14,3857
2015-04-15,3902
2015-04-16,3882
2015-04-17,3881
2015-04-18,3967
2015-04-19,4014
2015-04-20,4014
2015-04-21,4185
2015-04-22,4222
2015-04-23,4300
2015-04-24,4345
2015-04-25,4316
2015-04-26,4368
2015-04-27,4160
2015-04-28,4033
2015-04-29,4033
2015-04-30,3861
2015-05-01,3706
2015-05-02,3530
2015-05-03,3530
2015-05-04,3366
2015-05-05,3204
2015-05-06,3057
2015-05-07,2906
2015-05-08,2779
2015-05-09,2675
2015-05-10,2597
2015-05-11,2597
2015-05-12,2579
2015-05-13,2581
2015-05-14,2518
2015-05-15,2423
2015-05-16,2423
2015-05-17,2380
2015-05-18,2400
2015-05-19,2459
2015-05-20,2459
2015-05-21,2445
2015-05-22,2430
2015-05-23,2441
2015-05-24,2478
2015-05-25,2435
2015-05-26,2383
2015-05-27,2322
2015-05-28,2278
2015-05-29,2225
2015-05-30,2179
2015-05-31,2225
2015-06-01,2202
2015-06-02,2202
2015-06-03,2219
2015-06-04,2258
2015-06-05,2301
2015-06-06,2353
2015-06-07,2433
2015-06-08,2555
2015-06-09,2643
2015-06-10,2698
2015-06-11,2715
2015-06-12,2778
2015-06-13,2917
2015-06-14,3034
2015-06-15,3094
2015-06-16,3229
2015-06-17,3380
2015-06-18,3535
2015-06-19,3487
2015-06-20,3429
2015-06-21,3360
2015-06-22,3234
2015-06-23,3146
2015-06-24,3084
2015-06-25,3084
2015-06-26,3067
2015-06-27,3067
2015-06-28,3081
2015-06-29,3175
2015-06-30,3178
2015-07-01,3184
2015-07-02,3184
2015-07-03,3109
2015-07-04,3186
2015-07-05,3337
2015-07-06,3502
2015-07-07,3458
2015-07-08,3356
2015-07-09,3210
2015-07-10,3101
2015-07-11,2995
2015-07-12,2869
2015-07-13,2871
2015-07-14,2843
2015-07-15,2872
2015-07-16,2861
2015-07-17,2921
2015-07-18,2941
2015-07-19,2943
2015-07-20,3034
2015-07-21,2918
2015-07-22,2876
2015-07-23,2876
2015-07-24,2932
2015-07-25,2962
2015-07-26,2929
