date_obj,Black%20scimitar price
2015-03-26,3888
2015-03-27,3888
2015-03-28,3693
2015-03-29,3508
2015-03-30,3332
2015-03-31,3165
2015-04-01,3009
2015-04-02,2858
2015-04-03,2715
2015-04-04,2592
2015-04-05,2512
2015-04-06,2386
2015-04-07,2266
2015-04-08,2266
2015-04-09,2181
2015-04-10,2193
2015-04-11,2201
2015-04-12,2305
2015-04-13,2417
2015-04-14,2417
2015-04-15,2490
2015-04-16,2613
2015-04-17,2684
2015-04-18,2804
2015-04-19,2935
2015-04-20,3073
2015-04-21,3183
2015-04-22,3278
2015-04-23,3278
2015-04-24,3272
2015-04-25,3316
2015-04-26,3468
2015-04-27,3558
2015-04-28,3443
2015-04-29,3443
2015-04-30,3314
2015-05-01,3258
2015-05-02,3289
2015-05-03,3289
2015-05-04,3304
2015-05-05,3280
2015-05-06,3235
2015-05-07,3200
2015-05-08,3216
2015-05-09,3249
2015-05-10,3357
2015-05-11,3357
2015-05-12,3431
2015-05-13,3459
2015-05-14,3286
2015-05-15,3162
2015-05-16,3003
2015-05-17,3027
2015-05-18,3022
2015-05-19,3003
2015-05-20,3003
2015-05-21,3049
2015-05-22,3075
2015-05-23,3076
2015-05-24,3124
2015-05-25,3211
2015-05-26,3248
2015-05-27,3338
2015-05-28,3334
2015-05-29,3364
2015-05-30,3455
2015-05-31,3412
2015-06-01,3449
2015-06-02,3437
2015-06-03,3349
2015-06-04,3293
2015-06-05,3181
2015-06-06,3229
2015-06-07,3263
2015-06-08,3421
2015-06-09,3540
2015-06-10,3717
2015-06-11,3902
2015-06-12,4070
2015-06-13,4091
2015-06-14,4112
2015-06-15,4298
2015-06-16,4487
2015-06-17,4694
2015-06-18,4902
2015-06-19,4958
2015-06-20,4995
2015-06-21,5003
2015-06-22,4841
2015-06-23,4598
2015-06-24,4368
2015-06-25,4160
2015-06-26,3952
2015-06-27,3797
2015-06-28,3607
2015-06-29,3426
2015-06-30,3254
2015-07-01,3091
2015-07-02,3091
2015-07-03,2954
2015-07-04,2895
2015-07-05,2853
2015-07-06,2758
2015-07-07,2701
2015-07-08,2709
2015-07-09,2713
2015-07-10,2748
2015-07-11,2869
2015-07-12,2963
2015-07-13,2970
2015-07-14,3065
2015-07-15,3187
2015-07-16,3306
2015-07-17,3430
2015-07-18,3559
2015-07-19,3568
2015-07-20,3413
2015-07-21,3303
2015-07-22,3225
2015-07-23,3225
2015-07-24,3198
2015-07-25,3119
2015-07-26,3098
2015-07-27,3124
2015-07-28,3271
2015-07-29,3314
2015-07-30,3300
2015-07-31,3260
2015-08-01,3249
2015-08-02,3140
2015-08-03,2983
2015-08-04,2833
2015-08-05,2691
2015-08-06,2571
2015-08-07,2570
2015-08-08,2697
2015-08-09,2826
2015-08-10,2761
2015-08-11,2622
2015-08-12,2544
2015-08-13,2517
2015-08-14,2577
2015-08-15,2702
2015-08-16,2827
2015-08-17,2914
2015-08-18,2993
2015-08-19,2983
2015-08-20,2854
2015-08-21,2750
2015-08-22,2618
2015-08-23,2490
2015-08-24,2377
2015-08-25,2377
2015-08-26,2344
2015-08-27,2245
2015-08-28,2132
2015-08-29,2025
2015-08-30,1923
2015-08-31,1826
2015-09-01,1734
2015-09-02,1650
2015-09-03,1567
2015-09-04,1488
2015-09-05,1442
2015-09-06,1412
2015-09-07,1467
2015-09-08,1511
2015-09-09,1513
2015-09-10,1494
2015-09-11,1473
2015-09-12,1451
2015-09-13,1452
2015-09-14,1407
2015-09-15,1381
2015-09-16,1364
2015-09-17,1302
2015-09-18,1326
2015-09-19,1350
2015-09-20,1388
2015-09-21,1409
2015-09-22,1477
2015-09-23,1551
2015-09-24,1620
2015-09-25,1690
2015-09-27,1864
2015-09-28,1958
2015-09-29,2056
2015-09-30,2159
2015-10-05,2628
2015-10-06,2760
2015-10-07,2883
2015-10-08,2941
2015-10-09,2955
2015-10-10,2955
2015-10-11,2888
2015-10-12,2853
2015-10-13,2749
2015-10-14,2742
2015-10-15,2820
2015-10-16,2821
2015-10-17,2821
2015-10-18,2868
2015-10-19,2866
2015-10-20,2822
2015-10-22,2696
2015-10-23,2724
2015-10-24,2709
2015-10-25,2735
2015-10-26,2770
2015-10-27,2798
2015-10-29,2696
2015-10-30,2640
2015-10-31,2673
2015-11-01,2687
2015-11-02,2689
2015-11-03,2673
2015-11-04,2648
2015-11-05,2642
2015-11-06,2604
2015-11-07,2570
2015-11-08,2596
2015-11-09,2583
2015-11-10,2549
2015-11-11,2621
2015-11-12,2638
2015-11-13,2710
2015-11-14,2762
2015-11-15,2807
2015-11-16,2834
2015-11-17,2692
2015-11-18,2694
2015-11-19,2697
2015-11-20,2713
2015-11-21,2713
2015-11-22,2748
2015-11-23,2748
2015-11-24,2833
2015-11-25,2971
2015-11-26,2971
2015-11-27,3052
2015-11-28,3138
2015-11-29,3206
2015-11-30,3367
2015-12-01,3530
2015-12-02,3707
2015-12-03,3893
2015-12-04,4073
2015-12-05,4277
2015-12-06,4446
2015-12-07,4514
2015-12-08,4566
2015-12-09,4644
2015-12-10,4770
2015-12-11,4806
2015-12-12,4815
2015-12-13,4947
2015-12-14,4947
2015-12-15,4903
2015-12-16,4759
2015-12-17,4624
2015-12-18,4516
2015-12-19,4474
2015-12-20,4480
2015-12-21,4506
2015-12-22,4529
2015-12-23,4634
2015-12-24,4727
2015-12-25,4679
2015-12-26,4537
2015-12-27,4406
2015-12-28,4203
2015-12-29,4241
2015-12-30,4212
2015-12-31,4224
2016-01-01,4200
2016-01-02,4360
2016-01-03,4356
2016-01-04,4434
2016-01-05,4496
2016-01-06,4527
2016-01-07,4443
2016-01-08,4307
2016-01-09,4227
2016-01-10,4217
2016-01-11,4259
2016-01-12,4286
2016-01-13,4295
2016-01-14,4258
2016-01-15,4233
2016-01-16,4184
2016-01-17,4228
2016-01-18,4193
2016-01-19,4195
2016-01-20,4203
2016-01-21,4219
2016-01-22,4297
2016-01-23,4203
2016-01-24,4090
2016-01-25,3930
2016-01-26,3844
2016-01-27,3708
2016-01-28,3708
2016-01-29,3555
2016-01-30,3410
2016-01-31,3293
2016-02-01,3226
2016-02-02,3322
2016-02-03,3479
2016-02-04,3590
2016-02-05,3632
2016-02-06,3649
2016-02-07,3554
2016-02-08,3414
2016-02-09,3363
2016-02-10,3194
2016-02-11,3079
2016-02-12,3113
2016-02-13,3000
2016-02-14,2896
2016-02-15,2824
2016-02-16,2827
2016-02-17,2813
2016-02-18,2836
2016-02-19,2830
2016-02-20,2764
2016-02-21,2655
2016-02-22,2592
2016-02-23,2548
2016-02-24,2492
2016-02-25,2575
2016-02-26,2572
2016-02-27,2454
2016-02-28,2331
2016-02-29,2214
2016-03-01,2166
2016-03-02,2153
2016-03-03,2195
2016-03-04,2236
2016-03-05,2298
2016-03-06,2331
2016-03-07,2334
2016-03-08,2364
2016-03-09,2374
2016-03-10,2410
2016-03-11,2519
2016-03-12,2603
2016-03-13,2649
2016-03-14,2753
2016-03-15,2778
2016-03-16,2649
2016-03-17,2516
2016-03-18,2390
2016-03-19,2299
2016-03-20,2234
2016-03-21,2237
2016-03-22,2284
2016-03-23,2387
2016-03-24,2507
2016-03-25,2633
2016-03-26,2765
2016-03-27,2904
2016-03-28,3022
2016-03-29,3116
2016-03-30,3116
2016-03-31,3235
2016-04-01,3397
2016-04-02,3567
2016-04-03,3746
2016-04-04,3929
2016-04-05,4126
2016-04-06,4332
2016-04-07,4533
2016-04-08,4340
2016-04-09,4123
2016-04-10,3917
2016-04-11,3917
2016-04-12,3721
2016-04-13,3547
2016-04-14,3369
2016-04-15,3276
2016-04-16,3177
2016-04-17,3240
2016-04-18,3369
2016-04-19,3517
2016-04-20,3545
2016-04-21,3526
2016-04-22,3583
2016-04-23,3570
