date_obj,Black%20set%20(lg) price
2015-03-26,20494
2015-03-27,20494
2015-03-28,20090
2015-03-29,19621
2015-03-30,19138
2015-03-31,18274
2015-04-01,18274
2015-04-02,17635
2015-04-03,17116
2015-04-04,16777
2015-04-05,16782
2015-04-06,16735
2015-04-07,16371
2015-04-08,16371
2015-04-09,15738
2015-04-10,15569
2015-04-11,15469
2015-04-12,15199
2015-04-13,15307
2015-04-14,15307
2015-04-15,15002
2015-04-16,14866
2015-04-17,14627
2015-04-18,14733
2015-04-19,14774
2015-04-20,14774
2015-04-21,14972
2015-04-22,14983
2015-04-23,15320
2015-04-24,15526
2015-04-25,15954
2015-04-26,16060
2015-04-27,16176
2015-04-28,16168
2015-04-29,16168
2015-04-30,15837
2015-05-01,15682
2015-05-02,15500
2015-05-03,15500
2015-05-04,14831
2015-05-05,14530
2015-05-06,14175
2015-05-07,14053
2015-05-08,14124
2015-05-09,13495
2015-05-10,13568
2015-05-11,13568
2015-05-12,13166
2015-05-13,13166
2015-05-14,12907
2015-05-15,12747
2015-05-16,12747
2015-05-17,12630
2015-05-18,12410
2015-05-19,12228
2015-05-20,12228
2015-05-21,12221
2015-05-22,12027
2015-05-23,11425
2015-05-24,10864
2015-05-25,10352
2015-05-26,10328
2015-05-27,10328
2015-05-28,10194
2015-05-29,10153
2015-05-30,10188
2015-05-31,10165
2015-06-01,10132
2015-06-02,10101
2015-06-03,10161
2015-06-04,10379
2015-06-05,10614
2015-06-06,10956
2015-06-07,11081
2015-06-08,11471
2015-06-09,11884
2015-06-10,12173
2015-06-11,12613
2015-06-12,13089
2015-06-13,13480
2015-06-14,13786
2015-06-15,14056
2015-06-16,14092
2015-06-17,14489
2015-06-18,14790
2015-06-19,15182
2015-06-20,15173
2015-06-21,15018
2015-06-22,14807
2015-06-23,14328
2015-06-24,14104
2015-06-25,14104
2015-06-26,13999
2015-06-27,13699
2015-06-28,13692
2015-06-29,13427
2015-06-30,13585
2015-07-01,13477
2015-07-02,13477
2015-07-03,13360
2015-07-04,13155
2015-07-05,12623
2015-07-06,12023
2015-07-07,11834
2015-07-08,12094
2015-07-09,12094
2015-07-10,12508
2015-07-11,12856
2015-07-12,13380
2015-07-13,13794
2015-07-14,14192
2015-07-15,14479
2015-07-16,14773
2015-07-17,14861
2015-07-18,15144
2015-07-19,15009
2015-07-20,14795
2015-07-21,14055
2015-07-22,14204
2015-07-23,14204
2015-07-24,13907
2015-07-25,13283
2015-07-26,12991
2015-07-27,13010
2015-07-28,13016
2015-07-29,12957
2015-07-30,12983
2015-07-31,12848
2015-08-01,12794
2015-08-02,12733
2015-08-03,12845
