date_obj,Black%20shield%20(h5) price
2015-03-26,5633
2015-03-27,5633
2015-03-28,5633
2015-03-29,5633
2015-03-30,5371
2015-03-31,5371
2015-04-01,5371
2015-04-02,5371
2015-04-03,5121
2015-04-04,5121
2015-04-05,4946
2015-04-06,4946
2015-04-07,4946
2015-04-08,4728
2015-04-09,4728
2015-04-10,4728
2015-04-11,4515
2015-04-12,4515
2015-04-13,4515
2015-04-14,4324
2015-04-15,4324
2015-04-16,4324
2015-04-17,4151
2015-04-18,4151
2015-04-19,4151
2015-04-20,4151
2015-04-21,3968
2015-04-22,3968
2015-04-23,3968
2015-04-24,3968
2015-04-25,3782
2015-04-26,3782
2015-04-27,3782
2015-04-28,3615
2015-04-29,3615
2015-04-30,3615
2015-05-01,3446
2015-05-02,3446
2015-05-03,3446
2015-05-04,3297
2015-05-05,3297
2015-05-06,3297
2015-05-07,3151
2015-05-08,3151
2015-05-09,3151
2015-05-10,3011
2015-05-11,3011
2015-05-12,3011
2015-05-13,3011
2015-05-14,2879
2015-05-15,2879
2015-05-16,2879
2015-05-17,2751
2015-05-18,2751
2015-05-19,2751
2015-05-20,2751
2015-05-21,2751
2015-05-22,2637
2015-05-23,2637
2015-05-24,2637
2015-05-25,2637
2015-05-26,2537
2015-05-27,2537
2015-05-28,2537
2015-05-29,2537
2015-05-30,2440
2015-05-31,2440
2015-06-01,2440
2015-06-02,2440
2015-06-03,2440
2015-06-04,2440
2015-06-05,2347
2015-06-06,2347
2015-06-07,2347
2015-06-08,2347
2015-06-09,2347
2015-06-10,2347
2015-06-11,2284
2015-06-12,2284
2015-06-13,2284
2015-06-14,2284
2015-06-15,2284
2015-06-16,2183
2015-06-17,2183
2015-06-18,2183
2015-06-19,2105
2015-06-20,2105
2015-06-21,2105
2015-06-22,2105
2015-06-23,2105
2015-06-24,2023
2015-06-25,2023
2015-06-26,2023
2015-06-27,2023
2015-06-28,2023
2015-06-29,2023
2015-06-30,2023
2015-07-01,1952
2015-07-02,1952
2015-07-03,1952
2015-07-04,1952
2015-07-05,1952
2015-07-06,1952
2015-07-07,1888
2015-07-08,1888
2015-07-09,1888
2015-07-10,1888
2015-07-11,1888
2015-07-12,1805
2015-07-13,1805
2015-07-14,1805
2015-07-15,1805
2015-07-16,1805
2015-07-17,1723
2015-07-18,1723
2015-07-19,1723
2015-07-20,1723
2015-07-21,1723
2015-07-22,1678
2015-07-23,1678
2015-07-24,1678
2015-07-25,1678
2015-07-26,1678
2015-07-27,1678
2015-07-28,1622
2015-07-29,1622
2015-07-30,1622
2015-07-31,1622
2015-08-01,1622
2015-08-02,1569
2015-08-03,1569
2015-08-04,1569
2015-08-05,1569
2015-08-06,1569
2015-08-07,1505
2015-08-08,1505
2015-08-09,1505
2015-08-10,1505
2015-08-11,1454
2015-08-12,1454
2015-08-13,1454
2015-08-14,1454
2015-08-15,1454
2015-08-16,1454
2015-08-17,1390
2015-08-18,1390
2015-08-19,1390
2015-08-20,1390
2015-08-21,1390
2015-08-22,1336
2015-08-23,1336
2015-08-24,1336
2015-08-25,1336
2015-08-26,1336
2015-08-27,1336
2015-08-28,1290
2015-08-29,1290
2015-08-30,1290
2015-08-31,1290
2015-09-01,1290
2015-09-02,1321
2015-09-03,1321
2015-09-04,1321
2015-09-05,1321
2015-09-06,1321
2015-09-07,1321
2015-09-08,1321
2015-09-09,1384
2015-09-10,1384
2015-09-11,1384
2015-09-12,1384
2015-09-13,1384
2015-09-14,1384
2015-09-15,1437
2015-09-16,1437
2015-09-17,1437
2015-09-18,1437
2015-09-19,1437
2015-09-20,1437
2015-09-21,1437
2015-09-22,1398
2015-09-23,1398
2015-09-24,1398
2015-09-25,1398
2015-09-27,1398
2015-09-28,1398
2015-09-29,1371
2015-09-30,1371
2015-10-05,1371
2015-10-06,1372
2015-10-07,1372
2015-10-08,1372
2015-10-09,1372
2015-10-10,1372
2015-10-11,1372
2015-10-12,1437
2015-10-13,1437
2015-10-14,1437
2015-10-15,1437
2015-10-16,1437
2015-10-17,1437
2015-10-18,1438
2015-10-19,1438
2015-10-20,1438
2015-10-22,1438
2015-10-23,1480
2015-10-24,1480
2015-10-25,1480
2015-10-26,1480
2015-10-27,1480
2015-10-29,1480
2015-10-30,1515
