date_obj,Black%20spiky%20vambraces price
2015-03-26,19390
2015-03-27,19390
2015-03-28,19390
2015-03-29,18441
2015-03-30,18441
2015-03-31,18441
2015-04-01,18441
2015-04-02,18441
2015-04-03,17527
2015-04-04,17527
2015-04-05,17527
2015-04-06,17527
2015-04-07,16664
2015-04-08,16664
2015-04-09,16664
2015-04-10,16664
2015-04-11,15843
2015-04-12,15843
2015-04-13,15843
2015-04-14,15843
2015-04-15,15063
2015-04-16,15063
2015-04-17,15063
2015-04-18,15063
2015-04-19,14322
2015-04-20,14322
2015-04-21,14322
2015-04-22,14322
2015-04-23,13616
2015-04-24,13616
2015-04-25,13616
2015-04-26,13616
2015-04-27,12952
2015-04-28,12952
2015-04-29,12952
2015-04-30,12952
2015-05-01,12350
2015-05-02,12350
2015-05-03,12350
2015-05-04,12350
2015-05-05,11743
2015-05-06,11743
2015-05-07,11743
2015-05-08,11743
2015-05-09,11165
2015-05-10,11165
2015-05-11,11165
2015-05-12,11165
2015-05-13,10617
2015-05-14,10617
2015-05-15,10617
2015-05-16,10617
2015-05-17,10086
2015-05-18,10086
2015-05-19,10086
2015-05-20,10086
2015-05-21,9587
2015-05-22,9587
2015-05-23,9587
2015-05-24,9128
2015-05-25,9128
2015-05-26,9128
2015-05-27,8798
2015-05-28,8798
2015-05-29,8798
2015-05-30,8425
2015-05-31,8425
2015-06-01,8037
2015-06-02,8037
2015-06-03,8037
2015-06-04,7853
2015-06-05,7853
2015-06-06,7770
2015-06-07,7770
2015-06-08,7770
2015-06-09,7445
2015-06-10,7445
2015-06-11,7445
2015-06-12,7119
2015-06-13,7119
2015-06-14,6763
2015-06-15,6763
2015-06-16,6763
2015-06-17,6501
2015-06-18,6501
2015-06-19,6458
2015-06-20,6458
2015-06-21,6243
2015-06-22,6243
2015-06-23,6075
2015-06-24,6075
2015-06-25,6075
2015-06-26,6002
2015-06-27,6002
2015-06-28,5944
2015-06-29,5944
2015-06-30,5944
2015-07-01,5855
2015-07-02,5855
2015-07-03,5868
2015-07-04,5868
2015-07-05,5868
2015-07-06,6026
2015-07-07,6026
2015-07-08,6047
2015-07-09,6047
2015-07-10,6221
2015-07-11,6221
2015-07-12,6221
2015-07-13,6346
2015-07-14,6346
2015-07-15,6513
2015-07-16,6513
2015-07-17,6673
2015-07-18,6673
2015-07-19,6673
2015-07-20,6721
2015-07-21,6721
2015-07-22,6863
2015-07-23,6863
2015-07-24,6987
2015-07-25,6987
2015-07-26,6987
2015-07-27,7088
2015-07-28,7088
2015-07-29,7139
2015-07-30,7139
2015-07-31,7139
2015-08-01,6811
2015-08-02,6811
2015-08-03,6613
2015-08-04,6613
2015-08-05,6492
2015-08-06,6492
2015-08-07,6462
2015-08-08,6462
2015-08-09,6489
2015-08-10,6489
2015-08-11,6400
2015-08-12,6400
2015-08-13,6400
2015-08-14,6256
2015-08-15,6256
2015-08-16,6362
2015-08-17,6362
2015-08-18,6385
2015-08-19,6385
2015-08-20,6422
2015-08-21,6422
2015-08-22,6320
2015-08-23,6320
2015-08-24,6101
2015-08-25,6101
2015-08-26,6101
2015-08-27,5870
2015-08-28,5870
2015-08-29,5977
2015-08-30,5977
2015-08-31,5977
2015-09-01,6121
2015-09-02,6121
2015-09-03,6121
2015-09-04,6308
2015-09-05,6308
2015-09-06,6308
2015-09-07,6445
2015-09-08,6445
2015-09-09,6567
2015-09-10,6567
2015-09-11,6606
2015-09-12,6606
2015-09-13,6610
2015-09-14,6610
2015-09-15,6740
2015-09-16,6740
2015-09-17,6920
2015-09-18,6920
2015-09-19,6801
2015-09-20,6801
2015-09-21,6568
2015-09-22,6568
2015-09-23,6474
2015-09-24,6474
2015-09-25,6474
2015-09-27,6586
2015-09-28,6579
2015-09-29,6579
2015-09-30,6605
2015-10-05,6500
2015-10-06,6310
2015-10-07,6310
2015-10-08,6125
2015-10-09,6125
2015-10-10,5998
2015-10-11,5998
2015-10-12,5908
2015-10-13,5908
2015-10-14,5908
2015-10-15,5904
