date_obj,Black%20sq%20shield price
2015-03-26,1165
2015-03-27,1165
2015-03-28,1108
2015-03-29,1057
2015-03-30,1057
2015-03-31,1009
2015-04-01,1009
2015-04-02,962
2015-04-03,962
2015-04-04,915
2015-04-05,915
2015-04-06,872
2015-04-07,872
2015-04-08,831
2015-04-09,831
2015-04-10,793
2015-04-11,793
2015-04-12,756
2015-04-13,756
2015-04-14,720
2015-04-15,720
2015-04-16,689
2015-04-17,689
2015-04-18,654
2015-04-19,654
2015-04-20,654
2015-04-21,621
2015-04-22,621
2015-04-23,592
2015-04-24,592
2015-04-25,565
2015-04-26,565
2015-04-27,536
2015-04-28,536
2015-04-29,536
2015-04-30,513
2015-05-01,513
2015-05-02,490
2015-05-03,490
2015-05-04,490
2015-05-05,470
2015-05-06,470
2015-05-07,475
2015-05-08,475
2015-05-09,475
2015-05-10,463
2015-05-11,463
2015-05-12,463
2015-05-13,457
2015-05-14,457
2015-05-15,457
2015-05-16,457
2015-05-17,457
2015-05-18,454
2015-05-19,454
2015-05-20,454
2015-05-21,454
2015-05-22,453
2015-05-23,453
2015-05-24,453
2015-05-25,459
2015-05-26,459
2015-05-27,459
2015-05-28,471
2015-05-29,471
2015-05-30,469
2015-05-31,469
2015-06-01,467
2015-06-02,467
2015-06-03,467
2015-06-04,473
2015-06-05,473
2015-06-06,476
2015-06-07,476
2015-06-08,478
2015-06-09,478
2015-06-10,492
2015-06-11,492
2015-06-12,492
2015-06-13,494
2015-06-14,494
2015-06-15,488
2015-06-16,488
2015-06-17,487
2015-06-18,487
2015-06-19,491
2015-06-20,491
2015-06-21,496
2015-06-22,496
2015-06-23,498
2015-06-24,498
2015-06-25,496
2015-06-26,496
2015-06-27,494
2015-06-28,494
2015-06-29,489
2015-06-30,489
2015-07-01,489
2015-07-02,489
2015-07-03,505
2015-07-04,505
2015-07-05,517
2015-07-06,517
2015-07-07,500
2015-07-08,500
2015-07-09,489
2015-07-10,489
2015-07-11,493
2015-07-12,493
2015-07-13,497
2015-07-14,497
2015-07-15,497
2015-07-16,497
2015-07-17,490
2015-07-18,490
2015-07-19,496
2015-07-20,496
2015-07-21,510
2015-07-22,510
2015-07-23,511
2015-07-24,511
2015-07-25,511
2015-07-26,511
2015-07-27,512
2015-07-28,512
2015-07-29,513
2015-07-30,513
2015-07-31,508
2015-08-01,508
2015-08-02,500
2015-08-03,500
2015-08-04,496
2015-08-05,496
2015-08-06,494
2015-08-07,494
2015-08-08,497
2015-08-09,497
2015-08-10,494
2015-08-11,494
2015-08-12,491
2015-08-13,491
2015-08-14,497
2015-08-15,497
2015-08-16,497
2015-08-17,497
2015-08-18,497
2015-08-19,496
2015-08-20,496
2015-08-21,492
2015-08-22,492
2015-08-23,500
2015-08-24,500
2015-08-25,500
2015-08-26,491
2015-08-27,491
2015-08-28,492
2015-08-29,492
2015-08-30,477
2015-08-31,477
2015-09-01,478
2015-09-02,478
2015-09-03,478
2015-09-04,487
2015-09-05,487
2015-09-06,487
2015-09-07,502
2015-09-08,502
2015-09-09,504
2015-09-10,504
2015-09-11,511
2015-09-12,511
2015-09-13,520
2015-09-14,520
2015-09-15,520
2015-09-16,520
2015-09-17,521
2015-09-18,521
2015-09-19,528
2015-09-20,528
2015-09-21,528
2015-09-22,520
2015-09-23,520
2015-09-24,520
2015-09-25,506
2015-09-27,498
2015-09-28,498
2015-09-29,501
2015-09-30,501
2015-10-05,507
2015-10-06,507
2015-10-07,521
2015-10-08,521
2015-10-09,535
2015-10-10,535
2015-10-11,537
2015-10-12,537
2015-10-13,537
2015-10-14,546
2015-10-15,546
2015-10-16,552
2015-10-17,552
2015-10-18,552
2015-10-19,543
2015-10-20,543
2015-10-22,553
2015-10-23,553
2015-10-24,556
2015-10-25,556
2015-10-26,543
2015-10-27,543
2015-10-29,537
2015-10-30,537
2015-10-31,530
2015-11-01,530
2015-11-02,531
2015-11-03,531
2015-11-04,531
2015-11-05,535
2015-11-06,535
2015-11-07,519
2015-11-08,519
2015-11-09,502
2015-11-10,502
2015-11-11,493
2015-11-12,493
2015-11-13,493
2015-11-14,508
2015-11-15,508
2015-11-16,513
2015-11-17,513
2015-11-18,515
2015-11-19,515
2015-11-20,515
2015-11-21,515
2015-11-22,525
2015-11-23,525
2015-11-24,525
2015-11-25,523
2015-11-26,523
2015-11-27,512
2015-11-28,512
2015-11-29,510
2015-11-30,510
2015-12-01,509
2015-12-02,509
2015-12-03,513
2015-12-04,513
2015-12-05,513
2015-12-06,511
2015-12-07,511
2015-12-08,511
2015-12-09,515
2015-12-10,515
2015-12-11,508
2015-12-12,508
2015-12-13,504
2015-12-14,504
2015-12-15,514
2015-12-16,514
2015-12-17,500
2015-12-18,500
2015-12-19,495
2015-12-20,495
2015-12-21,504
2015-12-22,504
2015-12-23,508
2015-12-24,508
2015-12-25,526
2015-12-26,526
2015-12-27,522
2015-12-28,522
2015-12-29,514
2015-12-30,514
2015-12-31,504
2016-01-01,504
2016-01-02,504
2016-01-03,506
2016-01-04,506
2016-01-05,504
2016-01-06,504
2016-01-07,512
2016-01-08,512
2016-01-09,512
2016-01-10,512
2016-01-11,509
2016-01-12,517
2016-01-13,517
2016-01-14,521
2016-01-15,521
2016-01-16,539
2016-01-17,539
2016-01-18,544
2016-01-19,544
2016-01-20,549
2016-01-21,549
2016-01-22,538
2016-01-23,538
2016-01-24,532
2016-01-25,532
2016-01-26,540
2016-01-27,540
2016-01-28,533
2016-01-29,528
2016-01-30,528
2016-01-31,543
2016-02-01,543
2016-02-02,541
2016-02-03,541
2016-02-04,545
2016-02-05,545
2016-02-06,549
2016-02-07,549
2016-02-08,545
2016-02-09,545
2016-02-10,544
2016-02-11,544
2016-02-12,547
2016-02-13,548
2016-02-14,548
2016-02-15,527
2016-02-16,527
2016-02-17,513
2016-02-18,513
2016-02-19,514
2016-02-20,514
2016-02-21,498
2016-02-22,498
2016-02-23,483
2016-02-24,483
2016-02-25,494
2016-02-26,494
2016-02-27,504
2016-02-28,504
2016-02-29,507
2016-03-01,507
2016-03-02,507
2016-03-03,507
2016-03-04,502
2016-03-05,502
2016-03-06,507
2016-03-07,507
2016-03-08,509
2016-03-09,509
2016-03-10,506
2016-03-11,506
2016-03-12,500
2016-03-13,500
2016-03-14,509
2016-03-15,509
2016-03-16,512
2016-03-17,512
2016-03-18,513
2016-03-19,513
2016-03-20,507
2016-03-21,507
2016-03-22,519
2016-03-23,519
2016-03-24,504
2016-03-25,504
2016-03-26,508
2016-03-27,508
2016-03-28,498
2016-03-29,498
2016-03-30,486
2016-03-31,486
2016-04-01,476
2016-04-02,476
2016-04-03,490
2016-04-04,490
2016-04-05,495
2016-04-06,495
2016-04-07,509
2016-04-08,509
2016-04-09,519
2016-04-10,508
2016-04-11,508
2016-04-12,509
2016-04-13,509
2016-04-14,523
2016-04-15,523
2016-04-16,521
2016-04-17,521
2016-04-18,517
2016-04-19,517
2016-04-20,521
2016-04-21,521
2016-04-22,530
2016-04-23,530
2016-04-24,543
2016-04-25,543
2016-04-26,530
2016-04-27,530
2016-04-28,542
2016-04-29,542
2016-04-30,536
2016-05-01,536
2016-05-02,528
2016-05-03,528
2016-05-04,538
2016-05-05,538
2016-05-06,533
2016-05-07,536
2016-05-08,536
2016-05-09,538
2016-05-10,538
2016-05-11,544
2016-05-12,544
2016-05-13,539
2016-05-14,539
2016-05-15,537
2016-05-16,537
2016-05-17,533
2016-05-18,537
2016-05-19,537
2016-05-22,509
2016-05-23,501
2016-05-24,501
2016-05-25,516
2016-05-26,516
2016-05-27,508
2016-05-28,508
2016-05-29,507
2016-05-30,507
2016-05-31,522
2016-06-01,521
2016-06-02,521
2016-06-03,527
2016-06-04,527
2016-06-05,529
2016-06-06,541
2016-06-07,541
2016-06-08,539
2016-06-09,539
2016-06-10,541
2016-06-11,541
2016-06-12,533
2016-06-13,533
2016-06-14,536
2016-06-15,536
2016-06-16,550
2016-06-17,545
2016-06-18,545
2016-06-19,542
2016-06-20,542
2016-06-21,536
2016-06-22,538
2016-06-23,538
2016-06-24,533
2016-06-25,536
2016-06-26,536
2016-06-27,535
2016-06-28,529
2016-06-29,529
2016-06-30,532
2016-07-01,534
2016-07-02,534
2016-07-03,538
2016-07-04,545
2016-07-05,545
2016-07-06,546
2016-07-07,546
2016-07-08,541
2016-07-09,541
2016-07-10,538
2016-07-11,538
2016-07-12,544
2016-07-13,544
2016-07-14,540
2016-07-15,540
2016-07-16,537
2016-07-17,537
2016-07-18,530
2016-07-23,513
2016-07-24,513
2016-07-25,510
2016-07-26,510
2016-07-27,510
2016-07-28,502
2016-07-29,502
2016-07-30,505
2016-07-31,505
2016-08-01,505
2016-08-02,512
2016-08-03,512
2016-08-04,511
2016-08-05,511
2016-08-06,507
2016-08-07,507
2016-08-08,518
2016-08-09,518
2016-08-10,519
2016-08-11,519
2016-08-12,519
2016-08-13,521
2016-08-14,521
2016-08-15,513
2016-08-16,513
2016-08-17,513
2016-08-18,524
2016-08-19,524
2016-08-20,519
2016-08-21,519
2016-08-22,514
2016-08-23,514
2016-08-24,530
2016-08-25,530
2016-08-26,530
2016-08-28,547
2016-08-31,536
