date_obj,Blamish%20myre%20shell%20(round) price
2015-02-25,4500
2015-02-26,4500
2015-02-27,4500
2015-02-28,4500
2015-03-01,4500
2015-03-02,4500
2015-03-03,4500
2015-03-04,4500
2015-03-05,4500
2015-03-06,4500
2015-03-07,4500
2015-03-08,4500
2015-03-09,4500
2015-03-10,4500
2015-03-11,4500
2015-03-12,4500
2015-03-13,4500
2015-03-14,4500
2015-03-15,4500
2015-03-16,4500
2015-03-17,4500
2015-03-18,4500
2015-03-19,4500
2015-03-20,4500
2015-03-21,4500
2015-03-22,4500
2015-03-23,4500
2015-03-24,4500
2015-03-25,4500
2015-03-26,4500
2015-03-27,4500
2015-03-28,4500
2015-03-29,4500
2015-03-30,4500
2015-03-31,4500
2015-04-01,4500
2015-04-02,4500
2015-04-03,4500
2015-04-04,4500
2015-04-05,4500
2015-04-06,4500
2015-04-07,4291
2015-04-08,4291
2015-04-09,4291
2015-04-10,4291
2015-04-11,4291
2015-04-12,4291
2015-04-13,4291
2015-04-14,4291
2015-04-15,4291
2015-04-16,4291
2015-04-17,4291
2015-04-18,4291
2015-04-19,4291
2015-04-20,4291
2015-04-21,4291
2015-04-22,4291
2015-04-23,4291
2015-04-24,4291
2015-04-25,4291
2015-04-26,4291
2015-04-27,4291
2015-04-28,4291
2015-04-29,4291
2015-04-30,4291
2015-05-01,4291
2015-05-02,4291
2015-05-03,4291
2015-05-04,4291
2015-05-05,4291
2015-05-06,4291
2015-05-07,4291
2015-05-08,4291
2015-05-09,4291
2015-05-10,4291
2015-05-11,4291
2015-05-12,4089
2015-05-13,4089
2015-05-14,4089
2015-05-15,4089
2015-05-16,4089
2015-05-17,4089
2015-05-18,4089
2015-05-19,4089
2015-05-20,4089
2015-05-21,4089
2015-05-22,4089
2015-05-23,4089
2015-05-24,4089
2015-05-25,4089
2015-05-26,4089
2015-05-27,4089
2015-05-28,4089
2015-05-29,4089
2015-05-30,4089
2015-05-31,4089
2015-06-01,4089
2015-06-02,4089
2015-06-03,3899
2015-06-04,3899
2015-06-05,3899
2015-06-06,3899
2015-06-07,3899
2015-06-08,3899
2015-06-09,3899
2015-06-10,3899
2015-06-11,3899
2015-06-12,3899
2015-06-13,3899
2015-06-14,3899
2015-06-15,3899
2015-06-16,3899
2015-06-17,3899
2015-06-18,3899
2015-06-19,3899
2015-06-20,3899
2015-06-21,3899
2015-06-22,3899
2015-06-23,3899
2015-06-24,3712
2015-06-25,3712
2015-06-26,3712
2015-06-27,3712
2015-06-28,3712
2015-06-29,3712
2015-06-30,3712
2015-07-01,3712
2015-07-02,3712
2015-07-03,3712
2015-07-04,3712
2015-07-05,3712
2015-07-06,3712
2015-07-07,3712
2015-07-08,3712
2015-07-09,3712
2015-07-10,3712
2015-07-11,3712
2015-07-12,3712
2015-07-13,3712
2015-07-14,3712
2015-07-15,3712
2015-07-16,3712
2015-07-17,3541
2015-07-18,3541
2015-07-19,3541
2015-07-20,3541
2015-07-21,3541
2015-07-22,3541
2015-07-23,3541
2015-07-24,3541
2015-07-25,3541
2015-07-26,3541
2015-07-27,3541
2015-07-28,3541
2015-07-29,3541
2015-07-30,3541
2015-07-31,3541
2015-08-01,3541
2015-08-02,3541
2015-08-03,3541
2015-08-04,3541
2015-08-05,3541
2015-08-06,3541
2015-08-07,3541
2015-08-08,3376
2015-08-09,3376
2015-08-10,3376
2015-08-11,3376
2015-08-12,3376
2015-08-13,3376
2015-08-14,3376
2015-08-15,3376
2015-08-16,3376
2015-08-17,3376
2015-08-18,3376
2015-08-19,3376
2015-08-20,3376
2015-08-21,3376
2015-08-22,3376
2015-08-23,3376
2015-08-24,3376
2015-08-25,3376
2015-08-26,3376
2015-08-27,3376
2015-08-28,3376
