date_obj,Blamish%20ochre%20shell%20(pointed) price
2015-03-26,2000
2015-03-27,2000
2015-03-28,2000
2015-03-29,2000
2015-03-30,2000
2015-03-31,2000
2015-04-01,2000
2015-04-02,2000
2015-04-03,2000
2015-04-04,2000
2015-04-05,2000
2015-04-06,2000
2015-04-07,2000
2015-04-08,2000
2015-04-09,2000
2015-04-10,2000
2015-04-11,2000
2015-04-12,2000
2015-04-13,2000
2015-04-14,2000
2015-04-15,2000
2015-04-16,2000
2015-04-17,2000
2015-04-18,2000
2015-04-19,2000
2015-04-20,2000
2015-04-21,2000
2015-04-22,2000
2015-04-23,2000
2015-04-24,2000
2015-04-25,2000
2015-04-26,2000
2015-04-27,2000
2015-04-28,2000
2015-04-29,2000
2015-04-30,2000
2015-05-01,2000
2015-05-02,2000
2015-05-03,2000
2015-05-04,2000
2015-05-05,2000
2015-05-06,2000
2015-05-07,2000
2015-05-08,2000
2015-05-09,2000
2015-05-10,2000
2015-05-11,2000
2015-05-12,2000
2015-05-13,2000
2015-05-14,2000
2015-05-15,2000
2015-05-16,2000
2015-05-17,2000
2015-05-18,2000
2015-05-19,2000
2015-05-20,2000
2015-05-21,2000
2015-05-22,2000
2015-05-23,2000
2015-05-24,2000
2015-05-25,2000
2015-05-26,1910
2015-05-27,1910
2015-05-28,1910
2015-05-29,1910
2015-05-30,1910
2015-05-31,1910
2015-06-01,1910
2015-06-02,1910
2015-06-03,1910
2015-06-04,1910
2015-06-05,1910
2015-06-06,1910
2015-06-07,1910
2015-06-08,1910
2015-06-09,1910
2015-06-10,1910
2015-06-11,1910
2015-06-12,1910
2015-06-13,1910
2015-06-14,1910
2015-06-15,1910
2015-06-16,1910
2015-06-17,1910
2015-06-18,1910
2015-06-19,1910
2015-06-20,1910
2015-06-21,1910
2015-06-22,1910
2015-06-23,1910
2015-06-24,1910
2015-06-25,1910
2015-06-26,1910
2015-06-27,1910
2015-06-28,1910
2015-06-29,1910
2015-06-30,1910
2015-07-01,1910
2015-07-02,1910
2015-07-03,1910
2015-07-04,1910
2015-07-05,1910
2015-07-06,1910
2015-07-07,1910
2015-07-08,1910
2015-07-09,1910
2015-07-10,1910
2015-07-11,1910
2015-07-12,1910
2015-07-13,1910
2015-07-14,1910
2015-07-15,1910
2015-07-16,1910
2015-07-17,1910
2015-07-18,1910
2015-07-19,1910
2015-07-20,1910
2015-07-21,1910
2015-07-22,1910
2015-07-23,1910
2015-07-24,1910
2015-07-25,1910
2015-07-26,1820
2015-07-27,1820
2015-07-28,1820
2015-07-29,1820
2015-07-30,1820
2015-07-31,1820
2015-08-01,1820
2015-08-02,1820
2015-08-03,1820
2015-08-04,1820
2015-08-05,1820
2015-08-06,1820
2015-08-07,1820
2015-08-08,1820
2015-08-09,1820
2015-08-10,1820
2015-08-11,1820
2015-08-12,1820
2015-08-13,1820
2015-08-14,1820
2015-08-15,1820
2015-08-16,1820
2015-08-17,1820
2015-08-18,1820
2015-08-19,1820
2015-08-20,1820
2015-08-21,1820
2015-08-22,1820
2015-08-23,1820
2015-08-24,1820
2015-08-25,1820
2015-08-26,1820
2015-08-27,1820
2015-08-28,1820
2015-08-29,1820
2015-08-30,1820
2015-08-31,1820
2015-09-01,1820
2015-09-02,1820
2015-09-03,1820
2015-09-04,1820
2015-09-05,1820
2015-09-06,1820
2015-09-07,1820
2015-09-08,1820
2015-09-09,1820
2015-09-10,1820
2015-09-11,1820
2015-09-12,1820
2015-09-13,1737
2015-09-14,1737
2015-09-15,1737
2015-09-16,1737
2015-09-17,1737
2015-09-18,1737
2015-09-19,1737
2015-09-20,1737
2015-09-21,1737
2015-09-22,1737
2015-09-23,1737
2015-09-24,1737
2015-09-25,1737
2015-09-27,1737
2015-09-28,1737
2015-09-29,1737
2015-09-30,1737
2015-10-05,1737
2015-10-06,1737
2015-10-07,1737
2015-10-08,1737
2015-10-09,1737
2015-10-10,1737
2015-10-11,1737
2015-10-12,1737
2015-10-13,1737
2015-10-14,1737
2015-10-15,1737
2015-10-16,1737
2015-10-17,1737
2015-10-18,1737
2015-10-19,1737
2015-10-20,1737
2015-10-22,1737
2015-10-23,1737
2015-10-24,1737
2015-10-25,1737
2015-10-26,1737
2015-10-27,1737
2015-10-29,1737
2015-10-30,1737
2015-10-31,1737
2015-11-01,1737
2015-11-02,1737
2015-11-03,1737
2015-11-04,1737
2015-11-05,1737
2015-11-06,1737
2015-11-07,1737
2015-11-08,1737
2015-11-09,1737
2015-11-10,1737
2015-11-11,1737
2015-11-12,1737
2015-11-13,1737
2015-11-14,1737
2015-11-15,1737
2015-11-16,1737
2015-11-17,1657
2015-11-18,1657
2015-11-19,1657
2015-11-20,1657
2015-11-21,1657
2015-11-22,1657
2015-11-23,1657
2015-11-24,1657
2015-11-25,1657
2015-11-26,1657
2015-11-27,1657
2015-11-28,1657
2015-11-29,1657
2015-11-30,1657
2015-12-01,1657
2015-12-02,1657
2015-12-03,1657
2015-12-04,1657
2015-12-05,1657
2015-12-06,1657
2015-12-07,1657
2015-12-08,1657
2015-12-09,1657
2015-12-10,1657
2015-12-11,1657
2015-12-12,1657
2015-12-13,1657
2015-12-14,1657
2015-12-15,1657
2015-12-16,1657
2015-12-17,1657
2015-12-18,1657
2015-12-19,1657
2015-12-20,1657
2015-12-21,1657
2015-12-22,1657
2015-12-23,1657
2015-12-24,1657
2015-12-25,1657
2015-12-26,1657
2015-12-27,1657
2015-12-28,1657
2015-12-29,1657
2015-12-30,1657
2015-12-31,1657
2016-01-01,1657
2016-01-02,1657
2016-01-03,1657
2016-01-04,1657
2016-01-05,1657
2016-01-06,1657
2016-01-07,1657
2016-01-08,1657
2016-01-09,1657
2016-01-10,1657
2016-01-11,1657
2016-01-12,1657
2016-01-13,1657
2016-01-14,1657
2016-01-15,1583
2016-01-16,1583
2016-01-17,1583
2016-01-18,1583
2016-01-19,1583
2016-01-20,1583
2016-01-21,1583
2016-01-22,1583
2016-01-23,1583
2016-01-24,1583
2016-01-25,1583
2016-01-26,1583
2016-01-27,1583
2016-01-28,1583
2016-01-29,1583
2016-01-30,1583
2016-01-31,1583
2016-02-01,1583
2016-02-02,1583
2016-02-03,1583
2016-02-04,1583
2016-02-05,1583
2016-02-06,1583
2016-02-07,1583
2016-02-08,1583
2016-02-09,1583
2016-02-10,1583
2016-02-11,1583
2016-02-12,1583
2016-02-13,1583
2016-02-14,1583
2016-02-15,1583
2016-02-16,1583
2016-02-17,1583
2016-02-18,1583
2016-02-19,1583
2016-02-20,1583
2016-02-21,1583
2016-02-22,1583
2016-02-23,1583
2016-02-24,1583
2016-02-25,1583
2016-02-26,1583
2016-02-27,1583
2016-02-28,1583
2016-02-29,1583
2016-03-01,1583
2016-03-02,1583
2016-03-03,1583
2016-03-04,1583
2016-03-05,1583
2016-03-06,1583
2016-03-07,1583
2016-03-08,1583
2016-03-09,1583
2016-03-10,1583
2016-03-11,1583
2016-03-12,1509
2016-03-13,1509
2016-03-14,1509
2016-03-15,1509
2016-03-16,1509
2016-03-17,1509
2016-03-18,1509
2016-03-19,1509
2016-03-20,1509
2016-03-21,1509
2016-03-22,1509
2016-03-23,1509
2016-03-24,1509
2016-03-25,1509
2016-03-26,1509
2016-03-27,1509
2016-03-28,1509
2016-03-29,1509
2016-03-30,1509
2016-03-31,1509
2016-04-01,1509
2016-04-02,1509
2016-04-03,1509
2016-04-04,1509
2016-04-05,1509
2016-04-06,1509
2016-04-07,1509
2016-04-08,1509
2016-04-09,1509
2016-04-10,1509
2016-04-11,1509
2016-04-12,1509
2016-04-13,1509
2016-04-14,1509
2016-04-15,1509
2016-04-16,1509
2016-04-17,1509
2016-04-18,1509
2016-04-19,1509
2016-04-20,1509
2016-04-21,1509
2016-04-22,1509
2016-04-23,1509
2016-04-24,1509
2016-04-25,1509
2016-04-26,1509
2016-04-27,1509
2016-04-28,1509
2016-04-29,1509
2016-04-30,1509
2016-05-01,1509
2016-05-02,1509
2016-05-03,1509
2016-05-04,1509
2016-05-05,1509
2016-05-06,1509
2016-05-07,1441
2016-05-08,1441
2016-05-09,1441
2016-05-10,1441
2016-05-11,1441
2016-05-12,1441
2016-05-13,1441
2016-05-14,1441
2016-05-15,1441
2016-05-16,1441
2016-05-17,1441
2016-05-18,1441
2016-05-19,1441
2016-05-22,1441
2016-05-23,1441
2016-05-24,1441
2016-05-25,1441
2016-05-26,1441
2016-05-27,1441
2016-05-28,1441
2016-05-29,1441
2016-05-30,1441
2016-05-31,1441
2016-06-01,1441
2016-06-02,1441
2016-06-03,1441
2016-06-04,1441
2016-06-05,1441
2016-06-06,1441
2016-06-07,1441
2016-06-08,1441
2016-06-09,1441
2016-06-10,1441
2016-06-11,1441
2016-06-12,1441
2016-06-13,1441
2016-06-14,1441
2016-06-15,1441
2016-06-16,1441
2016-06-17,1441
2016-06-18,1441
2016-06-19,1441
2016-06-20,1441
2016-06-21,1441
2016-06-22,1441
2016-06-23,1441
2016-06-24,1441
2016-06-25,1441
2016-06-26,1441
2016-06-27,1441
2016-06-28,1441
2016-06-29,1441
2016-06-30,1441
2016-07-01,1375
2016-07-02,1375
2016-07-03,1375
2016-07-04,1375
2016-07-05,1375
2016-07-06,1375
2016-07-07,1375
2016-07-08,1375
2016-07-09,1375
2016-07-10,1375
2016-07-11,1375
2016-07-12,1375
2016-07-13,1375
2016-07-14,1375
2016-07-15,1375
2016-07-16,1375
2016-07-17,1375
2016-07-18,1375
2016-07-23,1375
2016-07-24,1375
2016-07-25,1375
2016-07-26,1375
2016-07-27,1375
2016-07-28,1375
2016-07-29,1375
2016-07-30,1375
2016-07-31,1375
2016-08-01,1375
2016-08-02,1375
2016-08-03,1375
2016-08-04,1375
2016-08-05,1375
2016-08-06,1375
2016-08-07,1375
2016-08-08,1375
2016-08-09,1375
2016-08-10,1375
2016-08-11,1375
2016-08-12,1375
2016-08-13,1375
2016-08-14,1375
2016-08-15,1375
2016-08-16,1375
2016-08-17,1375
2016-08-18,1375
2016-08-19,1375
2016-08-20,1375
2016-08-21,1375
2016-08-22,1375
2016-08-23,1375
2016-08-24,1375
2016-08-25,1375
2016-08-26,1375
2016-08-28,1375
2016-08-31,1375
2016-09-01,1375
2016-09-02,1375
2016-09-03,1375
2016-09-04,1375
2016-09-05,1375
2016-09-06,1375
2016-09-07,1375
2016-09-08,1375
2016-09-09,1375
2016-09-10,1309
2016-09-11,1309
2016-09-12,1309
2016-09-13,1309
2016-09-14,1309
2016-09-15,1309
2016-09-16,1309
2016-09-17,1309
2016-09-18,1309
2016-09-19,1309
2016-09-20,1309
2016-09-21,1309
2016-09-22,1309
2016-09-23,1309
2016-09-24,1309
2016-09-25,1309
2016-09-26,1309
2016-09-27,1309
2016-09-28,1309
2016-09-29,1309
2016-09-30,1309
2016-10-01,1309
2016-10-02,1309
2016-10-03,1309
2016-10-04,1309
2016-10-05,1309
2016-10-06,1309
