date_obj,Blamish%20red%20shell%20(pointed) price
2015-03-26,12500
2015-03-27,12500
2015-03-28,12500
2015-03-29,12500
2015-03-30,12500
2015-03-31,12500
2015-04-01,12500
2015-04-02,12500
2015-04-03,12500
2015-04-04,12500
2015-04-05,12500
2015-04-06,12500
2015-04-07,12500
2015-04-08,12500
2015-04-09,12500
2015-04-10,12500
2015-04-11,12500
2015-04-12,12500
2015-04-13,12500
2015-04-14,12500
2015-04-15,12500
2015-04-16,12500
2015-04-17,12500
2015-04-18,12500
2015-04-19,12500
2015-04-20,12500
2015-04-21,12500
2015-04-22,12500
2015-04-23,12500
2015-04-24,12500
2015-04-25,12500
2015-04-26,12500
2015-04-27,12500
2015-04-28,12500
2015-04-29,12500
2015-04-30,12500
2015-05-01,12500
2015-05-02,12500
2015-05-03,12500
2015-05-04,12500
2015-05-05,12500
2015-05-06,12500
2015-05-07,12500
2015-05-08,12500
2015-05-09,12500
2015-05-10,12500
2015-05-11,12500
2015-05-12,12500
2015-05-13,12500
2015-05-14,12500
2015-05-15,12500
2015-05-16,12500
2015-05-17,12500
2015-05-18,12500
2015-05-19,12500
2015-05-20,12500
2015-05-21,12500
2015-05-22,11936
2015-05-23,11936
2015-05-24,11936
2015-05-25,11936
2015-05-26,11936
2015-05-27,11936
2015-05-28,11936
2015-05-29,11936
2015-05-30,11936
2015-05-31,11936
2015-06-01,11936
2015-06-02,11936
2015-06-03,11936
2015-06-04,11936
2015-06-05,11936
2015-06-06,11936
2015-06-07,11936
2015-06-08,11936
2015-06-09,11936
2015-06-10,11936
2015-06-11,11936
2015-06-12,11936
2015-06-13,11936
2015-06-14,11936
2015-06-15,11936
2015-06-16,11936
2015-06-17,11936
2015-06-18,11936
2015-06-19,11936
2015-06-20,11936
2015-06-21,11936
2015-06-22,11936
2015-06-23,11936
2015-06-24,11936
2015-06-25,11936
2015-06-26,11936
2015-06-27,11936
2015-06-28,11936
2015-06-29,11936
2015-06-30,11936
2015-07-01,11936
2015-07-02,11936
2015-07-03,11936
2015-07-04,11936
2015-07-05,11936
2015-07-06,11936
2015-07-07,11936
2015-07-08,11936
2015-07-09,11936
2015-07-10,11936
2015-07-11,11936
2015-07-12,11936
2015-07-13,11936
2015-07-14,11373
2015-07-15,11373
2015-07-16,11373
2015-07-17,11373
2015-07-18,11373
2015-07-19,11373
2015-07-20,11373
2015-07-21,11373
2015-07-22,11373
2015-07-23,11373
2015-07-24,11373
2015-07-25,11373
2015-07-26,11373
2015-07-27,11373
2015-07-28,11373
2015-07-29,11373
2015-07-30,11373
2015-07-31,11373
2015-08-01,11373
2015-08-02,11373
2015-08-03,11373
2015-08-04,11373
2015-08-05,11373
2015-08-06,11373
2015-08-07,11373
2015-08-08,11373
2015-08-09,11373
2015-08-10,11373
2015-08-11,11373
2015-08-12,11373
2015-08-13,11373
2015-08-14,11373
2015-08-15,11373
2015-08-16,11373
2015-08-17,11373
2015-08-18,11373
2015-08-19,11373
2015-08-20,11373
2015-08-21,11373
2015-08-22,11373
2015-08-23,11373
2015-08-24,11373
2015-08-25,11373
2015-08-26,11373
2015-08-27,11373
2015-08-28,11373
2015-08-29,11373
2015-08-30,11373
2015-08-31,11373
2015-09-01,11373
2015-09-02,11373
2015-09-03,11373
2015-09-04,10864
2015-09-05,10864
2015-09-06,10864
2015-09-07,10864
2015-09-08,10864
2015-09-09,10864
2015-09-10,10864
2015-09-11,10864
2015-09-12,10864
2015-09-13,10864
2015-09-14,10864
2015-09-15,10864
2015-09-16,10864
2015-09-17,10864
2015-09-18,10864
2015-09-19,10864
2015-09-20,10864
2015-09-21,10864
2015-09-22,10864
2015-09-23,10864
2015-09-24,10864
2015-09-25,10864
2015-09-27,10864
2015-09-28,10864
2015-09-29,10864
2015-09-30,10864
2015-10-05,10864
2015-10-06,10864
2015-10-07,10864
2015-10-08,10864
2015-10-09,10864
2015-10-10,10864
2015-10-11,10864
2015-10-12,10864
2015-10-13,10864
2015-10-14,10864
2015-10-15,10864
2015-10-16,10864
2015-10-17,10864
2015-10-18,10864
2015-10-19,10864
2015-10-20,10864
2015-10-22,10864
2015-10-23,10864
2015-10-24,10864
2015-10-25,10864
2015-10-26,10864
2015-10-27,10864
2015-10-29,10864
2015-10-30,10864
2015-10-31,10864
2015-11-01,10864
2015-11-02,10864
2015-11-03,10864
2015-11-04,10864
2015-11-05,10864
2015-11-06,10864
2015-11-07,10346
2015-11-08,10346
2015-11-09,10346
2015-11-10,10346
2015-11-11,10346
2015-11-12,10346
2015-11-13,10346
2015-11-14,10346
2015-11-15,10346
2015-11-16,10346
2015-11-17,10346
2015-11-18,10346
2015-11-19,10346
2015-11-20,10346
2015-11-21,10346
2015-11-22,10346
2015-11-23,10346
2015-11-24,10346
2015-11-25,10346
2015-11-26,10346
2015-11-27,10346
2015-11-28,10346
2015-11-29,10346
2015-11-30,10346
2015-12-01,10346
2015-12-02,10346
2015-12-03,10346
2015-12-04,10346
2015-12-05,10346
2015-12-06,10346
2015-12-07,10346
2015-12-08,10346
2015-12-09,10346
2015-12-10,10346
2015-12-11,10346
2015-12-12,10346
2015-12-13,10346
2015-12-14,10346
2015-12-15,10346
2015-12-16,10346
2015-12-17,10346
2015-12-18,10346
2015-12-19,10346
2015-12-20,10346
2015-12-21,10346
2015-12-22,10346
2015-12-23,10346
2015-12-24,10346
2015-12-25,10346
2015-12-26,10346
2015-12-27,10346
2015-12-28,10346
2015-12-29,10346
2015-12-30,10346
2015-12-31,10346
2016-01-01,10346
2016-01-02,10346
2016-01-03,10346
2016-01-04,10346
2016-01-05,10346
2016-01-06,10346
2016-01-07,10346
2016-01-08,10346
2016-01-09,9855
2016-01-10,9855
2016-01-11,9855
2016-01-12,9855
2016-01-13,9855
2016-01-14,9855
2016-01-15,9855
2016-01-16,9855
2016-01-17,9855
2016-01-18,9855
2016-01-19,9855
2016-01-20,9855
2016-01-21,9855
2016-01-22,9855
2016-01-23,9855
2016-01-24,9855
2016-01-25,9855
2016-01-26,9855
2016-01-27,9855
2016-01-28,9855
2016-01-29,9855
2016-01-30,9855
2016-01-31,9855
2016-02-01,9855
2016-02-02,9855
2016-02-03,9855
2016-02-04,9855
2016-02-05,9855
2016-02-06,9855
2016-02-07,9855
2016-02-08,9855
2016-02-09,9855
2016-02-10,9855
2016-02-11,9855
2016-02-12,9855
2016-02-13,9855
2016-02-14,9855
2016-02-15,9855
2016-02-16,9855
2016-02-17,9855
2016-02-18,9855
2016-02-19,9855
2016-02-20,9855
2016-02-21,9855
2016-02-22,9855
2016-02-23,9855
2016-02-24,9855
2016-02-25,9855
2016-02-26,9855
2016-02-27,9855
2016-02-28,9855
2016-02-29,9403
2016-03-01,9403
2016-03-02,9403
2016-03-03,9403
2016-03-04,9403
2016-03-05,9403
2016-03-06,9403
2016-03-07,9403
2016-03-08,9403
2016-03-09,9403
2016-03-10,9403
2016-03-11,9403
2016-03-12,9403
2016-03-13,9403
2016-03-14,9403
2016-03-15,9403
2016-03-16,9403
2016-03-17,9403
2016-03-18,9403
2016-03-19,9403
2016-03-20,9403
2016-03-21,9403
2016-03-22,9403
2016-03-23,9403
2016-03-24,9403
2016-03-25,9403
2016-03-26,9403
2016-03-27,9403
2016-03-28,9403
2016-03-29,9403
2016-03-30,9403
2016-03-31,9403
2016-04-01,9403
2016-04-02,9403
2016-04-03,9403
2016-04-04,9403
2016-04-05,9403
2016-04-06,9403
2016-04-07,9403
2016-04-08,9403
2016-04-09,9403
2016-04-10,9403
2016-04-11,9403
2016-04-12,9403
2016-04-13,9403
2016-04-14,9403
2016-04-15,9403
2016-04-16,9403
2016-04-17,9403
2016-04-18,9403
2016-04-19,9403
2016-04-20,9403
2016-04-21,9403
2016-04-22,9403
2016-04-23,9403
2016-04-24,8987
2016-04-25,8987
2016-04-26,8987
2016-04-27,8987
2016-04-28,8987
2016-04-29,8987
2016-04-30,8987
2016-05-01,8987
2016-05-02,8987
2016-05-03,8987
2016-05-04,8987
2016-05-05,8987
2016-05-06,8987
2016-05-07,8987
2016-05-08,8987
2016-05-09,8987
2016-05-10,8987
2016-05-11,8987
2016-05-12,8987
2016-05-13,8987
2016-05-14,8987
2016-05-15,8987
2016-05-16,8987
2016-05-17,8987
2016-05-18,8987
2016-05-19,8987
2016-05-22,8987
2016-05-23,8987
2016-05-24,8987
2016-05-25,8987
2016-05-26,8987
2016-05-27,8987
2016-05-28,8987
2016-05-29,8987
2016-05-30,8987
2016-05-31,8987
2016-06-01,8987
2016-06-02,8987
2016-06-03,8987
2016-06-04,8987
2016-06-05,8987
2016-06-06,8987
2016-06-07,8987
2016-06-08,8987
2016-06-09,8987
2016-06-10,8560
2016-06-11,8560
2016-06-12,8560
2016-06-13,8560
2016-06-14,8560
2016-06-15,8560
2016-06-16,8560
2016-06-17,8560
2016-06-18,8560
2016-06-19,8560
2016-06-20,8560
2016-06-21,8560
2016-06-22,8560
2016-06-23,8560
2016-06-24,8560
2016-06-25,8560
2016-06-26,8560
2016-06-27,8560
2016-06-28,8560
2016-06-29,8560
2016-06-30,8560
2016-07-01,8560
2016-07-02,8560
2016-07-03,8560
2016-07-04,8560
2016-07-05,8560
2016-07-06,8560
2016-07-07,8560
2016-07-08,8560
2016-07-09,8560
2016-07-10,8560
2016-07-11,8560
2016-07-12,8560
2016-07-13,8560
2016-07-14,8560
2016-07-15,8560
2016-07-16,8560
2016-07-17,8560
2016-07-18,8560
2016-07-23,8560
2016-07-24,8560
2016-07-25,8560
2016-07-26,8560
2016-07-27,8198
2016-07-28,8198
2016-07-29,8198
2016-07-30,8198
2016-07-31,8198
2016-08-01,8198
2016-08-02,8198
2016-08-03,8198
2016-08-04,8198
2016-08-05,8198
2016-08-06,8198
2016-08-07,8198
2016-08-08,8198
2016-08-09,8198
2016-08-10,8198
2016-08-11,8198
2016-08-12,8198
2016-08-13,8198
2016-08-14,8198
2016-08-15,8198
2016-08-16,8198
2016-08-17,8198
2016-08-18,8198
2016-08-19,8198
2016-08-20,8198
2016-08-21,8198
2016-08-22,8198
2016-08-23,8198
2016-08-24,8198
2016-08-25,8198
2016-08-26,8198
2016-08-28,8198
2016-08-31,8198
2016-09-01,8198
2016-09-02,8198
2016-09-03,8198
2016-09-04,8198
2016-09-05,8198
2016-09-06,8198
2016-09-07,8198
2016-09-08,8198
2016-09-09,8198
2016-09-10,8198
2016-09-11,8198
2016-09-12,8198
2016-09-13,8198
2016-09-14,8198
2016-09-15,8198
2016-09-16,8198
2016-09-17,8198
2016-09-18,8198
2016-09-19,8198
2016-09-20,8198
2016-09-21,8198
2016-09-22,8198
2016-09-23,8198
2016-09-24,8198
2016-09-25,8198
2016-09-26,8198
2016-09-27,8198
2016-09-28,8198
2016-09-29,8198
2016-09-30,8198
2016-10-01,8198
2016-10-02,8198
2016-10-03,8198
2016-10-04,8198
2016-10-05,7832
2016-10-06,7832
2016-10-07,7832
2016-10-08,7832
2016-10-09,7832
2016-10-10,7832
2016-10-11,7832
2016-10-12,7832
2016-10-13,7832
2016-10-14,7832
2016-10-15,7832
2016-10-16,7832
2016-10-17,7832
2016-10-18,7832
2016-10-19,7832
2016-10-20,7832
2016-10-21,7832
