date_obj,Blue%20d'hide%20chaps price
2015-03-26,2336
2015-03-27,2336
2015-03-28,2322
2015-03-29,2352
2015-03-30,2362
2015-03-31,2331
2015-04-01,2290
2015-04-02,2337
2015-04-03,2404
2015-04-04,2369
2015-04-05,2361
2015-04-06,2399
2015-04-07,2421
2015-04-08,2419
2015-04-09,2355
2015-04-10,2357
2015-04-11,2390
2015-04-12,2510
2015-04-13,2505
2015-04-14,2621
2015-04-15,2592
2015-04-16,2489
2015-04-17,2425
2015-04-18,2418
2015-04-19,2385
2015-04-20,2324
2015-04-21,2296
2015-04-22,2260
2015-04-23,2348
2015-04-24,2401
2015-04-25,2374
2015-04-26,2370
2015-04-27,2373
2015-04-28,2460
2015-04-29,2477
2015-04-30,2448
2015-05-01,2488
2015-05-02,2580
2015-05-03,2496
2015-05-04,2432
2015-05-05,2382
2015-05-06,2393
2015-05-07,2367
2015-05-08,2377
2015-05-09,2386
2015-05-10,2344
2015-05-11,2420
2015-05-12,2492
2015-05-13,2472
2015-05-14,2419
2015-05-15,2372
2015-05-16,2452
2015-05-17,2426
2015-05-18,2424
2015-05-19,2514
2015-05-20,2592
2015-05-21,2519
2015-05-22,2471
2015-05-23,2393
2015-05-24,2409
2015-05-25,2373
2015-05-26,2373
2015-05-27,2394
2015-05-28,2359
2015-05-29,2389
2015-05-30,2359
2015-05-31,2338
2015-06-01,2328
2015-06-02,2372
2015-06-03,2373
2015-06-04,2371
2015-06-05,2440
2015-06-06,2466
2015-06-07,2410
2015-06-08,2395
2015-06-09,2427
2015-06-10,2442
2015-06-11,2440
2015-06-12,2498
2015-06-13,2481
2015-06-14,2368
2015-06-15,2386
2015-06-16,2371
2015-06-17,2352
2015-06-18,2384
2015-06-19,2358
2015-06-20,2407
2015-06-21,2462
2015-06-22,2470
2015-06-23,2461
2015-06-24,2387
2015-06-25,2372
2015-06-26,2390
2015-06-27,2351
2015-06-28,2356
2015-06-29,2389
2015-06-30,2418
2015-07-01,2521
2015-07-02,2521
2015-07-03,2472
2015-07-04,2415
2015-07-05,2357
2015-07-06,2342
2015-07-07,2399
2015-07-08,2414
2015-07-09,2362
2015-07-10,2424
2015-07-11,2471
2015-07-12,2448
2015-07-13,2430
2015-07-14,2456
2015-07-15,2385
2015-07-16,2383
2015-07-17,2403
2015-07-18,2439
2015-07-19,2428
2015-07-20,2431
2015-07-21,2504
2015-07-22,2477
2015-07-23,2416
2015-07-24,2349
2015-07-25,2351
2015-07-26,2417
