date_obj,Blue%20d'hide%20chaps%20(t) price
2015-03-26,14601
2015-03-27,14005
2015-03-28,13304
2015-03-29,12638
2015-03-30,12006
2015-03-31,11405
2015-04-01,10850
2015-04-02,10307
2015-04-03,9791
2015-04-04,9301
2015-04-05,8866
2015-04-06,8422
2015-04-07,8022
2015-04-08,7653
2015-04-09,7270
2015-04-10,7016
2015-04-11,6665
2015-04-12,6349
2015-04-13,6031
2015-04-14,5806
2015-04-15,5616
2015-04-16,5388
2015-04-17,5172
2015-04-18,4973
2015-04-19,4789
2015-04-20,4789
2015-04-21,4599
2015-04-22,4599
2015-04-23,4402
2015-04-24,4317
2015-04-25,4171
2015-04-26,3986
2015-04-27,3988
2015-04-28,4017
2015-04-29,4017
2015-04-30,3841
2015-05-01,3839
2015-05-02,3753
2015-05-03,3753
2015-05-04,3658
2015-05-05,3520
2015-05-06,3383
2015-05-07,3271
2015-05-08,3152
2015-05-09,3105
2015-05-10,3075
2015-05-11,3075
2015-05-12,3068
2015-05-13,3068
2015-05-14,3161
2015-05-15,3259
2015-05-16,3259
2015-05-17,3350
2015-05-18,3271
2015-05-19,3263
2015-05-20,3263
2015-05-21,3323
2015-05-22,3365
2015-05-23,3468
2015-05-24,3581
2015-05-25,3577
2015-05-26,3563
2015-05-27,3563
2015-05-28,3554
2015-05-29,3662
2015-05-30,3743
2015-05-31,3743
2015-06-01,3743
2015-06-02,3743
2015-06-03,3817
2015-06-04,3817
2015-06-05,3912
2015-06-06,3871
2015-06-07,3705
2015-06-08,3561
2015-06-09,3527
2015-06-10,3469
2015-06-11,3469
2015-06-12,3452
2015-06-13,3487
2015-06-14,3438
2015-06-15,3422
2015-06-16,3364
2015-06-17,3323
2015-06-18,3337
2015-06-19,3337
2015-06-20,3283
2015-06-21,3283
2015-06-22,3194
2015-06-23,3154
2015-06-24,3162
2015-06-25,3162
2015-06-26,3085
2015-06-27,3085
2015-06-28,3009
2015-06-29,3009
2015-06-30,2988
2015-07-01,2952
2015-07-02,2952
2015-07-03,2945
2015-07-04,2977
2015-07-05,2977
2015-07-06,2938
2015-07-07,3052
2015-07-08,3104
2015-07-09,3104
2015-07-10,3160
2015-07-11,3292
2015-07-12,3292
2015-07-13,3357
2015-07-14,3421
2015-07-15,3446
2015-07-16,3471
2015-07-17,3427
2015-07-18,3427
2015-07-19,3424
