date_obj,Blue%20d'hide%20shield price
2018-01-31,3770
2018-02-01,3959
2018-02-02,4140
2018-02-03,4262
2018-02-04,4289
2018-02-05,4384
2018-02-06,4471
2018-02-07,4547
2018-02-08,4547
2018-02-09,4655
2018-02-10,4655
2018-02-11,4565
2018-02-12,4508
2018-02-13,4424
2018-02-14,4286
2018-02-15,4276
2018-02-16,4379
2018-02-17,4340
2018-02-18,4276
2018-02-19,4329
2018-02-20,4178
2018-02-21,4273
2018-02-22,4273
2018-02-23,4288
2018-02-24,4288
2018-02-25,4269
2018-02-26,4260
2018-02-27,4182
2018-02-28,4182
2018-03-01,4259
2018-03-02,4280
2018-03-03,4256
2018-03-04,4256
2018-03-05,4227
2018-03-06,4228
2018-03-07,4335
2018-03-08,4335
2018-03-09,4272
2018-03-10,4281
2018-03-11,4356
2018-03-12,4347
2018-03-13,4194
2018-03-14,4241
2018-03-15,4241
2018-03-16,4386
2018-03-17,4417
2018-03-18,4353
2018-03-20,4295
2018-03-21,4095
2018-03-22,4095
2018-03-23,4120
2018-03-24,4227
2018-03-25,4423
2018-03-26,4566
2018-03-27,4597
2018-03-28,4597
2018-03-29,4584
2018-03-30,4615
2018-03-31,4628
2018-04-01,4628
2018-04-02,4640
2018-04-03,4637
2018-04-04,4701
2018-04-05,4701
2018-04-06,4636
2018-04-07,4636
2018-04-08,4537
2018-04-09,4456
2018-04-10,4456
2018-04-11,4342
2018-04-12,4259
2018-04-13,4259
2018-04-14,4264
2018-04-15,4292
2018-04-16,4292
2018-04-17,4193
2018-04-18,4193
2018-04-19,4306
2018-04-20,4385
2018-04-21,4374
2018-04-22,4374
2018-04-23,4348
2018-04-24,4348
2018-04-25,4341
2018-04-26,4341
2018-04-27,4436
2018-04-28,4650
2018-04-29,4796
2018-04-30,5032
2018-05-01,5032
2018-05-02,5087
2018-05-03,5087
2018-05-04,5020
2018-05-05,4791
2018-05-06,4791
2018-05-07,4551
2018-05-08,4551
2018-05-09,4461
2018-05-10,4673
2018-05-11,4673
2018-05-12,4663
2018-05-13,4663
2018-05-14,4519
2018-05-15,4519
2018-05-16,4410
2018-05-17,4410
2018-05-18,4361
2018-05-19,4470
2018-05-20,4470
2018-05-21,4424
2018-05-22,4424
2018-05-23,4268
2018-05-24,4268
2018-05-25,4375
2018-05-26,4594
2018-05-27,4594
2018-05-28,4824
2018-05-29,5057
2018-05-30,5057
2018-05-31,5310
2018-06-01,5455
2018-06-02,5284
2018-06-03,5284
2018-06-04,5379
2018-06-05,5437
2018-06-06,5245
2018-06-07,5245
2018-06-08,5178
2018-06-09,5178
2018-06-10,5149
2018-06-11,5149
2018-06-12,4910
2018-06-13,4829
2018-06-14,4765
2018-06-15,4765
2018-06-16,4686
2018-06-17,4765
2018-06-18,4831
2018-06-19,4883
2018-06-20,4883
2018-06-21,4929
2018-06-22,4954
2018-06-23,4954
2018-06-24,4958
2018-06-25,4947
2018-06-26,4947
2018-06-27,4929
2018-06-28,4807
2018-06-29,4602
2018-06-30,4587
2018-07-01,4634
2018-07-02,4634
2018-07-03,4583
2018-07-04,4583
2018-07-05,4601
2018-07-06,4388
2018-07-07,4384
2018-07-08,4344
2018-07-09,4302
2018-07-10,4221
2018-07-11,4118
2018-07-12,4118
2018-07-13,4224
2018-07-14,4364
2018-07-15,4364
2018-07-16,4571
2018-07-17,4757
2018-07-18,4823
2018-07-19,4823
2018-07-20,4866
2018-07-21,4889
2018-07-22,4953
2018-07-23,4810
2018-07-24,4667
2018-07-25,4697
2018-07-26,4796
2018-07-27,4666
2018-07-28,4645
2018-07-29,4682
2018-07-30,4773
2018-07-31,4998
2018-08-01,4998
2018-08-02,4905
2018-08-03,4944
2018-08-04,5024
2018-08-05,5010
2018-08-06,4805
2018-08-07,4699
2018-08-08,4612
2018-08-09,4793
2018-08-10,4883
2018-08-11,4827
2018-08-12,4776
2018-08-14,4838
2018-08-16,4883
2018-08-17,4848
2018-08-18,4904
2018-08-19,4752
2018-08-20,4559
2018-08-21,4541
2018-08-22,4717
2018-08-23,4953
2018-08-24,5178
2018-08-25,4985
2018-08-26,5062
2018-08-27,5140
2018-08-28,5383
2018-08-29,5533
2018-08-30,5369
2018-08-31,5154
2018-09-01,4987
2018-09-02,4862
2018-09-03,4754
2018-09-04,4743
2018-09-05,4652
2018-09-06,4652
2018-09-07,4718
2018-09-08,4719
2018-09-09,4770
2018-09-10,4673
2018-09-11,4451
2018-09-12,4248
2018-09-13,4184
2018-09-14,4254
2018-09-15,4297
2018-09-16,4264
2018-09-17,4274
2018-09-18,4318
2018-09-19,4304
2018-09-20,4332
2018-09-21,4422
2018-09-22,4627
2018-09-23,4686
2018-09-24,4765
2018-09-25,4851
2018-09-26,4888
2018-09-27,4929
2018-09-28,4900
2018-09-29,4900
2018-09-30,4759
2018-10-02,4493
2018-10-03,4499
2018-10-04,4499
2018-10-05,4561
2018-10-06,4723
2018-10-07,4767
2018-10-08,4928
2018-10-09,4853
2018-10-10,4893
2018-10-11,4820
2018-10-12,4820
2018-10-13,4950
2018-10-14,4941
2018-10-15,4893
2018-10-16,4835
2018-10-17,4829
2018-10-18,4854
2018-10-19,4818
2018-10-20,4818
2018-10-21,4671
2018-10-22,4569
2018-10-23,4569
2018-10-24,4495
2018-10-25,4437
2018-10-26,4313
2018-10-27,4295
2018-10-28,4419
2018-10-29,4419
2018-10-30,4503
2018-10-31,4474
2018-11-01,4460
2018-11-03,4527
2018-11-04,4546
2018-11-05,4620
2018-11-06,4501
2018-11-07,4638
2018-11-08,4676
2018-11-09,4739
2018-11-10,4738
2018-11-11,4809
2018-11-12,4876
2018-11-13,5057
2018-11-15,5426
2018-11-16,5388
2018-11-17,5338
2018-11-18,5246
2018-11-19,5121
2018-11-20,4957
2018-11-21,4709
2018-11-22,4656
2018-11-23,4651
2018-11-24,4539
2018-11-25,4622
2018-11-26,4659
2018-11-27,4626
2018-11-28,4660
2018-11-29,4583
2018-12-01,4321
2018-12-02,4328
2018-12-03,4414
2018-12-04,4398
2018-12-05,4490
2018-12-07,4543
2018-12-09,4467
2018-12-10,4502
2018-12-11,4439
2018-12-12,4428
2018-12-13,4450
2018-12-14,4462
2018-12-15,4549
2018-12-16,4634
2018-12-17,4842
2018-12-18,4808
2018-12-19,4744
2018-12-20,4737
2018-12-21,4692
2018-12-22,4780
2018-12-23,4846
2018-12-24,5008
2018-12-25,5150
2018-12-26,5374
2018-12-27,5396
2018-12-28,5129
2018-12-29,5089
2018-12-30,5295
2018-12-31,5360
2019-01-01,5385
2019-01-02,5387
2019-01-03,5307
2019-01-04,5255
2019-01-05,5138
2019-01-06,4981
2019-01-08,4737
2019-01-10,4466
2019-01-11,4388
2019-01-12,4317
2019-01-13,4270
2019-01-14,4256
2019-01-15,4216
2019-01-16,4330
2019-01-17,4374
2019-01-18,4393
2019-01-19,4401
2019-01-20,4406
2019-01-21,4453
2019-01-22,4382
2019-01-23,4363
2019-01-24,4346
2019-01-25,4516
2019-01-26,4604
2019-01-27,4690
2019-01-28,4744
2019-01-29,4859
2019-01-30,5093
2019-01-31,5128
2019-02-01,4998
2019-02-02,4827
2019-02-03,4744
2019-02-04,4696
2019-02-05,4691
2019-02-06,4618
2019-02-07,4497
2019-02-08,4515
2019-02-09,4498
2019-02-10,4496
2019-02-11,4516
2019-02-12,4524
2019-02-13,4540
2019-02-14,4550
2019-02-15,4579
2019-02-16,4588
2019-02-17,4533
2019-02-18,4529
2019-02-19,4527
2019-02-20,4584
2019-02-21,4575
2019-02-22,4535
2019-02-23,4482
2019-02-24,4476
2019-02-25,4447
2019-02-26,4404
2019-02-27,4439
2019-02-28,4390
2019-03-01,4417
2019-03-02,4420
2019-03-03,4334
2019-03-04,4337
2019-03-05,4347
2019-03-06,4429
2019-03-07,4572
2019-03-08,4506
2019-03-09,4487
2019-03-10,4366
2019-03-11,4389
2019-03-12,4475
2019-03-13,4489
2019-03-14,4432
2019-03-15,4407
2019-03-16,4402
2019-03-17,4408
2019-03-18,4356
2019-03-19,4388
2019-03-20,4346
2019-03-21,4289
2019-03-22,4230
2019-03-23,4181
2019-03-24,4216
2019-03-25,4323
2019-03-26,4392
2019-03-27,4320
2019-03-28,4299
2019-03-29,4375
2019-03-30,4375
2019-03-31,4253
2019-04-01,4244
2019-04-02,4285
2019-04-03,4370
2019-04-04,4395
2019-04-05,4571
2019-04-06,4602
2019-04-07,4684
2019-04-08,4593
2019-04-09,4433
2019-04-10,4361
2019-04-11,4353
2019-04-12,4404
2019-04-13,4528
2019-04-14,4692
2019-04-15,4820
2019-04-16,4759
2019-04-17,4772
2019-04-18,4660
2019-04-19,4713
2019-04-20,4743
2019-04-21,4650
2019-04-22,4534
2019-04-23,4619
2019-04-24,4446
2019-04-25,4333
2019-04-26,4279
2019-04-27,4254
2019-04-28,4247
2019-04-29,4277
2019-04-30,4311
2019-05-01,4206
2019-05-02,4291
2019-05-03,4317
2019-05-04,4484
2019-05-05,4623
2019-05-06,4712
2019-05-07,4721
2019-05-08,4817
2019-05-09,4753
2019-05-10,4786
2019-05-11,4675
2019-05-12,4656
2019-05-13,4803
2019-05-14,4876
2019-05-15,4701
2019-05-16,4611
2019-05-17,4523
2019-05-18,4529
2019-05-19,4452
2019-05-20,4281
2019-05-21,4210
2019-05-22,4360
2019-05-23,4449
2019-05-24,4573
2019-05-25,4704
2019-05-26,4889
2019-05-27,4877
2019-05-28,4685
2019-05-29,4482
2019-05-30,4301
2019-05-31,4231
2019-06-01,4269
2019-06-02,4265
2019-06-03,4311
2019-06-04,4292
2019-06-05,4485
2019-06-06,4582
2019-06-07,4436
2019-06-08,4607
2019-06-09,4592
2019-06-10,4592
2019-06-11,4489
2019-06-12,4505
2019-06-13,4388
2019-06-14,4452
2019-06-15,4323
2019-06-16,4254
2019-06-17,4149
2019-06-18,4170
2019-06-19,4235
2019-06-20,4374
2019-06-21,4453
2019-06-22,4388
2019-06-23,4518
2019-06-24,4691
2019-06-25,4735
2019-06-26,4712
2019-06-27,4642
2019-06-28,4642
2019-06-29,4574
2019-06-30,4534
2019-07-01,4523
2019-07-02,4563
2019-07-03,4525
2019-07-04,4542
2019-07-05,4360
2019-07-06,4502
2019-07-07,4606
2019-07-08,4464
2019-07-09,4368
2019-07-10,4336
2019-07-11,4438
2019-07-12,4427
2019-07-13,4525
2019-07-14,4420
2019-07-15,4420
2019-07-16,4282
2019-07-17,4334
2019-07-18,4293
2019-07-19,4243
2019-07-20,4200
2019-07-21,4185
2019-07-22,4297
2019-07-23,4239
2019-07-24,4239
2019-07-25,4181
2019-07-26,4226
2019-07-27,4291
2019-07-28,4155
2019-07-29,4169
2019-07-30,4142
2019-07-31,4301
2019-08-01,4511
2019-08-02,4735
2019-08-03,4777
2019-08-04,4907
2019-08-05,5024
2019-08-06,5013
2019-08-07,4788
2019-08-08,4588
2019-08-09,4656
2019-08-10,4578
2019-08-11,4513
2019-08-12,4472
2019-08-13,4520
2019-08-14,4372
2019-08-15,4504
2019-08-16,4715
2019-08-17,4715
2019-08-18,4951
2019-08-19,4917
2019-08-20,4924
2019-08-21,5002
2019-08-22,4800
2019-08-23,4600
2019-08-24,4540
2019-08-24,4540
2019-08-25,4540
2019-08-25,4540
2019-08-26,4430
2019-08-27,4397
2019-08-27,4397
2019-08-28,4401
2019-08-29,4349
2019-08-30,4261
2019-08-31,4261
2019-09-01,4191
2019-09-02,4191
2019-09-03,4123
2019-09-04,4050
2019-09-05,3995
2019-09-06,3995
2019-09-07,4107
2019-09-08,4181
2019-09-09,4181
2019-09-10,4333
2019-09-11,4351
2019-09-12,4351
2019-09-13,4235
2019-09-14,4256
2019-09-15,4276
2019-09-16,4273
2019-09-17,4469
2019-09-18,4427
2019-09-19,4427
2019-09-20,4298
2019-09-21,4276
2019-09-22,4268
2019-09-23,4231
2019-09-24,4231
2019-09-25,4146
2019-09-26,4149
2019-09-27,4149
2019-09-28,4108
2019-09-29,4108
2019-09-30,4183
2019-10-01,4282
2019-10-02,4282
2019-10-03,4492
2019-10-04,4492
2019-10-05,4516
2019-10-06,4311
2019-10-07,4207
2019-10-08,4105
2019-10-09,4105
2019-10-10,4142
2019-10-11,4142
2019-10-12,4340
2019-10-13,4486
2019-10-14,4558
2019-10-15,4558
2019-10-16,4582
2019-10-17,4582
2019-10-18,4763
2019-10-19,4868
2019-10-20,4868
2019-10-21,4783
2019-10-22,4783
2019-10-23,4717
2019-10-24,4717
2019-10-25,4593
2019-10-26,4457
2019-10-27,4319
2019-10-28,4144
2019-10-29,4144
2019-10-30,4067
2019-10-31,4015
2019-11-01,3978
2019-11-02,4041
2019-11-03,4083
2019-11-04,4205
2019-11-05,4205
2019-11-06,4204
2019-11-07,4204
2019-11-08,4228
2019-11-09,4407
2019-11-10,4335
2019-11-11,4398
2019-11-12,4398
2019-11-13,4535
2019-11-14,4535
2019-11-15,4453
2019-11-16,4502
2019-11-17,4502
2019-11-18,4406
2019-11-19,4406
2019-11-20,4432
2019-11-21,4432
2019-11-22,4326
2019-11-23,4338
2019-11-24,4415
2019-11-25,4590
2019-11-26,4770
2019-11-27,4770
2019-11-28,4811
2019-11-29,4811
2019-11-30,4613
2019-12-01,4421
2019-12-02,4421
2019-12-03,4410
2019-12-04,4410
2019-12-05,4360
2019-12-06,4427
2019-12-07,4481
2019-12-08,4481
2019-12-09,4369
2019-12-10,4339
2019-12-11,4339
2019-12-12,4334
2019-12-13,4334
2019-12-14,4239
2019-12-15,4248
2019-12-16,4248
2019-12-17,4218
2019-12-18,4218
2019-12-19,4202
2019-12-20,4323
2019-12-21,4264
2019-12-22,4406
2019-12-23,4406
2019-12-24,4546
2019-12-25,4544
2019-12-26,4544
2019-12-27,4686
2019-12-28,4790
2019-12-29,4790
2019-12-30,4748
2019-12-31,4675
2020-01-01,4675
2020-01-02,4471
2020-01-03,4454
2020-01-04,4454
2020-01-05,4348
2020-01-06,4348
2020-01-07,4319
2020-01-08,4319
2020-01-09,4287
2020-01-10,4380
2020-01-11,4246
2020-01-12,4175
2020-01-13,4175
2020-01-14,4152
2020-01-15,4124
2020-01-16,4176
2020-01-17,4327
2020-01-18,4327
2020-01-19,4254
2020-01-20,4254
2020-01-21,4162
2020-01-22,4217
2020-01-23,4297
2020-01-24,4365
2020-01-25,4365
2020-01-26,4393
2020-01-27,4416
2020-01-28,4416
2020-01-29,4221
2020-01-30,4194
2020-01-31,4194
2020-02-01,4223
2020-02-02,4325
2020-02-03,4325
2020-02-04,4356
2020-02-05,4356
2020-02-06,4285
2020-02-07,4285
2020-02-08,4115
2020-02-09,4221
2020-02-10,4300
2020-02-11,4386
2020-02-12,4464
2020-02-13,4464
2020-02-14,4688
2020-02-15,4688
2020-02-16,4889
2020-02-17,4998
2020-02-18,4849
2020-02-19,4618
2020-02-20,4616
2020-02-21,4616
2020-02-22,4550
2020-02-23,4501
2020-02-24,4406
2020-02-25,4384
2020-02-26,4308
2020-02-27,4310
2020-02-28,4344
2020-02-29,4344
2020-03-01,4366
2020-03-02,4483
2020-03-03,4412
2020-03-04,4412
2020-03-05,4327
2020-03-06,4341
2020-03-07,4380
2020-03-08,4362
2020-03-09,4253
2020-03-10,4267
2020-03-11,4446
2020-03-12,4363
2020-03-13,4488
2020-03-14,4311
2020-03-15,4308
2020-03-16,4330
2020-03-17,4410
2020-03-18,4534
2020-03-19,4646
2020-03-20,4570
2020-03-21,4489
2020-03-22,4506
2020-03-23,4566
2020-03-24,4751
2020-03-25,4989
2020-03-26,5018
2020-03-27,4986
2020-03-28,4737
2020-03-29,4547
2020-03-30,4363
2020-03-31,4340
2020-04-01,4403
2020-04-02,4464
2020-04-03,4464
2020-04-04,4549
2020-04-05,4686
2020-04-06,4629
2020-04-07,4667
2020-04-08,4669
2020-04-09,4610
2020-04-10,4540
2020-04-11,4602
2020-04-12,4541
2020-04-13,4593
2020-04-14,4755
2020-04-15,4930
2020-04-16,5081
2020-04-17,4946
2020-04-18,4784
2020-04-19,4599
2020-04-20,4377
2020-04-21,4317
2020-04-22,4348
2020-04-23,4303
2020-04-24,4349
2020-04-25,4408
2020-04-26,4340
2020-04-27,4392
2020-04-28,4398
2020-04-29,4502
2020-04-30,4601
2020-05-01,4778
2020-05-02,4774
2020-05-03,4632
2020-05-04,4542
2020-05-05,4581
2020-05-06,4562
2020-05-07,4663
2020-05-08,4733
2020-05-09,4688
2020-05-10,4758
2020-05-11,4924
2020-05-12,4834
2020-05-13,4621
