date_obj,Blue%20flowers price
2015-03-04,3777
2015-03-05,3777
2015-03-06,3601
2015-03-07,3601
2015-03-08,3601
2015-03-09,3601
2015-03-10,3429
2015-03-11,3429
2015-03-12,3429
2015-03-13,3429
2015-03-14,3266
2015-03-15,3266
2015-03-16,3266
2015-03-17,3266
2015-03-18,3117
2015-03-19,3117
2015-03-20,3117
2015-03-21,3117
2015-03-22,2970
2015-03-23,2970
2015-03-24,2970
2015-03-25,2970
2015-03-26,2828
2015-03-27,2828
2015-03-28,2828
2015-03-29,2828
2015-03-30,2694
2015-03-31,2694
2015-04-01,2694
2015-04-02,2694
2015-04-03,2564
2015-04-04,2564
2015-04-05,2564
2015-04-06,2564
2015-04-07,2440
2015-04-08,2440
2015-04-09,2440
2015-04-10,2440
2015-04-11,2440
2015-04-12,2322
2015-04-13,2322
2015-04-14,2322
2015-04-15,2322
2015-04-16,2322
2015-04-17,2210
2015-04-18,2210
2015-04-19,2210
2015-04-20,2210
2015-04-21,2102
2015-04-22,2102
2015-04-23,2102
2015-04-24,2102
2015-04-25,2102
2015-04-26,2002
2015-04-27,2002
2015-04-28,2002
2015-04-29,2002
2015-04-30,2002
2015-05-01,1904
2015-05-02,1904
2015-05-03,1904
2015-05-04,1904
2015-05-05,1904
2015-05-06,1812
2015-05-07,1812
2015-05-08,1812
2015-05-09,1812
2015-05-10,1812
2015-05-11,1812
2015-05-12,1726
2015-05-13,1726
2015-05-14,1726
2015-05-15,1726
2015-05-16,1726
2015-05-17,1643
2015-05-18,1643
2015-05-19,1643
2015-05-20,1643
2015-05-21,1643
2015-05-22,1643
2015-05-23,1643
2015-05-24,1562
2015-05-25,1562
2015-05-26,1562
2015-05-27,1562
2015-05-28,1487
2015-05-29,1487
2015-05-30,1487
2015-05-31,1487
2015-06-01,1418
2015-06-02,1418
2015-06-03,1418
2015-06-04,1418
2015-06-05,1418
2015-06-06,1352
2015-06-07,1352
2015-06-08,1352
2015-06-09,1352
2015-06-10,1352
2015-06-11,1289
2015-06-12,1289
2015-06-13,1289
2015-06-14,1289
2015-06-15,1289
2015-06-16,1289
2015-06-17,1226
2015-06-18,1226
2015-06-19,1226
2015-06-20,1226
2015-06-21,1226
2015-06-22,1167
2015-06-23,1167
2015-06-24,1167
2015-06-25,1167
2015-06-26,1167
2015-06-27,1111
2015-06-28,1111
2015-06-29,1111
2015-06-30,1111
2015-07-01,1111
2015-07-02,1057
2015-07-03,1057
2015-07-04,1057
2015-07-05,1057
2015-07-06,1057
2015-07-07,1008
2015-07-08,1008
2015-07-09,1008
2015-07-10,1008
2015-07-11,1008
2015-07-12,960
2015-07-13,960
2015-07-14,960
2015-07-15,960
2015-07-16,960
2015-07-17,917
2015-07-18,917
2015-07-19,917
2015-07-20,917
2015-07-21,917
2015-07-22,874
2015-07-23,874
2015-07-24,874
2015-07-25,874
2015-07-26,874
2015-07-27,833
2015-07-28,833
2015-07-29,833
2015-07-30,833
2015-07-31,833
2015-08-01,794
2015-08-02,794
2015-08-03,794
2015-08-04,794
2015-08-05,794
2015-08-06,756
2015-08-07,756
2015-08-08,756
2015-08-09,756
2015-08-10,756
2015-08-11,721
2015-08-12,721
2015-08-13,721
2015-08-14,721
2015-08-15,721
2015-08-16,721
2015-08-17,721
2015-08-18,721
2015-08-19,687
2015-08-20,687
2015-08-21,687
2015-08-22,687
2015-08-23,687
2015-08-24,687
2015-08-25,687
2015-08-26,687
2015-08-27,654
2015-08-28,654
2015-08-29,654
2015-08-30,654
2015-08-31,654
2015-09-02,654
2015-09-07,623
2015-09-08,623
2015-09-10,623
2015-09-14,593
2015-09-16,593
2015-09-22,564
2015-09-23,564
2015-09-24,564
2015-09-25,564
2015-09-27,564
2015-09-28,564
2015-09-29,537
2015-09-30,537
2015-10-05,537
2015-10-06,537
2015-10-07,537
2015-10-08,537
2015-10-09,512
2015-10-10,512
2015-10-11,512
2015-10-12,512
2015-10-13,512
2015-10-14,512
2015-10-15,512
2015-10-16,512
2015-10-17,512
2015-10-18,512
2015-10-19,489
2015-10-20,489
2015-10-22,489
2015-10-23,489
2015-10-24,489
2015-10-25,489
2015-10-26,489
2015-10-27,489
2015-10-29,465
2015-10-30,465
2015-10-31,465
2015-11-01,465
2015-11-02,465
2015-11-03,465
2015-11-04,465
2015-11-05,465
2015-11-06,465
2015-11-07,443
2015-11-08,443
2015-11-09,443
2015-11-10,443
2015-11-11,443
2015-11-12,443
2015-11-13,443
2015-11-14,443
2015-11-15,443
2015-11-16,443
2015-11-17,443
2015-11-18,443
2015-11-19,422
2015-11-20,422
2015-11-21,422
2015-11-22,422
2015-11-23,422
2015-11-24,422
2015-11-25,422
2015-11-26,422
2015-11-27,422
2015-11-28,422
2015-11-29,401
2015-11-30,401
2015-12-01,401
2015-12-02,401
2015-12-03,401
2015-12-04,401
2015-12-05,401
2015-12-06,401
2015-12-07,401
2015-12-08,401
2015-12-09,382
2015-12-10,382
2015-12-11,382
2015-12-12,382
2015-12-13,382
2015-12-14,382
2015-12-15,382
2015-12-16,382
2015-12-17,382
2015-12-18,364
2015-12-19,364
2015-12-20,364
2015-12-21,364
2015-12-22,364
2015-12-23,364
2015-12-24,364
2015-12-25,364
2015-12-26,364
2015-12-27,364
2015-12-28,346
2015-12-29,346
2015-12-30,346
2015-12-31,346
2016-01-01,346
2016-01-02,346
2016-01-03,346
2016-01-04,346
2016-01-05,329
2016-01-06,329
2016-01-07,329
2016-01-08,329
2016-01-09,329
2016-01-10,329
2016-01-11,329
2016-01-12,329
2016-01-13,329
2016-01-14,313
2016-01-15,313
2016-01-16,313
2016-01-17,313
2016-01-18,313
2016-01-19,313
2016-01-20,313
2016-01-21,313
2016-01-22,313
2016-01-23,298
2016-01-24,298
2016-01-25,298
2016-01-26,298
2016-01-27,298
2016-01-28,298
2016-01-29,298
2016-01-30,298
2016-01-31,284
2016-02-01,284
2016-02-02,284
2016-02-03,284
2016-02-04,284
2016-02-05,284
2016-02-06,284
2016-02-07,284
2016-02-08,270
2016-02-09,270
2016-02-10,270
2016-02-11,270
2016-02-12,270
2016-02-13,270
2016-02-14,270
2016-02-15,270
2016-02-16,270
2016-02-17,257
2016-02-18,257
2016-02-19,257
2016-02-20,257
2016-02-21,257
2016-02-22,257
2016-02-23,257
2016-02-24,257
2016-02-25,245
2016-02-26,245
2016-02-27,245
2016-02-28,245
2016-02-29,245
2016-03-01,245
2016-03-02,245
2016-03-03,245
2016-03-04,245
2016-03-05,233
2016-03-06,233
2016-03-07,233
2016-03-08,233
2016-03-09,233
2016-03-10,233
2016-03-11,233
2016-03-12,233
2016-03-13,222
2016-03-14,222
2016-03-15,222
2016-03-16,222
2016-03-17,222
2016-03-18,222
2016-03-19,222
2016-03-20,222
2016-03-21,211
2016-03-22,211
2016-03-23,211
2016-03-24,211
2016-03-25,211
2016-03-26,211
2016-03-27,211
2016-03-28,211
2016-03-29,201
2016-03-30,201
2016-03-31,201
2016-04-01,201
2016-04-02,201
2016-04-03,201
2016-04-04,201
2016-04-05,201
2016-04-06,201
2016-04-07,201
2016-04-08,193
2016-04-09,193
2016-04-10,193
2016-04-11,193
2016-04-12,193
2016-04-13,193
2016-04-14,193
2016-04-15,193
2016-04-16,195
2016-04-17,195
2016-04-18,195
2016-04-19,195
2016-04-20,195
2016-04-21,195
2016-04-22,195
2016-04-23,195
2016-04-24,195
2016-04-25,194
2016-04-26,194
2016-04-27,194
2016-04-28,194
2016-04-29,194
2016-04-30,194
2016-05-01,194
2016-05-02,194
2016-05-03,194
2016-05-04,194
2016-05-05,186
2016-05-06,186
2016-05-07,186
2016-05-08,186
2016-05-09,186
2016-05-10,186
2016-05-11,186
2016-05-12,186
2016-05-13,186
2016-05-14,177
2016-05-15,177
2016-05-16,177
2016-05-17,177
2016-05-18,177
2016-05-19,177
2016-05-22,168
2016-05-23,168
2016-05-24,168
2016-05-25,168
2016-05-26,168
2016-05-27,168
2016-05-28,168
2016-05-29,163
2016-05-30,163
2016-05-31,163
2016-06-01,163
2016-06-02,163
2016-06-03,163
2016-06-04,163
2016-06-05,163
2016-06-06,163
2016-06-07,168
2016-06-08,168
2016-06-09,168
2016-06-10,168
2016-06-11,168
2016-06-12,168
2016-06-13,168
2016-06-14,166
2016-06-15,166
2016-06-16,166
2016-06-17,166
2016-06-18,166
2016-06-19,157
2016-06-20,157
2016-06-21,157
2016-06-22,157
2016-06-23,157
2016-06-24,157
2016-06-25,157
2016-06-26,149
2016-06-27,149
2016-06-28,149
2016-06-29,149
2016-06-30,149
2016-07-01,149
2016-07-02,149
2016-07-03,141
2016-07-04,141
2016-07-05,141
2016-07-06,141
2016-07-07,141
2016-07-08,141
2016-07-09,141
2016-07-10,133
2016-07-11,133
2016-07-12,133
2016-07-13,133
2016-07-14,133
2016-07-15,133
2016-07-16,133
2016-07-17,133
2016-07-18,126
2016-07-23,126
2016-07-24,126
2016-07-25,126
2016-07-26,126
2016-07-27,126
2016-07-28,119
2016-07-29,119
2016-07-30,119
2016-07-31,119
2016-08-01,119
2016-08-02,119
2016-08-03,119
2016-08-04,119
2016-08-05,119
2016-08-06,119
2016-08-07,113
2016-08-08,113
2016-08-09,113
2016-08-10,113
2016-08-11,113
2016-08-12,113
2016-08-13,113
2016-08-14,113
2016-08-15,113
2016-08-16,113
2016-08-17,113
2016-08-18,113
2016-08-19,107
2016-08-20,107
2016-08-21,107
2016-08-22,107
2016-08-23,107
2016-08-24,107
2016-08-25,107
2016-08-26,107
2016-08-28,107
2016-08-31,107
2016-09-01,101
2016-09-02,101
2016-09-03,101
2016-09-04,101
2016-09-05,101
2016-09-06,101
2016-09-07,101
2016-09-08,101
2016-09-09,101
2016-09-10,101
2016-09-11,101
2016-09-12,101
2016-09-13,101
2016-09-14,101
2016-09-15,101
2016-09-16,95
2016-09-17,95
2016-09-18,95
2016-09-19,95
2016-09-20,95
2016-09-21,95
2016-09-22,95
2016-09-23,95
2016-09-24,95
2016-09-25,95
2016-09-26,95
2016-09-27,95
2016-09-28,95
2016-09-29,95
2016-09-30,90
2016-10-01,90
2016-10-02,90
2016-10-03,90
2016-10-04,90
2016-10-05,90
2016-10-06,90
2016-10-07,90
2016-10-08,90
2016-10-09,90
2016-10-10,90
2016-10-11,90
2016-10-12,90
2016-10-13,90
2016-10-14,85
2016-10-15,85
2016-10-16,85
2016-10-17,85
2016-10-18,85
2016-10-19,85
2016-10-20,85
2016-10-21,85
2016-10-22,85
2016-10-23,85
2016-10-24,85
2016-10-25,85
2016-10-26,80
2016-10-27,80
2016-10-28,80
2016-10-29,80
2016-10-30,80
2016-10-31,80
2016-11-01,80
2016-11-02,80
2016-11-03,80
2016-11-04,80
2016-11-05,80
2016-11-06,80
2016-11-07,80
2016-11-08,80
2016-11-09,80
2016-11-10,80
2016-11-11,76
2016-11-12,76
2016-11-13,76
2016-11-14,76
2016-11-15,76
2016-12-07,72
2016-12-08,72
2016-12-09,72
2016-12-10,72
2016-12-11,72
2016-12-12,72
2016-12-13,72
2016-12-14,72
2016-12-15,72
2016-12-16,72
2016-12-17,69
2016-12-18,69
2016-12-19,69
2016-12-20,69
2016-12-21,69
2016-12-22,69
2016-12-23,69
2016-12-24,69
2016-12-25,69
2016-12-26,69
2016-12-27,69
2016-12-28,69
2016-12-29,66
2016-12-30,66
2016-12-31,66
2017-01-01,66
2017-01-02,66
2017-01-03,66
2017-01-04,66
2017-01-05,66
2017-01-06,66
2017-01-07,66
2017-01-08,63
2017-01-09,63
2017-01-10,63
2017-01-11,63
2017-01-12,63
2017-01-13,63
2017-01-14,63
2017-01-15,63
2017-01-16,63
2017-01-17,63
2017-01-18,63
2017-01-19,59
2017-01-20,59
2017-01-21,59
2017-01-22,59
2017-01-23,59
2017-01-27,59
2017-01-28,59
2017-01-29,56
2017-01-30,56
2017-01-31,56
2017-02-01,56
2017-02-02,56
2017-02-03,56
2017-02-04,56
2017-02-05,56
2017-02-06,56
2017-02-07,56
2017-02-08,56
2017-02-09,56
2017-02-10,53
2017-02-11,53
2017-02-12,53
2017-02-13,53
2017-02-14,53
2017-02-15,53
2017-02-16,53
2017-02-18,53
2017-02-19,53
2017-02-20,52
2017-02-21,52
2017-02-22,52
2017-02-23,52
2017-02-24,52
2017-02-25,52
2017-02-26,52
2017-02-27,52
2017-02-28,52
2017-03-01,52
2017-03-02,52
2017-03-03,52
2017-03-04,50
2017-03-05,50
2017-03-06,50
2017-03-07,50
2017-03-08,50
2017-03-09,50
2017-03-10,50
2017-03-11,50
2017-03-12,50
2017-03-13,50
2017-03-14,50
2017-03-15,48
2017-03-16,48
2017-03-17,48
2017-03-18,48
2017-03-19,48
2017-03-20,48
2017-03-21,48
2017-03-22,48
2017-03-23,48
2017-03-24,48
2017-03-25,48
2017-03-26,48
2017-03-27,45
2017-03-28,45
2017-03-29,45
2017-03-30,45
2017-03-31,45
2017-04-01,45
2017-04-02,45
2017-04-03,45
2017-04-04,45
2017-04-12,43
2017-04-13,43
2017-04-14,43
2017-04-15,43
2017-04-16,43
2017-04-17,43
2017-04-18,43
2017-04-19,45
2017-04-20,45
2017-04-21,45
2017-04-22,45
2017-04-23,45
2017-04-24,45
2017-04-25,45
2017-04-26,45
2017-04-27,45
2017-04-28,45
2017-04-29,45
2017-04-30,45
2017-05-01,45
2017-05-02,45
2017-05-03,45
2017-05-04,45
2017-05-05,45
2017-05-06,45
2017-05-07,45
2017-05-08,45
2017-05-09,45
2017-05-10,45
2017-05-11,45
2017-05-12,44
2017-05-13,44
2017-05-14,44
2017-05-15,44
2017-05-16,44
2017-05-17,44
2017-05-18,44
2017-05-19,44
2017-05-20,44
2017-05-21,44
2017-05-22,44
2017-05-23,41
2017-05-24,41
2017-05-25,41
2017-05-26,41
2017-05-27,41
2017-05-28,41
2017-05-29,41
2017-05-30,41
2017-05-31,41
2017-06-01,41
2017-06-02,41
2017-06-03,41
2017-06-04,38
2017-06-05,38
2017-06-06,38
2017-06-07,38
2017-06-08,38
2017-06-09,38
2017-06-10,38
2017-06-11,38
2017-06-12,37
2017-06-13,37
2017-06-14,37
2017-06-15,37
2017-06-16,37
2017-06-17,37
2017-06-18,37
2017-06-19,37
2017-06-20,37
2017-06-21,37
2017-06-22,37
2017-06-23,37
2017-06-24,36
2017-06-25,36
2017-06-26,36
2017-06-27,36
2017-06-28,36
2017-06-29,36
2017-06-30,36
2017-07-01,36
2017-07-02,36
2017-07-03,36
2017-07-04,36
2017-07-05,36
2017-07-06,35
2017-07-07,35
2017-07-08,35
2017-07-13,35
2017-07-14,35
2017-07-15,35
2017-07-16,35
2017-07-17,35
2017-07-18,35
2017-07-19,34
2017-07-20,34
2017-07-21,34
2017-07-22,34
2017-07-23,34
2017-07-24,34
2017-07-25,34
2017-07-26,34
2017-07-27,34
2017-07-28,34
2017-07-29,34
2017-07-30,34
2017-07-31,33
2017-08-01,33
2017-08-02,33
2017-08-03,33
2017-08-04,33
2017-08-05,33
2017-08-06,33
2017-08-09,33
2017-08-10,33
2017-08-11,33
2017-08-12,33
2017-08-13,33
2017-08-14,33
2017-08-15,33
2017-08-16,33
2017-08-17,33
2017-08-18,33
2017-08-19,33
2017-08-20,33
2017-08-21,33
2017-08-22,33
2017-08-23,34
2017-08-24,34
2017-08-25,34
2017-08-26,34
2017-08-27,34
2017-08-28,34
2017-08-29,34
2017-08-30,34
2017-08-31,34
2017-09-01,34
2017-09-02,34
2017-09-03,34
2017-09-04,32
2017-09-05,32
2017-09-06,32
2017-09-07,32
2017-09-08,32
2017-09-09,32
2017-09-10,32
2017-09-11,32
2017-09-12,32
2017-09-13,32
2017-09-14,32
2017-09-15,32
2017-09-16,34
2017-09-17,34
2017-09-18,34
2017-09-19,34
2017-09-20,34
2017-09-22,34
2017-09-23,34
2017-09-24,34
2017-09-25,34
2017-09-26,34
2017-09-27,34
2017-09-28,34
2017-09-29,35
2017-09-30,35
2017-10-01,35
2017-10-02,35
2017-10-03,35
2017-10-04,35
2017-10-05,35
2017-10-06,35
2017-10-07,35
2017-10-08,35
2017-10-09,35
2017-10-10,35
2017-10-11,35
2017-10-12,35
2017-10-13,35
2017-10-14,35
2017-10-15,35
2017-10-16,35
2017-10-17,35
2017-10-18,35
2017-10-19,35
2017-10-20,35
2017-10-21,35
2017-10-22,35
2017-10-23,35
2017-10-24,35
2017-10-25,35
2017-10-26,33
2017-10-27,33
2017-10-28,33
2017-10-29,33
2017-10-30,33
2017-10-31,33
2017-11-01,33
2017-11-02,33
2017-11-03,33
2017-11-04,33
2017-11-05,33
2017-11-06,33
2017-11-07,33
2017-11-08,33
2017-11-09,31
2017-11-10,31
2017-11-11,31
2017-11-12,31
2017-11-13,31
2017-11-14,31
2017-11-15,31
2017-11-16,31
2017-11-17,31
2017-11-18,31
2017-11-19,31
2017-11-20,31
2017-11-21,31
2017-11-22,31
2017-11-23,29
2017-11-24,29
2017-11-25,29
2017-11-26,29
2017-11-27,29
2017-11-28,29
2017-11-29,29
2017-11-30,29
2017-12-01,29
2017-12-02,29
2017-12-03,29
2017-12-04,29
2017-12-05,29
2017-12-06,28
2017-12-07,28
2017-12-08,28
2017-12-09,28
2017-12-10,28
2017-12-11,28
2017-12-12,28
2017-12-13,28
2017-12-14,28
2017-12-15,28
2017-12-16,28
2017-12-17,28
2017-12-18,28
2017-12-19,27
2017-12-20,27
2017-12-21,27
2017-12-22,27
2017-12-23,27
2017-12-24,27
2017-12-25,27
2017-12-26,27
2017-12-27,27
2017-12-28,27
2017-12-29,27
2017-12-30,27
2017-12-31,27
2018-01-01,27
2018-01-02,27
2018-01-03,27
2018-01-04,27
2018-01-05,27
2018-01-06,27
2018-01-07,27
2018-01-08,27
2018-01-09,27
2018-01-10,27
2018-01-11,27
2018-01-12,27
2018-01-13,27
2018-01-14,27
2018-01-15,27
2018-01-16,27
2018-01-17,27
2018-01-18,27
2018-01-19,27
2018-01-20,27
2018-01-21,26
2018-01-22,26
2018-01-23,26
2018-01-24,26
2018-01-25,26
2018-01-26,26
2018-01-27,26
2018-01-28,26
2018-01-29,24
2018-01-30,24
2018-01-31,24
2018-02-01,24
2018-02-02,24
2018-02-03,24
2018-02-04,24
2018-02-05,24
2018-02-06,24
2018-02-07,22
2018-02-08,22
2018-02-09,22
2018-02-10,22
2018-02-11,22
2018-02-12,22
2018-02-13,22
2018-02-14,22
2018-02-15,22
2018-02-16,20
2018-02-17,20
2018-02-18,20
2018-02-19,20
2018-02-20,20
2018-02-21,20
2018-02-22,20
2018-02-23,20
2018-02-24,20
2018-02-25,19
2018-02-26,19
2018-02-27,19
2018-02-28,19
2018-03-01,19
2018-03-02,19
2018-03-03,19
2018-03-04,19
2018-03-05,19
2018-03-06,18
2018-03-07,18
2018-03-08,18
2018-03-09,18
2018-03-10,18
2018-03-11,18
2018-03-12,18
2018-03-13,18
2018-03-14,18
2018-03-15,18
2018-03-16,17
2018-03-17,17
2018-03-18,17
2018-03-20,16
2018-03-21,16
2018-03-22,16
2018-03-23,16
2018-03-24,16
2018-03-25,15
2018-03-26,15
2018-03-27,15
2018-03-28,15
2018-03-29,15
2018-03-30,15
2018-03-31,15
2018-04-01,14
2018-04-02,14
2018-04-03,14
2018-04-04,14
2018-04-05,14
2018-04-06,14
2018-04-07,14
2018-04-08,14
2018-04-09,14
2018-04-10,14
2018-04-11,14
2018-04-12,14
2018-04-13,14
2018-04-14,14
2018-04-15,14
2018-04-16,14
2018-04-17,14
2018-04-18,14
2018-04-19,14
2018-04-20,14
2018-04-21,14
2018-04-22,14
2018-04-23,14
2018-04-24,14
2018-04-25,14
2018-04-26,14
2018-04-27,14
2018-04-28,14
2018-04-29,14
2018-04-30,14
2018-05-01,14
2018-05-02,14
2018-05-03,14
2018-05-04,14
2018-05-05,14
2018-05-06,14
2018-05-07,14
2018-05-08,14
2018-05-09,14
2018-05-10,14
2018-05-11,14
2018-05-12,14
2018-05-13,14
2018-05-14,14
2018-05-15,14
2018-05-16,14
2018-05-17,14
2018-05-18,14
2018-05-19,14
2018-05-20,14
2018-05-21,14
2018-05-22,14
2018-05-23,14
2018-05-24,13
2018-05-25,13
2018-05-26,13
2018-05-27,13
2018-05-28,13
2018-05-29,13
2018-05-30,13
2018-05-31,13
2018-06-01,12
2018-06-02,12
2018-06-03,12
2018-06-04,12
2018-06-05,12
2018-06-06,12
2018-06-07,12
2018-06-08,11
2018-06-09,11
2018-06-10,11
2018-06-11,11
2018-06-12,11
2018-06-13,11
2018-06-14,11
2018-06-15,11
2018-06-16,10
2018-06-17,10
2018-06-18,10
2018-06-19,10
2018-06-20,10
2018-06-21,10
2018-06-22,10
2018-06-23,10
2018-06-24,10
2018-06-25,10
2018-06-26,10
2018-06-27,10
2018-06-28,10
2018-06-29,10
2018-06-30,10
2018-07-01,10
2018-07-02,10
2018-07-03,10
2018-07-04,10
2018-07-05,10
2018-07-06,11
2018-07-07,11
2018-07-08,11
2018-07-09,11
2018-07-10,11
2018-07-11,11
2018-07-12,11
2018-07-13,11
2018-07-14,11
2018-07-15,11
2018-07-16,11
2018-07-17,11
2018-07-18,11
2018-07-19,11
2018-07-20,11
2018-07-21,12
2018-07-22,12
2018-07-23,12
2018-07-24,12
2018-07-25,12
2018-07-26,12
2018-07-27,12
2018-07-28,12
2018-07-29,13
2018-07-30,13
2018-07-31,13
2018-08-01,13
2018-08-02,13
2018-08-03,13
2018-08-04,13
2018-08-05,13
2018-08-06,14
2018-08-07,14
2018-08-08,14
2018-08-09,14
2018-08-10,14
2018-08-11,14
2018-08-12,14
2018-08-14,15
2018-08-16,15
2018-08-17,15
2018-08-18,15
2018-08-19,15
2018-08-20,15
2018-08-21,15
2018-08-22,15
2018-08-23,15
2018-08-24,15
2018-08-25,15
2018-08-26,15
2018-08-27,15
2018-08-28,15
2018-08-29,15
2018-08-30,15
2018-08-31,15
2018-09-01,15
2018-09-02,15
2018-09-03,15
2018-09-04,15
2018-09-05,15
2018-09-06,15
2018-09-07,15
2018-09-08,15
2018-09-09,15
2018-09-10,15
2018-09-11,15
2018-09-12,15
2018-09-13,15
2018-09-14,15
2018-09-15,14
2018-09-16,14
2018-09-17,14
2018-09-18,14
2018-09-19,14
2018-09-20,14
2018-09-21,14
2018-09-22,14
2018-09-23,14
2018-09-24,15
2018-09-25,15
2018-09-26,15
2018-09-27,15
2018-09-28,15
2018-09-29,15
2018-09-30,15
2018-10-01,15
2018-10-02,15
2018-10-03,16
2018-10-04,16
2018-10-05,16
2018-10-06,16
2018-10-07,16
2018-10-08,16
2018-10-09,16
2018-10-10,16
2018-10-11,16
2018-10-12,15
2018-10-13,15
2018-10-14,15
2018-10-15,15
2018-10-16,15
2018-10-17,15
2018-10-18,15
2018-10-19,15
2018-10-20,15
2018-10-21,14
2018-10-22,14
2018-10-23,14
2018-10-24,14
2018-10-25,14
2018-10-26,14
2018-10-27,14
2018-10-28,14
2018-10-29,14
2018-10-30,14
2018-10-31,14
2018-11-01,14
2018-11-03,14
2018-11-04,14
2018-11-05,14
2018-11-06,14
2018-11-07,14
2018-11-08,14
2018-11-09,14
2018-11-10,14
2018-11-11,14
2018-11-12,14
2018-11-13,14
2018-11-15,14
2018-11-16,13
2018-11-17,13
2018-11-18,13
2018-11-19,13
2018-11-20,13
2018-11-21,12
2018-11-22,12
2018-11-23,12
2018-11-24,12
2018-11-25,12
2018-11-26,12
2018-11-27,12
2018-11-28,12
2018-11-29,12
2018-12-01,12
2018-12-02,11
2018-12-03,11
2018-12-04,11
2018-12-05,11
2018-12-07,10
2018-12-09,10
2018-12-10,9
2018-12-11,9
2018-12-12,9
2018-12-13,9
2018-12-14,9
2018-12-15,9
2018-12-16,9
2018-12-17,9
2018-12-18,10
2018-12-19,10
2018-12-20,10
2018-12-21,10
2018-12-22,10
2018-12-23,9
2018-12-24,9
2018-12-25,9
2018-12-26,9
2018-12-27,9
2018-12-28,9
2018-12-29,9
2018-12-30,9
2018-12-31,9
2019-01-01,9
2019-01-02,9
2019-01-03,9
2019-01-04,9
2019-01-05,9
2019-01-06,9
2019-01-08,9
2019-01-10,10
2019-01-11,10
2019-01-12,10
2019-01-13,10
2019-01-14,10
2019-01-15,11
2019-01-16,11
2019-01-17,11
2019-01-18,11
2019-01-19,11
2019-01-20,12
2019-01-21,12
