date_obj,Blue%20hat price
2015-03-04,8000
2015-03-05,8000
2015-03-06,8000
2015-03-07,8000
2015-03-08,7610
2015-03-09,7610
2015-03-10,7610
2015-03-11,7610
2015-03-12,7610
2015-03-13,7610
2015-03-14,7610
2015-03-15,7610
2015-03-16,7610
2015-03-17,7610
2015-03-18,7610
2015-03-19,7610
2015-03-20,7255
2015-03-21,7255
2015-03-22,7255
2015-03-23,7255
2015-03-24,7255
2015-03-25,7255
2015-03-26,7255
2015-03-27,7255
2015-03-28,7255
2015-03-29,7255
2015-03-30,7255
2015-03-31,7255
2015-04-01,7255
2015-04-02,6966
2015-04-03,6966
2015-04-04,6966
2015-04-05,6966
2015-04-06,6966
2015-04-07,6966
2015-04-08,6966
2015-04-09,6966
2015-04-10,6966
2015-04-11,6966
2015-04-12,6636
2015-04-13,6636
2015-04-14,6636
2015-04-15,6636
2015-04-16,6636
2015-04-17,6636
2015-04-18,6636
2015-04-19,6636
2015-04-20,6636
2015-04-21,6636
2015-04-22,6636
2015-04-23,6636
2015-04-24,6307
2015-04-25,6307
2015-04-26,6307
2015-04-27,6307
2015-04-28,6307
2015-04-29,6307
2015-04-30,6307
2015-05-01,6307
2015-05-02,6307
2015-05-03,6307
2015-05-04,6307
2015-05-05,6307
2015-05-06,5994
2015-05-07,5994
2015-05-08,5994
2015-05-09,5994
2015-05-10,5994
2015-05-11,5994
2015-05-12,5994
2015-05-13,5994
2015-05-14,5994
2015-05-15,5994
2015-05-16,5994
2015-05-17,5698
2015-05-18,5698
2015-05-19,5698
2015-05-20,5698
2015-05-21,5698
2015-05-22,5698
2015-05-23,5698
2015-05-24,5698
2015-05-25,5698
2015-05-26,5698
2015-05-27,5698
2015-05-28,5413
2015-05-29,5413
2015-05-30,5413
2015-05-31,5413
2015-06-01,5413
2015-06-02,5413
2015-06-03,5413
2015-06-04,5413
2015-06-05,5146
2015-06-06,5146
2015-06-07,5146
2015-06-08,5146
2015-06-09,5146
2015-06-10,5146
2015-06-11,5146
2015-06-12,5146
2015-06-13,5146
2015-06-14,4893
2015-06-15,4893
2015-06-16,4893
2015-06-17,4893
2015-06-18,4893
2015-06-19,4893
2015-06-20,4893
2015-06-21,4893
2015-06-22,4731
2015-06-23,4731
2015-06-24,4731
2015-06-25,4731
2015-06-26,4731
2015-06-27,4731
2015-06-28,4731
2015-06-29,4731
2015-06-30,4512
2015-07-01,4512
2015-07-02,4512
2015-07-03,4512
2015-07-04,4512
2015-07-05,4512
2015-07-06,4512
2015-07-07,4512
2015-07-08,4302
2015-07-09,4302
2015-07-10,4302
2015-07-11,4302
2015-07-12,4302
2015-07-13,4302
2015-07-14,4302
2015-07-15,4302
2015-07-16,4302
2015-07-17,4097
2015-07-18,4097
2015-07-19,4097
2015-07-20,4097
2015-07-21,4097
2015-07-22,4097
2015-07-23,4097
2015-07-24,4097
