date_obj,Blue%20spiky%20vambraces price
2015-03-26,21165
2015-03-27,21165
2015-03-28,21165
2015-03-29,21165
2015-03-30,21165
2015-03-31,21165
2015-04-01,21165
2015-04-02,21165
2015-04-03,21165
2015-04-04,20112
2015-04-05,20112
2015-04-06,20112
2015-04-07,20112
2015-04-08,20112
2015-04-09,20112
2015-04-10,20112
2015-04-11,20112
2015-04-12,20112
2015-04-13,20112
2015-04-14,20112
2015-04-15,19114
2015-04-16,19114
2015-04-17,19114
2015-04-18,19114
2015-04-19,19114
2015-04-20,19114
2015-04-21,19114
2015-04-22,19114
2015-04-23,19114
2015-04-24,19114
2015-04-25,19114
2015-04-26,18167
2015-04-27,18167
2015-04-28,18167
2015-04-29,18167
2015-04-30,18167
2015-05-01,18167
2015-05-02,18167
2015-05-03,18167
2015-05-04,18167
2015-05-05,17275
2015-05-06,17275
2015-05-07,17275
2015-05-08,17275
2015-05-09,17275
2015-05-10,17275
2015-05-11,17275
2015-05-12,17275
2015-05-13,17275
2015-05-14,16425
2015-05-15,16425
2015-05-16,16425
2015-05-17,16425
2015-05-18,16425
2015-05-19,16425
2015-05-20,16425
2015-05-21,16425
2015-05-22,16425
2015-05-23,16425
2015-05-24,16425
2015-05-25,16425
2015-05-26,15684
2015-05-27,15684
2015-05-28,15684
2015-05-29,15684
2015-05-30,15684
2015-05-31,15684
2015-06-01,14982
2015-06-02,14982
2015-06-03,14982
2015-06-04,14982
2015-06-05,14982
2015-06-06,14982
2015-06-07,14982
2015-06-08,14982
2015-06-09,14293
2015-06-10,14293
2015-06-11,14293
2015-06-12,14293
2015-06-13,14293
2015-06-14,14293
2015-06-15,14293
2015-06-16,13930
2015-06-17,13930
2015-06-18,13930
2015-06-19,13930
2015-06-20,13930
2015-06-21,13930
2015-06-22,13930
2015-06-23,13491
2015-06-24,13491
2015-06-25,13491
2015-06-26,13491
2015-06-27,13491
2015-06-28,13491
2015-06-29,12821
2015-06-30,12821
2015-07-01,12821
2015-07-02,12821
2015-07-03,12821
2015-07-04,12821
2015-07-05,12197
2015-07-06,12197
2015-07-07,12197
2015-07-08,12197
2015-07-09,12197
2015-07-10,12197
2015-07-11,12197
2015-07-12,11599
2015-07-13,11599
2015-07-14,11599
2015-07-15,11599
2015-07-16,11599
2015-07-17,11599
2015-07-18,11067
2015-07-19,11067
2015-07-20,11067
2015-07-21,11067
2015-07-22,11067
2015-07-23,11067
2015-07-24,10513
2015-07-25,10513
2015-07-26,10513
2015-07-27,10513
2015-07-28,10513
2015-07-29,10513
2015-07-30,10513
2015-07-31,10190
2015-08-01,10190
2015-08-02,10190
2015-08-03,10190
2015-08-04,10190
2015-08-05,10190
2015-08-06,9692
2015-08-07,9692
2015-08-08,9692
2015-08-09,9692
2015-08-10,9692
2015-08-11,9218
2015-08-12,9218
2015-08-13,9218
2015-08-14,9218
2015-08-15,9218
2015-08-16,9218
2015-08-17,9218
2015-08-18,8882
2015-08-19,8882
2015-08-20,8882
2015-08-21,8882
2015-08-22,8882
2015-08-23,8882
2015-08-24,8437
2015-08-25,8437
2015-08-26,8437
2015-08-27,8437
2015-08-28,8437
2015-08-29,8437
2015-08-30,8021
2015-08-31,8021
2015-09-01,8021
2015-09-02,8021
2015-09-03,8021
2015-09-04,8021
2015-09-05,7645
2015-09-06,7645
2015-09-07,7645
2015-09-08,7645
2015-09-09,7645
2015-09-10,7270
2015-09-11,7270
2015-09-12,7270
2015-09-13,7270
2015-09-14,7270
2015-09-15,6922
2015-09-16,6922
2015-09-17,6922
2015-09-18,6922
2015-09-19,6922
2015-09-20,6620
2015-09-21,6620
2015-09-22,6620
2015-09-23,6620
2015-09-24,6620
2015-09-25,6303
2015-09-27,6303
2015-09-28,6303
2015-09-29,6303
2015-09-30,6003
2015-10-05,6003
2015-10-06,5726
2015-10-07,5726
2015-10-08,5726
2015-10-09,5726
2015-10-10,5726
2015-10-11,5726
2015-10-12,5445
2015-10-13,5445
2015-10-14,5445
2015-10-15,5445
2015-10-16,5445
2015-10-17,5445
2015-10-18,5498
2015-10-19,5498
2015-10-20,5498
2015-10-22,5498
2015-10-23,5498
2015-10-24,5269
2015-10-25,5269
2015-10-26,5269
2015-10-27,5269
2015-10-29,5269
2015-10-30,5009
2015-10-31,5009
2015-11-01,5009
2015-11-02,5009
2015-11-03,5009
2015-11-04,5009
2015-11-05,4819
2015-11-06,4819
2015-11-07,4819
2015-11-08,4819
2015-11-09,4819
2015-11-10,4819
2015-11-11,4656
2015-11-12,4656
2015-11-13,4656
2015-11-14,4656
2015-11-15,4656
2015-11-16,4656
2015-11-17,4656
2015-11-18,4656
2015-11-19,4479
2015-11-20,4479
2015-11-21,4479
2015-11-22,4479
2015-11-23,4479
2015-11-24,4363
2015-11-25,4363
2015-11-26,4363
2015-11-27,4363
2015-11-28,4363
2015-11-29,4363
2015-11-30,4381
2015-12-01,4381
2015-12-02,4381
2015-12-03,4381
2015-12-04,4381
2015-12-05,4381
2015-12-06,4381
2015-12-07,4364
2015-12-08,4364
2015-12-09,4364
2015-12-10,4364
2015-12-11,4364
2015-12-12,4364
2015-12-13,4390
2015-12-14,4390
2015-12-15,4390
2015-12-16,4390
2015-12-17,4390
2015-12-18,4390
2015-12-19,4390
2015-12-20,4408
2015-12-21,4408
2015-12-22,4408
2015-12-23,4408
2015-12-24,4408
2015-12-25,4408
2015-12-26,4408
2015-12-27,4466
2015-12-28,4466
2015-12-29,4466
2015-12-30,4466
2015-12-31,4466
2016-01-01,4466
2016-01-02,4482
2016-01-03,4482
2016-01-04,4482
2016-01-05,4482
2016-01-06,4482
2016-01-07,4369
2016-01-08,4369
2016-01-09,4369
2016-01-10,4369
2016-01-11,4369
2016-01-12,4374
2016-01-13,4374
2016-01-14,4374
2016-01-15,4374
2016-01-16,4374
2016-01-17,4425
2016-01-18,4425
2016-01-19,4425
2016-01-20,4425
2016-01-21,4425
2016-01-22,4508
2016-01-23,4508
2016-01-24,4508
2016-01-25,4508
2016-01-26,4508
2016-01-27,4545
2016-01-28,4545
2016-01-29,4545
2016-01-30,4545
2016-01-31,4545
2016-02-01,4563
2016-02-02,4563
2016-02-03,4563
2016-02-04,4563
2016-02-05,4563
2016-02-06,4587
2016-02-07,4587
2016-02-08,4587
2016-02-09,4587
2016-02-10,4587
2016-02-11,4587
2016-02-12,4599
2016-02-13,4599
2016-02-14,4599
2016-02-15,4599
2016-02-16,4599
2016-02-17,4599
2016-02-18,4612
2016-02-19,4612
2016-02-20,4612
2016-02-21,4612
2016-02-22,4612
2016-02-23,4612
2016-02-24,4591
2016-02-25,4591
2016-02-26,4591
2016-02-27,4591
