date_obj,Bob's%20black%20shirt price
2015-03-26,17841
2015-03-27,17841
2015-03-28,17841
2015-03-29,17096
2015-03-30,17096
2015-03-31,17096
2015-04-01,16362
2015-04-02,16362
2015-04-03,16362
2015-04-04,15543
2015-04-05,15543
2015-04-06,15543
2015-04-07,14825
2015-04-08,14825
2015-04-09,14825
2015-04-10,14149
2015-04-11,14149
2015-04-12,14149
2015-04-13,13492
2015-04-14,13492
2015-04-15,13492
2015-04-16,12881
2015-04-17,12881
2015-04-18,12881
2015-04-19,12303
2015-04-20,12303
2015-04-21,12303
2015-04-22,12303
2015-04-23,11724
2015-04-24,11724
2015-04-25,11724
2015-04-26,11724
2015-04-27,11162
2015-04-28,11162
2015-04-29,11162
2015-04-30,10638
2015-05-01,10638
2015-05-02,10145
2015-05-03,10145
2015-05-04,10145
2015-05-05,9695
2015-05-06,9695
2015-05-07,9269
2015-05-08,9269
2015-05-09,9269
2015-05-10,8840
2015-05-11,8840
2015-05-12,8840
2015-05-13,8436
2015-05-14,8436
2015-05-15,8436
2015-05-16,8436
2015-05-17,8029
2015-05-18,8029
2015-05-19,8029
2015-05-20,7660
2015-05-21,7660
2015-05-22,7660
2015-05-23,7352
2015-05-24,7352
2015-05-25,7352
2015-05-26,7352
2015-05-27,7014
2015-05-28,7014
2015-05-29,7014
2015-05-30,7014
2015-05-31,6716
2015-06-01,6716
2015-06-02,6716
2015-06-03,6716
2015-06-04,6716
2015-06-05,6415
2015-06-06,6415
2015-06-07,6415
2015-06-08,6211
2015-06-09,6211
2015-06-10,6211
2015-06-11,6211
2015-06-12,6211
2015-06-13,6052
2015-06-14,6052
2015-06-15,6052
2015-06-16,6052
2015-06-17,6052
2015-06-18,5836
2015-06-19,5836
2015-06-20,5836
2015-06-21,5836
2015-06-22,5836
2015-06-23,5836
2015-06-24,5706
2015-06-25,5706
2015-06-26,5706
2015-06-27,5706
2015-06-28,5676
2015-06-29,5676
2015-06-30,5676
2015-07-01,5676
2015-07-02,5676
2015-07-03,5720
2015-07-04,5720
2015-07-05,5720
2015-07-06,5720
2015-07-07,5720
2015-07-08,5803
2015-07-09,5803
2015-07-10,5803
2015-07-11,5803
2015-07-12,5803
2015-07-13,5933
2015-07-14,5933
2015-07-15,5933
2015-07-16,5933
2015-07-17,5933
2015-07-18,5935
2015-07-19,5935
2015-07-20,5935
2015-07-21,5935
2015-07-22,5935
2015-07-23,6212
2015-07-24,6212
2015-07-25,6212
2015-07-26,6212
2015-07-27,6212
2015-07-28,6380
2015-07-29,6380
2015-07-30,6380
2015-07-31,6380
2015-08-01,6380
2015-08-02,6325
2015-08-03,6325
2015-08-04,6325
2015-08-05,6325
2015-08-06,6325
2015-08-07,6031
2015-08-08,6031
2015-08-09,6031
2015-08-10,6031
2015-08-11,5777
2015-08-12,5777
2015-08-13,5777
2015-08-14,5777
2015-08-15,5777
2015-08-16,5777
2015-08-17,5625
2015-08-18,5625
2015-08-19,5625
2015-08-20,5625
2015-08-21,5625
2015-08-22,5439
2015-08-23,5439
2015-08-24,5439
2015-08-25,5439
2015-08-26,5439
2015-08-27,5388
2015-08-28,5388
2015-08-29,5388
2015-08-30,5388
2015-08-31,5388
2015-09-01,5306
2015-09-02,5306
2015-09-03,5306
2015-09-04,5306
2015-09-05,5306
2015-09-06,5438
2015-09-07,5438
2015-09-08,5438
2015-09-09,5438
2015-09-10,5438
2015-09-11,5438
2015-09-12,5546
2015-09-13,5546
2015-09-14,5546
2015-09-15,5546
2015-09-16,5546
2015-09-17,5541
2015-09-18,5541
2015-09-19,5541
2015-09-20,5541
2015-09-21,5541
2015-09-22,5438
2015-09-23,5438
2015-09-24,5438
2015-09-25,5438
2015-09-27,5438
2015-09-28,5468
2015-09-29,5468
