date_obj,Bones%20to%20peaches%20(tablet) price
2015-03-26,1235
2015-03-27,1235
2015-03-28,1179
2015-03-29,1207
2015-03-30,1207
2015-03-31,1196
2015-04-01,1196
2015-04-02,1243
2015-04-03,1199
2015-04-04,1158
2015-04-05,1158
2015-04-06,1137
2015-04-07,1137
2015-04-08,1116
2015-04-09,1116
2015-04-10,1092
2015-04-11,1072
2015-04-12,1072
2015-04-13,1093
2015-04-14,1093
2015-04-15,1084
2015-04-16,1084
2015-04-17,1061
2015-04-18,1058
2015-04-19,1093
2015-04-20,1093
2015-04-21,1111
2015-04-22,1111
2015-04-23,1134
2015-04-24,1159
2015-04-25,1184
2015-04-26,1184
2015-04-27,1186
2015-04-28,1145
2015-04-29,1145
2015-04-30,1123
2015-05-01,1092
2015-05-02,1083
2015-05-03,1083
2015-05-04,1048
2015-05-05,1048
2015-05-06,1005
2015-05-07,1002
2015-05-08,1002
2015-05-09,978
2015-05-10,936
2015-05-11,936
2015-05-12,913
2015-05-13,913
2015-05-14,928
2015-05-15,928
2015-05-16,941
2015-05-17,976
2015-05-18,999
2015-05-19,999
2015-05-20,969
2015-05-21,969
2015-05-22,920
2015-05-23,920
2015-05-24,930
2015-05-25,957
2015-05-26,957
2015-05-27,936
2015-05-28,905
2015-05-29,900
2015-05-30,934
2015-05-31,934
2015-06-01,981
2015-06-02,981
2015-06-03,1031
2015-06-04,1082
2015-06-05,1137
2015-06-06,1194
2015-06-07,1254
2015-06-08,1317
2015-06-09,1383
2015-06-10,1453
2015-06-11,1498
2015-06-12,1475
2015-06-13,1404
2015-06-14,1353
2015-06-15,1287
2015-06-16,1272
2015-06-17,1257
2015-06-18,1215
2015-06-19,1197
2015-06-20,1204
2015-06-21,1204
2015-06-22,1216
2015-06-23,1241
2015-06-24,1304
2015-06-25,1304
2015-06-26,1327
2015-06-27,1327
2015-06-28,1269
2015-06-29,1205
2015-06-30,1144
2015-07-01,1131
2015-07-02,1131
2015-07-03,1142
2015-07-04,1127
2015-07-05,1110
2015-07-06,1082
2015-07-07,1042
2015-07-08,1082
2015-07-09,1082
2015-07-10,1129
2015-07-11,1129
2015-07-12,1085
2015-07-13,1049
2015-07-14,1087
2015-07-15,1050
2015-07-16,1040
2015-07-17,1041
2015-07-18,1041
2015-07-19,1041
2015-07-20,1036
2015-07-21,1036
2015-07-22,1044
2015-07-23,1044
2015-07-24,1025
2015-07-25,1025
2015-07-26,983
2015-07-27,950
2015-07-28,935
2015-07-29,966
2015-07-30,1010
2015-07-31,1010
2015-08-01,1059
2015-08-02,1112
2015-08-03,1166
2015-08-04,1201
2015-08-05,1146
2015-08-06,1090
2015-08-07,1090
2015-08-08,1133
2015-08-09,1177
2015-08-10,1144
2015-08-11,1118
2015-08-12,1118
2015-08-13,1080
2015-08-14,1067
2015-08-15,1067
2015-08-16,1022
2015-08-17,972
2015-08-18,972
2015-08-19,923
2015-08-20,923
2015-08-21,928
2015-08-22,928
2015-08-23,950
2015-08-24,972
2015-08-25,972
2015-08-26,951
2015-08-27,929
2015-08-28,929
2015-08-29,944
2015-08-30,944
2015-08-31,964
2015-09-01,964
2015-09-02,948
2015-09-03,948
2015-09-04,952
2015-09-05,952
2015-09-06,970
2015-09-07,970
2015-09-08,980
2015-09-09,980
2015-09-10,1027
2015-09-11,1027
2015-09-12,1054
2015-09-13,1054
2015-09-14,1032
2015-09-15,1064
2015-09-16,1064
2015-09-17,1080
2015-09-18,1080
2015-09-19,1132
2015-09-20,1132
2015-09-21,1106
2015-09-22,1106
2015-09-23,1091
2015-09-24,1091
2015-09-25,1091
2015-09-27,1037
2015-09-28,1065
2015-09-29,1065
2015-09-30,1042
2015-10-05,1048
2015-10-06,1082
2015-10-07,1082
2015-10-08,1040
2015-10-09,1020
2015-10-10,1020
2015-10-11,981
2015-10-12,981
2015-10-13,958
2015-10-14,958
2015-10-15,959
2015-10-16,959
2015-10-17,958
2015-10-18,958
2015-10-19,961
2015-10-20,961
2015-10-22,928
2015-10-23,948
2015-10-24,948
2015-10-25,958
2015-10-26,958
2015-10-27,924
2015-10-29,879
2015-10-30,879
2015-10-31,835
2015-11-01,835
2015-11-02,840
2015-11-03,840
2015-11-04,840
2015-11-05,874
2015-11-06,874
2015-11-07,868
2015-11-08,868
2015-11-09,868
2015-11-10,882
2015-11-11,882
2015-11-12,907
2015-11-13,907
2015-11-14,907
2015-11-15,925
2015-11-16,925
2015-11-17,925
2015-11-18,920
2015-11-19,920
2015-11-20,945
2015-11-21,945
2015-11-22,958
2015-11-23,958
2015-11-24,958
2015-11-25,994
2015-11-26,994
2015-11-27,1042
2015-11-28,1042
2015-11-29,1084
2015-11-30,1084
2015-12-01,1128
2015-12-02,1128
2015-12-03,1175
2015-12-04,1175
2015-12-05,1182
2015-12-06,1182
2015-12-07,1176
2015-12-08,1176
2015-12-09,1182
2015-12-10,1182
2015-12-11,1240
2015-12-12,1240
2015-12-13,1295
2015-12-14,1295
2015-12-15,1272
2015-12-16,1272
2015-12-17,1259
2015-12-18,1259
2015-12-19,1306
2015-12-20,1323
2015-12-21,1323
2015-12-22,1301
2015-12-23,1301
2015-12-24,1267
2015-12-25,1267
2015-12-26,1238
2015-12-27,1227
2015-12-28,1227
2015-12-29,1197
2015-12-30,1197
2015-12-31,1231
2016-01-01,1231
2016-01-02,1258
2016-01-03,1243
2016-01-04,1209
2016-01-05,1209
2016-01-06,1148
2016-01-07,1148
2016-01-08,1115
2016-01-09,1115
2016-01-10,1135
2016-01-11,1135
2016-01-12,1165
2016-01-13,1165
2016-01-14,1204
2016-01-15,1204
2016-01-16,1264
2016-01-17,1264
2016-01-18,1327
2016-01-19,1327
2016-01-20,1303
2016-01-21,1303
2016-01-22,1342
2016-01-23,1410
2016-01-24,1410
2016-01-25,1475
2016-01-26,1475
2016-01-27,1452
2016-01-28,1452
2016-01-29,1379
2016-01-30,1379
2016-01-31,1310
2016-02-01,1303
2016-02-02,1303
2016-02-03,1257
2016-02-04,1257
2016-02-05,1240
2016-02-06,1206
2016-02-07,1206
2016-02-08,1182
2016-02-09,1182
2016-02-10,1196
2016-02-11,1196
2016-02-12,1187
2016-02-13,1221
2016-02-14,1221
2016-02-15,1195
2016-02-16,1195
2016-02-17,1175
2016-02-18,1175
2016-02-19,1144
2016-02-20,1144
2016-02-21,1160
2016-02-22,1160
2016-02-23,1120
2016-02-24,1120
2016-02-25,1081
2016-02-26,1081
2016-02-27,1084
2016-02-28,1084
2016-02-29,1087
2016-03-01,1126
2016-03-02,1126
2016-03-03,1156
2016-03-04,1156
2016-03-05,1137
2016-03-06,1102
2016-03-07,1102
2016-03-08,1083
2016-03-09,1083
2016-03-10,1069
2016-03-11,1069
2016-03-12,1116
2016-03-13,1116
2016-03-14,1157
2016-03-15,1157
2016-03-16,1211
2016-03-17,1211
2016-03-18,1260
2016-03-19,1260
2016-03-20,1216
2016-03-21,1216
2016-03-22,1157
2016-03-23,1099
2016-03-24,1099
2016-03-25,1055
2016-03-26,1055
2016-03-27,1045
2016-03-28,1043
2016-03-29,1043
2016-03-30,1050
2016-03-31,1050
2016-04-01,1059
2016-04-02,1059
2016-04-03,1019
2016-04-04,1019
2016-04-05,994
2016-04-06,994
2016-04-07,985
2016-04-08,985
2016-04-09,1005
2016-04-10,1010
2016-04-11,1010
2016-04-12,1013
2016-04-13,1013
2016-04-14,968
2016-04-15,968
2016-04-16,962
2016-04-17,962
2016-04-18,953
2016-04-19,953
2016-04-20,994
2016-04-21,994
2016-04-22,1013
2016-04-23,1034
2016-04-24,1034
2016-04-25,1061
2016-04-26,1061
2016-04-27,1105
2016-04-28,1105
2016-04-29,1159
2016-04-30,1210
2016-05-01,1210
2016-05-02,1233
2016-05-03,1199
2016-05-04,1199
2016-05-05,1147
2016-05-06,1147
2016-05-07,1121
2016-05-08,1121
2016-05-09,1162
2016-05-10,1158
2016-05-11,1158
2016-05-12,1179
2016-05-13,1152
2016-05-14,1152
2016-05-15,1149
2016-05-16,1149
2016-05-17,1096
2016-05-18,1042
2016-05-19,1042
2016-05-22,1050
2016-05-23,1081
2016-05-24,1081
2016-05-25,1129
2016-05-26,1129
2016-05-27,1126
2016-05-28,1126
2016-05-29,1134
2016-05-30,1134
2016-05-31,1144
2016-06-01,1132
2016-06-02,1132
2016-06-03,1110
2016-06-04,1057
2016-06-05,1057
2016-06-06,1038
2016-06-07,1038
2016-06-08,1025
2016-06-09,1025
2016-06-10,1025
2016-06-11,1024
2016-06-12,1031
2016-06-13,1031
2016-06-14,1045
2016-06-15,1045
2016-06-16,1075
2016-06-17,1058
2016-06-18,1058
2016-06-19,1029
2016-06-20,1029
2016-06-21,1042
2016-06-22,1042
2016-06-23,1066
2016-06-24,1066
2016-06-25,1075
2016-06-26,1075
2016-06-27,1069
2016-06-28,1069
2016-06-29,1119
2016-06-30,1119
2016-07-01,1145
2016-07-02,1145
2016-07-03,1163
2016-07-04,1187
2016-07-05,1187
2016-07-06,1199
