date_obj,Book%20of%20law%20page%20set price
2015-03-26,801547
2015-03-27,801547
2015-03-28,801547
2015-03-29,835348
2015-03-30,835348
2015-03-31,835348
2015-04-01,835348
2015-04-02,835348
2015-04-03,871734
2015-04-04,871734
2015-04-05,871734
2015-04-06,871734
2015-04-07,910314
2015-04-08,910314
2015-04-09,910314
2015-04-10,910314
2015-04-11,910314
2015-04-12,950663
2015-04-13,950663
2015-04-14,950663
2015-04-15,950663
2015-04-16,950663
2015-04-17,983904
2015-04-18,983904
2015-04-19,983904
2015-04-20,983904
2015-04-21,983904
2015-04-22,983904
2015-04-23,996965
2015-04-24,996965
2015-04-25,996965
2015-04-26,996965
2015-04-27,996965
2015-04-28,1035354
2015-04-29,1035354
2015-04-30,1035354
2015-05-01,1035354
2015-05-02,1035354
2015-05-03,1035354
2015-05-04,1035354
2015-05-05,1030288
2015-05-06,1030288
2015-05-07,1030288
2015-05-08,1030288
2015-05-09,1030288
2015-05-10,1030288
2015-05-11,978773
2015-05-12,978773
2015-05-13,978773
2015-05-14,978773
2015-05-15,978773
2015-05-16,978773
2015-05-17,929834
2015-05-18,929834
2015-05-19,929834
2015-05-20,929834
2015-05-21,929834
2015-05-22,929834
2015-05-23,929834
2015-05-24,883342
2015-05-25,883342
2015-05-26,883342
2015-05-27,883342
2015-05-28,840364
2015-05-29,840364
2015-05-30,840364
2015-05-31,807775
2015-06-01,807775
2015-06-02,807775
2015-06-03,819736
2015-06-04,819736
2015-06-05,819736
2015-06-06,846060
2015-06-07,846060
2015-06-08,846060
2015-06-09,874252
2015-06-10,874252
2015-06-11,874252
2015-06-12,874252
2015-06-13,905242
2015-06-14,905242
2015-06-15,905242
2015-06-16,905242
2015-06-17,941017
2015-06-18,941017
2015-06-19,941017
2015-06-20,980401
2015-06-21,980401
2015-06-22,980401
2015-06-23,980401
2015-06-24,1021250
2015-06-25,1021250
2015-06-26,1021250
2015-06-27,1021250
2015-06-28,1043195
2015-06-29,1043195
2015-06-30,1043195
2015-07-01,1043195
2015-07-02,1076285
2015-07-03,1076285
2015-07-04,1076285
2015-07-05,1120492
2015-07-06,1120492
2015-07-07,1120492
2015-07-08,1120492
2015-07-09,1157437
2015-07-10,1157437
2015-07-11,1157437
2015-07-12,1157437
2015-07-13,1208014
2015-07-14,1208014
2015-07-15,1208014
2015-07-16,1208014
2015-07-17,1258856
2015-07-18,1258856
2015-07-19,1258856
2015-07-20,1258856
2015-07-21,1299040
2015-07-22,1299040
2015-07-23,1299040
2015-07-24,1329895
2015-07-25,1329895
2015-07-26,1329895
2015-07-27,1329895
2015-07-28,1385362
2015-07-29,1385362
2015-07-30,1385362
2015-07-31,1385362
2015-08-01,1423743
2015-08-02,1423743
2015-08-03,1423743
2015-08-04,1423743
2015-08-05,1409733
2015-08-06,1409733
2015-08-07,1409733
2015-08-08,1409733
2015-08-09,1390129
2015-08-10,1390129
2015-08-11,1390129
2015-08-12,1390129
2015-08-13,1363557
2015-08-14,1363557
2015-08-15,1363557
2015-08-16,1363557
2015-08-17,1358178
2015-08-18,1358178
2015-08-19,1358178
2015-08-20,1358178
2015-08-21,1335511
2015-08-22,1335511
2015-08-23,1335511
2015-08-24,1335511
2015-08-25,1335511
2015-08-26,1275817
2015-08-27,1275817
2015-08-28,1275817
2015-08-29,1275817
2015-08-30,1212465
2015-08-31,1212465
2015-09-01,1212465
2015-09-02,1212465
2015-09-03,1153136
2015-09-04,1153136
2015-09-05,1153136
2015-09-06,1153136
2015-09-07,1095479
2015-09-08,1095479
2015-09-09,1095479
2015-09-10,1095479
2015-09-11,1059669
2015-09-12,1059669
2015-09-13,1059669
2015-09-14,1059669
2015-09-15,1105744
2015-09-16,1105744
2015-09-17,1105744
2015-09-18,1105744
2015-09-19,1112350
2015-09-20,1112350
2015-09-21,1112350
2015-09-22,1112350
2015-09-23,1157745
2015-09-24,1157745
2015-09-25,1157745
2015-09-27,1198667
2015-09-28,1198667
2015-09-29,1198667
2015-09-30,1198667
2015-10-05,1202777
2015-10-06,1208541
2015-10-07,1208541
2015-10-08,1208541
2015-10-09,1208541
2015-10-10,1179622
2015-10-11,1179622
2015-10-12,1179622
2015-10-13,1179622
2015-10-14,1223987
2015-10-15,1223987
2015-10-16,1223987
2015-10-17,1223987
2015-10-18,1234370
2015-10-19,1234370
2015-10-20,1234370
2015-10-22,1234370
2015-10-23,1192269
2015-10-24,1192269
2015-10-25,1192269
2015-10-26,1192269
2015-10-27,1193831
2015-10-29,1193831
2015-10-30,1193831
2015-10-31,1245327
2015-11-01,1245327
2015-11-02,1245327
2015-11-03,1245327
2015-11-04,1245327
2015-11-05,1299798
2015-11-06,1299798
2015-11-07,1299798
2015-11-08,1299798
2015-11-09,1299798
2015-11-10,1353871
2015-11-11,1353871
2015-11-12,1353871
2015-11-13,1353871
2015-11-14,1353871
2015-11-15,1388416
2015-11-16,1388416
2015-11-17,1388416
2015-11-18,1388416
2015-11-19,1444265
2015-11-20,1444265
2015-11-21,1444265
2015-11-22,1444265
2015-11-23,1444265
2015-11-24,1476952
2015-11-25,1476952
2015-11-26,1476952
2015-11-27,1476952
2015-11-28,1476952
2015-11-29,1471332
2015-11-30,1471332
2015-12-01,1471332
2015-12-02,1471332
2015-12-03,1431028
2015-12-04,1431028
2015-12-05,1431028
2015-12-06,1431028
2015-12-07,1431028
2015-12-08,1373559
2015-12-09,1373559
2015-12-10,1373559
2015-12-11,1373559
2015-12-12,1305729
2015-12-13,1305729
2015-12-14,1305729
2015-12-15,1305729
2015-12-16,1257125
2015-12-17,1257125
2015-12-18,1257125
2015-12-19,1257125
2015-12-20,1276092
2015-12-21,1276092
2015-12-22,1276092
2015-12-23,1276092
2015-12-24,1286099
2015-12-25,1286099
2015-12-26,1286099
2015-12-27,1319550
2015-12-28,1319550
2015-12-29,1319550
2015-12-30,1366042
2015-12-31,1366042
2016-01-01,1366042
2016-01-02,1366042
2016-01-03,1398245
2016-01-04,1398245
2016-01-05,1398245
2016-01-06,1398245
2016-01-07,1441550
2016-01-08,1441550
2016-01-09,1441550
2016-01-10,1441550
2016-01-11,1406318
2016-01-12,1406318
2016-01-13,1406318
2016-01-14,1340222
2016-01-15,1340222
2016-01-16,1340222
2016-01-17,1277911
2016-01-18,1277911
2016-01-19,1277911
2016-01-20,1214329
2016-01-21,1214329
2016-01-22,1214329
2016-01-23,1214329
2016-01-24,1162008
2016-01-25,1162008
2016-01-26,1162008
2016-01-27,1104968
2016-01-28,1104968
2016-01-29,1104968
2016-01-30,1104968
