date_obj,Boots%20of%20stone price
2019-01-10,500
2019-01-10,484
2019-01-11,467
2019-01-12,450
2019-01-13,431
2019-01-14,412
2019-01-15,396
2019-01-16,379
2019-01-17,366
2019-01-18,365
2019-01-19,348
2019-01-20,337
2019-01-21,331
2019-01-22,325
2019-01-23,316
2019-01-24,309
2019-01-25,307
2019-01-26,295
2019-01-27,304
2019-01-28,311
2019-01-29,319
2019-01-30,321
2019-01-31,315
2019-02-01,323
2019-02-02,327
2019-02-03,327
2019-02-04,330
2019-02-05,327
2019-02-06,328
2019-02-07,325
2019-02-08,330
2019-02-09,330
2019-02-10,334
2019-02-11,333
2019-02-12,323
2019-02-13,314
2019-02-14,321
2019-02-15,330
2019-02-16,337
2019-02-17,330
2019-02-18,325
2019-02-19,340
2019-02-20,342
2019-02-21,328
2019-02-22,321
2019-02-23,322
2019-02-24,326
2019-02-25,317
2019-02-26,305
2019-02-27,293
2019-02-28,279
2019-03-01,265
2019-03-02,255
2019-03-03,261
2019-03-04,261
2019-03-05,257
2019-03-06,262
2019-03-07,258
2019-03-08,265
2019-03-09,266
2019-03-10,267
2019-03-11,270
2019-03-12,277
2019-03-13,284
2019-03-14,291
2019-03-15,296
2019-03-16,298
2019-03-17,296
2019-03-18,311
2019-03-19,304
2019-03-20,303
2019-03-21,307
2019-03-22,315
2019-03-23,320
2019-03-24,326
2019-03-25,331
2019-03-26,337
2019-03-27,352
2019-03-28,366
2019-03-29,371
2019-03-30,387
2019-03-31,395
2019-04-01,392
2019-04-02,374
2019-04-03,369
2019-04-04,350
2019-04-05,334
2019-04-06,319
2019-04-07,310
2019-04-08,311
2019-04-09,316
2019-04-10,326
2019-04-11,326
2019-04-12,333
2019-04-13,330
2019-04-14,336
2019-04-15,320
2019-04-16,311
2019-04-17,309
2019-04-18,315
2019-04-19,311
2019-04-20,305
2019-04-21,290
2019-04-22,280
2019-04-23,278
2019-04-24,278
2019-04-25,269
2019-04-26,268
2019-04-27,272
2019-04-28,271
2019-04-29,281
2019-04-30,288
2019-05-01,279
2019-05-02,280
