date_obj,Bounty%20target%20teleport price
2019-11-07,9500
2019-11-07,9500
2019-11-08,9500
2019-11-09,9500
2019-11-10,9874
2019-11-11,9874
2019-11-12,9874
2019-11-13,9874
2019-11-14,9874
2019-11-15,9874
2019-11-16,10354
2019-11-17,10354
2019-11-18,10354
2019-11-19,10354
2019-11-20,10354
2019-11-21,10354
2019-11-22,10354
2019-11-23,10354
2019-11-24,10354
2019-11-25,10354
2019-11-26,10354
2019-11-27,10822
2019-11-28,10822
2019-11-29,10822
2019-11-30,10822
2019-12-01,10822
2019-12-02,10822
2019-12-03,10822
2019-12-04,10822
2019-12-05,10822
2019-12-06,11332
2019-12-07,11332
2019-12-08,11332
2019-12-09,11332
2019-12-10,11332
2019-12-11,11332
2019-12-12,11332
2019-12-13,11332
2019-12-14,11332
2019-12-15,11214
2019-12-16,11214
2019-12-17,11214
2019-12-18,11214
2019-12-19,11214
2019-12-20,11214
2019-12-21,11214
2019-12-22,11214
2019-12-23,10654
2019-12-24,10654
2019-12-25,10654
2019-12-26,10654
2019-12-27,10654
2019-12-28,10654
2019-12-29,10654
2019-12-30,10654
2019-12-31,10957
2020-01-01,10957
2020-01-02,10957
2020-01-03,10957
2020-01-04,10957
2020-01-05,10957
2020-01-06,10957
2020-01-07,10957
2020-01-08,11384
2020-01-09,11384
2020-01-10,11384
2020-01-11,11384
2020-01-12,11384
2020-01-13,11384
2020-01-14,11384
2020-01-15,11384
2020-01-16,11520
2020-01-17,11520
2020-01-18,11520
2020-01-19,11520
2020-01-20,11520
2020-01-21,11520
2020-01-22,11520
2020-01-23,11476
2020-01-24,11476
2020-01-25,11476
2020-01-26,11476
2020-01-27,11476
2020-01-28,11476
2020-01-29,11476
2020-01-30,11476
2020-01-31,11476
2020-02-01,11476
2020-02-02,11476
2020-02-03,11476
2020-02-04,11244
2020-02-05,11244
2020-02-06,11244
2020-02-07,11244
2020-02-08,11244
2020-02-09,11244
2020-02-10,11244
2020-02-11,11244
2020-02-12,11244
2020-02-13,11244
2020-02-14,11244
2020-02-15,11244
2020-02-16,11244
2020-02-17,10693
2020-02-18,10693
2020-02-19,10693
2020-02-20,10693
2020-02-21,10693
2020-02-22,10693
2020-02-23,10693
2020-02-24,10693
2020-02-25,10693
2020-02-26,10693
2020-02-27,10693
2020-02-28,10693
2020-02-29,10693
2020-03-01,10693
2020-03-02,10693
2020-03-03,10693
2020-03-04,10693
2020-03-05,10159
2020-03-06,10159
2020-03-07,10159
2020-03-08,10159
2020-03-09,10159
2020-03-10,10159
2020-03-11,10159
2020-03-12,10159
2020-03-13,10159
2020-03-14,10159
2020-03-15,10159
2020-03-16,10159
2020-03-17,10159
2020-03-18,10159
2020-03-19,10159
2020-03-20,9875
2020-03-21,9875
2020-03-22,9875
2020-03-23,9875
2020-03-24,9875
2020-03-25,9875
2020-03-26,9875
2020-03-27,9875
2020-03-28,9875
2020-03-29,9875
2020-03-30,9875
2020-03-31,9875
2020-04-01,9875
2020-04-02,9875
2020-04-03,10084
2020-04-04,10084
2020-04-05,10084
2020-04-06,10084
2020-04-07,10084
2020-04-08,10084
2020-04-09,10084
2020-04-10,10084
2020-04-11,10084
2020-04-12,10084
2020-04-13,10084
2020-04-14,10084
2020-04-15,10084
2020-04-16,10084
2020-04-17,10433
2020-04-18,10433
2020-04-19,10433
2020-04-20,10433
2020-04-21,10433
2020-04-22,10433
2020-04-23,10819
2020-04-24,10819
2020-04-25,10819
2020-04-26,10819
2020-04-27,11250
2020-04-28,11250
2020-04-29,11250
2020-04-30,11250
2020-05-01,11250
2020-05-02,11803
2020-05-03,11803
2020-05-04,11803
2020-05-05,11803
2020-05-06,11803
2020-05-07,11803
2020-05-08,11803
2020-05-09,12366
2020-05-10,12366
2020-05-11,12366
2020-05-12,12366
2020-05-13,12366
