date_obj,Bowl%20of%20hot%20water price
2015-03-26,302
2015-03-27,302
2015-03-28,302
2015-03-29,297
2015-03-30,297
2015-03-31,297
2015-04-01,297
2015-04-02,307
2015-04-03,307
2015-04-04,307
2015-04-05,307
2015-04-06,319
2015-04-07,319
2015-04-08,319
2015-04-09,319
2015-04-10,329
2015-04-11,329
2015-04-12,329
2015-04-13,329
2015-04-14,330
2015-04-15,330
2015-04-16,330
2015-04-17,330
2015-04-18,328
2015-04-19,328
2015-04-20,328
2015-04-21,328
2015-04-22,311
2015-04-23,311
2015-04-24,311
2015-04-25,311
2015-04-26,295
2015-04-27,295
2015-04-28,295
2015-04-29,295
2015-04-30,280
2015-05-01,280
2015-05-02,280
2015-05-03,280
2015-05-04,267
2015-05-05,267
2015-05-06,267
2015-05-07,267
2015-05-08,267
2015-05-09,267
2015-05-10,267
2015-05-11,267
2015-05-12,260
2015-05-13,260
2015-05-14,260
2015-05-15,260
2015-05-16,260
2015-05-17,264
2015-05-18,264
2015-05-19,264
2015-05-20,264
2015-05-21,264
2015-05-22,254
2015-05-23,254
2015-05-24,254
2015-05-25,254
2015-05-26,261
2015-05-27,261
2015-05-28,261
2015-05-29,272
2015-05-30,272
2015-05-31,286
2015-06-01,286
2015-06-02,286
2015-06-03,300
2015-06-04,300
2015-06-05,300
2015-06-06,315
2015-06-07,315
2015-06-08,315
2015-06-09,312
2015-06-10,312
2015-06-11,312
2015-06-12,320
2015-06-13,320
2015-06-14,320
2015-06-15,330
2015-06-16,330
2015-06-17,330
2015-06-18,314
2015-06-19,314
2015-06-20,314
2015-06-21,298
2015-06-22,298
2015-06-23,298
2015-06-24,299
2015-06-25,299
2015-06-26,299
2015-06-27,305
2015-06-28,305
2015-06-29,305
2015-06-30,320
2015-07-01,320
2015-07-02,320
2015-07-03,328
2015-07-04,328
2015-07-05,328
2015-07-06,312
2015-07-07,312
2015-07-08,312
2015-07-09,305
2015-07-10,305
2015-07-11,305
2015-07-12,289
2015-07-13,289
2015-07-14,289
2015-07-15,284
2015-07-16,284
2015-07-17,284
2015-07-18,298
2015-07-19,298
2015-07-20,305
2015-07-21,305
2015-07-22,304
2015-07-23,304
2015-07-24,304
2015-07-25,307
2015-07-26,307
2015-07-27,307
2015-07-28,321
2015-07-29,321
2015-07-30,336
2015-07-31,336
2015-08-01,336
2015-08-02,320
2015-08-03,320
2015-08-04,320
2015-08-05,310
2015-08-06,310
2015-08-07,310
2015-08-08,321
2015-08-09,321
2015-08-10,321
2015-08-11,336
2015-08-12,336
2015-08-13,336
2015-08-14,319
2015-08-15,319
2015-08-16,319
2015-08-17,303
2015-08-18,303
2015-08-19,303
2015-08-20,287
2015-08-21,287
2015-08-22,273
2015-08-23,273
2015-08-24,279
2015-08-25,279
2015-08-26,279
2015-08-27,285
2015-08-28,285
2015-08-29,285
2015-08-30,282
2015-08-31,282
2015-09-01,282
2015-09-02,278
2015-09-03,278
2015-09-04,278
2015-09-05,265
2015-09-06,265
2015-09-07,265
2015-09-08,262
2015-09-09,262
2015-09-10,262
2015-09-11,275
2015-09-12,275
2015-09-13,275
2015-09-14,289
2015-09-15,289
2015-09-16,289
2015-09-17,304
2015-09-18,304
2015-09-19,304
2015-09-20,318
2015-09-21,318
2015-09-22,318
2015-09-23,321
2015-09-24,321
2015-09-25,321
2015-09-27,335
2015-09-28,335
2015-09-29,335
2015-09-30,340
2015-10-05,339
2015-10-06,339
2015-10-07,339
