date_obj,Bowl%20of%20water price
2015-03-26,249
2015-03-27,249
2015-03-28,236
2015-03-29,224
2015-03-30,212
2015-03-31,204
2015-04-01,204
2015-04-02,200
2015-04-03,190
2015-04-04,180
2015-04-05,180
2015-04-06,171
2015-04-07,162
2015-04-08,162
2015-04-09,153
2015-04-10,145
2015-04-11,137
2015-04-12,130
2015-04-13,123
2015-04-14,123
2015-04-15,116
2015-04-16,116
2015-04-17,110
2015-04-18,104
2015-04-19,98
2015-04-20,98
2015-04-21,93
2015-04-22,93
2015-04-23,88
2015-04-24,88
2015-04-25,83
2015-04-26,83
2015-04-27,78
2015-04-28,74
2015-04-29,74
2015-04-30,70
2015-05-01,66
2015-05-02,62
2015-05-03,62
2015-05-04,58
2015-05-05,58
2015-05-06,55
2015-05-07,52
2015-05-08,52
2015-05-09,50
2015-05-10,48
2015-05-11,48
2015-05-12,49
2015-05-13,49
2015-05-14,49
2015-05-15,49
2015-05-16,49
2015-05-17,48
2015-05-18,48
2015-05-19,48
2015-05-20,48
2015-05-21,48
2015-05-22,47
2015-05-23,47
2015-05-24,46
2015-05-25,46
2015-05-26,46
2015-05-27,46
2015-05-28,49
2015-05-29,51
2015-05-30,54
2015-05-31,54
2015-06-01,57
2015-06-02,57
2015-06-03,60
2015-06-04,61
2015-06-05,65
2015-06-06,69
2015-06-07,70
2015-06-08,70
2015-06-09,69
2015-06-10,65
2015-06-11,65
2015-06-12,67
2015-06-13,67
2015-06-14,65
2015-06-15,66
2015-06-16,62
2015-06-17,61
2015-06-18,60
2015-06-19,60
2015-06-20,63
2015-06-21,63
2015-06-22,64
2015-06-23,67
2015-06-24,67
2015-06-25,67
2015-06-26,65
2015-06-27,65
2015-06-28,63
2015-06-29,63
2015-06-30,63
2015-07-01,60
2015-07-02,60
2015-07-03,57
2015-07-04,54
2015-07-05,54
2015-07-06,51
2015-07-07,48
2015-07-08,47
2015-07-09,47
2015-07-10,45
2015-07-11,45
2015-07-12,46
2015-07-13,44
2015-07-14,41
2015-07-15,42
2015-07-16,40
2015-07-17,41
2015-07-18,41
2015-07-19,42
2015-07-20,41
2015-07-21,39
2015-07-22,39
2015-07-23,39
2015-07-24,40
2015-07-25,42
2015-07-26,45
2015-07-27,47
2015-07-28,50
2015-07-29,53
2015-07-30,53
2015-07-31,54
2015-08-01,54
2015-08-02,54
2015-08-03,57
2015-08-04,55
2015-08-05,52
2015-08-06,50
2015-08-07,49
2015-08-08,49
2015-08-09,51
2015-08-10,53
2015-08-11,50
2015-08-12,50
2015-08-13,51
2015-08-14,51
2015-08-15,51
2015-08-16,52
2015-08-17,49
2015-08-18,46
2015-08-19,43
2015-08-20,43
2015-08-21,41
2015-08-22,39
2015-08-23,39
2015-08-24,38
2015-08-25,38
2015-08-26,39
2015-08-27,37
2015-08-28,37
2015-08-29,36
2015-08-30,36
2015-08-31,36
2015-09-01,36
2015-09-02,36
2015-09-03,36
2015-09-04,35
2015-09-05,35
2015-09-06,35
2015-09-07,36
2015-09-08,37
2015-09-09,39
2015-09-10,39
2015-09-11,40
2015-09-12,40
2015-09-13,41
2015-09-14,41
2015-09-15,39
2015-09-16,39
2015-09-17,38
2015-09-18,38
2015-09-19,37
2015-09-20,37
2015-09-21,35
2015-09-22,34
2015-09-23,36
2015-09-24,36
2015-09-25,38
2015-09-27,40
2015-09-28,41
2015-09-29,41
2015-09-30,43
2015-10-05,42
2015-10-06,42
2015-10-07,42
2015-10-08,42
2015-10-09,44
2015-10-10,44
2015-10-11,47
2015-10-12,49
2015-10-13,49
2015-10-14,52
2015-10-15,55
2015-10-16,58
2015-10-17,58
2015-10-18,61
2015-10-19,65
2015-10-20,68
2015-10-22,72
2015-10-23,74
2015-10-24,74
2015-10-25,73
2015-10-26,69
2015-10-27,69
2015-10-29,70
2015-10-30,67
2015-10-31,67
2015-11-01,67
2015-11-02,68
2015-11-03,68
2015-11-04,69
2015-11-05,72
2015-11-06,72
2015-11-07,70
2015-11-08,70
2015-11-09,72
2015-11-10,72
2015-11-11,73
2015-11-12,73
2015-11-13,75
2015-11-14,75
2015-11-15,75
2015-11-16,75
2015-11-17,75
2015-11-18,75
2015-11-19,71
2015-11-20,68
2015-11-21,68
2015-11-22,66
2015-11-23,66
2015-11-24,65
2015-11-25,69
2015-11-26,69
