date_obj,Brimstone%20ring price
2019-01-10,5000000
2019-01-10,5250000
2019-01-11,5512500
2019-01-12,5788125
2019-01-13,6077532
2019-01-14,6347249
2019-01-15,6664467
2019-01-16,6905872
2019-01-17,6891279
2019-01-18,6548241
2019-01-19,6220828
2019-01-20,5909786
2019-01-21,5614296
2019-01-22,5427266
2019-01-23,5155902
2019-01-24,5043197
2019-01-25,5290222
2019-01-26,5482858
2019-01-27,5620507
2019-01-28,5893667
2019-01-29,6187031
2019-01-30,6496383
2019-01-31,6821203
2019-02-01,7162264
2019-02-02,7520378
2019-02-03,7896397
2019-02-04,8291217
2019-02-05,8652372
2019-02-06,9084991
2019-02-07,9069109
2019-02-08,8667942
2019-02-09,8318818
2019-02-10,8100700
2019-02-11,7696435
2019-02-12,7311613
2019-02-13,6946032
2019-02-14,6715501
2019-02-15,6809067
2019-02-16,7009391
2019-02-17,7253343
2019-02-18,7303995
2019-02-19,7230003
2019-02-20,7107833
2019-02-21,6901340
2019-02-22,6645680
2019-02-23,6757520
2019-02-24,7035191
2019-02-25,7123507
2019-02-26,7160667
2019-02-27,7340306
2019-02-28,7470210
2019-03-01,7652710
2019-03-02,8007198
2019-03-03,8232455
2019-03-04,8235163
2019-03-05,8075048
2019-03-06,7734890
2019-03-07,7594094
2019-03-08,7747975
2019-03-09,7933459
2019-03-10,7931210
2019-03-11,7891997
2019-03-12,7659516
2019-03-13,7356140
2019-03-14,7345919
2019-03-15,7260025
2019-03-16,7165947
2019-03-17,7141430
2019-03-18,7109764
2019-03-19,7100344
2019-03-20,7171110
2019-03-21,7163618
2019-03-22,7169848
2019-03-23,7241688
2019-03-24,7336266
2019-03-25,7344132
2019-03-26,7185176
2019-03-27,7125037
2019-03-28,7058050
2019-03-29,6912284
2019-03-30,6902234
2019-03-31,6867598
2019-04-01,6832045
2019-04-02,6784593
2019-04-03,6769586
2019-04-04,6749602
2019-04-05,6741342
2019-04-06,6802403
2019-04-07,7056948
2019-04-08,7082693
2019-04-09,7020266
2019-04-10,6947890
2019-04-11,6835333
2019-04-12,6746222
2019-04-13,6697683
2019-04-14,6691123
2019-04-15,6673930
2019-04-16,6660756
2019-04-17,6834960
2019-04-18,6945064
2019-04-19,7187511
2019-04-20,7396126
2019-04-21,7342380
2019-04-22,7186954
2019-04-23,6978245
2019-04-24,6805551
2019-04-25,6704841
2019-04-26,6690815
2019-04-27,6696235
2019-04-28,6728317
2019-04-29,6769872
2019-04-30,6784655
2019-05-01,6727196
2019-05-02,6715753
2019-05-03,6695296
2019-05-04,6892141
2019-05-05,7091181
2019-05-06,7163477
2019-05-07,7185190
2019-05-08,6987077
2019-05-09,6929904
2019-05-10,6872423
2019-05-11,6896614
2019-05-12,6896607
2019-05-13,6938430
2019-05-14,6946937
2019-05-15,6863750
2019-05-16,6796367
2019-05-17,6749317
2019-05-18,6799333
2019-05-19,6798395
2019-05-20,6790664
2019-05-21,6808583
2019-05-22,6864755
2019-05-23,6866205
2019-05-24,6872936
2019-05-25,6884433
2019-05-26,6879923
2019-05-27,6862436
2019-05-28,6827150
2019-05-29,6734919
2019-05-30,6706811
2019-05-31,6743344
2019-06-01,6740541
2019-06-02,6689394
2019-06-03,6660914
2019-06-04,6557455
2019-06-05,6554967
2019-06-06,6486716
2019-06-07,6394104
2019-06-08,6346951
2019-06-09,6393143
2019-06-10,6393775
2019-06-11,6293843
2019-06-12,6220247
2019-06-13,6185100
2019-06-14,6136465
2019-06-15,6036324
2019-06-16,6052186
2019-06-17,6018319
2019-06-18,5994577
2019-06-19,5952994
2019-06-20,5813329
2019-06-21,5634916
2019-06-22,5521263
2019-06-23,5371232
2019-06-24,5273586
2019-06-25,5370625
2019-06-26,5585076
2019-06-27,5853356
2019-06-28,5899979
2019-06-29,5914528
2019-06-30,6180078
2019-07-01,6439566
2019-07-02,6394676
2019-07-03,6534918
2019-07-04,6392602
2019-07-05,6380592
2019-07-06,6402960
2019-07-07,6587622
2019-07-08,6832063
2019-07-09,6745746
2019-07-10,6537415
2019-07-11,6426969
2019-07-12,6352033
2019-07-13,6275800
2019-07-14,6323416
2019-07-15,6429465
2019-07-16,6386074
2019-07-17,6323853
2019-07-18,6321543
2019-07-19,6301714
2019-07-20,6324266
2019-07-21,6329619
2019-07-22,6334258
2019-07-23,6371507
2019-07-24,6344151
2019-07-25,6293341
2019-07-26,6223033
2019-07-27,6100042
2019-07-28,6041593
2019-07-29,5874537
2019-07-30,5814320
2019-07-31,5760937
2019-08-01,5694070
