date_obj,Bronze%202h%20sword price
2015-03-26,2930
2015-03-27,2930
2015-03-28,2791
2015-03-29,2791
2015-03-30,2655
2015-03-31,2655
2015-04-01,2655
2015-04-02,2528
2015-04-03,2528
2015-04-04,2408
2015-04-05,2408
2015-04-06,2408
2015-04-07,2293
2015-04-08,2293
2015-04-09,2293
2015-04-10,2185
2015-04-11,2185
2015-04-12,2185
2015-04-13,2081
2015-04-14,2081
2015-04-15,2081
2015-04-16,1982
2015-04-17,1982
2015-04-18,1888
2015-04-19,1888
2015-04-20,1888
2015-04-21,1798
2015-04-22,1798
2015-04-23,1798
2015-04-24,1711
2015-04-25,1711
2015-04-26,1711
2015-04-27,1630
2015-04-28,1630
2015-04-29,1630
2015-04-30,1552
2015-05-01,1552
2015-05-02,1480
2015-05-03,1480
2015-05-04,1480
2015-05-05,1408
2015-05-06,1408
2015-05-07,1345
2015-05-08,1345
2015-05-09,1283
2015-05-10,1283
2015-05-11,1283
2015-05-12,1218
2015-05-13,1218
2015-05-14,1218
2015-05-15,1160
2015-05-16,1160
2015-05-17,1107
2015-05-18,1107
2015-05-19,1107
2015-05-20,1057
2015-05-21,1057
2015-05-22,1057
2015-05-23,1007
2015-05-24,1007
2015-05-25,960
2015-05-26,960
2015-05-27,960
2015-05-28,912
2015-05-29,912
2015-05-30,870
2015-05-31,870
2015-06-01,829
2015-06-02,829
2015-06-03,829
2015-06-04,790
2015-06-05,790
2015-06-06,754
2015-06-07,754
2015-06-08,754
2015-06-09,721
2015-06-10,721
2015-06-11,686
2015-06-12,686
2015-06-13,653
2015-06-14,653
2015-06-15,622
2015-06-16,622
2015-06-17,594
2015-06-18,594
2015-06-19,566
2015-06-20,566
2015-06-21,538
2015-06-22,538
2015-06-23,513
2015-06-24,513
2015-06-25,489
2015-06-26,489
2015-06-27,465
2015-06-28,465
2015-06-29,444
2015-06-30,444
2015-07-01,422
2015-07-02,422
2015-07-03,401
2015-07-04,401
2015-07-05,382
2015-07-06,382
2015-07-07,364
2015-07-08,364
2015-07-09,347
2015-07-10,347
2015-07-11,331
2015-07-12,331
2015-07-13,315
2015-07-14,315
2015-07-15,301
2015-07-16,301
2015-07-17,288
2015-07-18,288
2015-07-19,288
2015-07-20,274
2015-07-21,274
2015-07-22,261
2015-07-23,261
2015-07-24,248
2015-07-25,248
2015-07-26,237
2015-07-27,237
2015-07-28,226
2015-07-29,215
2015-07-30,215
2015-07-31,205
2015-08-01,205
2015-08-02,195
2015-08-03,195
2015-08-04,186
2015-08-05,178
2015-08-06,178
2015-08-07,170
2015-08-08,170
2015-08-09,163
2015-08-10,163
2015-08-11,155
2015-08-12,155
2015-08-13,148
2015-08-14,148
2015-08-15,141
2015-08-16,141
2015-08-17,134
2015-08-18,134
2015-08-19,128
2015-08-20,128
2015-08-21,122
2015-08-22,122
2015-08-23,116
2015-08-24,116
2015-08-25,116
2015-08-26,111
2015-08-27,111
2015-08-28,106
2015-08-29,106
2015-08-30,101
2015-08-31,101
2015-09-01,96
2015-09-02,96
2015-09-03,96
2015-09-04,92
2015-09-05,92
2015-09-06,92
2015-09-07,88
2015-09-08,88
2015-09-09,84
2015-09-10,84
2015-09-11,80
