date_obj,Bronze%20chainbody price
2015-03-26,1749
2015-03-27,1749
2015-03-28,1665
2015-03-29,1665
2015-03-30,1665
2015-03-31,1585
2015-04-01,1585
2015-04-02,1585
2015-04-03,1511
2015-04-04,1511
2015-04-05,1511
2015-04-06,1439
2015-04-07,1439
2015-04-08,1439
2015-04-09,1370
2015-04-10,1370
2015-04-11,1307
2015-04-12,1307
2015-04-13,1307
2015-04-14,1244
2015-04-15,1244
2015-04-16,1244
2015-04-17,1184
2015-04-18,1184
2015-04-19,1126
2015-04-20,1126
2015-04-21,1126
2015-04-22,1074
2015-04-23,1074
2015-04-24,1023
2015-04-25,1023
2015-04-26,1023
2015-04-27,974
2015-04-28,974
2015-04-29,974
2015-04-30,927
2015-05-01,927
2015-05-02,880
2015-05-03,880
2015-05-04,880
2015-05-05,836
2015-05-06,836
2015-05-07,794
2015-05-08,794
2015-05-09,758
2015-05-10,758
2015-05-11,758
2015-05-12,720
2015-05-13,720
2015-05-14,720
2015-05-15,687
2015-05-16,687
2015-05-17,656
2015-05-18,656
2015-05-19,656
2015-05-20,628
2015-05-21,628
2015-05-22,628
2015-05-23,599
2015-05-24,599
2015-05-25,572
2015-05-26,572
2015-05-27,572
2015-05-28,543
2015-05-29,543
2015-05-30,517
2015-05-31,517
2015-06-01,492
2015-06-02,492
2015-06-03,492
2015-06-04,469
2015-06-05,469
2015-06-06,447
2015-06-07,447
2015-06-08,447
2015-06-09,426
2015-06-10,426
2015-06-11,407
2015-06-12,407
2015-06-13,388
2015-06-14,388
2015-06-15,370
2015-06-16,370
2015-06-17,353
2015-06-18,353
2015-06-19,337
2015-06-20,337
2015-06-21,321
2015-06-22,321
2015-06-23,306
2015-06-24,306
2015-06-25,306
2015-06-26,290
2015-06-27,290
2015-06-28,276
2015-06-29,276
2015-06-30,276
2015-07-01,263
2015-07-02,263
2015-07-03,263
2015-07-04,249
2015-07-05,249
2015-07-06,249
2015-07-07,237
2015-07-08,237
2015-07-09,237
2015-07-10,226
2015-07-11,226
2015-07-12,226
2015-07-13,215
2015-07-14,215
2015-07-15,205
2015-07-16,205
2015-07-17,195
2015-07-18,195
2015-07-19,186
2015-07-20,186
2015-07-21,177
2015-07-22,177
2015-07-23,169
2015-07-24,169
2015-07-25,161
2015-07-26,161
2015-07-27,153
2015-07-28,153
2015-07-29,146
2015-07-30,146
2015-07-31,139
2015-08-01,139
2015-08-02,133
2015-08-03,133
2015-08-04,127
2015-08-05,127
2015-08-06,121
2015-08-07,121
2015-08-08,115
2015-08-09,115
2015-08-10,110
2015-08-11,110
2015-08-12,105
2015-08-13,105
2015-08-14,100
2015-08-15,100
2015-08-16,96
2015-08-17,96
2015-08-18,92
2015-08-19,92
2015-08-20,88
2015-08-21,88
2015-08-22,84
2015-08-23,84
2015-08-24,80
2015-08-25,80
2015-08-26,80
2015-08-27,77
2015-08-28,77
2015-08-29,74
2015-08-30,74
2015-08-31,71
2015-09-01,71
2015-09-02,67
2015-09-03,67
2015-09-04,63
2015-09-05,63
2015-09-06,63
2015-09-07,59
2015-09-08,59
2015-09-09,56
2015-09-10,56
2015-09-11,53
2015-09-12,53
2015-09-13,50
2015-09-14,50
2015-09-15,47
2015-09-16,47
2015-09-17,44
2015-09-18,44
2015-09-19,41
2015-09-20,41
2015-09-21,41
2015-09-22,38
2015-09-23,38
2015-09-24,36
2015-09-25,36
2015-09-27,34
2015-09-28,32
2015-09-29,32
2015-09-30,30
2015-10-05,26
2015-10-06,26
2015-10-07,26
2015-10-08,25
2015-10-09,25
2015-10-10,25
2015-10-11,24
2015-10-12,24
2015-10-13,24
2015-10-14,24
2015-10-15,24
2015-10-16,23
2015-10-17,23
2015-10-18,23
2015-10-19,21
2015-10-20,21
2015-10-22,19
2015-10-23,19
2015-10-24,19
2015-10-25,18
2015-10-26,18
2015-10-27,18
2015-10-29,17
2015-10-30,17
2015-10-31,16
2015-11-01,16
2015-11-02,16
2015-11-03,15
2015-11-04,15
2015-11-05,15
2015-11-06,14
2015-11-07,14
2015-11-08,13
2015-11-09,13
2015-11-10,13
2015-11-11,12
2015-11-12,12
2015-11-13,12
2015-11-14,11
2015-11-15,11
2015-11-16,11
2015-11-17,11
2015-11-18,11
2015-11-19,11
2015-11-20,11
2015-11-21,11
2015-11-22,11
2015-11-23,11
2015-11-24,11
2015-11-25,12
2015-11-26,12
2015-11-27,12
2015-11-28,12
2015-11-29,12
2015-11-30,13
2015-12-01,13
2015-12-02,13
2015-12-03,13
2015-12-04,13
2015-12-05,13
2015-12-06,13
2015-12-07,13
2015-12-08,13
2015-12-09,13
2015-12-10,13
2015-12-11,13
2015-12-12,13
2015-12-13,13
2015-12-14,13
2015-12-15,13
2015-12-16,13
2015-12-17,13
2015-12-18,13
2015-12-19,13
2015-12-20,12
2015-12-21,12
2015-12-22,12
2015-12-23,12
2015-12-24,12
2015-12-25,12
2015-12-26,11
2015-12-27,11
2015-12-28,10
2015-12-29,10
2015-12-30,10
2015-12-31,10
2016-01-01,10
2016-01-02,11
2016-01-03,11
2016-01-04,12
2016-01-05,12
2016-01-06,12
2016-01-07,12
2016-01-08,12
2016-01-09,12
2016-01-10,13
2016-01-11,13
2016-01-12,13
2016-01-13,14
2016-01-14,14
2016-01-15,14
2016-01-16,14
2016-01-17,14
2016-01-18,15
2016-01-19,15
2016-01-20,15
2016-01-21,16
2016-01-22,16
2016-01-23,16
2016-01-24,16
2016-01-25,16
2016-01-26,16
2016-01-27,16
2016-01-28,16
2016-01-29,17
2016-01-30,17
2016-01-31,17
2016-02-01,18
2016-02-02,18
2016-02-03,18
2016-02-04,19
2016-02-05,19
2016-02-06,20
2016-02-07,20
2016-02-08,20
2016-02-09,21
2016-02-10,21
2016-02-11,22
2016-02-12,22
2016-02-13,23
2016-02-14,23
2016-02-15,23
2016-02-16,24
2016-02-17,24
2016-02-18,24
2016-02-19,24
2016-02-20,24
2016-02-21,22
2016-02-22,22
2016-02-23,22
2016-02-24,22
2016-02-25,22
2016-02-26,24
2016-02-27,24
2016-02-28,24
2016-02-29,24
2016-03-01,25
2016-03-02,25
2016-03-03,25
2016-03-04,26
2016-03-05,26
2016-03-06,26
2016-03-07,26
2016-03-08,26
2016-03-09,24
2016-03-10,24
2016-03-11,23
2016-03-12,23
2016-03-13,22
2016-03-14,22
2016-03-15,21
2016-03-16,21
2016-03-17,19
2016-03-18,19
2016-03-19,18
2016-03-20,18
2016-03-21,18
2016-03-22,18
2016-03-23,18
2016-03-24,18
2016-03-25,19
2016-03-26,19
2016-03-27,19
2016-03-28,18
2016-03-29,18
2016-03-30,18
2016-03-31,18
2016-04-01,18
2016-04-02,17
2016-04-03,17
2016-04-04,16
2016-04-05,16
2016-04-06,15
2016-04-07,15
2016-04-08,14
2016-04-09,14
2016-04-10,13
2016-04-11,13
2016-04-12,13
2016-04-13,12
2016-04-14,12
2016-04-15,12
2016-04-16,12
2016-04-17,11
2016-04-18,11
2016-04-19,10
2016-04-20,10
2016-04-21,9
2016-04-22,9
2016-04-23,8
2016-04-24,8
2016-04-25,7
2016-04-26,7
2016-04-27,8
2016-04-28,8
2016-04-29,8
2016-04-30,8
2016-05-01,8
2016-05-02,9
2016-05-03,9
2016-05-04,8
2016-05-05,8
2016-05-06,7
2016-05-07,7
2016-05-08,6
2016-05-09,6
2016-05-10,5
2016-05-11,5
2016-05-12,5
2016-05-13,5
2016-05-14,5
2016-05-15,5
2016-05-16,5
2016-05-17,5
2016-05-18,5
2016-05-19,6
2016-05-22,6
2016-05-23,5
2016-05-24,5
2016-05-25,5
2016-05-26,5
2016-05-27,6
2016-05-28,6
2016-05-29,6
2016-05-30,6
2016-05-31,6
2016-06-01,7
2016-06-02,7
2016-06-03,7
2016-06-04,7
2016-06-05,7
2016-06-06,7
2016-06-07,7
2016-06-08,7
2016-06-09,7
2016-06-10,7
2016-06-11,7
2016-06-12,7
2016-06-13,7
2016-06-14,7
2016-06-15,7
2016-06-16,7
2016-06-17,7
2016-06-18,7
2016-06-19,7
2016-06-20,7
2016-06-21,7
2016-06-22,7
2016-06-23,7
2016-06-24,7
2016-06-25,7
2016-06-26,7
2016-06-27,7
2016-06-28,7
2016-06-29,7
2016-06-30,8
2016-07-01,8
2016-07-02,8
2016-07-03,8
2016-07-04,8
2016-07-05,8
2016-07-06,8
2016-07-07,8
2016-07-08,8
2016-07-09,9
2016-07-10,9
2016-07-11,10
2016-07-12,10
2016-07-13,11
2016-07-14,12
2016-07-15,12
2016-07-16,12
2016-07-17,12
2016-07-18,13
2016-07-23,14
2016-07-24,14
2016-07-25,14
2016-07-26,14
2016-07-27,14
2016-07-28,14
2016-07-29,14
2016-07-30,13
2016-07-31,13
2016-08-01,13
2016-08-02,12
2016-08-03,12
2016-08-04,12
2016-08-05,12
2016-08-06,11
2016-08-07,11
2016-08-08,11
2016-08-09,11
2016-08-10,10
2016-08-11,10
2016-08-12,10
2016-08-13,9
2016-08-14,9
2016-08-15,8
2016-08-16,8
2016-08-17,8
2016-08-18,7
2016-08-19,7
2016-08-20,8
2016-08-21,8
2016-08-22,8
2016-08-23,8
2016-08-24,8
2016-08-25,8
2016-08-26,8
2016-08-28,9
2016-08-31,10
2016-09-01,10
2016-09-02,11
2016-09-03,11
2016-09-04,11
2016-09-05,11
2016-09-06,11
2016-09-07,12
2016-09-08,12
2016-09-09,12
2016-09-10,11
2016-09-11,11
2016-09-12,11
2016-09-13,11
2016-09-14,11
2016-09-15,11
2016-09-16,11
2016-09-17,11
2016-09-18,10
2016-09-19,10
2016-09-20,10
2016-09-21,9
2016-09-22,9
2016-09-23,8
2016-09-24,8
2016-09-25,8
2016-09-26,8
2016-09-27,8
2016-09-28,8
2016-09-29,9
2016-09-30,9
2016-10-01,9
2016-10-02,9
2016-10-03,9
2016-10-04,9
2016-10-05,8
2016-10-06,8
2016-10-07,8
2016-10-08,7
2016-10-09,7
2016-10-10,7
2016-10-11,6
2016-10-12,6
2016-10-13,6
2016-10-14,6
2016-10-15,6
2016-10-16,6
2016-10-17,6
2016-10-18,6
2016-10-19,6
2016-10-20,7
2016-10-21,7
2016-10-22,7
2016-10-23,7
2016-10-24,7
2016-10-25,7
2016-10-26,7
2016-10-27,7
2016-10-28,7
2016-10-29,7
2016-10-30,7
2016-10-31,7
2016-11-01,8
2016-11-02,8
2016-11-03,8
2016-11-04,8
2016-11-05,8
2016-11-06,8
2016-11-07,8
2016-11-08,8
2016-11-09,8
2016-11-10,8
2016-11-11,8
2016-11-12,8
2016-11-13,9
2016-11-14,9
2016-11-15,9
2016-12-07,8
2016-12-08,9
2016-12-09,9
2016-12-10,9
2016-12-11,8
2016-12-12,8
2016-12-13,8
2016-12-14,9
2016-12-15,9
2016-12-16,9
2016-12-17,10
2016-12-18,10
2016-12-19,10
2016-12-20,11
2016-12-21,11
2016-12-22,11
2016-12-23,11
2016-12-24,11
2016-12-25,11
2016-12-26,10
2016-12-27,10
2016-12-28,9
2016-12-29,9
2016-12-30,8
2016-12-31,8
2017-01-01,9
2017-01-02,9
2017-01-03,9
2017-01-04,9
2017-01-05,9
2017-01-06,9
2017-01-07,8
2017-01-08,8
2017-01-09,8
2017-01-10,8
2017-01-11,8
2017-01-12,8
2017-01-13,7
2017-01-14,7
2017-01-15,6
2017-01-16,6
2017-01-17,7
2017-01-18,7
2017-01-19,8
2017-01-20,8
2017-01-21,9
2017-01-22,9
2017-01-23,10
2017-01-27,10
2017-01-28,10
2017-01-29,10
2017-01-30,10
2017-01-31,10
2017-02-01,10
2017-02-02,10
2017-02-03,10
2017-02-04,9
2017-02-05,9
2017-02-06,9
2017-02-07,10
2017-02-08,10
2017-02-09,10
2017-02-10,10
2017-02-11,10
2017-02-12,10
2017-02-13,11
2017-02-14,11
2017-02-15,11
2017-02-16,11
2017-02-18,10
2017-02-19,10
2017-02-20,9
2017-02-21,9
2017-02-22,9
2017-02-23,8
2017-02-24,8
2017-02-25,9
2017-02-26,9
2017-02-27,9
2017-02-28,9
2017-03-01,9
2017-03-02,10
2017-03-03,10
2017-03-04,11
2017-03-05,11
2017-03-06,11
2017-03-07,11
2017-03-08,11
2017-03-09,11
2017-03-10,11
2017-03-11,10
2017-03-12,10
2017-03-13,11
2017-03-14,11
2017-03-15,11
2017-03-16,11
2017-03-17,11
2017-03-18,11
2017-03-19,11
2017-03-20,10
2017-03-21,10
2017-03-22,10
2017-03-23,9
2017-03-24,9
2017-03-25,9
2017-03-26,9
2017-03-27,9
2017-03-28,8
2017-03-29,8
2017-03-30,7
2017-03-31,7
2017-04-01,7
2017-04-02,7
2017-04-03,8
2017-04-04,8
2017-04-12,10
2017-04-13,10
2017-04-14,10
2017-04-15,10
2017-04-16,10
2017-04-17,10
2017-04-18,10
2017-04-19,9
2017-04-20,9
2017-04-21,8
2017-04-22,8
2017-04-23,7
2017-04-24,7
2017-04-25,7
2017-04-26,7
2017-04-27,7
2017-04-28,6
2017-04-29,6
2017-04-30,7
2017-05-01,7
2017-05-02,7
2017-05-03,7
2017-05-04,7
2017-05-05,7
2017-05-06,7
2017-05-07,7
2017-05-08,7
2017-05-09,7
2017-05-10,7
2017-05-11,7
2017-05-12,6
2017-05-13,6
2017-05-14,5
2017-05-15,5
2017-05-16,6
2017-05-17,6
2017-05-18,6
2017-05-19,6
2017-05-20,6
2017-05-21,6
2017-05-22,6
2017-05-23,6
2017-05-24,6
2017-05-25,6
2017-05-26,6
2017-05-27,6
2017-05-28,6
2017-05-29,6
2017-05-30,6
2017-05-31,6
2017-06-01,6
2017-06-02,6
2017-06-03,6
2017-06-04,7
2017-06-05,7
2017-06-06,7
2017-06-07,7
2017-06-08,7
2017-06-09,7
2017-06-10,7
2017-06-11,8
2017-06-12,8
2017-06-13,8
2017-06-14,9
2017-06-15,9
2017-06-16,9
2017-06-17,9
2017-06-18,9
2017-06-19,9
2017-06-20,10
2017-06-21,10
2017-06-22,10
2017-06-23,10
2017-06-24,10
2017-06-25,10
2017-06-26,10
2017-06-27,11
2017-06-28,11
2017-06-29,11
2017-06-30,11
2017-07-01,11
2017-07-02,10
2017-07-03,10
2017-07-04,10
2017-07-05,10
2017-07-06,10
2017-07-07,11
2017-07-08,11
2017-07-13,12
2017-07-14,12
2017-07-15,12
2017-07-16,12
2017-07-17,12
2017-07-18,12
2017-07-19,12
2017-07-20,12
2017-07-21,13
2017-07-22,13
2017-07-23,12
2017-07-24,12
2017-07-25,12
2017-07-26,11
2017-07-27,11
2017-07-28,11
2017-07-29,11
2017-07-30,10
2017-07-31,10
2017-08-01,10
2017-08-02,9
2017-08-03,9
2017-08-04,9
2017-08-05,8
2017-08-06,8
2017-08-09,7
2017-08-10,7
2017-08-11,7
2017-08-12,7
2017-08-13,7
2017-08-14,8
2017-08-15,8
2017-08-16,9
2017-08-17,9
2017-08-18,10
2017-08-19,10
2017-08-20,10
2017-08-21,10
2017-08-22,11
2017-08-23,11
2017-08-24,11
2017-08-25,12
2017-08-26,12
2017-08-27,12
2017-08-28,12
2017-08-29,12
2017-08-30,12
2017-08-31,12
2017-09-01,12
2017-09-02,11
2017-09-03,11
2017-09-04,10
2017-09-05,10
2017-09-06,10
2017-09-07,10
2017-09-08,9
2017-09-09,9
2017-09-10,8
2017-09-11,8
2017-09-12,8
2017-09-13,8
2017-09-14,8
2017-09-15,8
2017-09-16,8
2017-09-17,8
2017-09-18,8
2017-09-19,8
2017-09-20,7
2017-09-21,7
2017-09-22,7
2017-09-23,7
2017-09-24,7
2017-09-25,7
2017-09-26,6
2017-09-27,6
2017-09-28,6
2017-09-29,6
2017-09-30,6
2017-10-01,6
2017-10-02,6
2017-10-03,6
2017-10-04,6
2017-10-05,6
2017-10-06,6
2017-10-07,6
2017-10-08,6
2017-10-09,7
2017-10-10,7
2017-10-11,7
2017-10-12,7
2017-10-13,7
2017-10-14,7
2017-10-15,7
2017-10-16,8
2017-10-17,8
2017-10-18,7
2017-10-19,7
2017-10-20,7
2017-10-21,8
2017-10-22,8
2017-10-23,9
2017-10-24,9
2017-10-25,10
2017-10-26,10
2017-10-27,10
2017-10-28,10
2017-10-29,10
2017-10-30,10
2017-10-31,10
2017-11-01,10
2017-11-02,9
2017-11-03,9
2017-11-04,8
2017-11-05,8
2017-11-06,8
2017-11-07,8
2017-11-08,8
2017-11-09,8
2017-11-10,8
2017-11-11,8
2017-11-12,8
2017-11-13,8
2017-11-14,8
2017-11-15,8
2017-11-16,8
2017-11-17,9
2017-11-18,9
2017-11-19,9
2017-11-20,10
2017-11-21,10
2017-11-22,10
2017-11-23,10
2017-11-24,10
2017-11-25,9
2017-11-26,9
2017-11-27,9
2017-11-28,9
2017-11-29,9
2017-11-30,9
2017-12-01,9
2017-12-02,9
2017-12-03,9
2017-12-04,9
2017-12-05,9
2017-12-06,9
2017-12-07,9
2017-12-08,9
2017-12-09,9
2017-12-10,9
2017-12-11,9
2017-12-12,9
2017-12-13,9
2017-12-14,9
2017-12-15,9
2017-12-16,9
2017-12-17,9
2017-12-18,9
2017-12-19,9
2017-12-20,9
2017-12-21,8
2017-12-22,8
2017-12-23,8
2017-12-24,8
2017-12-25,8
2017-12-26,8
2017-12-27,8
2017-12-28,8
2017-12-29,8
2017-12-30,8
2017-12-31,8
2018-01-01,8
2018-01-02,8
2018-01-03,9
2018-01-04,9
2018-01-05,9
2018-01-06,9
2018-01-07,9
2018-01-08,9
2018-01-09,9
2018-01-10,9
2018-01-11,9
2018-01-12,9
2018-01-13,9
