date_obj,Bronze%20dragon%20mask price
2015-03-26,76599
2015-03-27,76599
2015-03-28,72791
2015-03-29,72791
2015-03-30,72791
2015-03-31,69151
2015-04-01,69151
2015-04-02,69151
2015-04-03,69151
2015-04-04,66353
2015-04-05,66353
2015-04-06,66353
2015-04-07,66353
2015-04-08,66353
2015-04-09,64192
2015-04-10,64192
2015-04-11,64192
2015-04-12,64192
2015-04-13,63093
2015-04-14,63093
2015-04-15,63093
2015-04-16,63093
2015-04-17,62770
2015-04-18,62770
2015-04-19,62770
2015-04-20,62770
2015-04-21,62644
2015-04-22,62644
2015-04-23,62644
2015-04-24,62644
2015-04-25,61619
2015-04-26,61619
2015-04-27,61619
2015-04-28,59895
2015-04-29,59895
2015-04-30,59895
2015-05-01,59895
2015-05-02,58140
2015-05-03,58140
2015-05-04,58140
2015-05-05,58140
2015-05-06,55479
2015-05-07,55479
2015-05-08,55479
2015-05-09,52772
2015-05-10,52772
2015-05-11,52772
2015-05-12,50369
2015-05-13,50369
2015-05-14,50369
2015-05-15,48003
2015-05-16,48003
2015-05-17,48003
2015-05-18,45834
2015-05-19,45834
2015-05-20,45834
2015-05-21,45834
2015-05-22,45022
2015-05-23,45022
2015-05-24,45022
2015-05-25,43981
2015-05-26,43981
2015-05-27,43981
2015-05-28,43625
2015-05-29,43625
2015-05-30,43625
2015-05-31,41664
2015-06-01,41664
2015-06-02,41664
2015-06-03,41664
2015-06-04,40140
2015-06-05,40140
2015-06-06,40140
2015-06-07,40140
2015-06-08,39062
2015-06-09,39062
2015-06-10,39062
2015-06-11,39062
2015-06-12,39062
2015-06-13,39589
2015-06-14,39589
2015-06-15,39589
2015-06-16,39589
2015-06-17,38757
2015-06-18,38757
2015-06-19,38757
2015-06-20,37564
2015-06-21,37564
2015-06-22,37564
2015-06-23,37564
2015-06-24,36281
2015-06-25,36281
2015-06-26,36281
2015-06-27,36281
2015-06-28,34544
2015-06-29,34544
2015-06-30,34544
2015-07-01,34544
2015-07-02,33677
2015-07-03,33677
2015-07-04,33677
2015-07-05,34044
2015-07-06,34044
2015-07-07,34044
2015-07-08,34044
2015-07-09,34044
2015-07-10,33455
2015-07-11,33455
2015-07-12,33455
2015-07-13,33455
2015-07-14,33455
2015-07-15,33399
2015-07-16,33399
2015-07-17,33399
2015-07-18,33399
2015-07-19,33575
2015-07-20,33575
2015-07-21,33575
2015-07-22,32439
2015-07-23,32439
2015-07-24,32439
2015-07-25,32439
2015-07-26,32426
2015-07-27,32426
2015-07-28,32426
2015-07-29,32615
2015-07-30,32615
2015-07-31,32615
2015-08-01,32615
2015-08-02,33492
2015-08-03,33492
2015-08-04,33492
2015-08-05,33492
2015-08-06,34279
2015-08-07,34279
2015-08-08,34279
2015-08-09,34441
2015-08-10,34441
2015-08-11,34441
2015-08-12,34441
2015-08-13,34405
2015-08-14,34405
2015-08-15,34405
2015-08-16,34405
2015-08-17,34221
2015-08-18,34221
2015-08-19,34221
2015-08-20,34221
2015-08-21,34480
2015-08-22,34480
2015-08-23,34480
2015-08-24,34480
2015-08-25,34639
2015-08-26,34639
2015-08-27,34639
2015-08-28,34639
2015-08-29,34289
2015-08-30,34289
2015-08-31,34289
2015-09-01,34158
2015-09-02,34158
2015-09-03,34158
2015-09-04,34158
2015-09-05,33796
2015-09-06,33796
2015-09-07,33796
2015-09-08,34051
2015-09-09,34051
2015-09-10,34051
2015-09-11,34051
2015-09-12,34887
2015-09-13,34887
2015-09-14,34887
2015-09-15,34887
2015-09-16,35065
2015-09-17,35065
2015-09-18,35065
2015-09-19,35065
2015-09-20,35065
2015-09-21,34464
2015-09-22,34464
2015-09-23,34464
2015-09-24,34464
2015-09-25,34464
2015-09-27,34294
2015-09-28,34294
2015-09-29,34294
2015-09-30,33343
2015-10-05,34023
2015-10-06,34023
2015-10-07,34023
2015-10-08,34023
2015-10-09,33229
2015-10-10,33229
2015-10-11,33229
2015-10-12,33229
2015-10-13,33229
2015-10-14,32805
2015-10-15,32805
2015-10-16,32805
2015-10-17,31613
2015-10-18,31613
2015-10-19,31613
2015-10-20,31044
2015-10-22,31044
2015-10-23,31044
2015-10-24,30414
2015-10-25,30414
2015-10-26,30414
2015-10-27,30624
2015-10-29,30624
2015-10-30,30624
2015-10-31,30667
2015-11-01,30667
2015-11-02,30667
2015-11-03,30667
2015-11-04,30667
2015-11-05,30667
2015-11-06,31419
2015-11-07,31419
2015-11-08,31419
2015-11-09,31419
2015-11-10,31419
2015-11-11,31419
2015-11-12,31419
2015-11-13,31591
2015-11-14,31591
2015-11-15,31591
2015-11-16,31591
2015-11-17,31591
2015-11-18,31591
2015-11-19,31957
2015-11-20,31957
2015-11-21,31957
2015-11-22,31957
2015-11-23,31957
2015-11-24,31644
2015-11-25,31644
2015-11-26,31644
2015-11-27,31644
2015-11-28,31644
2015-11-29,31644
2015-11-30,31466
2015-12-01,31466
2015-12-02,31466
2015-12-03,31466
2015-12-04,31466
2015-12-05,31466
2015-12-06,31671
2015-12-07,31671
2015-12-08,31671
2015-12-09,31671
2015-12-10,31671
2015-12-11,31671
2015-12-12,32810
2015-12-13,32810
2015-12-14,32810
2015-12-15,32810
2015-12-16,32810
2015-12-17,32810
2015-12-18,32467
2015-12-19,32467
2015-12-20,32467
2015-12-21,32467
2015-12-22,32467
2015-12-23,32272
2015-12-24,32272
2015-12-25,32272
2015-12-26,32272
2015-12-27,32272
2015-12-28,32272
2015-12-29,32129
2015-12-30,32129
2015-12-31,32129
2016-01-01,32129
2016-01-02,32129
2016-01-03,31153
2016-01-04,31153
2016-01-05,31153
2016-01-06,31153
2016-01-07,30973
2016-01-08,30973
2016-01-09,30973
2016-01-10,30973
2016-01-11,30973
2016-01-12,30632
2016-01-13,30632
2016-01-14,30632
2016-01-15,30632
2016-01-16,30632
2016-01-17,29768
2016-01-18,29768
2016-01-19,29768
2016-01-20,29768
2016-01-21,28889
2016-01-22,28889
2016-01-23,28889
2016-01-24,28889
2016-01-25,28889
2016-01-26,28333
2016-01-27,28333
2016-01-28,28333
2016-01-29,28333
2016-01-30,28333
2016-01-31,27860
2016-02-01,27860
2016-02-02,27860
2016-02-03,27028
2016-02-04,27028
2016-02-05,27028
2016-02-06,27028
2016-02-07,27028
2016-02-08,26171
2016-02-09,26171
2016-02-10,26171
2016-02-11,26171
2016-02-12,24950
2016-02-13,24950
2016-02-14,24950
2016-02-15,24472
2016-02-16,24472
2016-02-17,24472
2016-02-18,24472
2016-02-19,24198
2016-02-20,24198
2016-02-21,24198
2016-02-22,24055
2016-02-23,24055
2016-02-24,24055
2016-02-25,24055
2016-02-26,23226
2016-02-27,23226
2016-02-28,23226
2016-02-29,22922
2016-03-01,22922
2016-03-02,22922
2016-03-03,22922
2016-03-04,22872
2016-03-05,22872
2016-03-06,22872
2016-03-07,22872
2016-03-08,23157
2016-03-09,23157
2016-03-10,23157
2016-03-11,23157
2016-03-12,23658
2016-03-13,23658
2016-03-14,23658
2016-03-15,23658
2016-03-16,23575
2016-03-17,23575
2016-03-18,23575
2016-03-19,23575
2016-03-20,23125
2016-03-21,23125
2016-03-22,23125
2016-03-23,23125
2016-03-24,23125
2016-03-25,22210
2016-03-26,22210
2016-03-27,22210
2016-03-28,21162
2016-03-29,21162
2016-03-30,21162
2016-03-31,21162
2016-04-01,20163
2016-04-02,20163
2016-04-03,20163
2016-04-04,20163
2016-04-05,19154
