date_obj,Bronze%20kiteshield%20(g) price
2015-03-26,96630
2015-03-27,96630
2015-03-28,93444
2015-03-29,90881
2015-03-30,87294
2015-03-31,87294
2015-04-01,84022
2015-04-02,82572
2015-04-03,81609
2015-04-04,78832
2015-04-05,78832
2015-04-06,76914
2015-04-07,76914
2015-04-08,74661
2015-04-09,74661
2015-04-10,72286
2015-04-11,69822
2015-04-12,69822
2015-04-13,66832
2015-04-14,66832
2015-04-15,64784
2015-04-16,64784
2015-04-17,62700
2015-04-18,60998
2015-04-19,60998
2015-04-20,59432
2015-04-21,59432
2015-04-22,58794
2015-04-23,59422
2015-04-24,59422
2015-04-25,58219
2015-04-26,58219
2015-04-27,57528
2015-04-28,56673
2015-04-29,56673
2015-04-30,55488
2015-05-01,53288
2015-05-02,50957
2015-05-03,50957
2015-05-04,48454
2015-05-05,48454
2015-05-06,46813
2015-05-07,46813
2015-05-08,45247
2015-05-09,45247
2015-05-10,44145
2015-05-11,44145
2015-05-12,43230
2015-05-13,43230
2015-05-14,42281
2015-05-15,42281
2015-05-16,40951
2015-05-17,39769
2015-05-18,38863
2015-05-19,38863
2015-05-20,37967
2015-05-21,37967
2015-05-22,37551
2015-05-23,37551
2015-05-24,37041
2015-05-25,36755
2015-05-26,36284
2015-05-27,36284
2015-05-28,35776
2015-05-29,35776
2015-05-30,35594
2015-05-31,35594
2015-06-01,36222
2015-06-02,36222
2015-06-03,37643
2015-06-04,37643
2015-06-05,38978
2015-06-06,38978
2015-06-07,39088
2015-06-08,39088
2015-06-09,38829
2015-06-10,38829
2015-06-11,40205
2015-06-12,40205
2015-06-13,40280
2015-06-14,40280
2015-06-15,40598
2015-06-16,40598
2015-06-17,41533
2015-06-18,41533
2015-06-19,43538
2015-06-20,43538
2015-06-21,42647
2015-06-22,42647
2015-06-23,42130
2015-06-24,42914
2015-06-25,42914
2015-06-26,44225
2015-06-27,44225
2015-06-28,44841
2015-06-29,44841
2015-06-30,44841
2015-07-01,46643
2015-07-02,46643
2015-07-03,48399
2015-07-04,48399
2015-07-05,50120
2015-07-06,50120
2015-07-07,52003
2015-07-08,52003
2015-07-09,52003
2015-07-10,53429
2015-07-11,53429
2015-07-12,53429
2015-07-13,53758
2015-07-14,53758
2015-07-15,55175
2015-07-16,55175
2015-07-17,57567
2015-07-18,57567
2015-07-19,57567
2015-07-20,59143
2015-07-21,59143
2015-07-22,60683
2015-07-23,60683
2015-07-24,62684
2015-07-25,62684
2015-07-26,64636
2015-07-27,64636
2015-07-28,65279
2015-07-29,65279
2015-07-30,67877
2015-07-31,67877
2015-08-01,67942
2015-08-02,67942
2015-08-03,67358
2015-08-04,67358
2015-08-05,69063
2015-08-06,69063
2015-08-07,71846
2015-08-08,71846
2015-08-09,74559
2015-08-10,74559
2015-08-11,73396
2015-08-12,73396
2015-08-13,73396
2015-08-14,71241
2015-08-15,71241
2015-08-16,70661
2015-08-17,70661
2015-08-18,70256
2015-08-19,70256
2015-08-20,67995
2015-08-21,67995
2015-08-22,67992
2015-08-23,67992
2015-08-24,68187
2015-08-25,68187
2015-08-26,67954
2015-08-27,67954
2015-08-28,68344
2015-08-29,68344
2015-08-30,66307
2015-08-31,66307
2015-09-01,64761
2015-09-02,64761
2015-09-03,62818
2015-09-04,62818
2015-09-05,62296
2015-09-06,62296
2015-09-07,61828
2015-09-08,61828
2015-09-09,62451
2015-09-10,62451
2015-09-11,60568
2015-09-12,60568
2015-09-13,58180
2015-09-14,58180
2015-09-15,57236
2015-09-16,57236
2015-09-17,58509
2015-09-18,58509
2015-09-19,58497
2015-09-20,58497
2015-09-21,56618
2015-09-22,56618
2015-09-23,56931
2015-09-24,56931
2015-09-25,56931
2015-09-27,57363
2015-09-28,57834
2015-09-29,57834
2015-09-30,58253
2015-10-05,55836
2015-10-06,55836
2015-10-07,57435
2015-10-08,57435
2015-10-09,58511
2015-10-10,58511
2015-10-11,58092
2015-10-12,58092
2015-10-13,58092
2015-10-14,58417
2015-10-15,58417
2015-10-16,58053
2015-10-17,58053
2015-10-18,58053
2015-10-19,57260
2015-10-20,57260
2015-10-22,58410
2015-10-23,59105
2015-10-24,59105
2015-10-25,60949
2015-10-26,60949
