date_obj,Bucket%20of%20wax price
2015-03-26,9
2015-03-27,9
2015-03-28,9
2015-03-29,9
2015-03-30,9
2015-03-31,9
2015-04-01,10
2015-04-02,10
2015-04-03,10
2015-04-04,10
2015-04-05,10
2015-04-06,10
2015-04-07,11
2015-04-08,11
2015-04-09,11
2015-04-10,11
2015-04-11,11
2015-04-12,11
2015-04-13,12
2015-04-14,12
2015-04-15,12
2015-04-16,12
2015-04-17,12
2015-04-18,12
2015-04-19,13
2015-04-20,13
2015-04-21,13
2015-04-22,13
2015-04-23,13
2015-04-24,13
2015-04-25,13
2015-04-26,14
2015-04-27,14
2015-04-28,14
2015-04-29,14
2015-04-30,14
2015-05-01,15
2015-05-02,15
2015-05-03,15
2015-05-04,15
2015-05-05,15
2015-05-06,16
2015-05-07,16
2015-05-08,16
2015-05-09,16
2015-05-10,17
2015-05-11,17
2015-05-12,17
2015-05-13,17
2015-05-14,17
2015-05-15,18
2015-05-16,18
2015-05-17,18
2015-05-18,18
2015-05-19,18
2015-05-20,19
2015-05-21,19
2015-05-22,19
2015-05-23,19
2015-05-24,19
2015-05-25,20
2015-05-26,20
2015-05-27,20
2015-05-28,20
2015-05-29,20
2015-05-30,21
2015-05-31,21
2015-06-01,21
2015-06-02,21
2015-06-03,21
2015-06-04,21
2015-06-05,23
2015-06-06,23
2015-06-07,23
2015-06-08,23
2015-06-09,23
2015-06-10,23
2015-06-11,25
2015-06-12,25
2015-06-13,25
2015-06-14,25
2015-06-15,25
2015-06-16,25
2015-06-17,27
2015-06-18,27
2015-06-19,27
2015-06-20,27
2015-06-21,27
2015-06-22,27
2015-06-23,29
2015-06-24,29
2015-06-25,29
2015-06-26,29
2015-06-27,29
2015-06-28,29
2015-06-29,31
2015-06-30,31
2015-07-01,31
2015-07-02,31
2015-07-03,31
2015-07-04,31
2015-07-05,33
2015-07-06,33
2015-07-07,33
2015-07-08,33
2015-07-09,33
2015-07-10,33
2015-07-11,33
2015-07-12,35
2015-07-13,35
2015-07-14,35
2015-07-15,35
2015-07-16,35
2015-07-17,35
2015-07-18,37
2015-07-19,37
2015-07-20,37
2015-07-21,37
2015-07-22,39
2015-07-23,39
2015-07-24,39
2015-07-25,39
2015-07-26,39
2015-07-27,41
2015-07-28,41
2015-07-29,41
2015-07-30,41
2015-07-31,44
2015-08-01,44
2015-08-02,44
2015-08-03,44
2015-08-04,47
2015-08-05,47
2015-08-06,47
2015-08-07,47
2015-08-08,50
2015-08-09,50
2015-08-10,50
2015-08-11,50
2015-08-12,50
2015-08-13,50
2015-08-14,53
2015-08-15,53
2015-08-16,53
2015-08-17,53
2015-08-18,53
2015-08-19,53
2015-08-20,53
2015-08-21,56
2015-08-22,56
2015-08-23,56
2015-08-24,56
2015-08-25,56
2015-08-26,56
2015-08-27,56
2015-08-28,59
2015-08-29,59
