date_obj,Candle price
2015-03-26,1882
2015-03-27,1882
2015-03-28,1787
2015-03-29,1697
2015-03-30,1612
2015-03-31,1531
2015-04-01,1531
2015-04-02,1454
2015-04-03,1381
2015-04-04,1311
2015-04-05,1311
2015-04-06,1245
2015-04-07,1182
2015-04-08,1182
2015-04-09,1122
2015-04-10,1065
2015-04-11,1011
2015-04-12,1011
2015-04-13,960
2015-04-14,960
2015-04-15,912
2015-04-16,912
2015-04-17,866
2015-04-18,822
2015-04-19,780
2015-04-20,780
2015-04-21,741
2015-04-22,741
2015-04-23,703
2015-04-24,703
2015-04-25,667
2015-04-26,667
2015-04-27,633
2015-04-28,601
2015-04-29,601
2015-04-30,570
2015-05-01,541
2015-05-02,513
2015-05-03,513
2015-05-04,487
2015-05-05,487
2015-05-06,469
2015-05-07,469
2015-05-08,445
2015-05-09,426
2015-05-10,406
2015-05-11,406
2015-05-12,387
2015-05-13,387
2015-05-14,367
2015-05-15,367
2015-05-16,348
2015-05-17,330
2015-05-18,330
2015-05-19,313
2015-05-20,313
2015-05-21,313
2015-05-22,297
2015-05-23,297
2015-05-24,282
2015-05-25,267
2015-05-26,267
2015-05-27,253
2015-05-28,240
2015-05-29,228
2015-05-30,231
2015-05-31,231
2015-06-01,227
2015-06-02,227
2015-06-03,236
2015-06-04,236
2015-06-05,225
2015-06-06,222
2015-06-07,218
2015-06-08,218
2015-06-09,213
2015-06-10,215
2015-06-11,215
2015-06-12,216
2015-06-13,218
2015-06-14,221
2015-06-15,221
2015-06-16,219
2015-06-17,219
2015-06-18,218
2015-06-19,218
2015-06-20,218
2015-06-21,218
2015-06-22,216
2015-06-23,216
2015-06-24,212
2015-06-25,212
2015-06-26,211
2015-06-27,211
2015-06-28,212
2015-06-29,212
2015-06-30,209
2015-07-01,205
2015-07-02,205
2015-07-03,212
2015-07-04,213
2015-07-05,213
2015-07-06,208
2015-07-07,210
2015-07-08,221
2015-07-09,221
2015-07-10,217
2015-07-11,217
2015-07-12,206
2015-07-13,195
2015-07-14,185
2015-07-15,175
2015-07-16,166
2015-07-17,157
2015-07-18,157
2015-07-19,149
2015-07-20,141
2015-07-21,141
2015-07-22,134
2015-07-23,134
2015-07-24,138
2015-07-25,138
2015-07-26,144
2015-07-27,150
2015-07-28,156
2015-07-29,160
2015-07-30,160
2015-07-31,164
2015-08-01,171
2015-08-02,177
2015-08-03,177
2015-08-04,185
2015-08-05,184
2015-08-06,184
2015-08-07,189
2015-08-08,184
2015-08-09,179
2015-08-10,184
2015-08-11,187
2015-08-12,187
2015-08-13,194
2015-08-14,200
2015-08-15,200
2015-08-16,199
2015-08-17,202
2015-08-18,202
2015-08-19,201
2015-08-20,201
2015-08-21,206
2015-08-22,207
2015-08-23,207
2015-08-24,211
2015-08-25,211
2015-08-26,216
2015-08-27,221
2015-08-28,221
2015-08-29,223
2015-08-30,223
2015-08-31,223
2015-09-01,223
2015-09-02,226
2015-09-03,226
2015-09-04,230
2015-09-05,230
2015-09-06,230
2015-09-07,218
2015-09-08,221
2015-09-09,221
2015-09-10,219
2015-09-11,219
2015-09-12,223
2015-09-13,217
2015-09-14,217
2015-09-15,214
2015-09-16,214
2015-09-17,211
2015-09-18,211
2015-09-19,217
2015-09-20,217
2015-09-21,224
2015-09-22,224
2015-09-23,213
2015-09-24,213
2015-09-25,212
2015-09-27,221
2015-09-28,229
2015-09-29,229
2015-09-30,232
2015-10-05,249
2015-10-06,247
2015-10-07,247
2015-10-08,240
2015-10-09,228
2015-10-10,228
2015-10-11,216
2015-10-12,205
2015-10-13,205
2015-10-14,195
2015-10-15,187
2015-10-16,182
2015-10-17,182
2015-10-18,181
2015-10-19,174
2015-10-20,174
2015-10-22,165
2015-10-23,156
2015-10-24,156
2015-10-25,157
2015-10-26,160
2015-10-27,160
2015-10-29,164
2015-10-30,169
2015-10-31,168
2015-11-01,168
2015-11-02,170
2015-11-03,170
2015-11-04,166
2015-11-05,162
2015-11-06,162
2015-11-07,159
2015-11-08,159
2015-11-09,160
2015-11-10,160
2015-11-11,160
2015-11-12,160
2015-11-13,159
2015-11-14,159
2015-11-15,158
2015-11-16,158
2015-11-17,166
2015-11-18,166
2015-11-19,174
2015-11-20,182
2015-11-21,182
2015-11-22,189
2015-11-23,189
2015-11-24,190
2015-11-25,188
2015-11-26,188
2015-11-27,187
2015-11-28,187
2015-11-29,191
2015-11-30,195
2015-12-01,195
2015-12-02,200
2015-12-03,192
2015-12-04,192
2015-12-05,190
2015-12-06,188
2015-12-07,188
2015-12-08,185
2015-12-09,176
2015-12-10,176
2015-12-11,180
2015-12-12,180
2015-12-13,181
2015-12-14,181
2015-12-15,175
2015-12-16,173
2015-12-17,173
2015-12-18,178
2015-12-19,187
2015-12-20,187
2015-12-21,196
2015-12-22,202
2015-12-23,211
2015-12-24,211
2015-12-25,217
2015-12-26,218
2015-12-27,213
2015-12-28,203
2015-12-29,212
2015-12-30,203
2015-12-31,192
2016-01-01,192
2016-01-02,182
2016-01-03,172
2016-01-04,164
2016-01-05,155
2016-01-06,149
2016-01-07,141
2016-01-08,138
2016-01-09,138
2016-01-10,138
2016-01-11,138
2016-01-12,136
2016-01-13,136
2016-01-14,139
2016-01-15,142
2016-01-16,149
2016-01-17,157
2016-01-18,165
2016-01-19,165
2016-01-20,172
2016-01-21,172
2016-01-22,179
2016-01-23,187
2016-01-24,192
2016-01-25,200
2016-01-26,200
2016-01-27,203
2016-01-28,203
2016-01-29,205
2016-01-30,205
2016-01-31,211
2016-02-01,218
2016-02-02,218
2016-02-03,225
2016-02-04,225
2016-02-05,235
2016-02-06,233
2016-02-07,233
2016-02-08,230
2016-02-09,239
2016-02-10,242
2016-02-11,242
2016-02-12,237
2016-02-13,243
2016-02-14,243
2016-02-15,254
2016-02-16,248
2016-02-17,246
2016-02-18,246
2016-02-19,248
2016-02-20,243
2016-02-21,243
2016-02-22,243
2016-02-23,241
2016-02-24,240
2016-02-25,241
2016-02-26,241
2016-02-27,241
2016-02-28,241
2016-02-29,238
2016-03-01,234
2016-03-02,234
2016-03-03,236
2016-03-04,231
2016-03-05,222
2016-03-06,219
2016-03-07,219
2016-03-08,208
2016-03-09,197
2016-03-10,187
2016-03-11,187
2016-03-12,177
2016-03-13,177
2016-03-14,168
2016-03-15,165
2016-03-16,168
2016-03-17,171
2016-03-18,178
2016-03-19,180
2016-03-20,180
2016-03-21,180
2016-03-22,180
2016-03-23,175
2016-03-24,178
2016-03-25,186
2016-03-26,194
2016-03-27,197
2016-03-28,191
2016-03-29,194
2016-03-30,194
2016-03-31,200
2016-04-01,203
2016-04-02,208
2016-04-03,200
2016-04-04,190
2016-04-05,180
2016-04-06,173
2016-04-07,172
2016-04-08,164
2016-04-09,168
2016-04-10,176
2016-04-11,176
2016-04-12,183
2016-04-13,187
2016-04-14,181
2016-04-15,179
2016-04-16,174
2016-04-17,171
2016-04-18,172
2016-04-19,170
2016-04-20,175
2016-04-21,180
2016-04-22,180
2016-04-23,184
2016-04-24,193
2016-04-25,201
2016-04-26,196
2016-04-27,191
2016-04-28,186
2016-04-29,186
2016-04-30,191
2016-05-01,188
2016-05-02,195
2016-05-03,197
2016-05-04,200
2016-05-05,206
2016-05-06,208
2016-05-07,206
2016-05-08,212
2016-05-09,221
2016-05-10,218
2016-05-11,213
2016-05-12,222
2016-05-13,218
2016-05-14,213
2016-05-15,216
2016-05-16,221
2016-05-17,232
2016-05-18,231
2016-05-19,232
2016-05-22,204
2016-05-23,205
2016-05-24,207
2016-05-25,210
2016-05-26,212
2016-05-27,216
2016-05-28,216
2016-05-29,223
2016-05-30,223
2016-05-31,219
2016-06-01,208
2016-06-02,197
2016-06-03,187
2016-06-04,178
2016-06-05,177
2016-06-06,168
2016-06-07,168
2016-06-08,159
2016-06-09,151
2016-06-10,144
2016-06-11,143
2016-06-12,145
2016-06-13,151
2016-06-14,156
2016-06-15,157
2016-06-16,162
2016-06-17,162
2016-06-18,165
2016-06-19,166
2016-06-20,168
2016-06-21,168
2016-06-22,166
2016-06-23,160
2016-06-24,156
2016-06-25,153
2016-06-26,157
2016-06-27,159
2016-06-28,166
2016-06-29,173
2016-06-30,175
2016-07-01,170
2016-07-02,163
2016-07-03,161
2016-07-04,165
2016-07-05,169
2016-07-06,170
2016-07-07,175
2016-07-08,176
2016-07-09,181
2016-07-10,186
2016-07-11,188
2016-07-12,192
2016-07-13,195
2016-07-14,191
2016-07-15,196
2016-07-16,200
2016-07-17,199
2016-07-18,193
2016-07-23,161
2016-07-24,161
2016-07-25,168
2016-07-26,168
2016-07-27,169
2016-07-28,160
2016-07-29,159
2016-07-30,158
2016-07-31,158
2016-08-01,161
2016-08-02,167
2016-08-03,169
2016-08-04,164
2016-08-05,164
2016-08-06,165
2016-08-07,169
2016-08-08,169
2016-08-09,174
2016-08-10,174
2016-08-11,174
2016-08-12,172
2016-08-13,178
2016-08-14,181
2016-08-15,190
2016-08-16,189
2016-08-17,189
2016-08-18,191
2016-08-19,193
2016-08-20,193
2016-08-21,192
2016-08-22,198
2016-08-23,192
2016-08-24,199
2016-08-25,203
2016-08-26,203
2016-08-28,201
2016-08-31,204
2016-09-01,211
2016-09-02,211
2016-09-03,216
2016-09-04,217
2016-09-05,214
2016-09-06,216
2016-09-07,216
2016-09-08,216
2016-09-09,216
2016-09-10,219
2016-09-11,219
2016-09-12,222
2016-09-13,228
2016-09-14,228
2016-09-15,234
2016-09-16,234
2016-09-17,245
2016-09-18,255
2016-09-19,265
2016-09-20,265
2016-09-21,276
2016-09-22,266
2016-09-23,269
2016-09-24,269
2016-09-25,264
2016-09-26,264
2016-09-27,261
2016-09-28,266
2016-09-29,266
2016-09-30,274
2016-10-01,283
2016-10-02,283
2016-10-03,268
2016-10-04,254
2016-10-05,241
2016-10-06,228
2016-10-07,228
2016-10-08,216
2016-10-09,216
2016-10-10,209
2016-10-11,210
2016-10-12,216
2016-10-13,223
2016-10-14,228
2016-10-15,226
2016-10-16,224
2016-10-17,227
2016-10-18,238
2016-10-19,241
2016-10-20,232
2016-10-21,224
2016-10-22,224
2016-10-23,230
2016-10-24,234
2016-10-25,234
2016-10-26,242
2016-10-27,242
2016-10-28,236
2016-10-29,241
2016-10-30,239
2016-10-31,238
2016-11-01,238
2016-11-02,237
2016-11-03,237
2016-11-04,237
2016-11-05,237
2016-11-06,246
2016-11-07,256
2016-11-08,256
2016-11-09,258
2016-11-10,256
2016-11-11,250
2016-11-12,242
2016-11-13,242
2016-11-14,237
2016-11-15,243
2016-12-07,222
2016-12-08,224
2016-12-09,230
2016-12-10,219
2016-12-11,227
2016-12-12,239
2016-12-13,237
2016-12-14,242
2016-12-15,242
2016-12-16,245
2016-12-17,235
2016-12-18,240
2016-12-19,235
2016-12-20,234
2016-12-21,226
2016-12-22,227
2016-12-23,218
2016-12-24,207
2016-12-25,202
2016-12-26,192
2016-12-27,194
2016-12-28,189
2016-12-29,193
2016-12-30,187
2016-12-31,194
2017-01-01,195
2017-01-02,185
2017-01-03,175
2017-01-04,172
2017-01-05,170
2017-01-06,173
2017-01-07,179
2017-01-08,187
2017-01-09,185
2017-01-10,184
2017-01-11,182
2017-01-12,185
2017-01-13,182
2017-01-14,181
2017-01-15,179
2017-01-16,176
2017-01-17,168
2017-01-18,173
2017-01-19,179
2017-01-20,175
2017-01-21,180
2017-01-22,185
2017-01-23,187
2017-01-27,185
2017-01-28,181
2017-01-29,183
2017-01-30,182
2017-01-31,184
2017-02-01,184
2017-02-02,187
2017-02-03,192
2017-02-04,189
2017-02-05,192
2017-02-06,198
2017-02-07,201
2017-02-08,204
2017-02-09,204
2017-02-10,204
2017-02-11,202
2017-02-12,200
2017-02-13,198
2017-02-14,207
2017-02-15,206
2017-02-16,195
2017-02-18,191
2017-02-19,183
2017-02-20,181
2017-02-21,179
2017-02-22,172
2017-02-23,175
2017-02-24,178
2017-02-25,176
2017-02-26,174
2017-02-27,176
2017-02-28,173
2017-03-01,173
2017-03-02,176
2017-03-03,178
2017-03-04,170
2017-03-05,161
2017-03-06,152
2017-03-07,144
2017-03-08,136
2017-03-09,129
2017-03-10,125
2017-03-11,123
2017-03-12,123
2017-03-13,121
2017-03-14,121
2017-03-15,126
2017-03-16,129
2017-03-17,130
2017-03-18,134
2017-03-19,136
2017-03-20,141
2017-03-21,148
2017-03-22,150
2017-03-23,152
2017-03-24,154
2017-03-25,154
2017-03-26,155
2017-03-27,159
2017-03-28,158
2017-03-29,165
2017-03-30,165
2017-03-31,172
2017-04-01,173
2017-04-02,171
2017-04-03,173
2017-04-04,178
2017-04-12,222
2017-04-13,227
2017-04-14,228
2017-04-15,224
2017-04-16,220
2017-04-17,215
2017-04-18,209
2017-04-19,209
2017-04-20,205
2017-04-21,197
2017-04-22,205
2017-04-23,206
2017-04-24,195
2017-04-25,189
2017-04-26,189
2017-04-27,186
2017-04-28,177
2017-04-29,168
2017-04-30,159
2017-05-01,151
2017-05-02,143
2017-05-03,137
2017-05-04,136
2017-05-05,137
2017-05-06,138
2017-05-07,136
2017-05-08,133
2017-05-09,135
2017-05-10,133
2017-05-11,133
2017-05-12,133
2017-05-13,132
2017-05-14,130
2017-05-15,132
2017-05-16,134
2017-05-17,133
2017-05-18,134
2017-05-19,135
2017-05-20,133
2017-05-21,133
2017-05-22,133
2017-05-23,133
2017-05-24,133
2017-05-25,133
2017-05-26,131
2017-05-27,126
2017-05-28,124
2017-05-29,121
2017-05-30,122
2017-05-31,121
2017-06-01,118
2017-06-02,112
2017-06-03,107
2017-06-04,108
2017-06-05,109
2017-06-06,108
2017-06-07,102
2017-06-08,102
2017-06-09,96
2017-06-10,94
2017-06-11,96
2017-06-12,101
2017-06-13,106
2017-06-14,110
2017-06-15,115
2017-06-16,114
2017-06-17,114
2017-06-18,118
2017-06-19,118
2017-06-20,121
2017-06-21,124
2017-06-22,121
2017-06-23,125
2017-06-24,130
2017-06-25,131
2017-06-26,130
