date_obj,Carved%20teak%20magic%20wardrobe%20(flatpack) price
2015-03-05,85
2015-03-06,85
2015-03-07,85
2015-03-08,85
2015-03-09,85
2015-03-10,85
2015-03-11,85
2015-03-12,85
2015-03-13,85
2015-03-14,85
2015-03-15,85
2015-03-16,85
2015-03-17,85
2015-03-18,85
2015-03-19,85
2015-03-20,85
2015-03-21,85
2015-03-22,85
2015-03-23,85
2015-03-24,85
2015-03-25,85
2015-03-26,85
2015-03-27,85
2015-03-28,85
2015-03-29,85
2015-03-30,85
2015-03-31,85
2015-04-01,85
2015-04-02,85
2015-04-03,85
2015-04-04,85
2015-04-05,85
2015-04-06,85
2015-04-07,85
2015-04-08,85
2015-04-09,85
2015-04-10,85
2015-04-11,85
2015-04-12,85
2015-04-13,85
2015-04-14,85
2015-04-15,85
2015-04-16,85
2015-04-17,85
2015-04-18,85
2015-04-19,85
2015-04-20,85
2015-04-21,85
2015-04-22,85
2015-04-23,85
2015-04-24,85
2015-04-25,85
2015-04-26,85
2015-04-27,85
2015-04-28,85
2015-04-29,85
2015-04-30,85
2015-05-01,85
2015-05-02,85
2015-05-03,85
2015-05-04,85
2015-05-05,85
2015-05-06,85
2015-05-07,85
2015-05-08,85
2015-05-09,85
2015-05-10,85
2015-05-11,85
2015-05-12,85
2015-05-13,85
2015-05-14,85
2015-05-15,85
2015-05-16,85
2015-05-17,85
2015-05-18,85
2015-05-19,85
2015-05-20,85
2015-05-21,85
2015-05-22,85
2015-05-23,85
2015-05-24,85
2015-05-25,85
2015-05-26,85
2015-05-27,85
2015-05-28,85
2015-05-29,85
2015-05-30,85
2015-05-31,85
2015-06-01,85
2015-06-02,85
2015-06-03,85
2015-06-04,85
2015-06-05,85
2015-06-06,85
2015-06-07,85
2015-06-08,85
2015-06-09,85
2015-06-10,85
2015-06-11,85
2015-06-12,85
2015-06-13,85
2015-06-14,85
2015-06-15,85
2015-06-16,85
2015-06-17,85
2015-06-18,85
2015-06-19,85
2015-06-20,85
2015-06-21,85
2015-06-22,85
2015-06-23,85
2015-06-24,85
2015-06-25,85
2015-06-26,85
2015-06-27,85
2015-06-28,85
2015-06-29,85
2015-06-30,85
